	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arhgef7	49.56	18.57	7.23	36.62	64.97	0.0	93.75	246.17	0.0	83.15	129.51	0.0	0.0	30.32	0.0	10.86	32.51	57.55	54.13	0.0	81.42	21.9	11.76	60.47	78.95	63.53	108.62	11.25	110.3	82.19	1.34	22.02	32.55	0.56	35.65	0.0	0.0	36.61	66.3	0.14	42.65	3.68	90.04	91.84	20.32	0.0	24.92	36.16	28.35	24.32	72.82	75.56	76.42
Arhgef9	16.83	51.67	0.0	33.06	0.37	0.0	24.55	57.17	0.0	70.29	47.22	0.0	0.0	31.36	0.0	5.96	0.13	20.07	16.27	1.29	1.53	44.97	18.68	2.85	12.83	22.56	3.88	6.22	0.0	34.4	5.38	0.0	9.14	2.84	0.0	26.44	0.0	8.77	41.27	5.8	0.0	58.5	18.5	38.76	6.42	0.0	48.25	67.19	52.31	40.75	220.51	209.27	213.67
Arih1	2.95	0.11	3.62	0.0	11.63	0.05	38.46	97.43	0.0	34.31	40.46	0.0	0.0	0.0	0.0	0.64	0.0	3.82	1.4	8.39	0.57	2.74	3.2	3.59	3.41	0.45	0.85	0.8	0.9	17.92	16.33	0.0	18.06	0.53	0.57	0.0	0.0	5.41	0.6	1.87	0.72	1.56	14.62	17.79	0.28	0.43	5.11	15.11	11.15	6.66	45.7	44.14	45.02
Arrdc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.76	0.02	32.47	0.0	0.0	0.0	0.0	0.0	0.0	32.03	0.0	0.0	0.0	0.0	0.0	34.97	0.0	0.0	2.16	23.81	0.0	0.0	0.0	0.0	45.1	0.0	8.8	0.0	0.07	0.0	26.06	27.08	14.29	16.78	29.72	31.68	29.86
Atxn1l	0.0	13.79	0.0	0.0	11.43	0.0	34.03	80.81	0.0	0.0	10.38	0.0	0.0	12.91	0.0	0.0	0.02	0.0	0.04	12.2	0.0	0.0	0.04	5.67	1.76	0.0	3.13	0.0	0.0	8.07	15.34	0.0	0.0	0.0	0.03	0.0	0.0	4.02	0.0	0.0	0.0	39.4	0.0	0.0	0.0	0.0	0.12	1.84	1.4	2.82	18.86	19.25	19.94
B3galt1	15.8	12.34	0.0	0.15	0.0	0.0	74.78	172.94	0.2	74.42	61.28	0.0	0.0	0.0	0.0	0.05	1.32	0.02	0.02	0.0	14.8	0.08	0.0	0.4	0.06	0.0	0.0	13.31	0.0	0.04	0.0	0.0	0.0	0.0	0.0	29.87	0.0	0.0	0.05	29.56	0.0	23.72	9.48	23.97	10.85	0.0	85.8	153.98	112.9	124.49	26.54	25.29	25.15
BC037034	0.25	1.35	0.0	0.0	0.0	0.0	0.12	39.03	0.0	0.0	35.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	1.15	0.25	0.0	0.0	3.61	0.0	3.72	0.0	0.0	3.74	0.19	0.51	9.94	0.0	5.58	0.4	0.0	0.0	2.78	0.0	1.67	0.0	0.83	0.35	0.54	1.09	48.42	51.97	49.02
Bcl11b	18.27	3.15	2.84	7.11	11.24	0.0	23.92	20.47	0.27	23.02	16.95	0.0	0.0	5.29	0.0	6.09	6.49	2.49	21.86	0.08	18.88	6.36	0.18	1.89	1.98	11.06	0.0	11.22	0.06	0.46	3.58	8.94	0.07	7.19	3.1	6.17	0.0	25.59	0.47	0.04	9.38	14.65	16.43	7.21	7.19	0.0	13.1	14.6	12.33	9.07	35.56	39.1	36.72
Cdc42se1	0.0	0.0	0.0	21.56	65.65	1.12	105.99	216.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	1.93	3.01	29.59	55.37	1.91	28.05	0.0	0.0	0.0	2.81	0.0	0.0	0.0	17.9	0.97	0.0	0.0	37.89	3.58	0.0	0.0	0.0	0.0	45.77	0.0	0.0	30.06	44.35	2.17	90.19	21.86	18.93	18.47	22.42	58.74	55.44	53.16
Cdyl	0.0	0.0	0.0	0.0	0.0	0.0	35.33	76.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.54	0.0	0.0	0.09	0.0	0.0	0.86	1.89	0.4	7.01	7.14	6.98
Celf1	0.95	16.8	2.71	0.0	4.45	0.0	0.0	55.58	4.17	20.09	27.35	0.0	0.0	0.0	0.0	0.05	9.01	1.17	0.07	10.36	1.1	14.39	0.0	10.83	20.61	10.82	15.53	41.39	0.0	0.0	0.28	3.75	3.07	1.23	17.03	53.6	0.0	2.73	0.19	0.73	1.72	9.52	2.94	31.1	9.96	1.98	11.09	22.94	20.4	15.27	102.29	99.67	102.18
Cyth2	0.0	0.0	32.15	0.14	0.0	0.0	0.0	59.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.87	0.0	10.03	0.0	0.0	0.0	0.0	0.0	0.0	5.64	0.0	31.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	4.52	10.53	16.78	16.93	68.24	74.9	71.28
Cyth3	0.0	0.0	0.0	0.0	37.06	0.0	52.37	233.44	0.0	0.0	80.13	93.26	0.0	31.22	2.0	0.04	2.57	0.0	0.0	0.06	0.41	5.07	0.0	43.94	0.0	0.6	0.0	8.32	0.13	17.26	0.07	23.48	2.04	0.0	2.36	6.3	0.0	0.38	0.0	0.0	1.33	7.54	0.35	0.0	0.24	0.0	14.69	6.23	5.06	4.62	26.55	27.59	26.54
D030028A08Rik	35.86	8.73	0.0	0.0	0.0	0.0	0.0	171.01	0.0	0.26	0.08	0.0	0.19	0.0	0.0	0.0	0.92	0.0	0.0	0.0	51.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.94	0.0	4.2	13.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.46	7.65	5.58	5.74	7.75	5.56	4.5	5.53
Dak	0.0	26.82	16.91	0.0	9.7	0.0	0.0	98.03	0.0	12.78	11.39	0.0	0.0	0.47	0.0	7.5	0.0	21.97	0.0	0.0	0.0	21.28	0.0	0.0	0.0	13.65	0.0	0.0	0.0	0.0	0.0	0.13	13.4	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	14.08	0.0	0.0	0.0	6.55	7.71	11.19	9.9	12.5	11.14	11.63
Efr3a	34.55	0.0	0.15	39.71	15.05	0.0	69.68	269.56	0.19	59.3	30.36	0.0	0.0	11.55	0.0	4.33	62.18	0.02	16.92	14.16	38.11	30.85	5.18	50.0	38.22	61.02	0.0	51.61	59.93	0.24	44.02	0.94	12.11	39.91	0.0	147.7	0.0	2.99	19.74	0.32	0.11	102.61	12.39	44.03	9.46	39.48	42.56	94.69	75.63	77.85	87.66	80.09	83.79
Eif3g	0.0	41.74	139.15	44.53	79.84	0.0	60.62	451.27	0.0	118.04	316.43	0.0	0.0	15.73	0.0	142.17	27.22	138.0	220.6	39.49	106.28	129.06	7.91	190.87	85.32	88.24	19.25	223.73	137.68	118.43	116.58	92.88	115.04	115.84	188.25	0.0	0.0	211.02	47.01	27.14	61.9	109.7	40.69	110.3	141.93	612.62	130.02	110.23	120.02	127.86	103.28	104.0	102.26
Fam177a	6.75	0.66	0.32	0.76	3.78	2.15	19.57	26.62	3.6	10.18	6.68	6.26	1.72	28.96	0.0	4.6	5.07	14.74	10.07	22.21	2.3	10.01	5.51	4.19	4.03	5.27	1.07	3.41	11.48	15.79	11.15	2.03	3.87	17.02	12.08	5.45	2.02	18.26	23.92	11.71	8.08	4.82	15.19	21.12	6.64	12.49	14.42	13.41	14.19	19.02	17.56	16.4	17.92
Fam193a	0.0	1.83	0.0	0.0	0.0	0.0	32.5	88.18	0.0	0.0	28.25	0.0	0.0	0.0	0.0	5.14	4.87	0.11	0.0	1.08	0.66	0.8	5.68	0.27	0.0	17.28	0.0	0.0	0.0	0.0	2.28	0.57	8.06	13.8	0.0	0.0	0.0	1.07	8.99	1.73	13.88	7.16	28.41	0.0	0.0	0.0	7.55	5.96	5.1	6.63	21.4	21.54	21.91
Fam82b	34.14	70.03	0.0	0.0	2.86	0.0	0.0	164.77	9.56	50.98	0.0	0.0	0.0	0.0	4.04	13.21	0.0	0.0	21.76	25.72	0.0	7.42	11.52	0.0	0.0	39.97	0.0	0.0	0.0	2.58	26.05	0.0	3.39	41.27	0.0	11.82	0.0	11.33	0.0	24.18	2.85	0.0	5.12	43.48	0.0	83.31	41.21	11.73	14.83	17.58	10.84	9.93	13.94
Fbl	23.89	81.45	25.89	0.0	0.0	0.0	95.2	113.56	0.0	55.48	0.0	0.0	0.0	0.0	0.0	9.91	10.49	0.0	34.19	30.22	36.91	72.7	34.52	12.6	0.0	26.69	41.39	0.0	0.0	33.93	0.0	32.99	41.34	7.43	14.47	33.65	0.0	0.0	49.63	74.69	15.63	10.92	27.9	74.57	0.54	0.0	41.62	8.49	14.68	7.1	48.9	49.19	46.8
Fbrs	0.0	5.98	0.0	0.0	0.0	0.0	0.0	68.55	0.0	14.45	0.0	0.0	0.16	0.0	0.0	0.0	0.0	7.27	6.94	0.0	1.39	8.57	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.1	0.0	1.06	0.53	0.0	0.0	0.0	0.0	14.86	0.0	0.0	0.0	0.08	0.0	0.0	20.26	0.57	1.13	1.69	0.53	35.66	34.04	33.97
Fbxl17	12.37	7.96	0.63	4.51	5.9	0.03	2.84	38.45	8.11	12.88	1.96	3.41	6.25	2.18	0.0	3.71	4.54	4.75	1.7	6.74	2.51	7.37	2.21	3.0	1.76	3.14	1.56	4.78	1.75	4.06	2.64	4.15	1.5	5.09	6.96	2.82	2.08	1.72	2.0	8.85	1.42	7.21	7.31	4.18	2.19	5.66	8.36	5.59	7.16	4.43	19.78	19.13	19.47
Gas7	6.59	8.02	22.62	1.31	2.62	0.0	18.88	86.76	63.91	68.02	14.62	0.0	0.0	32.75	0.0	3.27	2.26	12.46	47.41	22.17	15.54	18.69	2.21	16.04	0.79	15.85	1.19	25.31	0.0	14.51	0.91	15.07	22.75	4.58	0.92	61.39	0.0	9.6	0.23	81.47	13.92	66.99	23.62	58.29	2.82	176.44	129.82	518.4	524.85	524.32	186.15	181.08	185.5
Gls	6.85	66.2	7.07	2.84	11.93	0.0	55.67	72.5	104.36	11.13	1.34	10.29	0.0	6.17	0.0	36.57	37.49	49.47	25.59	39.97	1.32	46.52	80.55	77.76	60.32	0.29	11.65	105.89	0.0	8.05	42.03	37.75	3.66	16.28	52.03	30.41	0.0	24.62	1.05	91.38	65.92	57.33	45.27	0.36	31.29	0.29	54.92	83.83	56.13	65.64	225.87	209.02	220.21
Gm8817	1.17	0.0	2.41	0.69	0.0	0.0	0.0	4.37	1.73	1.72	0.0	0.0	0.0	0.97	0.0	0.5	0.59	0.37	0.21	0.0	0.78	0.82	0.23	0.0	0.0	0.0	0.38	0.0	0.42	0.65	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.79	0.42	2.17	0.58	0.0	0.0	0.0	0.26	0.55	1.94	1.76	4.17
Gm9833	0.59	0.0	0.0	0.75	0.0	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.28	1.1
Golga1	14.77	0.0	0.0	0.0	19.78	0.0	0.54	87.21	4.01	52.14	0.55	0.0	0.0	0.0	0.0	17.53	77.92	1.04	5.05	6.98	5.89	2.84	25.32	0.06	7.41	18.39	0.0	0.0	0.05	17.59	2.33	0.0	11.57	16.01	0.0	33.08	0.0	1.23	45.85	0.0	28.56	0.0	1.35	0.0	0.14	0.0	19.87	21.25	14.09	23.09	25.49	22.64	23.13
Gpbp1	17.52	61.25	2.34	54.86	34.58	0.0	94.03	289.09	89.43	146.99	120.66	2.87	0.0	29.25	0.0	18.77	115.53	0.14	18.35	69.56	18.78	59.04	23.01	21.22	42.54	17.92	83.01	4.28	0.0	83.76	0.7	67.84	36.27	8.49	36.37	31.53	177.98	32.07	77.62	116.22	112.06	18.21	24.94	49.72	35.27	55.87	79.16	121.55	80.7	87.81	65.89	57.48	61.59
Gzf1	0.0	13.31	45.34	0.18	0.07	0.0	0.06	193.73	0.24	1.57	52.18	0.0	0.0	121.85	3.61	36.97	0.08	0.0	0.0	25.96	1.78	30.82	0.0	19.09	12.21	4.69	0.0	0.07	51.0	44.61	10.51	1.55	57.28	0.0	30.82	1.14	0.0	5.02	0.0	0.17	0.07	0.19	17.95	20.96	0.0	0.0	23.26	16.18	15.8	27.6	27.48	27.12	26.09
H2-T24	27.77	27.42	0.71	1.95	81.77	0.79	177.63	271.61	16.23	49.59	2.48	2.94	933.26	1.64	2.54	11.32	19.02	2.21	40.21	39.92	158.53	14.23	26.88	1.83	46.67	59.05	4.45	63.04	0.48	23.61	42.48	37.32	0.93	2.46	28.52	48.0	0.82	45.18	24.65	2.77	44.13	82.63	55.99	55.38	2.14	3.82	175.96	60.77	62.47	48.18	16.2	13.49	16.92
Hint2	0.0	0.0	0.0	0.0	38.05	0.0	3.79	134.26	0.0	0.92	67.76	0.0	0.0	14.41	0.0	0.15	19.51	0.38	0.81	19.92	3.41	31.94	0.0	14.17	0.54	16.02	0.0	23.96	0.0	17.23	0.0	0.0	3.51	10.23	6.35	55.28	0.0	0.0	38.65	86.66	43.49	0.0	0.0	0.0	0.0	59.48	11.03	2.74	6.95	6.37	35.49	47.33	38.27
Hjurp	1.07	0.0	0.0	0.0	0.03	0.0	2.58	33.22	1.99	0.1	0.0	0.0	0.0	0.0	0.0	0.81	0.03	0.4	0.02	0.0	1.07	0.82	1.11	0.0	0.0	0.08	1.18	0.03	0.03	0.0	0.0	0.07	0.0	0.0	0.03	0.67	0.0	0.0	0.33	0.0	0.0	0.0	1.39	0.28	2.64	0.54	0.15	0.42	0.33	0.47	4.39	4.59	4.52
Homer1	0.0	20.13	0.0	0.0	0.06	0.0	18.13	92.27	0.0	46.09	97.58	0.0	0.0	0.0	0.0	1.64	0.24	2.86	0.03	7.96	1.79	32.11	19.39	0.0	1.13	27.36	0.0	0.0	5.78	0.0	15.87	0.0	34.09	0.0	2.27	59.91	0.0	9.8	38.81	80.06	0.0	58.75	16.63	21.8	0.15	0.17	75.54	83.5	55.45	61.95	109.75	88.93	100.72
Hsp90b1	90.48	372.02	123.37	461.57	249.3	388.94	662.37	960.19	521.52	227.12	483.9	0.0	0.39	269.54	2.72	372.31	444.71	422.22	705.29	369.83	362.49	338.0	381.5	395.13	408.29	498.77	156.03	376.38	280.93	443.53	606.26	253.09	378.87	394.73	439.29	503.88	328.91	409.35	597.27	146.2	442.76	610.62	369.14	303.86	429.14	384.55	437.63	502.07	384.45	362.79	256.89	231.31	267.96
Hsph1	102.17	81.55	34.32	2.82	29.03	0.0	66.56	143.92	0.56	31.12	142.72	0.0	0.0	0.0	0.0	48.8	41.2	8.35	54.55	114.17	2.48	127.85	76.48	84.93	184.7	46.07	118.19	97.31	3.84	87.15	55.6	31.53	179.71	35.93	100.05	160.07	0.0	54.03	53.82	76.24	6.38	104.62	34.37	334.45	0.26	20.22	235.88	213.44	193.74	203.15	238.03	226.06	225.17
Ica1	264.52	67.35	282.97	161.11	155.94	0.0	282.26	773.86	397.65	169.82	0.0	0.0	0.0	440.05	0.0	7.53	188.1	50.04	54.42	234.44	74.16	136.05	132.39	67.58	177.85	0.0	31.46	124.47	0.0	78.86	85.1	56.97	149.43	151.73	77.93	104.66	0.0	143.4	105.94	237.19	89.23	85.87	140.1	179.27	105.69	0.0	250.72	241.43	221.25	215.68	56.52	64.31	63.49
Ipcef1	1.47	0.0	0.0	0.0	0.0	0.0	3.62	178.19	1.43	0.0	0.06	0.05	0.05	0.0	0.0	0.01	0.19	0.13	0.02	0.0	0.0	16.93	0.0	0.04	0.18	0.2	0.33	0.44	0.29	0.04	0.47	0.08	0.22	0.0	0.0	0.0	0.0	0.35	0.04	29.0	0.17	0.0	0.33	0.0	0.09	0.0	67.64	115.53	75.37	71.52	48.31	43.08	50.27
Jag1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	5.99	0.0	0.0	0.0	0.0	0.12	0.06	4.5	3.9	3.74
Klhdc10	7.21	8.4	0.0	0.0	0.0	0.0	6.94	218.84	0.17	0.0	16.75	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	7.05	8.44	0.07	0.0	0.0	12.87	17.45	13.49	0.0	0.0	0.0	18.07	21.9	26.99	20.11	15.96	30.8	0.0	0.0	12.46	0.23	19.29	0.45	4.16	0.0	11.11	6.18	0.5	7.82	5.42	5.95	59.96	58.26	59.26
Lsg1	10.33	0.0	0.0	0.0	0.0	0.0	0.0	172.58	0.0	0.0	75.22	0.0	0.0	0.0	0.0	3.07	0.0	0.04	78.65	33.45	94.82	35.33	74.86	0.0	1.15	87.12	36.87	80.79	0.0	0.0	4.61	40.53	0.0	41.21	0.0	0.0	0.0	0.0	16.27	0.15	0.0	0.0	29.31	0.0	36.94	0.0	35.33	23.3	23.12	26.05	13.88	14.17	14.15
Map4k5	0.0	0.0	0.0	0.0	0.95	0.0	23.19	56.25	0.0	0.0	35.48	0.0	0.0	0.0	45.15	1.36	0.0	0.02	0.74	0.0	0.0	15.06	0.0	3.49	0.07	0.0	0.05	0.0	0.0	0.0	0.0	8.65	0.0	0.26	0.0	0.0	0.0	3.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.44	11.66	9.03	6.82	7.27	31.84	29.24	30.08
March7	12.48	0.0	0.0	0.0	2.15	0.0	30.5	164.38	0.0	0.0	22.26	0.0	0.0	0.0	0.0	21.65	28.94	17.81	32.1	4.35	6.5	53.91	0.0	0.0	64.11	0.0	19.39	0.0	0.0	1.61	1.33	7.52	0.1	0.0	11.53	3.96	82.76	23.5	0.34	12.42	17.37	0.2	8.46	36.49	0.0	0.0	17.54	27.32	13.27	15.71	39.23	36.68	39.79
Mdm4	19.9	0.0	0.0	0.73	39.19	0.0	17.59	145.18	0.0	33.74	0.0	0.0	0.0	2.24	0.0	3.38	21.38	2.04	0.03	0.0	16.0	7.97	9.46	9.65	0.08	7.91	12.48	1.7	1.14	0.0	0.32	10.67	5.54	29.99	1.2	0.37	0.0	44.82	0.13	0.0	0.66	0.0	6.69	5.13	0.0	34.49	7.95	14.46	12.56	7.43	37.43	31.41	38.52
Mkrn1	30.7	11.41	0.0	0.12	66.35	0.0	5.39	182.83	60.34	3.25	97.55	0.0	0.0	0.0	0.0	3.39	0.06	14.97	17.82	43.46	7.27	45.73	57.31	48.77	92.79	48.17	0.07	0.0	77.78	37.67	17.77	4.27	9.96	43.83	39.53	0.88	0.0	3.7	19.3	5.74	27.47	41.63	76.58	98.41	4.44	0.0	13.57	22.63	35.35	39.68	102.18	106.45	102.49
