	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_11	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1
Ddx10	0.0	0.0	0.0	0.0	0.0	397.32	39.45	4.04	44.26	0.81	2.75	5.52	1.85	10.3	0.0	0.22	14.33	0.23	0.0	0.0	61.68	0.0	14.49
Dmxl2	0.04	0.39	0.0	0.0	0.0	119.0	57.85	3.41	21.58	33.19	36.03	28.14	25.99	7.94	0.06	5.29	57.89	0.0	0.0	0.0	17.04	0.0	84.29
Eif4g2	67.81	0.33	122.96	0.93	1.81	536.35	150.44	53.77	112.05	94.97	40.23	73.5	56.23	5.27	4.31	408.7	256.04	234.24	119.32	3.4	94.14	356.21	229.74
Eif5b	0.0	0.27	0.0	0.0	26.75	190.58	48.38	18.35	9.12	13.6	21.02	5.7	2.2	19.21	0.0	4.07	43.83	10.86	0.0	0.0	10.63	0.0	22.9
Fam174a	0.0	0.0	0.0	0.0	0.0	232.89	26.6	21.8	1.16	0.0	0.0	26.73	5.99	62.37	0.15	0.0	70.91	0.0	0.0	0.0	6.98	0.0	53.03
Fmnl2	0.0	0.09	0.0	0.0	0.0	74.72	1.37	0.0	1.87	0.0	8.65	0.0	0.0	0.06	0.0	0.12	63.25	44.83	0.0	0.0	0.0	0.0	24.37
Foxj3	0.0	0.0	0.0	0.0	0.0	115.29	12.09	7.35	7.86	16.58	0.24	0.93	33.99	0.18	0.06	0.0	106.6	0.0	0.0	0.0	8.03	0.21	46.48
Gm3893	0.0	0.0	0.0	0.0	0.0	292.18	61.53	5.67	27.97	10.53	11.32	48.8	9.37	38.92	0.0	0.0	175.65	0.0	0.0	0.0	6.96	7.59	35.97
Gtf2a2	431.59	0.63	0.0	0.0	0.0	756.4	110.65	111.56	252.27	12.26	225.11	289.42	228.65	214.3	0.38	0.0	311.73	817.15	0.0	0.0	309.88	0.0	47.44
Hlf	0.0	0.0	0.0	0.0	0.0	407.24	20.33	30.58	1.82	26.46	59.85	4.82	0.24	28.3	0.06	23.55	31.53	0.0	0.0	0.0	5.63	0.0	109.73
LOC100044193	0.0	0.0	2.59	0.0	0.0	823.07	74.6	69.67	19.26	96.36	6.96	4.72	33.72	41.51	0.54	0.33	1.53	57.8	0.57	0.0	1.57	13.74	10.21
Lass2	0.0	0.0	0.0	0.0	0.23	843.67	2.7	0.24	0.0	0.0	0.0	0.0	0.0	80.28	0.96	1.46	5.92	1.54	0.71	0.0	0.0	0.0	59.33
Loh12cr1	0.0	0.0	0.0	0.0	0.0	476.16	0.21	33.03	0.0	0.0	0.0	5.08	0.0	0.21	0.0	0.0	3.71	0.34	0.88	3.37	0.93	0.0	36.13
Mapk14	0.0	0.0	0.0	0.0	0.0	300.04	40.52	42.03	46.33	35.19	56.7	23.12	1.1	43.84	0.2	0.23	244.69	0.49	0.0	0.0	10.31	0.0	80.37
Mbnl1	0.0	0.12	0.0	0.0	0.0	661.56	225.93	200.34	78.23	15.47	39.75	11.56	20.37	46.7	6.16	0.82	179.12	0.52	21.35	988.9	113.62	0.19	42.32
Mettl17	0.0	0.0	0.0	0.0	0.0	554.73	7.6	41.48	55.05	5.63	34.67	0.0	28.31	60.49	0.2	0.46	56.86	0.0	0.0	0.0	54.89	0.0	24.85
Mir690	26828.41	16968.11	18365.55	15562.4	14765.71	7643.83	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	32522.04	27509.93	44948.68	18757.58	42282.55	27759.51	35532.88	48007.3	26521.64	1.35
Mov10	0.0	0.0	0.0	0.0	0.0	45.34	21.66	0.0	0.0	1.92	11.47	1.16	2.81	1.17	0.0	0.0	0.0	0.0	0.0	0.0	20.39	0.0	7.3
Mrpl36	0.0	0.0	0.0	0.0	0.0	640.55	142.52	132.93	298.05	46.05	330.47	1.88	164.59	77.57	0.0	1.69	272.09	1.79	0.0	0.0	60.69	0.0	40.51
Mtpn	0.0	0.26	0.0	0.0	0.0	464.19	102.63	173.99	244.71	96.53	65.2	119.91	105.18	70.92	0.08	42.32	275.74	0.0	0.0	0.0	184.35	0.31	259.53
Nek4	0.0	0.0	0.0	0.0	0.0	467.18	0.0	0.17	0.0	18.13	0.0	20.62	0.0	19.2	0.12	663.22	0.26	0.0	0.0	0.0	0.0	0.0	15.5
Oat	0.0	0.0	0.0	0.0	0.0	2556.14	94.37	88.94	45.95	54.19	111.6	2.27	0.0	291.0	0.15	0.0	10.9	0.0	0.0	0.0	234.08	0.0	93.62
Oxct1	0.46	0.0	0.0	0.0	0.0	412.03	296.6	129.24	178.25	77.54	17.06	207.88	78.8	50.69	0.0	0.84	72.01	1.33	0.0	0.0	269.54	0.0	237.85
Oxr1	0.0	0.0	0.0	0.0	0.0	636.24	220.43	143.29	163.58	13.82	146.86	301.64	122.33	90.9	0.26	0.58	212.79	1.85	0.0	0.0	132.83	0.0	208.84
Pamr1	0.0	0.0	0.0	0.0	0.0	603.72	0.59	0.0	0.12	14.06	6.96	78.08	0.24	71.78	0.23	0.77	452.2	0.27	0.0	0.0	169.52	0.0	34.14
Pip5k1c	0.0	0.0	0.0	0.0	0.0	299.54	62.57	12.34	27.19	26.32	28.5	31.24	29.88	64.92	0.08	0.17	101.65	0.0	0.0	0.0	69.15	0.0	278.69
Prdx4	0.0	0.0	0.0	0.0	0.0	696.87	1.8	0.0	0.0	0.0	37.02	112.4	0.74	220.38	0.0	0.0	100.61	1.65	0.0	0.0	91.25	0.0	24.18
Psen2	0.0	0.0	0.0	0.0	0.0	123.36	19.25	0.0	0.0	0.2	14.74	0.0	9.14	67.45	0.0	0.37	6.51	0.39	0.0	0.0	0.0	0.0	17.88
Rnf44	0.0	0.0	0.0	0.0	0.0	122.63	19.8	12.44	0.18	0.0	1.44	26.96	7.11	0.0	0.0	0.0	37.49	0.0	18.23	2.19	11.33	0.0	99.93
Rps15a	0.0	0.92	0.08	0.0	0.09	61.59	35.21	31.13	14.82	46.32	22.11	46.16	32.16	21.98	2.81	2.96	51.55	3.59	3.03	0.0	15.13	0.43	51.8
Rps15a-ps6	0.0	0.19	0.0	0.0	0.0	111.82	28.76	84.2	11.31	28.87	17.98	29.62	20.11	12.28	2.85	1.11	11.32	7.9	0.0	0.75	15.47	0.0	6.63
Sharpin	0.0	0.31	0.0	0.0	0.0	381.54	37.26	0.27	39.67	0.0	0.0	4.26	6.1	0.79	0.0	26.78	0.0	0.0	0.0	0.0	0.0	0.0	32.19
Slc25a11	0.0	0.29	0.0	0.37	0.0	630.51	254.71	152.0	349.61	0.98	185.13	1.32	77.51	87.81	0.27	0.44	107.38	0.0	0.0	1.9	31.94	1.42	118.15
Slc4a7	0.0	0.0	0.0	0.0	0.0	186.08	24.0	0.13	17.84	0.11	0.0	44.06	0.0	0.0	0.0	0.11	24.69	0.66	0.17	0.0	0.03	0.07	13.09
Snhg3	0.0	0.0	0.0	0.0	0.0	765.26	0.0	68.94	61.63	559.57	0.0	252.43	218.59	79.17	0.0	0.0	13.41	0.0	0.0	0.0	177.26	0.0	18.25
Sycp3	0.0	0.0	0.0	0.0	0.0	133.68	1.55	0.0	0.0	0.0	0.0	1.49	8.8	0.0	0.0	0.0	0.0	40.11	0.0	0.0	0.62	0.0	6.58
Trove2	0.38	0.02	0.5	0.0	0.15	292.64	59.4	15.42	2.54	0.41	39.34	2.65	2.36	1.86	0.68	1.59	29.07	1.51	0.0	1.46	11.05	2.3	22.49
Ubxn8	0.57	0.0	0.0	0.58	0.18	543.83	1.66	25.79	7.45	0.45	2.72	60.08	43.36	73.32	2.18	0.26	0.0	1.49	0.0	0.81	45.98	0.0	15.21
Ufc1	0.0	0.0	0.0	0.0	0.0	927.34	315.82	278.04	28.07	167.78	252.7	381.52	411.19	195.67	0.69	929.53	242.55	0.0	834.54	0.0	207.43	0.0	105.63
Ykt6	0.0	0.0	0.0	0.0	0.0	469.93	32.65	54.65	21.31	0.64	2.91	8.53	3.1	0.0	108.71	0.3	63.2	0.0	0.0	0.0	11.22	0.0	89.2
Zbtb41	0.05	0.0	0.0	0.0	0.0	215.05	0.2	14.1	0.0	44.57	0.65	0.96	0.0	17.24	0.0	0.0	16.36	0.0	0.0	0.0	0.0	0.0	9.66
Zfp445	0.13	0.0	0.0	2.69	0.0	310.46	20.51	143.62	33.06	1.32	8.38	21.37	20.92	16.67	0.23	137.67	53.37	0.32	0.0	0.1	75.29	0.0	88.77
Zfp707	0.0	0.0	0.0	0.0	0.0	245.59	43.59	30.64	45.93	0.0	0.0	0.0	0.0	53.48	0.0	0.0	0.0	0.0	0.0	0.0	126.93	0.0	9.19
