	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
C530005A16Rik	0.0	0.0	0.0	0.0	14.23	0.0	0.0	0.41	0.0	0.0	0.0	12.97	63.64	0.0	8.19	8.68	8.46
Cckbr	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.77	19.55	12.96	0.0	31.61	102.53	0.55	50.7	53.68	54.59
Cdc27	0.0	0.0	123.48	0.0	3.35	0.0	0.81	0.08	28.47	53.89	16.85	21.48	16.88	0.04	29.52	27.72	29.59
Cenpl	0.66	0.57	1.03	1.09	0.11	0.2	0.85	0.0	6.83	0.0	0.23	0.38	66.56	0.11	2.05	1.52	1.72
Cep63	0.0	0.0	0.0	0.0	8.15	0.94	0.0	0.0	3.76	0.0	0.0	0.15	48.23	0.0	20.51	20.14	22.9
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chic1	0.15	0.26	0.25	0.35	2.07	0.25	1.49	6.09	27.06	0.64	30.3	8.58	84.25	0.74	18.13	17.18	18.35
Chmp7	0.0	0.0	0.0	0.0	0.0	0.0	9.68	3.7	34.02	0.0	0.0	22.78	51.9	0.0	83.77	90.21	84.35
Dcaf7	0.0	0.0	0.0	0.0	1.29	0.0	0.04	9.27	15.38	0.3	18.1	13.63	27.22	15.27	130.19	133.24	130.66
Disp2	0.0	0.0	0.0	0.0	6.1	0.0	5.22	19.54	23.29	12.93	21.54	40.97	116.7	23.91	142.18	142.99	146.68
Dpp10	0.0	0.0	0.0	0.0	4.44	0.03	0.32	47.67	60.11	62.92	15.25	31.28	134.51	95.61	97.6	91.8	90.68
Dusp22	23.39	20.09	5.24	35.1	91.62	3.98	14.01	26.18	48.37	62.66	1.77	72.49	116.11	3.65	40.41	40.21	38.17
Epdr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.89	49.78	11.12	24.42	9.49	209.44	27.64	132.1	135.64	127.67
Extl1	0.0	0.0	0.0	0.0	0.16	0.0	58.14	0.35	0.11	0.17	0.0	0.0	25.37	0.05	50.72	51.07	50.15
Fam20c	0.0	0.0	0.0	0.0	0.19	0.0	0.22	1.43	11.42	0.12	24.04	14.2	46.45	2.73	29.59	30.66	29.16
Fiz1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	10.29	0.0	0.0	0.0	41.61	0.0	14.93	18.1	16.77
Fnbp1	0.05	0.57	0.0	0.0	6.16	0.04	3.37	2.7	11.15	4.08	13.01	11.67	18.9	21.63	74.96	74.31	85.84
Frs3	0.0	11.82	2.31	0.0	0.54	0.0	0.0	0.22	0.42	0.0	0.87	0.58	18.43	1.72	16.84	19.9	17.99
Gdap1l1	0.0	0.0	0.0	0.0	3.13	0.0	13.25	0.18	28.2	0.42	29.75	40.14	97.0	17.75	52.17	53.62	53.76
Gm14430	0.0	0.0	0.0	0.0	0.06	0.0	7.21	0.0	3.4	0.0	12.07	23.92	8.31	6.94	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.06	0.0	7.21	0.0	3.4	0.0	12.07	23.92	8.31	6.94	7.67	5.07	7.49
Gm4724	0.0	0.0	0.0	0.0	0.06	0.0	7.21	0.0	3.4	0.0	12.07	23.92	8.31	6.94	7.67	5.07	7.49
Gmpr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.28	0.0	96.2	55.29	249.32	0.74	51.97	56.15	57.17
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Ift20	0.0	0.0	0.0	281.28	98.36	0.21	0.85	0.0	258.83	92.24	105.3	274.45	429.39	209.12	102.3	114.82	108.76
Kazald1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.37	0.0	0.0	2.1	0.0	32.54	0.0	5.8	7.65	8.23
Kcnab2	0.0	0.0	0.0	0.0	21.04	0.0	20.63	12.5	18.72	23.37	38.44	44.12	53.47	38.15	267.74	284.22	279.19
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Klhl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.83	0.0	0.0	0.0	21.34	0.0	21.96	21.89	23.29
Las1l	0.0	0.0	0.0	0.0	41.0	4.65	3.86	19.69	47.52	0.0	29.5	20.57	160.05	0.38	44.99	43.9	41.06
Lenep	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	0.0	0.0	0.0	31.69	0.36	11.11	16.86	13.85
Lsm14b	0.0	0.0	0.0	0.0	18.13	0.0	6.96	6.22	7.49	0.28	9.1	18.17	12.22	26.81	66.75	73.07	69.63
Mettl13	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	7.89	0.0	0.0	8.68	17.48	0.0	9.26	9.76	9.93
Mirg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	7.24	0.28	0.0	0.32	35.55	2.51	25.79	26.16	28.9
Mob2	0.23	0.0	598.32	0.0	0.0	0.0	1.5	63.7	30.21	0.0	0.0	1.44	126.49	0.0	37.86	40.51	36.91
Neurl4	0.0	0.0	0.0	0.0	54.01	0.0	0.67	0.73	2.77	1.28	0.07	36.46	24.66	0.0	59.16	60.88	60.75
Nup107	0.0	0.0	0.0	0.0	0.0	149.21	0.0	0.31	5.83	0.0	2.86	4.37	6.13	0.37	14.5	13.57	13.68
Nup88	0.27	0.0	0.0	0.0	3.08	0.0	3.17	42.78	35.49	4.78	0.15	26.49	78.09	80.84	51.75	53.95	50.12
P2rx4	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	13.36	0.0	0.18	80.74	163.74	0.35	12.79	15.14	13.47
P4hb	0.0	0.16	0.0	0.0	0.0	0.0	0.17	3.01	56.84	0.84	37.81	48.92	2.35	0.0	93.33	96.9	92.31
Pex26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	22.63	4.37	11.99	12.25	10.97
Pigz	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	9.93	0.0	0.0	0.0	20.06	0.0	11.92	12.43	13.53
Pom121	0.0	0.0	0.0	0.0	0.1	0.05	0.11	0.0	5.06	0.1	1.09	0.12	35.34	1.05	39.1	41.0	41.92
Ppan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	25.32	11.32	16.98	18.97	17.22
Ppp3cb	0.0	0.0	0.0	0.0	13.28	0.08	0.11	23.8	66.19	17.34	23.5	29.53	93.26	89.41	247.23	241.42	227.54
Ppp4r1	182.31	0.1	0.12	0.0	0.0	6.27	1.57	1.37	35.15	0.0	8.34	48.54	68.8	97.61	24.14	23.81	25.3
Prkab1	0.0	0.0	389.64	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	27.61	38.78	0.0	14.64	18.44	17.01
Prkcz	0.0	0.0	0.0	0.0	1.64	6.27	91.04	1.97	22.66	2.22	26.65	24.6	115.77	18.67	177.01	178.52	171.75
Prpf40b	0.0	0.0	0.0	0.0	6.03	0.0	10.12	10.38	6.81	15.92	5.82	67.37	33.27	0.36	52.56	53.59	57.39
Rcan2	0.1	0.35	0.56	0.0	1.24	0.1	10.98	275.63	201.27	13.32	490.92	264.82	825.49	105.28	163.5	159.26	168.48
Rps8	134.38	0.57	0.0	106.61	235.19	264.02	102.2	472.86	339.53	622.4	476.75	405.92	335.83	625.57	493.62	546.49	498.76
Rundc3a	0.0	0.0	0.0	0.0	21.16	0.0	14.12	4.68	13.42	0.0	11.85	13.04	44.95	19.12	259.19	288.36	272.51
Runx1t1	0.0	0.17	0.0	0.0	6.14	9.36	0.15	2.74	44.26	35.11	22.12	34.18	57.1	21.44	11.2	10.15	10.96
Sfxn3	15.06	0.79	0.16	0.0	28.78	483.7	100.84	22.6	91.76	20.7	56.52	223.27	286.26	89.21	106.95	108.33	106.28
Sgk1	0.0	0.0	0.19	0.0	0.21	1.74	0.0	21.36	55.43	1.18	46.2	6.03	132.14	0.57	54.54	75.04	48.81
Skiv2l	0.0	5.02	0.0	0.0	36.98	0.0	0.43	0.84	4.75	10.96	13.68	0.1	41.26	1.71	44.73	49.03	48.76
Slc22a5	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.99	18.51	2.95	6.83	0.0	20.64	0.29	11.85	11.88	12.36
Slc2a6	0.0	0.0	0.0	0.0	0.0	0.0	16.71	0.0	35.51	0.0	0.0	14.06	89.79	0.47	25.67	28.44	29.2
Slc39a14	0.0	0.0	0.0	0.0	0.27	0.06	0.25	0.19	3.85	0.14	6.75	5.64	15.87	0.37	18.79	17.75	17.61
Tab2	0.0	0.0	89.42	0.0	6.55	0.0	30.56	10.4	2.25	0.0	0.0	7.8	0.0	98.2	43.76	42.07	41.79
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tfb2m	0.0	0.16	0.0	0.0	0.24	0.0	0.0	25.18	22.55	0.0	81.55	80.34	116.59	0.37	25.57	28.17	25.53
Thap7	0.0	0.0	0.0	0.0	0.0	0.0	81.83	0.0	37.92	66.46	0.0	6.53	101.87	1.21	29.02	28.15	29.07
Tmem101	0.0	0.0	0.0	0.0	3.71	0.0	0.0	0.0	88.29	0.0	36.78	1.06	178.22	0.32	22.52	27.47	23.74
Tmem141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.88	121.03	81.2	6.6	0.4	114.62	0.61	29.98	30.09	30.06
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ube2cbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.68	0.0	0.0	0.0	30.9	0.0	1.79	2.61	2.3
Ube2e1	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	53.4	0.78	22.3	44.53	0.0	0.78	108.0	100.51	100.91
Ubtfl1	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.28	0.0	0.0	0.03	0.0
Usp33	0.0	0.0	0.0	0.0	0.41	0.0	1.69	45.89	48.42	0.67	33.76	14.44	131.63	0.27	99.71	93.96	96.49
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vps16	870.42	0.0	0.0	0.0	0.18	0.0	9.75	0.3	44.09	0.0	50.79	46.26	90.56	3.47	38.36	44.07	42.87
Vps4a	0.0	0.39	0.0	0.0	95.02	0.0	0.94	19.66	51.64	1.03	1.03	91.0	157.8	7.4	119.14	120.71	116.26
Zbtb17	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.9	0.0	0.0	0.12	35.37	3.78	25.11	26.02	25.58
Zbtb33	0.0	14.77	0.0	0.0	0.0	0.0	1.16	0.0	3.61	10.24	0.0	2.88	10.21	9.8	19.54	17.59	17.1
Zbtb7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	6.22	0.0	10.02	10.89	9.43
Zfp251	0.0	0.0	0.0	0.0	0.66	0.0	36.84	0.0	16.89	0.0	0.0	0.0	34.15	0.13	33.1	36.63	33.01
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c1_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	0.0	7.87	26.24	90.84	28.99	18.16	107.82	39.42	69.93	19.52	20.55	52.54
mt_GU332589	28558.05	21230.38	17715.55	11648.74	22738.66	26493.16	28909.02	31086.28	16090.8	21460.06	22390.28	20242.91	2945.28	18187.79	3308.99	2963.73	3155.88
