	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
C1s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.06	0.2	0.13	1.36	1.22	1.54
Ccbe1	0.0	0.0	0.0	0.0	0.0	2.34	0.0	3.37	0.0	0.01	0.0	0.6	14.6	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	24.66	0.0	0.0	2.71	1.31	0.0	0.31	0.0	0.0	40.82	0.1	0.0	4.67	4.4	4.37
Cdh20	0.0	0.21	0.0	0.0	0.0	0.02	0.0	0.18	0.06	0.02	0.01	0.0	2.81	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46	0.0	0.0	14.44	14.84	15.82
Cdh22	1.63	6.79	0.0	1.26	0.0	0.0	0.0	0.0	1.42	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.43	0.0	0.0	2.06	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.18	0.04	15.18	0.0	0.1	26.71	27.01	29.44
Clint1	58.45	0.0	0.0	0.0	0.0	12.07	0.04	1.3	0.01	54.14	0.0	0.02	0.32	0.0	0.0	0.0	0.0	0.0	14.19	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	55.33	13.81	6.0	43.9	44.46	43.11
Creb3l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.53	3.07	2.18	2.5	2.73
Crim1	0.1	2.21	0.0	6.35	3.33	4.88	1.22	20.6	0.18	15.94	4.63	20.02	0.0	44.17	4.36	0.0	1.47	0.09	5.62	0.0	13.22	13.58	1.15	4.7	0.62	0.1	5.85	19.29	1.96	0.0	7.86	19.39	1.33	1.2	32.44	32.38	31.12
Dhcr24	0.34	0.11	0.0	0.19	0.15	0.0	0.03	0.05	0.0	1.92	0.37	0.0	0.0	3.2	0.0	0.57	0.11	3.67	0.64	1.04	6.33	0.0	0.34	0.19	2.31	0.15	0.0	0.15	0.0	1.29	0.0	28.86	3.38	3.17	79.84	84.55	78.98
Diap3	0.0	0.0	0.0	0.0	0.0	3.97	0.0	0.0	0.0	10.91	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	0.0	0.0	0.73	0.45	0.58
Dok3	0.13	0.0	0.0	9.44	0.0	0.28	0.71	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.68	10.67	0.0	0.0	1.84	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	51.84	0.2	0.0	9.22	10.09	8.79
Dok7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.12	0.0	10.66	9.52	9.76
Enc1	3711.69	4617.29	2437.44	2711.71	4964.77	3506.04	3134.05	3323.28	4371.04	5244.75	4858.01	4969.83	5086.85	5961.43	4272.89	3934.88	3103.23	3158.03	756.34	3827.54	5364.46	3028.56	5158.5	3679.63	3656.83	4744.08	3634.29	3919.74	3922.04	6135.31	4563.79	3766.5	2712.97	2355.4	406.57	396.55	396.96
Fbxl8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	10.93	0.0	0.0	1.1	1.43	1.67
Gm1123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.15	0.07	0.0
Gm14403	8.7	9.57	31.84	10.63	3.32	5.2	5.67	5.62	13.36	6.28	3.05	1.51	4.44	3.97	1.86	13.16	2.73	3.51	10.79	6.96	8.57	3.08	1.38	5.46	2.37	2.65	2.96	2.86	4.56	4.98	3.36	70.51	10.97	9.67	6.22	4.82	6.44
Gm3414	0.03	0.0	0.0	0.0	0.0	0.03	0.0	0.01	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	24.12	0.67	0.91	0.86	0.52	0.91
Gpr153	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	6.2	0.0	0.0	19.99	18.24	20.33
Grik5	0.25	0.31	0.0	0.0	0.48	0.04	9.63	0.55	0.05	1.05	3.89	2.84	0.72	0.0	0.0	0.0	0.0	0.71	1.74	0.0	0.2	0.0	0.0	10.18	0.0	0.16	0.82	0.77	0.0	0.0	3.22	4.11	2.7	2.16	151.06	170.74	170.43
H13	52.27	0.0	0.0	0.14	17.97	0.08	4.72	0.72	0.01	31.31	1.07	0.01	0.0	0.0	0.0	0.0	0.0	0.0	4.13	0.0	3.26	0.56	0.36	11.29	0.0	0.0	0.0	0.0	0.0	0.0	1.52	80.4	6.32	3.57	43.22	46.94	44.58
Hinfp	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	5.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.24	2.72	2.0	13.58	13.96	15.57
Hipk2	4.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.72	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.0	0.0	0.0	20.23	0.08	1.0	28.24	24.43	35.6
Hist1h2bq	0.05	0.0	0.0	0.0	0.0	0.24	0.03	0.17	0.08	0.09	0.1	0.05	0.0	0.0	0.07	0.0	0.0	0.0	0.19	0.0	0.19	0.0	0.0	0.22	0.93	0.26	0.45	0.14	0.27	0.0	0.14	0.14	0.07	0.53	0.38	0.28	0.38
Hist1h2br	0.05	0.0	0.0	0.0	0.0	0.24	0.03	0.17	0.08	0.09	0.1	0.05	0.0	0.0	0.07	0.0	0.0	0.0	0.19	0.0	0.19	0.0	0.0	0.22	0.93	0.26	0.45	0.14	0.27	0.0	0.14	0.14	0.07	0.53	0.38	0.28	0.38
Hps4	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.02	0.02	0.0	1.55	0.1	0.0	0.0	0.0	0.0	35.73	0.0	2.64	0.0	0.55	0.0	0.25	0.0	4.82	0.0	0.0	0.0	0.0	0.0	0.99	121.0	5.24	2.07	16.87	16.53	16.53
Hrh3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.0	0.14	87.46	108.01	84.09
Htatsf1	36.69	0.32	64.59	33.43	0.0	36.61	0.0	0.08	6.68	0.0	0.05	0.19	63.61	5.06	88.22	0.0	0.0	12.98	31.31	0.76	0.0	40.85	7.79	0.0	0.0	0.0	48.33	82.93	0.0	0.0	38.67	137.78	39.1	37.49	63.51	58.4	59.81
Hus1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	6.64	0.0	0.0	0.0	0.08	0.0
Lamc2	0.0	0.0	0.0	0.14	0.0	12.84	0.03	0.02	0.0	0.0	0.58	1.53	0.0	0.0	0.0	0.0	0.0	0.0	5.16	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	19.51	0.0	0.2	10.35	10.13	9.64
Lce1m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.34	0.11	0.23
Lck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.56	2.9	0.34	1.82	1.58	1.13
Mblac1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	1.09	4.14	5.92	6.56
Myb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77	0.0	0.1	0.46	0.6	0.48
Myo1g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.84	0.0	0.0	0.45	0.31	0.46
Myt1	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.12	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.04	23.48	1.0	0.78	7.55	7.2	8.44
Nav2	13.0	0.08	0.27	13.63	11.77	4.18	4.14	1.08	13.61	8.85	9.45	3.67	0.15	3.97	6.5	4.94	0.08	19.48	4.97	1.51	4.33	8.32	9.82	6.68	22.43	0.71	6.03	16.31	18.75	15.85	19.07	15.52	34.82	32.7	19.69	18.55	23.2
Ncdn	35.85	107.65	2.32	11.97	4.9	61.41	16.74	29.26	157.09	26.33	26.61	86.62	15.78	30.05	11.86	5.65	26.82	0.21	32.9	32.41	21.33	6.58	31.53	56.97	30.03	1.75	20.43	24.77	0.32	5.62	59.98	72.06	7.53	17.58	907.72	1022.47	941.79
Nfatc2ip	0.06	0.0	0.0	0.0	12.76	0.0	0.63	0.0	0.0	0.0	0.06	0.0	0.0	21.12	0.0	0.0	0.13	0.0	0.08	8.92	0.0	0.0	0.0	0.0	0.0	4.61	0.0	0.0	0.0	0.0	0.0	17.98	0.7	2.35	5.22	5.06	4.86
Phf2	0.0	0.0	0.0	0.0	3.47	0.05	0.08	2.1	17.81	0.01	7.19	0.01	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	8.02	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	11.62	0.22	0.65	25.4	26.09	28.47
Pip5kl1	0.0	0.0	0.0	0.0	0.0	0.15	0.28	0.23	0.03	65.9	0.07	0.02	0.0	0.0	0.0	0.0	0.0	0.0	6.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.34	0.0	0.0	6.3	7.47	7.97
Piwil1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.03	0.01	0.07	0.02	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.15	0.0	0.07	1.19	0.0	0.0	0.15	0.07	0.08
Pnma1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.54	0.13	3.69	5.49	6.36	5.5
Prodh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	56.35	0.0	0.01	9.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.92	0.0	0.0	26.12	27.13	28.09
Prss12	0.0	0.0	2.92	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	45.74	0.0	0.0	0.0	0.0	0.0	0.0	9.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	0.06	26.87	4.81	2.53	20.87	20.98	19.43
Rab5c	1.01	2.01	0.0	0.0	0.0	0.61	1.73	0.85	0.39	1.65	44.36	0.99	0.0	0.0	0.2	0.0	0.0	0.0	1.17	11.39	0.53	0.48	3.16	1.99	0.0	0.0	1.63	0.38	0.38	0.0	0.81	41.41	13.69	19.29	172.31	181.94	176.72
Rhog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.66	0.48	12.4	34.59	32.35	36.77
Rps6ka1	0.0	0.0	0.0	0.0	15.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3	0.76	0.0	9.98	11.18	10.7
Rxra	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.01	23.56	0.0	0.0	0.0	0.0	0.77	0.37	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	30.46	2.02	1.44	14.03	15.47	15.08
Serhl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.44	0.0	0.0	5.45	6.06	6.1
Sip1	0.0	3.74	0.0	5.6	0.0	0.07	0.0	123.94	0.05	0.05	0.0	61.47	9.83	0.0	0.0	0.0	0.0	0.0	24.4	144.87	4.36	111.58	0.0	0.0	0.0	16.35	119.5	109.23	0.0	0.0	0.44	142.24	55.21	29.18	10.75	11.06	9.78
Slc14a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.69	0.0	0.0	0.6	0.75	0.15
Slc18a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57	0.0	0.0	0.13	0.21	0.33
Snord16a	0.0	0.0	0.0	0.0	0.0	45.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.22	0.0	0.0	5.41	8.36	5.2
Sox7	1.16	0.76	0.0	0.0	0.18	0.62	0.05	0.38	0.7	0.6	0.35	0.35	0.36	0.49	0.09	0.24	0.28	0.12	0.81	0.22	0.25	0.23	0.0	0.48	0.47	0.19	0.19	0.72	0.39	0.0	0.39	0.89	0.0	0.31	1.89	1.94	1.97
Tal2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.4	0.0	0.0	0.18	0.33	0.18
Thoc3	1.02	0.96	0.0	0.0	0.0	9.33	4.17	0.05	3.44	0.03	0.02	0.01	0.0	18.89	0.0	0.0	0.0	12.69	5.59	0.0	0.67	0.96	0.0	43.23	0.0	1.82	32.81	0.0	2.3	3.67	0.0	61.93	2.58	4.5	27.23	27.25	25.86
Tmem229a	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.51	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	1.11	0.0	0.0	0.0	2.64	0.0	0.0	0.0	0.0	47.09	0.47	2.3	31.79	30.8	35.7
Tmod4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.52	1.98	0.0	0.16	0.3	0.25
Tnfrsf18	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.51	0.39	1.43	8.53	7.37	7.89
Tnip2	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	5.79	0.0	0.0	112.86	32.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.54	1.53	5.17	17.16	18.87	16.59
Tpst2	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.06	0.77	1.36	4.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.59	0.0	0.0	0.0	1.56	6.44	0.0	0.0	0.35	0.0	0.0	0.0	0.0	9.83	2.0	2.52	32.37	33.75	31.49
Uncx	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.12	0.15	0.13	0.08	0.05	0.27	0.61	0.28	0.0	0.0	0.3	0.0	0.0	0.14	0.6	0.05	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.07	0.63	0.09	0.33	0.08	0.09	0.2
Vmac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.41	1.66	0.53	8.64	10.91	11.02
Vps13c	7.0	1.71	0.65	2.44	8.93	3.88	3.76	3.87	8.31	9.39	1.47	2.63	3.88	0.0	1.89	0.66	0.81	0.0	7.63	0.0	0.0	3.29	0.0	0.0	0.0	0.0	3.62	0.05	0.0	1.56	20.42	23.75	2.16	1.3	25.02	19.73	26.55
Zbtb9	8.48	2.24	1.88	0.42	0.43	10.37	0.72	1.3	0.52	1.97	0.75	1.54	0.86	0.58	0.2	0.59	0.54	0.32	6.37	0.57	0.53	0.76	1.22	0.54	0.29	0.46	1.61	1.49	0.43	0.47	3.75	2.97	2.91	3.29	15.69	14.88	16.7
Zfhx2as	0.0	50.32	0.0	0.0	0.0	0.48	0.0	0.0	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	0.0	7.38	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.65	0.0	0.0	8.1	6.32	10.68
mt_AK131599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.59	0.0	0.0	0.0	2.28	2.61
