	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_46	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_144	Rbp4_tdTpositive_cell_149	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTpositive_cell_6	Scnn1a.Tg2_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Vip_tdTpositive_cell_6
Dbn1	0.0	27.3	0.25	0.0	0.0	0.0	0.0	0.0	0.0	8.94	61.33	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	13.42	12.45	31.49	0.67	72.56	74.63	0.0	10.28	0.0	0.0	3.62	13.64	25.77	1.36	14.02	0.0	0.1	0.0	130.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.14	64.37	26.3	5.52	0.14	0.24	9.87	48.27	0.48	7.63	0.0	0.0	0.0	0.0	0.0	0.0
Dnm1	0.0	64.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.13	286.55	0.0	0.0	0.0	0.0	0.0	0.0	11.22	0.18	0.0	65.89	75.92	46.15	11.85	37.8	59.02	44.42	62.64	41.6	2.48	33.46	69.02	133.85	42.49	64.19	0.0	0.08	0.19	279.62	0.2	0.0	0.0	0.09	0.17	0.0	0.12	0.52	145.56	33.52	39.26	0.11	0.14	28.39	0.39	109.55	396.56	0.78	0.0	0.0	0.0	0.0	0.16
Faim2	101.73	40.92	0.0	0.0	0.15	0.06	0.0	0.0	0.0	117.94	126.25	0.0	0.0	0.0	0.0	0.0	0.0	137.9	0.0	0.53	101.98	22.25	70.06	6.21	46.22	151.46	76.05	145.77	85.29	6.11	11.63	90.97	58.17	47.75	105.55	0.07	3.26	3.58	117.26	0.79	44.48	0.14	0.16	0.0	0.0	0.0	201.4	218.83	111.77	167.87	0.09	0.08	170.99	144.47	54.44	381.37	0.09	0.2	0.16	0.0	0.04	0.53
Fgf14	0.0	39.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.5	164.82	0.0	0.0	0.0	0.0	0.0	0.0	38.89	0.48	0.42	182.51	139.25	125.39	75.35	42.13	208.59	477.8	241.98	251.19	0.0	86.51	66.76	80.07	21.05	37.66	0.0	0.0	0.45	152.56	7.17	0.0	0.23	0.43	0.0	0.0	0.0	215.2	0.0	39.64	209.55	0.77	0.33	1.09	77.23	194.26	2.29	0.0	0.0	0.0	0.0	0.0	0.42
Gas7	2.48	456.18	0.0	11.85	0.29	0.0	0.0	0.0	0.0	123.34	67.67	0.0	0.0	0.0	0.0	0.0	0.0	77.55	0.0	0.85	36.25	37.79	63.39	35.49	48.47	83.81	157.09	59.89	159.18	120.12	21.77	14.99	123.7	68.64	30.39	0.05	0.04	0.0	63.18	0.0	9.17	0.0	0.05	0.0	0.0	0.07	299.29	48.27	78.77	122.94	0.59	0.36	43.52	74.13	143.98	28.37	0.0	0.0	0.0	0.0	0.0	12.65
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	113.94	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.34	0.68	54.72	30.68	0.23	50.62	21.3	2.24	162.54	2.83	145.89	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	43.11	150.8	167.16	0.46	0.11	174.2	469.66	361.89	49.16	0.0	0.0	0.0	0.0	0.0	7.33
Gm14430	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	11.58	0.0	0.0	0.25	0.03	0.0	0.0	1.33	0.0	0.0	4.76	8.15	0.0	6.89	0.0	22.08	18.02	23.63	0.06	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.72	0.0	21.71	0.0	0.0	0.28	0.12	0.0	0.0	0.0	0.0	4.95	13.33	0.44	0.24	0.0	4.51	7.16	0.0	13.93	0.0	0.0	0.0	0.41	0.0	0.0
Gm14434	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	11.58	0.0	0.0	0.25	0.03	0.0	0.0	1.33	0.0	0.0	4.76	8.15	0.0	6.89	0.0	22.08	18.02	23.63	0.06	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.72	0.0	21.71	0.0	0.0	0.28	0.12	0.0	0.0	0.0	0.0	4.95	13.33	0.44	0.24	0.0	4.51	7.16	0.0	13.93	0.0	0.0	0.0	0.41	0.0	0.0
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	113.94	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.34	0.68	54.72	30.68	0.23	50.62	21.3	2.24	162.54	2.83	145.89	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	43.11	150.8	167.16	0.46	0.11	174.2	469.66	361.89	49.16	0.0	0.0	0.0	0.0	0.0	7.33
Gm4724	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	11.58	0.0	0.0	0.25	0.03	0.0	0.0	1.33	0.0	0.0	4.76	8.15	0.0	6.89	0.0	22.08	18.02	23.63	0.06	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.72	0.0	21.71	0.0	0.0	0.28	0.12	0.0	0.0	0.0	0.0	4.95	13.33	0.44	0.24	0.0	4.51	7.16	0.0	13.93	0.0	0.0	0.0	0.41	0.0	0.0
Khdrbs3	276.68	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.87	365.66	0.0	0.0	0.0	0.0	0.0	0.0	243.89	38.35	1.28	82.04	83.52	139.55	71.39	24.83	64.91	156.79	186.66	340.78	28.21	190.72	122.98	254.41	84.42	43.3	0.34	0.79	0.39	561.08	17.31	0.0	683.21	0.19	0.0	0.0	0.0	129.68	240.51	175.69	42.52	0.66	0.09	115.42	97.03	380.76	499.07	8.91	0.0	0.0	0.0	0.0	34.22
Lgi1	577.1	79.83	85.17	0.0	0.0	0.0	0.0	0.0	0.0	165.42	140.14	0.0	0.0	0.0	0.0	0.0	0.0	174.49	0.16	0.98	170.23	102.44	107.76	153.75	173.07	85.24	110.44	45.67	234.06	229.39	113.03	22.41	59.9	107.0	42.82	0.08	83.8	0.17	410.03	0.0	0.0	0.0	0.16	0.31	0.0	0.0	126.91	210.52	69.42	286.77	49.39	0.29	243.46	414.25	223.22	57.24	0.0	0.0	0.0	0.14	0.0	10.39
Lin7b	0.0	66.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.24	651.14	0.0	0.0	0.0	0.0	0.0	0.0	173.23	0.0	0.0	170.93	254.89	298.22	84.16	205.05	265.3	96.85	259.39	131.48	5.61	63.81	208.91	520.88	190.36	209.42	0.0	0.44	1.08	344.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.77	43.52	311.58	304.62	0.62	0.26	82.16	36.31	22.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mea1	343.92	245.8	0.91	0.0	0.0	0.0	0.0	0.0	0.0	113.83	742.17	0.0	0.0	0.0	0.0	0.0	0.0	302.94	0.0	2.25	277.6	509.28	598.03	342.82	305.93	152.21	97.83	268.22	134.4	4.72	361.77	273.33	24.2	296.32	513.22	0.8	612.33	3.65	413.44	1.93	3.56	0.8	1.75	0.0	1360.98	0.58	990.29	616.32	398.45	324.96	1.04	3.12	0.0	0.0	200.71	682.11	1128.52	0.0	0.0	0.76	0.0	0.74
Mir690	24444.4	18430.57	13972.45	13942.93	18673.1	26828.41	14983.6	15929.17	16968.11	15143.79	25738.25	18854.32	11431.85	18365.55	19376.41	15562.4	22720.97	30464.78	14412.59	19318.5	30528.33	39867.27	42000.18	28765.87	28695.45	18562.5	16514.31	15634.24	17099.63	18858.35	37370.15	37614.4	24336.09	23271.48	32522.04	27509.93	22371.82	44948.68	18757.58	42282.55	27759.51	24726.6	17671.81	12934.69	35532.88	23237.11	16696.03	21676.6	48007.3	20787.5	26597.61	17318.28	13992.77	15595.07	15234.85	23496.94	19407.6	26521.64	12406.76	14247.57	19413.83	16532.15
Mtap7d2	127.04	12.24	4.7	0.0	0.0	0.0	0.0	0.0	0.0	109.97	73.73	18.1	0.0	0.0	0.0	0.0	0.0	96.88	0.0	0.15	94.15	83.0	70.18	41.01	35.25	74.5	121.65	86.12	71.88	317.2	1.67	61.64	29.65	48.78	8.11	0.25	7.1	0.0	41.29	0.4	0.0	0.33	0.09	0.0	0.0	0.0	145.92	147.49	79.86	126.11	10.82	0.09	36.32	110.89	41.23	116.75	6.08	43.94	0.0	0.0	0.0	2.76
Myt1l	57.86	187.6	0.0	0.09	0.0	0.0	0.0	0.0	0.0	46.08	69.71	0.0	0.0	0.0	0.0	0.0	0.0	81.81	0.0	0.16	78.47	40.58	77.46	45.82	11.49	113.0	74.15	65.55	14.91	170.23	59.09	15.68	32.79	37.72	19.28	0.04	2.11	0.3	93.83	0.0	11.73	0.26	0.05	0.0	0.0	0.0	110.38	207.7	25.93	22.36	0.23	0.12	15.45	151.55	10.62	159.18	49.21	0.0	0.0	0.0	0.0	14.95
Nfix	0.3	96.02	0.0	0.0	0.0	0.1	0.0	0.0	0.0	279.22	201.99	0.0	0.0	0.0	0.0	0.0	0.0	115.78	0.57	26.29	122.29	147.95	121.54	15.51	49.6	97.24	64.99	78.53	266.59	37.91	9.17	52.84	2.46	53.53	61.59	0.12	0.23	1.02	197.06	0.3	254.32	0.25	0.13	0.0	0.0	0.0	359.51	338.22	161.27	402.65	0.76	0.2	233.64	115.32	76.86	380.8	0.16	0.29	0.0	0.0	0.0	0.91
Pcsk2	0.09	93.62	0.15	0.0	0.0	0.0	0.07	0.0	0.0	300.9	155.34	0.25	0.0	0.0	0.02	0.0	0.0	132.5	0.0	1.25	65.78	48.41	95.25	95.04	168.55	159.82	291.65	93.26	167.8	210.83	120.04	65.38	137.4	66.98	126.99	0.07	3.83	16.79	118.96	0.0	0.0	0.13	0.15	0.0	0.0	0.0	10.85	427.94	143.26	190.52	0.7	0.48	35.3	180.12	14.05	27.34	14.18	0.0	0.0	0.0	0.0	0.0
Phactr1	0.0	327.39	17.89	0.0	0.0	0.0	26.21	0.0	0.0	149.46	90.99	0.02	0.0	0.13	0.1	0.21	0.0	105.94	0.18	0.83	58.57	141.23	129.64	152.7	142.46	269.46	111.44	195.43	105.21	161.21	43.93	33.58	86.9	38.13	87.99	0.28	0.0	0.28	292.98	0.15	0.37	0.83	0.18	0.27	0.16	0.29	341.3	162.27	61.34	114.24	0.49	0.6	150.79	226.86	253.71	144.88	0.0	0.0	0.18	0.0	0.3	0.0
Pin1	4.23	210.37	3.12	2.3	16.83	0.0	0.0	4.49	0.14	102.46	27.19	0.67	0.04	0.69	0.27	2.57	0.32	109.0	3.35	3.27	48.13	96.71	107.2	74.36	16.81	49.01	73.13	48.3	44.7	11.36	42.03	45.73	54.53	43.84	56.25	3.03	0.95	234.77	65.26	0.21	0.37	1.32	1.62	1.77	1.37	311.7	312.21	145.6	84.06	180.58	6.31	11.06	1.54	75.6	39.26	30.73	6.58	2.38	0.72	0.73	204.28	0.73
Pip5k1c	25.54	57.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.7	144.31	0.0	0.0	0.0	0.0	0.0	0.0	63.67	0.16	0.14	62.57	12.34	27.19	26.32	28.5	40.32	51.25	1.84	4.81	374.12	31.24	29.88	141.72	43.68	64.92	0.08	11.63	0.17	101.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.63	119.43	69.15	19.1	0.39	0.0	33.46	184.37	1.43	526.13	0.0	0.0	0.0	0.0	0.0	13.27
Rbbp4	0.1	5.8	56.91	191.99	4.73	1.85	0.52	37.61	1.74	152.85	51.47	0.27	0.08	0.09	185.46	0.12	2.51	167.31	179.65	5.66	56.96	81.68	7.79	11.84	55.55	126.38	73.91	33.23	110.82	24.81	21.89	44.23	13.92	84.22	41.95	0.92	424.37	10.78	50.09	665.21	0.43	0.97	6.05	2.31	0.0	35.47	337.1	18.47	141.32	93.16	2.14	0.4	15.41	204.66	143.97	174.7	1.21	1.69	0.0	0.26	0.26	18.42
Satb2	0.08	14.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.01	228.51	0.0	0.0	0.06	0.06	0.0	0.0	89.97	0.25	0.45	11.49	3.11	4.22	48.48	13.34	51.14	13.95	3.82	10.63	32.62	75.56	48.04	63.73	22.7	69.17	0.06	0.0	0.41	55.52	0.0	0.0	0.12	0.0	0.0	0.0	0.0	5.81	168.9	57.69	102.92	0.23	0.03	16.72	24.83	14.14	99.36	0.0	0.0	0.0	0.0	0.0	0.0
Scn2a1	114.15	239.03	0.09	0.0	0.08	0.0	0.05	0.13	0.0	213.76	85.85	0.0	0.07	0.0	0.01	0.0	0.05	274.46	0.08	1.14	150.4	128.08	97.79	144.77	72.87	221.91	217.1	80.51	82.51	41.22	45.39	137.86	56.59	74.1	128.53	0.07	0.12	0.35	113.57	0.15	0.17	0.0	0.0	0.08	0.21	0.07	164.57	256.86	149.95	78.02	0.38	0.39	162.66	255.42	285.88	217.05	0.0	7.47	0.0	0.0	0.0	82.91
Sncb	183.19	163.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.94	244.74	0.0	0.0	0.0	0.0	0.0	0.0	432.1	1.17	1.54	177.59	128.21	140.52	107.57	126.26	210.99	172.55	129.06	133.21	64.37	101.77	207.7	356.89	81.42	117.17	0.0	0.0	0.0	286.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.27	183.77	90.25	89.29	0.0	0.92	80.72	85.33	191.45	302.3	0.0	0.0	0.0	0.0	0.0	18.89
Syngr3	860.4	184.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.61	735.98	0.0	0.0	0.0	0.0	0.0	0.0	156.06	0.0	0.62	274.2	131.29	92.08	185.83	123.54	835.68	12.31	125.88	216.98	0.97	0.42	111.54	146.93	213.51	78.73	0.0	0.0	0.38	272.26	10.34	0.0	0.33	0.36	0.0	0.0	0.0	950.24	455.0	119.12	159.85	0.86	1.28	132.33	183.55	729.93	524.89	0.0	0.0	0.0	0.0	0.0	0.0
Syt5	20.37	109.61	0.84	0.0	0.0	0.0	0.0	0.0	0.0	268.11	265.42	0.0	0.0	0.0	0.0	0.0	0.0	364.14	0.39	0.35	177.81	93.6	291.32	169.13	67.07	373.0	456.65	351.69	64.71	20.76	116.84	150.64	307.15	2.95	155.93	0.19	0.34	0.42	159.22	0.0	0.0	0.37	0.41	0.38	0.0	1.88	328.75	377.09	238.14	425.13	0.96	1.03	305.13	174.69	179.44	513.0	0.0	0.0	0.0	0.0	0.0	361.07
Ywhag	0.77	21.8	0.82	0.0	0.0	0.0	0.0	0.0	0.0	60.52	642.58	0.32	0.06	0.1	0.0	0.0	0.0	345.84	0.2	0.84	137.97	117.21	227.55	51.0	75.69	125.81	102.42	160.02	66.21	2.71	93.42	133.93	161.28	43.05	34.18	0.0	0.36	0.61	586.61	0.43	0.0	86.39	0.53	38.37	0.0	0.13	58.54	397.23	109.97	153.01	1.09	0.36	58.47	32.73	72.87	467.11	2.94	0.0	0.0	0.0	0.0	6.42
