	Cux2_tdTpositive_cell_94	Cux2_tdTnegative_cell_6	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_30	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
Arl4a	291.21	0.0	0.78	0.0	0.0	187.41	1.91	39.69	50.19	72.03	0.19	0.83	0.0	0.15	0.0	0.2	0.0	2.57	5.61	0.0	0.05	47.17	0.0
B230118H07Rik	206.85	0.0	0.0	0.0	162.45	41.28	7.0	30.21	45.49	46.78	0.0	0.0	0.21	0.36	0.0	0.45	0.0	50.83	64.71	25.33	63.53	0.06	0.0
BC048546	46.28	0.0	0.0	0.0	72.5	13.96	25.92	25.64	28.6	39.21	0.34	0.0	0.0	0.0	0.0	24.98	0.0	7.92	7.28	3.56	18.81	3.32	6.54
Cacybp	210.18	0.0	4.5	0.0	385.62	149.45	164.51	373.65	198.0	140.54	0.0	9.2	0.44	0.67	1.8	72.23	0.0	69.09	87.1	228.86	52.55	166.67	152.29
Cck	902.9	0.0	469.57	0.0	638.78	279.79	97.37	254.18	423.5	385.54	0.0	0.0	0.0	572.43	534.77	181.79	0.0	70.0	243.09	236.25	47.0	280.79	348.66
Cdkn2d	450.56	0.0	0.0	0.0	575.8	154.97	3.54	273.72	179.39	254.18	0.0	0.0	0.37	0.66	15.67	3.67	0.0	162.71	236.93	66.44	134.75	190.5	165.58
Cntn1	279.56	0.0	85.06	0.0	224.87	285.44	268.54	395.48	225.21	394.68	0.36	0.22	0.08	46.74	134.6	29.71	0.0	200.06	152.29	354.74	116.35	109.75	140.59
Coq4	291.18	0.0	0.0	0.0	104.33	0.36	129.41	0.61	46.72	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	101.12	0.07	0.0	0.54
Cuedc2	355.73	0.0	26.37	0.0	663.27	160.2	111.26	228.5	81.74	292.17	0.0	0.0	0.0	0.62	0.0	509.27	0.0	248.44	136.82	5.01	120.65	136.41	148.67
Cwc15	442.55	0.0	0.0	0.0	157.78	225.59	120.4	324.04	275.34	354.11	0.0	0.58	0.0	4.66	381.85	292.05	0.0	92.17	57.77	194.24	120.01	101.08	1.27
Dctn6	1287.94	210.1	62.22	1.92	499.06	873.17	743.98	321.09	417.31	282.07	0.0	0.0	0.0	7.3	804.75	5.55	0.0	237.07	224.18	234.92	338.84	136.51	201.66
Ddx47	473.9	0.0	0.0	251.32	269.65	0.08	138.0	1.72	99.65	0.0	0.0	0.37	0.0	0.0	1.01	4.21	0.0	83.89	258.47	0.17	12.06	0.0	76.67
Dhdds	187.56	0.0	8.47	0.0	94.28	3.64	1.17	39.55	25.21	14.19	0.0	0.21	32.12	0.26	0.0	0.24	0.0	0.05	61.13	68.5	2.74	4.96	15.51
Dnajb11	348.14	6.49	49.39	0.7	199.96	60.83	2.33	17.53	132.26	18.52	3.42	5.96	2.91	0.51	11.45	5.51	0.0	3.04	75.42	0.91	69.89	0.28	0.14
Efnb2	161.36	0.0	0.0	0.0	78.04	21.78	18.55	5.43	6.43	0.0	0.0	0.44	0.0	0.0	11.36	2.16	0.0	14.59	40.43	4.14	22.33	39.26	27.91
Etohi1	205.97	0.39	70.9	3.72	397.88	510.76	140.5	269.59	102.65	198.38	1.0	8.09	0.0	2.04	15.26	34.86	6.41	37.21	122.85	93.21	88.11	50.9	25.17
Fam92a	371.17	0.0	0.0	0.0	156.71	22.01	21.1	30.94	5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	72.13	132.44	16.02	0.54	0.21	0.14
Fbxo33	151.89	0.0	89.01	0.0	174.24	31.37	20.63	17.42	34.97	0.0	0.0	0.0	0.0	243.14	0.0	0.98	0.0	3.75	5.47	47.43	2.39	20.01	0.0
Fbxw7	791.11	0.0	291.39	0.0	445.62	449.63	387.73	202.43	323.9	148.27	0.18	0.17	0.0	186.02	89.47	199.95	0.0	311.79	81.76	295.84	230.02	91.05	265.26
Fgf12	183.97	0.0	116.79	0.0	133.42	10.32	233.83	262.38	194.16	95.73	0.0	0.96	0.15	37.47	91.48	7.67	0.0	79.09	103.98	140.79	151.63	31.31	50.56
Fsd1l	148.57	0.18	139.48	0.55	101.94	0.19	39.54	1.38	0.39	8.69	3.07	0.16	0.12	0.7	4.05	11.65	0.0	0.11	63.88	14.42	0.08	6.44	5.17
Gm16894	368.04	0.0	0.0	0.0	198.12	0.0	1.43	0.37	37.91	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	35.52	39.84	0.0	0.0	35.67
Gucy1a3	240.98	0.0	66.83	0.0	0.06	204.71	8.76	41.95	1.57	30.97	0.0	0.14	0.0	0.06	0.0	12.4	0.0	14.28	0.01	0.09	147.0	44.41	66.25
Hecw1	150.1	0.02	119.78	0.0	77.74	44.85	31.74	62.07	20.54	12.75	0.14	0.0	0.06	16.1	175.45	111.34	0.06	22.88	21.49	19.68	0.18	61.57	14.46
Itpr1	302.46	0.0	121.56	0.09	183.59	32.15	26.5	14.06	45.99	32.91	0.0	0.0	0.0	48.32	37.0	7.46	0.0	64.95	49.04	10.92	5.34	21.81	26.85
Lsm14b	48.7	0.0	3.36	0.0	23.59	15.3	18.74	11.92	22.83	29.8	0.0	0.0	0.0	0.86	2.17	4.8	0.0	15.21	4.37	19.43	1.99	2.29	13.51
Mas1	453.3	0.0	0.0	0.0	145.2	17.76	50.68	0.67	66.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.03	65.48	37.69	8.34	0.07
Mettl10	564.86	0.0	0.0	0.0	240.27	2.29	70.24	357.35	0.0	118.13	0.0	0.62	0.0	0.26	77.91	73.17	0.0	0.0	0.06	75.69	0.0	40.03	176.47
Mrpl34	344.84	0.0	284.24	0.0	429.8	0.23	13.86	42.29	78.14	155.18	51.78	0.0	0.0	2.25	63.37	0.73	0.0	0.25	53.73	57.29	0.0	15.56	217.43
Mrpl54	416.44	0.0	0.0	70.73	0.0	357.45	96.77	115.78	170.35	68.95	0.0	0.0	0.0	0.0	0.0	255.21	0.0	136.58	0.12	112.42	154.84	11.18	0.0
Nkiras1	113.27	1.46	69.71	4.36	117.03	178.39	121.69	82.72	129.04	131.91	2.55	3.97	6.86	7.51	27.76	100.46	0.96	70.33	49.09	34.3	57.32	111.54	34.01
Nol12	184.91	0.0	16.9	75.94	228.14	124.87	8.86	33.1	69.44	0.01	0.0	0.0	0.0	4.37	13.4	0.47	0.25	0.0	0.0	0.07	0.04	0.0	26.82
Pgm2l1	209.1	0.0	169.46	0.1	184.28	140.02	113.73	189.01	114.58	110.41	0.16	0.44	0.0	72.86	76.76	183.93	0.0	20.48	102.77	91.19	34.72	50.99	38.37
Ppp1r1a	256.5	0.0	0.0	0.0	150.47	0.44	8.1	27.82	28.55	0.16	0.0	0.0	0.0	0.9	0.0	181.5	0.0	63.44	28.81	24.17	14.51	92.45	73.43
Psma4	1694.24	0.0	431.24	0.84	395.38	453.82	592.63	465.16	672.59	237.16	0.0	0.61	0.0	28.6	204.18	368.11	0.0	256.96	347.47	182.03	0.13	86.45	218.0
Psmb7	880.1	0.0	13.19	354.43	568.34	471.29	178.31	218.13	632.95	243.73	0.73	0.69	0.0	15.39	100.38	1341.06	0.0	129.52	161.04	141.92	249.73	112.81	242.08
Ptn	779.3	0.0	444.98	422.52	536.09	259.96	303.86	281.4	343.24	219.08	1.36	0.64	0.98	138.82	164.76	348.77	0.0	218.0	176.51	247.19	210.56	82.65	149.81
Rps12	1123.73	17.66	399.22	0.0	560.13	493.2	551.58	552.4	250.79	437.4	2.87	394.38	2434.4	137.05	22.42	230.71	44.52	121.63	264.94	219.6	439.11	108.3	292.24
Serf2	474.62	68.3	85.07	0.59	202.28	115.19	141.29	104.38	137.04	115.96	84.83	0.85	165.7	124.22	28.82	105.22	86.14	133.58	64.77	95.34	153.35	83.23	195.49
Sh3rf1	86.2	0.0	30.52	0.0	46.84	78.66	51.76	58.21	46.83	24.88	0.0	0.25	0.0	0.15	48.61	30.04	0.0	5.83	27.48	24.12	23.59	16.28	7.21
Slc19a2	334.77	0.0	7.18	0.0	122.06	0.04	3.62	1.09	0.0	4.84	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	12.36	13.58	0.0
Sstr1	321.14	0.0	0.0	0.0	160.64	0.04	0.04	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	0.0	14.33	1.22	0.0	0.0
Timm9	233.35	0.0	451.33	0.0	229.07	182.26	159.19	234.83	102.35	84.15	0.0	0.0	0.0	0.36	16.16	64.17	0.0	101.76	5.92	15.03	45.54	1.09	2.36
Ube2v1	937.42	0.0	271.27	0.46	889.8	7.71	150.94	92.96	114.94	112.34	0.7	0.67	0.24	1.26	8.22	42.12	0.0	217.63	581.99	393.18	787.41	241.07	445.74
Unc50	464.5	0.0	117.44	0.0	145.91	0.91	32.78	1.95	91.34	138.75	0.49	0.47	0.0	70.54	132.65	0.85	0.0	2.34	16.03	125.04	69.23	30.03	1.28
Unc5d	110.46	0.0	25.86	0.0	113.54	1.57	56.95	65.89	17.82	0.85	0.0	0.14	0.0	17.96	46.9	0.29	0.0	6.54	14.13	11.82	0.01	0.0	2.27
Usp33	211.75	0.0	73.61	0.0	109.82	255.83	83.36	91.29	25.84	3.49	0.0	0.15	0.0	0.0	87.78	0.18	0.0	0.07	93.2	133.34	5.66	1.95	45.27
Vps28	1470.82	0.0	870.06	313.47	1829.62	467.14	377.91	740.77	235.05	695.51	0.0	1.52	0.0	0.0	0.0	857.96	0.0	483.98	220.56	486.17	397.91	607.6	375.44
Vps29	1795.2	29.02	2.02	0.0	1607.7	924.74	972.47	813.61	1181.99	621.36	0.0	0.69	131.22	86.9	3.76	13.77	0.0	707.87	742.62	219.1	425.62	251.82	400.94
Zc3hc1	523.79	41.59	169.03	0.0	206.05	123.67	46.11	1.31	123.69	0.0	0.0	0.35	0.0	77.16	0.0	1.53	0.0	21.94	0.33	0.0	64.47	60.14	0.0
c17_SSU-rRNA_Hsa	2412.47	5711.86	32310.68	8113.71	2473.23	12294.5	15042.54	9528.57	15720.15	18147.83	7487.55	6551.52	7960.93	62935.79	39573.42	23420.99	4908.37	22437.39	28697.02	17823.66	15731.79	28103.63	31264.04
