	Cux2_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Prps1l1	0.0	0.0	0.0	0.06	0.0	0.06
Psmc3ip	0.0	68.36	0.0	4.48	4.22	4.51
Psmd1	0.34	55.96	25.48	101.35	98.49	95.8
Ptprg	0.0	12.41	0.0	27.45	26.48	29.73
Ptprv	0.0	0.0	0.0	3.93	3.72	4.34
Pus7l	0.0	0.0	0.0	3.05	2.94	3.36
Raver1-fdx1l	0.0	0.0	0.0	2.96	4.62	3.54
Rhoa	22.42	3.59	35.47	152.49	154.6	145.84
Rilp	0.0	0.0	0.0	1.88	1.52	2.43
Rnaset2b	0.0	0.0	0.0	18.72	21.85	27.23
Rnf25	11.26	0.0	0.0	47.16	51.39	46.62
Rnu11	0.0	0.0	0.0	0.0	0.0	0.0
Rpp40	4.36	2.58	3.93	4.94	4.17	4.1
Rpph1	14.78	0.0	55.53	0.0	0.0	0.35
Samd4b	14.58	0.21	0.11	36.48	34.92	33.74
Senp2	0.07	0.0	2.16	66.11	66.28	65.13
Sepn1	0.0	0.0	0.85	16.31	17.33	17.31
Serpinb1b	0.0	0.0	0.0	1.29	1.2	0.89
Shc2	6.41	1.13	0.62	33.75	38.41	36.5
Slc4a9	0.0	0.0	0.0	0.17	0.03	0.17
Slc6a11	0.0	0.0	0.0	91.39	91.42	98.55
Slc6a5	0.0	0.0	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smarca5-ps	0.0	0.15	0.0	0.13	0.09	0.13
Sncg	0.0	0.0	0.0	3.78	4.75	5.49
Socs4	0.0	0.0	0.0	7.86	6.97	7.36
Sox15	0.0	0.0	0.0	0.0	0.08	0.09
Spnb3	7.67	0.82	62.32	367.45	352.95	387.16
Stk35	0.0	0.0	6.59	17.16	15.14	16.16
Syt2	0.09	0.13	0.0	22.11	23.84	25.48
Tas1r2	0.0	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d22b	0.0	0.0	112.25	35.54	36.1	35.89
Tcstv1	0.0	0.0	0.0	0.12	0.0	0.12
Tmcc2	6.65	45.13	0.0	125.04	130.95	130.63
Tmem30b	0.0	0.0	0.0	0.0	0.08	0.09
Top3a	0.0	0.0	0.0	4.92	4.14	5.13
Trap1a	0.0	0.0	0.0	0.0	0.08	0.09
Trappc8	0.02	0.0	25.75	36.18	33.02	34.73
Tsc22d4	0.0	0.0	0.0	42.94	47.98	46.93
Tspan4	0.0	0.0	0.0	16.88	16.55	15.04
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube2c	3.33	2.85	4.35	4.67	6.1	6.13
Vat1	0.0	0.0	0.0	25.86	30.28	27.81
Vcan	0.0	0.0	0.0	7.15	6.63	7.15
Vcl	0.0	0.0	0.0	22.62	22.77	22.37
Vmn2r9	0.0	0.0	0.0	0.0	0.04	0.04
Wscd1	0.0	0.0	0.0	63.53	68.22	74.36
Zfy1	0.0	0.0	0.0	0.0	0.0	0.0
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zscan2	0.0	0.0	0.0	6.66	7.3	5.92
c13_tRNA-Asp-GAY	0.0	0.0	0.0	0.0	0.0	0.0
c19_tRNA-Gly-GGG	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
