	Cux2_tdTpositive_cell_85	Cux2_tdTpositive_cell_94	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_33	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTnegative_cell_32	Rbp4_tdTnegative_cell_14	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_105	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm2506	16.25	0.0	0.0	0.0	0.0	0.0	14.53	0.0	17.08	344.85	411.12	0.0	0.26	0.0	14.7	274.48	171.5	443.82	7.71	17.69	2.83	25.62	34.21	4.38	27.11	30.63	28.29	22.96
Gm6793	39.73	0.0	0.0	84.89	0.0	124.01	73.62	19.26	0.0	75.24	0.0	18.7	0.7	14.61	0.0	0.0	0.0	307.24	0.0	26.52	0.0	10.93	150.72	3.19	167.33	165.03	151.1	157.87
Gtpbp4	1.25	0.0	66.65	0.0	0.0	0.0	256.84	0.0	25.26	0.0	0.0	0.0	0.0	0.0	27.17	24.13	0.06	260.17	175.41	192.74	132.72	64.2	5.37	3.01	26.2	31.87	28.98	31.04
Hnrnpul1	0.0	0.0	0.0	0.0	0.0	0.0	19.47	0.0	0.0	0.0	0.0	232.61	47.65	16.19	0.0	0.0	4.41	30.04	1.96	0.62	4.35	28.66	0.1	28.99	5.91	68.91	75.58	74.25
Ints10	11.68	0.0	0.0	0.0	0.0	0.14	231.9	0.0	0.0	0.39	0.0	1.03	0.17	0.0	0.23	562.18	40.86	300.36	236.55	193.89	17.01	114.25	112.57	0.12	89.06	62.97	56.74	62.1
Isg20l2	0.0	0.54	0.0	0.0	0.0	0.0	0.12	0.25	2.55	0.77	0.34	0.09	0.0	0.29	0.43	2.33	0.02	186.53	56.83	0.0	0.12	0.26	0.05	5.45	0.09	12.09	10.79	10.78
Mad2l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.45	0.0	0.0	185.45	0.06	0.0	0.0	0.0	0.0	0.0	0.45	13.77	13.05	13.12
Mcts1	80.26	28.44	0.0	0.0	0.0	787.19	5.69	0.0	0.59	128.77	16.84	0.0	0.0	165.48	378.24	54.82	1311.94	1183.68	229.63	177.39	270.15	229.74	197.29	76.47	177.41	79.93	76.45	77.49
Mdm4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	38.84	0.0	10.06	0.18	9.43	0.0	0.54	183.2	0.73	17.07	17.82	0.04	7.28	0.24	62.94	37.43	31.41	38.52
Mpped2	0.0	0.0	0.0	0.0	0.0	2.93	60.73	0.0	0.0	240.31	0.0	0.0	0.0	0.0	1.37	0.0	0.56	103.94	0.16	0.0	0.73	8.1	44.65	0.0	35.53	35.43	33.87	33.34
Mterfd2	0.0	0.0	300.32	0.0	0.0	0.0	0.0	0.05	2.23	0.0	0.0	334.09	0.0	0.0	0.25	0.0	0.58	103.67	0.02	71.86	0.66	0.09	0.04	26.55	64.51	10.6	11.22	10.98
Pard6a	40.09	0.0	0.0	0.0	0.0	180.03	8.29	0.0	0.8	3.84	0.0	0.0	0.0	0.0	16.96	0.0	0.24	231.55	0.12	0.0	13.56	0.0	0.0	14.35	12.56	31.59	34.75	29.41
Pde5a	0.0	0.0	0.18	0.49	0.41	0.0	0.78	0.06	7.08	1.3	0.21	0.09	0.18	0.7	1.51	0.25	1.01	0.78	1.26	36.98	0.11	0.09	0.12	0.19	0.19	4.35	4.54	4.79
Pmpcb	0.0	0.0	0.0	0.0	0.35	0.0	257.08	0.1	82.36	0.0	1.05	0.45	0.0	0.0	1.89	39.31	397.3	357.23	21.54	71.2	24.8	222.01	71.93	142.32	106.2	55.26	53.29	51.43
Ppip5k1	0.0	0.0	0.0	0.0	0.0	0.0	21.39	0.03	15.1	0.92	0.0	0.0	0.0	0.0	0.05	5.69	80.03	44.66	0.52	41.39	20.41	0.52	20.83	4.28	0.13	66.18	64.87	65.93
Prelp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.06	0.0	0.04	0.0	45.3	6.59	146.94	0.05	13.35	13.3	11.56
Rnf112	0.0	5.25	0.0	0.0	0.0	120.01	50.51	0.0	23.1	29.25	46.52	0.0	0.0	0.0	53.41	33.91	46.73	133.53	140.85	84.48	114.39	19.01	69.56	37.62	41.23	274.94	298.54	287.09
Rsph3a	0.0	0.0	0.0	0.0	0.0	0.0	218.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.86	140.39	0.0	35.35	30.3	0.0	6.34	28.99	0.06	20.44	23.35	17.78
Sgip1	0.0	0.0	0.0	0.0	0.0	0.0	2.84	0.0	13.36	2.78	4.77	10.62	0.0	0.35	5.73	200.64	37.31	119.64	50.89	85.45	107.17	38.95	16.02	105.48	33.31	103.31	98.05	102.23
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	21.86	0.0	0.0	0.0	15.15	0.0	0.0	0.0	0.0	0.0	26.5	11.25	10.64	4.04	1.81	1.31	1.2	4.68	3.11	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	21.86	0.0	0.0	0.0	15.15	0.0	0.0	0.0	0.0	0.0	26.5	11.25	10.64	4.04	1.81	1.31	1.2	4.68	3.11	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	21.86	0.0	0.0	0.0	15.15	0.0	0.0	0.0	0.0	0.0	26.5	11.25	10.64	4.04	1.81	1.31	1.2	4.68	3.11	1.22	1.15	1.9
Srgap2	0.0	0.0	97.15	0.0	0.0	0.04	39.57	0.02	41.98	0.12	7.77	0.08	0.0	80.7	6.25	2.38	0.45	40.97	0.15	8.69	0.9	64.66	15.31	32.21	0.67	32.14	28.78	32.63
Taf9	449.81	0.69	0.0	0.0	0.0	969.29	1292.5	0.0	35.45	944.66	597.94	11.93	0.42	1.76	487.33	1082.52	930.09	757.22	1114.17	109.08	547.11	424.0	100.67	307.29	504.18	128.95	132.28	119.21
Tchp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.86	0.0	0.0	0.0	0.61	22.76	0.0	0.0	0.0	0.0	1.03	0.0	0.0	7.74	8.53	9.74
Tep1	0.0	0.0	37.88	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	2.26	1.22	0.0	0.0	0.03	0.0	0.5	0.02	2.74	1.94	2.62
Tex13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.18	0.0	0.27	31.95	11.05	4.56	0.0	0.0	0.0	0.0	0.0	0.59	0.44	0.83
Tmem216	0.8	0.0	0.0	0.0	0.0	188.21	467.51	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.97	244.56	18.53	0.0	0.0	70.78	0.26	0.0	0.17	10.85	11.0	8.06
Tro	41.02	0.0	0.0	0.0	0.0	0.0	271.06	0.07	8.43	304.69	31.32	0.11	0.24	0.19	12.39	9.7	29.78	122.33	158.65	79.03	110.78	54.4	2.7	82.83	0.76	91.35	86.53	91.89
Tubb6	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.09	0.21	0.04	0.09	0.0	0.0	8.29	2.24	0.0	6.67	6.95	6.98
Usp28	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.0	7.43	0.0	0.0	0.0	0.0	0.15	142.72	3.32	16.4	160.06	30.82	1.32	0.14	4.03	6.83	22.24	2.0	23.75	22.79	22.92
Wbp7	4.36	0.0	0.0	0.0	0.0	0.0	60.75	0.0	15.19	0.0	1.59	0.0	0.0	0.0	0.07	0.0	0.0	35.95	0.03	0.0	0.0	0.02	0.02	9.82	0.21	25.14	25.82	27.79
Wdr35	0.0	0.0	0.0	0.0	0.0	1.1	2.97	0.0	0.0	7.96	0.19	0.0	0.0	0.15	2.71	0.0	0.46	125.1	151.91	52.94	24.08	58.26	44.47	25.98	23.72	29.73	29.16	28.68
Wrnip1	0.0	0.0	0.0	0.0	0.0	0.0	13.94	0.0	2.24	0.0	0.63	0.0	0.0	0.0	2.46	0.0	125.59	71.92	47.96	6.7	0.03	0.05	2.71	13.87	32.13	60.42	67.09	61.56
Zbtb8os	0.0	0.0	0.0	0.0	0.0	0.0	265.85	0.0	0.0	0.0	0.0	0.0	0.65	0.0	42.98	0.0	0.24	214.86	17.49	0.0	0.0	58.3	139.8	0.0	0.29	27.2	23.25	22.58
Zfp781	19.61	18.63	2.78	0.75	3.5	7.95	180.03	3.81	28.29	188.05	38.66	19.01	2.32	6.5	65.66	100.66	55.75	224.63	30.0	3.17	3.45	3.72	3.9	3.96	42.66	18.46	13.57	19.27
c17_SSU-rRNA_Hsa	5524.56	2412.47	5711.86	737.06	1491.94	5735.38	5496.41	1776.49	3606.1	32310.68	18100.4	8730.36	1644.65	6551.52	62935.79	39573.42	23420.99	9207.73	11647.61	22437.39	28697.02	17823.66	15731.79	28103.63	31264.04	987.3	970.01	1090.51
