	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_24	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5
Entpd7	0.0	0.0	0.0	0.0	0.0	0.05	15.48	0.0	0.1	43.1	5.98	8.93	23.14	94.7	44.98	34.53	58.12	50.8	84.95	19.31	23.65	27.9	85.56	35.39	74.26	84.0	31.8	51.92	87.82	46.25	32.25	9.16	42.48	21.46	38.34	34.03	42.13	28.01	78.37	38.67	0.2	0.24
Epha5	0.06	0.0	0.0	0.0	0.0	0.0	23.95	0.0	28.48	11.94	24.18	41.31	1.95	33.59	9.11	20.53	5.98	48.3	45.57	38.5	0.0	17.95	10.1	6.26	18.44	6.88	44.14	32.86	0.0	7.85	9.88	2.21	30.77	29.35	16.8	5.49	36.37	0.0	16.71	26.2	0.0	0.24
Fam134b	0.0	0.0	0.0	0.0	0.0	0.0	35.58	0.0	0.0	168.17	150.13	8.02	42.39	34.23	113.23	128.45	44.11	107.22	74.63	331.35	7.6	26.72	140.36	49.66	60.06	97.42	123.15	95.82	93.6	64.23	295.22	1.39	35.18	278.4	61.88	29.33	71.97	61.47	129.06	221.12	0.26	0.0
Foxp1	0.49	0.33	0.0	0.0	0.0	0.0	0.94	0.13	0.71	6.8	0.89	1.14	0.56	16.06	11.45	17.52	7.11	24.64	7.73	34.92	0.0	1.57	14.71	2.11	8.5	11.41	0.0	12.53	0.89	7.97	0.91	0.25	0.95	1.65	15.26	0.19	8.89	7.37	17.41	0.09	232.29	0.16
Foxred2	0.0	0.0	0.0	0.0	0.0	0.0	16.73	0.0	0.0	17.77	14.41	11.84	0.0	30.58	0.0	0.0	0.0	28.29	0.0	62.99	0.0	18.53	42.7	0.0	21.25	7.54	8.95	0.0	9.21	7.44	1.08	0.0	0.0	8.47	22.47	0.09	0.0	0.0	0.0	16.61	0.0	0.0
Gfod1	0.0	2.15	0.0	0.0	0.0	0.0	11.02	0.0	0.09	15.48	5.75	18.65	5.22	53.4	12.54	13.95	19.0	25.7	68.32	30.34	0.09	0.27	38.78	25.44	0.0	18.14	25.36	14.85	17.11	15.22	0.0	1.35	7.86	14.56	1.57	0.0	16.75	16.01	18.63	16.14	0.0	0.0
Gm3317	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.82	0.08	1.47	0.32	0.75	1.2	2.02	1.68	3.09	8.61	0.0	0.37	3.68	6.91	0.0	0.0	13.29	12.46	0.0	0.0	0.0	0.2	0.0	0.86	0.0	0.0	0.0	0.77	11.79	0.1	5.01	0.0	0.0
Gm3494	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.82	0.08	1.47	0.32	0.75	1.2	2.02	1.68	3.09	8.61	0.0	0.37	3.68	6.91	0.0	0.0	13.29	12.46	0.0	0.0	0.0	0.2	0.0	0.86	0.0	0.0	0.0	0.77	11.79	0.1	5.01	0.0	0.0
Gpr61	0.0	1.98	0.0	0.0	0.0	0.0	10.64	0.0	0.0	0.0	3.69	2.84	1.75	0.62	4.12	20.25	1.61	8.38	18.74	54.94	0.0	4.58	61.85	2.41	42.48	0.77	17.09	2.53	27.89	1.48	0.0	0.0	0.0	5.82	135.73	2.19	4.71	2.83	0.1	0.16	0.0	0.2
Grlf1	0.0	0.63	0.0	0.0	0.0	0.0	11.28	3.45	0.56	6.54	16.46	2.49	13.11	23.8	7.01	11.13	23.82	19.29	18.98	23.92	1.78	4.13	30.68	6.24	47.35	5.88	26.11	0.48	5.67	26.78	27.36	8.38	3.32	19.77	19.99	1.11	13.92	7.25	8.66	9.28	0.15	0.13
Ldhb	7486.96	8970.97	2593.67	5404.32	4046.54	5876.73	8752.31	3963.33	6399.01	8798.32	10118.08	10894.4	8525.9	8892.3	8517.89	9220.91	9343.6	8574.79	10165.1	9166.61	7814.88	9602.81	11261.44	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	8671.45	10182.84	7057.76	9082.37	8111.86	11746.38	5217.81	5873.38
Lmtk2	0.0	0.0	0.0	0.15	0.0	0.0	14.73	0.1	0.07	9.22	0.3	0.23	14.1	13.48	12.58	19.96	6.13	34.84	9.31	15.66	9.69	1.06	13.1	23.06	0.15	9.9	12.74	17.18	17.36	17.75	0.06	1.11	16.2	0.47	12.92	2.8	8.0	29.61	14.76	9.4	0.27	0.18
Mrpl15	0.0	0.14	0.08	10.19	76.87	0.71	20.33	0.5	0.67	67.98	98.0	18.2	51.18	52.5	17.92	36.21	64.63	0.99	67.14	189.21	34.78	43.41	121.96	54.03	36.69	72.3	32.02	37.72	25.65	69.54	40.59	16.63	23.9	37.73	44.25	59.96	61.51	41.09	32.32	35.63	1.75	25.72
Mterf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.16	51.19	27.44	0.0	110.92	0.41	48.17	26.51	94.01	87.34	59.77	61.72	0.0	0.0	11.85	0.0	10.46	38.1	44.07	0.0	0.0	29.86	0.0	28.07	35.56	17.14	0.33	13.28	49.2	0.0	0.0
Nav3	0.0	0.0	0.0	0.0	0.0	0.0	17.49	0.0	0.08	6.91	5.03	0.67	4.88	12.69	1.37	19.72	11.69	4.09	3.54	24.34	4.46	10.11	40.68	31.85	4.24	4.08	6.37	6.94	10.16	29.85	0.5	7.41	11.15	0.75	22.04	15.12	12.87	16.48	14.44	3.45	0.05	0.05
Ncaph2	0.0	0.0	0.0	88.65	0.0	0.0	32.21	0.0	0.18	26.16	40.18	14.44	61.38	35.14	1.16	37.83	16.55	0.18	16.74	189.06	23.69	0.0	75.28	63.72	34.68	77.1	25.64	73.9	44.92	22.99	0.39	44.36	74.91	0.0	0.0	64.22	62.86	63.2	41.43	0.06	0.25	2.01
Ngrn	0.0	178.79	0.0	0.0	0.38	0.0	64.67	0.0	0.0	0.0	8.1	65.17	0.0	116.86	21.37	6.12	107.51	106.95	32.19	99.84	0.47	57.91	61.59	43.2	72.07	34.91	0.0	52.84	114.33	37.97	6.41	0.0	35.17	0.0	110.06	0.0	45.64	2.32	48.09	14.18	0.0	0.57
Nutf2	0.0	0.0	1.23	0.0	0.0	0.0	53.11	12.77	0.54	170.9	58.78	0.43	103.93	138.41	2.85	2.84	76.47	67.61	0.58	289.43	0.0	1.1	84.94	43.44	200.58	69.65	52.64	66.78	2.69	169.75	1.56	0.0	73.31	141.44	141.69	172.97	0.36	63.32	19.55	2.08	0.43	0.0
Osbpl3	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.18	41.26	13.09	25.94	23.61	1.29	65.32	34.05	1.03	31.59	64.01	94.75	41.67	10.4	23.52	0.64	1.26	16.19	25.2	56.35	18.29	42.91	13.66	42.12	0.81	0.25	51.08	8.6	26.88	8.1	43.37	9.73	0.0	0.0
Pde4d	0.0	0.0	0.0	0.16	0.0	0.04	35.53	0.0	0.08	24.15	15.55	9.03	27.34	11.22	40.04	55.52	49.37	25.19	45.1	67.4	27.17	14.51	73.29	48.44	83.43	55.15	28.32	62.57	52.34	15.81	18.96	36.75	24.03	16.69	72.79	40.9	39.86	21.49	44.8	31.93	0.06	0.0
Ppap2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.68	0.0	0.0	62.46	12.41	140.64	49.58	2.4	0.0	34.02	146.87	0.0	0.0	50.34	99.8	59.58	31.04	4.48	78.46	0.54	0.85	0.0	0.0	111.03	61.29	0.0	0.0	34.17	0.0	64.54	0.16	0.0	0.63
Prpf31	0.0	0.0	0.0	0.0	0.96	0.0	32.6	0.0	0.77	23.33	47.02	8.09	2.07	9.83	0.0	23.07	4.85	84.21	6.63	9.11	0.0	38.28	57.85	41.89	39.45	55.14	36.38	31.3	39.82	21.59	0.14	8.86	32.23	70.24	157.03	0.14	87.27	16.58	41.75	0.19	0.16	0.12
Prune2	0.0	20.75	0.03	0.0	0.04	0.02	249.24	0.08	0.75	226.77	130.57	55.6	226.69	179.21	282.87	220.32	293.82	172.86	221.57	283.44	112.37	109.55	104.21	29.63	140.49	210.79	123.11	153.66	93.3	135.55	225.09	94.84	183.97	71.62	171.37	140.87	230.2	162.03	229.52	158.93	0.33	0.55
Rap1a	0.0	0.0	0.0	75.82	0.0	0.0	47.38	0.0	0.44	17.37	0.0	0.0	26.04	0.0	28.92	0.0	33.05	37.26	52.86	92.26	0.0	0.0	52.5	37.81	30.85	24.66	3.67	43.74	48.63	29.35	0.0	0.0	48.19	0.4	0.0	0.33	16.39	42.36	56.65	19.82	0.0	0.0
Rpl27a	80.44	310.11	0.0	0.0	0.0	59.5	177.18	61.89	0.0	60.52	152.31	143.29	118.8	129.38	84.44	82.94	142.13	119.83	59.66	153.3	30.51	48.96	231.51	230.98	62.42	80.34	78.67	64.44	221.15	100.27	60.63	198.27	109.78	46.05	171.22	54.53	140.29	98.62	97.88	154.91	0.39	28.53
Scn8a	3.32	32.03	0.0	0.0	0.04	0.02	27.19	0.0	0.11	60.36	37.8	24.16	49.68	76.27	96.35	99.5	115.41	66.85	103.08	13.92	39.53	28.69	68.89	70.42	48.67	69.2	65.33	74.65	88.97	52.44	40.27	34.15	65.37	11.47	33.3	57.61	97.47	88.43	121.49	81.71	0.15	1.33
Slc24a2	0.0	78.59	0.0	0.0	0.05	0.0	155.95	0.08	0.28	172.15	170.46	264.55	154.79	263.46	283.84	257.24	244.33	266.29	283.6	307.31	131.39	223.98	341.43	159.47	304.97	202.85	214.57	191.88	226.68	226.75	170.1	227.92	167.65	161.6	200.53	247.62	204.79	190.94	263.01	269.92	0.31	0.48
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	0.0	10.13	5.44	0.0	21.33	0.0	8.33	3.39	4.84	5.67	13.15	7.64	3.68	3.4	0.0	3.94	0.0	3.61	9.68	11.28	0.0	11.12	13.5	12.73	1.69	0.0	0.0
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	0.0	10.13	5.44	0.0	21.33	0.0	8.33	3.39	4.84	5.67	13.15	7.64	3.68	3.4	0.0	3.94	0.0	3.61	9.68	11.28	0.0	11.12	13.5	12.73	1.69	0.0	0.0
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	8.69	9.26	13.81	0.0	0.0	10.13	5.44	0.0	21.33	0.0	8.33	3.39	4.84	5.67	13.15	7.64	3.68	3.4	0.0	3.94	0.0	3.61	9.68	11.28	0.0	11.12	13.5	12.73	1.69	0.0	0.0
Unc80	0.0	4.11	0.0	0.0	0.0	0.0	26.48	0.06	0.17	26.47	12.71	31.63	19.46	34.53	23.4	13.54	32.57	39.46	56.57	52.22	1.37	14.79	17.14	28.22	20.37	38.38	36.45	22.86	17.44	9.59	23.19	44.28	7.29	15.24	27.52	11.05	15.19	29.44	65.2	39.04	0.09	0.08
