	Cux2_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_56	Rorb_tdTpositive_cell_54	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm13251	0.0	0.0	0.0	2.06	2.71	2.99
Gm13306	0.0	0.81	0.11	30.63	28.29	22.96
Gm14430	0.0	0.06	0.0	7.67	5.07	7.49
Gm14431	0.0	0.37	0.19	8.87	7.17	8.34
Gm14434	0.0	0.06	0.0	7.67	5.07	7.49
Gm1647	0.0	0.0	0.0	0.14	0.0	0.14
Gm2506	0.0	0.81	0.11	30.63	28.29	22.96
Gm4724	0.0	0.06	0.0	7.67	5.07	7.49
Gm4745	0.0	0.0	0.0	0.08	0.0	0.08
Gm684	0.0	0.0	0.0	1.35	1.79	1.97
Gm8898	0.0	0.37	0.19	8.87	7.17	8.34
Gprin1	0.0	0.0	0.0	78.28	83.81	79.23
Grin1	0.0	0.0	0.06	389.58	403.6	404.44
Gzma	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.04	0.0	0.04
Hddc3	0.0	0.0	0.43	37.55	21.17	19.53
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hsd17b13	0.0	1.24	0.16	4.57	1.94	4.04
Kctd19	0.0	0.0	0.0	0.03	0.0	0.03
Kdm5c	0.0	0.33	0.03	34.89	26.41	27.1
Kel	0.0	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lactb2	0.0	10.72	5.2	19.22	18.34	21.78
Lect2	0.0	0.0	0.0	0.12	0.0	0.12
Mapkapk5	0.0	0.0	0.0	32.62	34.64	35.22
Mrm1	0.0	0.0	0.07	13.4	14.24	14.7
Muc4	0.0	0.0	0.0	0.02	0.0	0.02
Ncr1	0.0	0.0	0.0	0.07	0.0	0.07
Nox4	0.0	0.0	0.0	0.06	0.0	0.06
Olfr15	0.0	0.0	0.0	0.11	0.0	0.11
Opa3	0.0	10.62	9.88	39.03	38.32	41.46
Otx2os1	0.0	0.0	0.0	0.14	0.0	0.14
Parp6	0.0	0.0	0.07	110.81	103.98	113.03
Phf1	0.0	0.0	0.0	39.84	41.18	38.9
Pigf	0.0	0.0	0.19	18.01	19.87	18.19
Plrg1	0.0	2.4	0.1	40.19	42.99	39.69
Prps1l1	0.0	0.0	0.0	0.06	0.0	0.06
Rab28	0.0	0.0	0.11	73.95	74.55	71.89
Rab3c	0.0	2.26	0.27	153.99	129.19	150.79
Raet1d	0.0	0.0	0.0	0.16	0.0	0.16
Sct	0.0	0.0	0.0	0.21	0.0	0.21
Sema7a	0.0	0.0	0.0	137.6	140.51	143.05
Slfnl1	0.0	0.0	0.0	0.06	0.0	0.06
Tac4	0.0	0.0	0.0	0.08	0.0	0.08
Tanc1	0.0	0.0	0.0	13.46	13.48	14.58
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.12	0.0	0.12
Tfdp1	0.0	0.63	7.73	56.42	59.16	58.0
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttc8	0.0	0.0	0.0	24.13	22.5	24.03
Usp26	0.0	0.0	0.0	0.02	0.0	0.02
Vamp2	0.0	372.64	0.5	1049.62	1054.48	1042.78
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.0	0.11
Wdr7	0.0	0.29	0.05	86.74	85.95	84.87
Ywhag	0.0	2.37	0.36	763.25	785.32	749.06
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.04	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
