	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_55	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_84	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Chd5	0.0	0.0	5.13	0.13	5.96	5.04	12.81	8.36	1.94	7.49	1.86	0.86	8.3	8.41	8.3	4.05	13.18	1.0	3.41	1.3	3.23	2.71	1.97	10.26	1.4	2.78	1.49	3.36	8.53	5.03	3.07	6.57	7.16	1.58	12.22	4.33	0.91	22.15	10.43	13.53	3.37	2.98	4.11	0.0	0.0	0.0	0.0	0.0	0.26	2.51	4.51
Dscr3	0.0	0.0	1.2	1110.98	63.72	89.39	44.64	24.91	131.7	57.12	0.0	1.59	167.11	9.28	82.67	55.89	0.23	185.16	99.62	0.97	67.51	90.88	0.12	272.48	13.93	160.11	0.0	118.49	63.32	73.95	158.96	98.23	77.47	118.65	186.32	71.57	0.0	0.0	27.29	165.24	205.51	321.89	200.39	0.0	0.0	0.0	0.0	0.0	0.53	23.22	2.17
Fkbp4	0.0	0.0	27.46	0.56	86.19	10.92	64.31	84.74	26.09	314.78	15.27	49.56	72.54	88.18	109.64	99.72	41.02	46.04	83.75	0.36	62.36	89.27	10.26	160.61	37.69	84.59	56.62	98.57	145.95	58.07	84.32	46.63	0.17	57.08	0.0	72.4	58.88	74.84	121.29	48.43	121.97	69.88	88.25	0.32	0.0	0.17	0.0	0.0	0.0	71.09	43.43
Gabrg3	0.0	0.0	117.69	0.0	25.48	0.0	0.0	27.09	35.0	1.73	0.0	6.27	0.0	9.25	10.06	6.91	36.49	0.0	34.62	23.38	62.25	3.01	0.0	39.48	37.26	4.07	4.78	0.0	29.73	22.1	23.4	66.83	10.67	5.45	53.57	70.71	6.37	138.88	87.25	5.75	17.38	68.07	6.47	0.0	0.0	0.0	0.0	0.0	0.0	6.75	0.0
Gm14430	0.0	0.0	21.67	0.0	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	14.72	6.05	13.5	5.35	16.5	13.46	3.22	12.83	12.31	24.32	52.69	1.56	3.07	2.82	11.03	16.3	18.55	13.57	4.08	11.25	0.0	0.32	18.48	9.13	0.54	14.82	8.34	23.59	0.49	2.38	0.0	0.12	0.0	0.0	0.41	0.0	12.2	8.24
Gm14431	0.26	0.0	20.17	0.24	0.62	0.74	0.0	7.8	6.64	1.54	2.31	0.8	0.18	3.35	3.96	2.26	0.0	2.76	5.1	0.3	0.76	2.49	1.2	5.14	0.26	1.79	2.4	1.31	2.1	1.04	2.52	4.65	0.0	5.83	1.51	0.74	0.0	1.58	1.56	0.36	1.38	1.35	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.93	1.72
Gm14434	0.0	0.0	21.67	0.0	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	14.72	6.05	13.5	5.35	16.5	13.46	3.22	12.83	12.31	24.32	52.69	1.56	3.07	2.82	11.03	16.3	18.55	13.57	4.08	11.25	0.0	0.32	18.48	9.13	0.54	14.82	8.34	23.59	0.49	2.38	0.0	0.12	0.0	0.0	0.41	0.0	12.2	8.24
Gm4724	0.0	0.0	21.67	0.0	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	14.72	6.05	13.5	5.35	16.5	13.46	3.22	12.83	12.31	24.32	52.69	1.56	3.07	2.82	11.03	16.3	18.55	13.57	4.08	11.25	0.0	0.32	18.48	9.13	0.54	14.82	8.34	23.59	0.49	2.38	0.0	0.12	0.0	0.0	0.41	0.0	12.2	8.24
Gm8898	0.26	0.0	20.17	0.24	0.62	0.74	0.0	7.8	6.64	1.54	2.31	0.8	0.18	3.35	3.96	2.26	0.0	2.76	5.1	0.3	0.76	2.49	1.2	5.14	0.26	1.79	2.4	1.31	2.1	1.04	2.52	4.65	0.0	5.83	1.51	0.74	0.0	1.58	1.56	0.36	1.38	1.35	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.93	1.72
Gpr22	0.0	0.0	50.88	0.26	21.66	36.52	109.9	88.69	89.75	65.88	77.75	77.36	12.04	63.04	80.41	89.22	35.83	30.48	131.21	151.88	42.32	84.0	120.41	171.6	31.08	78.88	48.98	48.35	126.65	67.37	195.93	93.68	36.91	87.86	65.6	46.4	30.56	119.38	215.85	40.62	66.25	81.22	60.33	0.0	0.08	0.48	0.0	0.0	0.0	16.92	13.76
Hdgf	0.0	0.0	3.08	0.8	49.56	45.24	102.01	90.12	7.24	38.82	15.55	79.0	42.04	59.46	68.6	51.97	32.89	37.68	65.67	0.0	6.36	26.87	43.2	176.98	0.0	75.97	29.89	105.23	119.47	37.44	53.75	45.33	72.23	52.59	95.32	46.08	89.35	38.58	13.91	32.76	18.19	42.87	38.38	0.0	0.16	0.17	0.0	0.0	0.0	51.03	16.87
Kcna1	0.0	0.0	129.7	0.07	203.62	67.88	155.4	214.98	258.51	191.86	97.04	120.88	231.33	194.23	255.22	281.96	245.4	209.54	455.33	33.81	151.11	167.48	84.79	123.08	31.55	159.56	28.07	158.39	203.93	254.23	229.92	186.92	175.67	169.76	275.53	204.13	173.91	140.07	124.46	83.12	261.1	17.5	247.3	0.15	0.08	0.2	0.0	0.13	0.0	93.58	67.55
Kcnc3	0.0	0.0	2.59	0.0	6.18	1.96	7.5	3.21	15.58	10.08	0.03	5.98	12.39	12.47	9.13	2.87	1.74	11.58	8.77	1.36	0.0	6.09	0.0	4.31	3.14	6.75	1.34	15.04	8.17	5.05	18.42	9.2	19.58	5.08	7.27	11.75	0.89	19.57	13.46	2.21	12.9	5.41	8.74	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.76
Ldhb	7486.96	2593.67	7692.96	6399.01	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	7234.97	8217.62	8583.06	8517.89	9220.91	9343.6	8223.21	8574.79	10165.1	9166.61	9602.81	7785.08	6844.28	7061.15	7167.6	11261.44	8285.69	10004.69	7259.91	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	11010.48	7724.63	10182.84	7175.32	7493.59	11746.38	1397.74	2798.49	5873.38	5577.5	2070.08	544.96	6577.4	7324.1
Mansc1	0.0	0.0	8.0	0.25	55.64	0.84	35.92	15.13	0.0	6.02	6.18	66.02	28.08	2.15	37.37	3.21	33.6	4.54	26.04	0.0	10.26	36.57	1.98	47.48	0.16	6.61	2.49	155.13	128.99	27.78	44.46	2.76	20.4	19.21	2.39	29.25	3.15	0.0	34.31	15.07	42.02	4.16	55.26	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0
Mrpl51	6.76	2.27	77.4	30.31	212.08	167.17	290.29	182.46	80.41	204.78	115.94	122.23	96.35	160.79	154.66	25.69	99.93	136.44	99.79	165.65	154.14	62.56	172.3	159.59	151.47	188.06	35.6	43.0	61.8	132.05	162.9	106.28	114.19	89.65	156.35	67.31	103.43	122.22	147.67	212.26	175.78	55.12	150.0	28.33	4.57	22.71	3.29	2.6	15.16	76.43	97.01
Mrps5	0.0	0.0	5.31	0.0	118.14	17.0	42.14	24.76	140.21	156.26	34.26	63.16	17.74	87.73	0.56	37.44	88.01	95.62	28.62	164.07	19.57	39.17	65.43	306.08	24.84	30.49	181.79	69.43	20.24	47.3	181.59	0.0	27.7	73.97	43.35	135.37	0.0	1.92	94.25	127.5	46.32	155.85	8.71	0.0	0.5	0.0	0.0	0.0	0.0	40.97	7.16
Nat8l	0.0	0.0	43.33	0.18	18.13	41.62	51.18	25.97	32.88	18.91	45.1	48.27	55.9	103.94	108.26	52.29	12.11	53.91	50.39	43.52	36.63	9.59	35.78	45.77	1.8	9.99	35.16	50.04	10.25	62.19	51.88	39.07	34.49	31.07	41.38	51.37	55.65	24.73	75.75	119.04	69.77	58.68	101.06	0.0	0.0	0.17	0.0	0.0	0.0	7.07	24.23
Nefh	0.0	0.0	5.14	0.0	65.6	8.49	90.01	65.07	48.3	68.88	21.24	82.42	68.27	96.45	89.63	70.19	39.74	92.34	90.31	0.39	32.52	80.6	48.74	122.83	28.33	16.51	34.28	44.52	9.76	145.17	233.76	107.74	99.21	88.26	28.61	147.49	21.77	61.11	70.43	133.09	122.53	59.45	116.26	0.0	0.0	0.0	0.0	0.0	0.0	0.67	16.25
Rpp21	0.0	0.0	191.32	0.0	352.08	355.37	304.43	233.19	129.54	233.4	125.49	190.47	239.08	121.22	176.93	62.55	0.0	196.96	173.67	230.6	241.4	208.06	194.97	272.0	194.26	274.59	47.75	220.92	134.77	240.65	424.91	384.64	207.13	104.0	227.27	187.8	74.33	337.21	181.38	170.98	90.32	120.17	268.25	0.0	0.0	0.82	0.0	0.0	0.0	228.11	61.16
Rufy3	0.0	0.0	350.55	0.78	411.13	232.34	238.57	277.88	365.56	313.34	225.15	223.98	84.82	248.13	483.14	478.18	292.4	343.62	241.65	129.61	315.82	318.33	190.53	547.7	491.19	310.65	266.28	236.04	240.69	441.03	327.79	255.31	413.68	227.72	344.9	257.29	195.21	272.47	294.65	336.59	557.86	192.06	288.6	0.0	0.42	0.76	0.0	0.0	0.34	241.35	209.33
Sar1a	0.0	0.0	29.17	542.06	47.46	9.48	13.97	82.2	114.1	67.86	58.41	144.42	103.32	45.48	4.56	63.88	15.52	119.1	22.48	0.0	16.41	110.86	128.51	236.27	0.0	77.68	101.36	72.36	110.04	135.62	64.45	57.2	117.32	61.08	186.64	15.13	18.03	71.17	99.71	44.85	1.39	67.65	44.89	0.0	0.0	310.45	0.0	0.0	0.0	5.47	41.0
Sec23b	0.0	0.0	64.95	0.74	63.29	0.0	50.28	85.61	103.14	36.39	37.98	61.61	75.76	44.49	57.93	39.62	66.14	73.37	36.96	42.97	54.75	86.84	78.8	117.07	18.39	72.89	0.0	102.51	73.16	67.82	76.52	62.74	117.67	99.7	107.27	74.82	6.97	31.79	235.6	39.86	66.76	45.31	212.26	0.0	0.0	0.93	0.0	0.0	0.0	55.15	7.94
Sirt3	0.0	0.0	243.52	0.43	452.56	146.54	384.06	414.98	430.86	348.98	292.79	273.81	305.48	507.53	449.31	413.62	280.85	398.76	332.62	235.64	265.1	380.79	164.33	838.09	133.72	514.4	427.74	390.02	346.48	536.23	323.6	388.7	419.67	444.56	436.13	81.87	516.1	37.11	442.93	328.13	214.03	254.3	594.29	0.0	0.0	374.95	0.0	0.0	0.0	289.32	158.25
Tubg1	0.0	0.0	85.33	0.38	130.83	213.15	58.02	80.01	0.0	0.0	128.21	92.13	28.5	13.6	121.68	0.0	66.34	76.92	36.87	0.0	80.28	95.34	1.43	506.43	0.0	0.0	223.67	117.73	0.93	96.11	59.78	161.07	230.18	45.66	65.96	0.0	0.0	125.21	295.71	22.81	29.65	0.0	110.06	0.43	0.22	0.47	0.0	0.0	0.0	0.0	135.71
Ufm1	0.0	0.0	70.82	0.12	120.83	6.38	37.45	19.74	67.12	28.23	27.67	41.63	10.83	0.13	54.96	36.99	60.4	53.52	48.37	40.35	25.86	50.09	55.07	54.73	31.67	55.09	39.39	74.71	38.19	52.1	62.6	40.65	14.72	30.12	24.82	98.44	17.89	23.94	82.27	95.73	11.27	4.34	23.62	0.0	0.07	0.31	0.0	0.12	0.0	0.0	36.9
Zfp612	0.1	0.0	62.3	0.37	66.14	26.36	12.55	29.41	5.29	0.0	0.74	18.94	53.26	43.66	33.62	14.47	27.58	1.69	62.72	31.8	6.02	43.24	9.66	153.44	5.4	0.45	13.92	76.28	62.35	20.66	31.77	91.71	52.83	95.46	47.17	66.2	32.49	0.39	89.28	64.45	30.03	118.19	75.06	0.14	0.0	0.6	0.0	0.0	0.0	64.77	56.07
