	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_17	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_107	Htr3a_tdTpositive_cell_111	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_159	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Acss1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	145.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.99	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	21.61	22.22	21.72
Adam5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.17	0.04
Adamts18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	1.16	1.46
Aldob	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.17	0.0	179.7	155.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.36	0.0	0.71	0.46	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	2.9	2.95	3.41
Apba1	10.58	0.09	0.0	0.0	13.12	1.42	16.65	0.0	0.0	0.0	0.0	0.0	12.25	0.05	3.11	0.0	0.0	0.03	104.41	0.07	17.86	14.37	0.46	12.76	0.0	0.0	0.0	0.13	7.03	2.96	2.77	5.06	3.84	6.1	1.15	5.99	1.84	0.0	0.0	0.0	9.17	23.13	23.17	0.0	76.46	78.19	83.66
Astn2	0.82	0.31	0.14	0.0	12.84	0.11	0.64	0.0	0.0	4.69	0.0	0.12	0.16	0.0	0.44	0.0	0.29	0.22	6.98	0.0	0.26	0.0	0.0	11.67	0.24	0.0	0.63	0.0	0.53	1.3	0.25	1.77	0.59	0.37	0.07	0.0	0.06	0.0	0.0	0.05	0.0	0.0	0.0	0.1	24.18	24.75	22.11
Baat	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.21
Btaf1	2.06	1.46	0.1	3.92	0.0	1.06	26.17	0.86	2.4	1.13	0.0	0.0	0.48	0.53	0.24	0.04	0.89	34.4	80.31	1.21	0.93	12.8	0.09	0.14	7.26	12.3	0.39	36.03	8.11	1.17	0.89	3.18	5.21	7.8	0.18	14.47	0.03	0.13	0.97	1.82	24.55	4.24	32.57	0.06	16.02	14.48	15.6
C030023E24Rik	0.23	1.62	0.36	0.0	0.0	0.61	4.07	26.31	0.24	8.94	0.09	0.0	0.0	0.0	0.0	0.21	0.0	0.19	46.98	0.15	12.98	17.09	1.25	0.0	52.57	0.0	0.49	0.29	5.96	6.92	0.26	4.38	4.48	3.27	4.57	5.76	0.1	0.39	0.91	1.02	0.26	0.02	0.0	0.0	20.03	14.92	17.8
C330008G21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17
C630043F03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.44	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49	2.0	0.26	0.26	30.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.71	8.51	9.63
Capn9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.04
Car11	1.81	0.0	0.0	0.0	0.23	0.0	2.28	0.0	0.0	0.0	0.0	0.0	5.45	12.64	0.24	6.04	0.0	117.04	145.67	0.0	69.68	12.38	48.05	0.53	32.93	4.42	0.0	0.0	19.53	16.27	59.23	8.46	15.84	7.13	0.0	22.93	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	214.47	236.01	224.75
Cast	11.93	0.0	0.0	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.65	0.06	137.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.82	0.0	0.0	5.97	1.77	7.0	3.68	5.27	86.65	30.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48	6.88	7.46
Cbx6	7.21	2.21	0.0	0.0	0.36	2.63	3.33	0.0	0.0	0.08	2.0	0.0	0.0	14.05	4.8	0.12	6.52	0.87	22.56	1.73	2.3	5.44	0.0	0.14	6.26	0.57	1.08	0.0	5.97	6.91	1.85	3.28	5.38	6.7	0.0	2.81	0.0	0.0	0.0	0.0	1.93	0.32	2.93	0.0	221.26	219.29	227.16
Cc2d1b	7.57	0.0	0.71	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	3.33	0.0	28.96	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.23	5.21	1.45	1.98	2.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	24.99	25.37	24.34
Ccbe1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	12.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67	4.4	4.37
Chrna7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	150.77	0.0	0.0	0.0	0.0	0.0	0.0	18.78	0.0	0.0	0.0	0.25	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.39	17.95	19.57
Clcn2	0.0	0.12	0.0	0.0	0.0	0.0	2.2	0.68	0.27	6.97	0.07	0.0	0.0	0.19	1.49	0.0	0.14	44.32	68.63	0.0	16.6	0.0	0.17	0.0	27.33	0.0	0.0	0.0	0.0	6.24	0.05	2.85	3.96	0.95	17.47	11.87	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	45.55	48.57	47.78
Clec16a	0.61	0.0	0.0	0.0	1.3	0.0	7.84	0.0	0.0	4.97	0.0	0.0	0.67	0.0	0.0	1.61	1.76	0.06	27.17	0.0	25.63	14.98	1.38	2.38	7.73	0.0	18.95	0.0	7.19	16.82	8.01	23.13	15.68	12.91	2.86	11.64	0.05	0.0	0.0	0.38	0.09	0.0	0.0	0.0	41.91	40.8	43.19
Col5a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	2.61	2.96
Col6a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	12.79	44.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.95	0.18	1.3	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.73	13.54	13.31
Ctdsp1	0.0	0.0	0.0	0.0	38.23	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	33.91	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.92	0.0	0.64	1.24	1.63	0.0	0.11	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	18.16	21.12	19.48
Cttnbp2nl	0.35	0.0	0.0	0.0	0.0	5.35	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	45.05	116.63	2.6	0.0	0.0	0.0	0.0	0.0	12.25	0.0	0.0	12.68	1.43	1.9	1.83	1.34	3.41	19.86	0.0	0.0	5.71	0.0	14.03	0.0	0.0	0.0	0.0	17.78	17.7	16.84
Cyp2s1	0.0	0.0	0.0	1.98	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	100.65	0.0	49.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	4.53	0.11	1.84	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.41	5.5	5.29
D630042F21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.06
Ddn	0.0	2.69	0.0	0.0	0.0	18.52	3.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.55	9.69	5.05	0.12	53.35	3.37	28.39	0.0	0.17	0.0	16.3	0.0	0.0	0.0	5.8	13.1	8.3	4.05	9.33	6.0	0.0	7.26	0.0	12.77	1.28	0.06	0.0	0.0	0.0	0.0	810.02	858.91	858.46
Dnahc17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03	0.01	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.53	0.37
Dspp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Elmo3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	1.7	1.66
Enox2	13.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	69.57	0.0	82.02	50.72	0.0	118.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	0.41	4.25	8.05	0.77	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.96	9.2	7.17
Epc2	50.43	0.0	2.32	0.0	0.0	0.66	30.58	0.0	0.0	6.84	2.57	23.05	37.91	0.0	0.0	40.28	0.0	2.1	80.9	0.0	0.0	0.0	4.54	22.75	0.13	4.85	18.39	0.0	5.78	4.16	3.51	20.46	13.94	9.09	0.0	0.0	0.0	0.0	0.0	0.0	42.6	0.0	0.0	33.45	27.44	27.33	26.76
Farp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	0.0	0.0	0.0	0.0	17.84	0.0	2.24	0.0	0.0	0.0	0.0	6.46	0.0	0.0	0.0	0.76	4.24	0.0	0.45	0.0	15.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09	4.05	4.18
Fgfr1op	26.17	61.82	0.0	0.0	0.0	0.0	0.0	0.11	0.0	97.6	105.12	0.0	0.37	0.11	0.11	0.0	115.12	0.06	123.6	9.35	11.67	18.63	0.0	0.0	1.13	0.0	39.95	0.0	11.62	27.54	6.64	28.46	27.09	24.65	0.0	69.04	0.0	0.09	0.0	0.08	0.97	0.14	0.0	0.0	14.94	14.73	15.73
Fxyd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.2
Galc	0.0	0.0	21.42	0.0	18.74	2.0	0.0	0.0	1.94	32.53	0.0	0.0	0.0	0.0	0.0	0.0	0.11	9.84	39.18	29.53	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	1.73	0.28	0.21	3.76	2.86	3.17	0.0	0.0	0.0	0.08	0.46	0.0	0.0	0.0	0.0	0.0	21.16	21.38	21.02
Galns	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.13	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.14	0.0	0.22	132.59	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	8.87	0.0	0.08	1.04	6.62	0.4	0.0	23.71	0.0	0.0	0.0	0.0	0.0	0.0	14.71	0.0	7.08	6.82	7.4
Gins1	12.82	0.0	0.0	0.0	0.0	0.0	0.0	485.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.59	0.0	0.0	3.69	1.96	0.58	0.0	0.0	0.0	0.0	0.0	0.0	122.05	0.0	0.0	0.0	1.44	2.27	1.49
Gins2	0.07	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.82	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	1.76	2.36
Gm10345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.37	0.63
Gm14431	1.11	0.0	2.06	0.7	1.23	0.65	0.99	0.0	0.0	1.31	1.02	0.48	0.0	2.71	0.13	0.0	0.0	0.26	35.56	0.0	0.28	0.0	0.36	0.0	1.11	0.0	0.89	0.7	1.14	0.71	0.72	0.99	0.9	1.65	2.13	4.76	0.0	1.51	0.0	0.0	3.76	0.0	0.37	3.49	8.87	7.17	8.34
Gm16576	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.68	0.54
Gm19557	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.14	0.0	0.0	0.19	0.0	0.13	0.0	0.0	0.0	0.34	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.22	0.34	0.36
Gm19710	0.0	0.0	0.0	0.0	2.48	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.59	1.72	0.0	3.05	0.0	61.66	0.0	0.0	0.0	0.0	0.0	10.8	11.37	0.0	0.87	0.6	0.0	2.33	0.5	4.63	0.58	0.54	0.0	0.0	4.31	0.0	0.0	0.0	0.0	0.0	0.0	1.94	1.79	1.72
Gm3448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3696	74.28	0.0	0.0	1.63	5.47	0.0	10.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.61	1.29	3.31	0.0	0.0	0.0	0.0	0.0	4.7	0.0	3.34	3.89	3.45	2.73	5.09	0.51	2.79	0.0	0.0	0.0	0.0	0.0	39.53	0.0	0.0	0.0	8.77	8.4	8.13
Gm711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.56	0.28
Gm8898	1.11	0.0	2.06	0.7	1.23	0.65	0.99	0.0	0.0	1.31	1.02	0.48	0.0	2.71	0.13	0.0	0.0	0.26	35.56	0.0	0.28	0.0	0.36	0.0	1.11	0.0	0.89	0.7	1.14	0.71	0.72	0.99	0.9	1.65	2.13	4.76	0.0	1.51	0.0	0.0	3.76	0.0	0.37	3.49	8.87	7.17	8.34
Gnptab	9.62	0.0	7.14	0.0	25.05	0.0	5.87	0.0	25.71	0.0	0.0	0.13	2.86	27.83	0.07	8.05	57.54	61.68	88.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	0.0	6.47	5.99	5.41	9.19	8.92	8.72	2.21	15.32	0.0	0.11	37.21	0.0	0.0	0.0	10.12	0.14	45.79	42.45	41.67
Gpr180	0.29	0.01	0.59	0.22	0.69	0.09	30.79	0.28	0.12	63.2	0.0	8.17	0.19	0.01	0.33	0.09	0.48	0.0	119.36	0.59	0.52	1.52	0.0	0.27	0.45	0.34	0.23	1.21	0.12	0.26	2.52	3.65	1.33	4.57	0.7	0.0	0.1	0.0	0.0	0.18	30.17	0.02	0.0	0.08	20.98	19.71	20.62
H2-K1	0.0	0.0	0.0	0.0	0.0	60.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.51	30.73	29.74
Hist1h2bq	0.0	0.13	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.25	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.31	0.09	0.07	0.0	0.07	0.11	0.53	0.0	0.0	0.0	0.0	0.07	0.0	0.28	0.0	0.0	0.0	0.38	0.28	0.38
