	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_30	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_81	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_66	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_174	Scnn1a.Tg3_tdTnegative_cell_24	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bscl2	132.95	46.59	0.0	0.0	0.26	129.52	0.26	261.33	246.45	106.88	0.0	5.86	0.0	242.04	0.0	240.38	286.19	87.74	129.12	77.68	88.33	255.26	225.94	346.35	391.9	408.07	227.68	333.23	0.0	340.57	91.92	86.21	82.76
C1qtnf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.34	0.0	0.0	0.0	0.0	0.0	2.4	2.97	1.71
Cap2	73.77	0.07	0.0	0.0	0.09	92.13	162.76	128.66	137.6	9.46	0.0	2.88	152.4	113.92	0.07	52.75	39.47	82.18	21.83	17.65	34.26	94.45	57.55	128.81	185.08	98.13	107.59	0.97	0.0	59.93	177.73	166.37	172.65
Casd1	133.98	0.06	0.0	0.0	0.0	0.0	0.04	19.98	36.11	2.34	0.0	1.11	6.57	22.94	0.0	5.98	2.06	30.0	0.0	41.98	43.61	2.19	13.07	56.33	168.26	23.87	5.4	0.95	0.0	37.38	55.02	51.3	49.9
Cdon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	10.77	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	6.17	5.86	5.96
Chchd2	69.28	139.3	0.0	338.55	0.0	36.63	99.22	132.64	494.97	68.97	4.08	173.9	36.77	126.03	0.44	457.77	53.55	144.36	279.16	495.15	380.6	709.76	831.07	1023.38	851.43	1015.37	455.15	130.23	214.63	511.27	435.14	486.26	475.27
Clec2e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	1.57	0.0	0.0	1.26	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	1.9	0.0	0.52	0.0	0.0	0.0	0.29	0.21	0.14
Cmya5	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	8.17	0.0	0.0	2.18	0.0	0.0	2.38	2.25	2.65
Colq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.69	1.38	0.0	0.0	0.0	0.0	0.86	0.95	1.2
Cox5b	128.04	16.54	0.0	335.54	0.0	1302.04	0.6	1032.9	260.08	141.72	1023.42	12.09	117.21	189.94	251.02	795.76	88.82	104.38	251.57	588.09	366.53	1283.93	1164.9	1154.36	1256.08	971.06	215.3	15.97	143.59	1599.9	433.07	473.45	475.76
Dctd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.36	0.0	962.93	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.36	77.04	0.0	0.0	0.0	0.0	0.0	9.65	7.56	10.1
Ddx25	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.94	8.18	0.54	0.0	0.0	40.07	0.0	0.4	114.85	0.0	1.31	4.99	136.59	37.58	60.38	102.8	92.54	0.0	83.65	1.44	0.0	148.99	58.59	56.65	53.14
Dgcr6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.53	52.08	0.0	0.0	24.78	27.96	45.92	0.0	15.71	0.0	0.0	11.39	15.48	13.34	0.0	59.28	83.89	140.06	79.03	39.0	0.97	0.0	15.62	58.72	63.7	59.46
Dnajb6	159.05	88.79	169.24	0.0	0.0	1.07	0.0	126.43	446.73	3.25	0.55	5.2	63.65	39.14	0.0	94.71	164.32	59.39	28.98	190.07	59.18	144.71	267.23	111.89	364.24	316.63	76.57	0.0	258.83	149.48	221.99	220.84	215.36
E330011O21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.13	0.0	0.0	0.0	0.0	0.0	0.42	0.6	0.77
Eif1b	11.53	0.0	0.0	0.0	0.0	0.0	21.0	670.48	77.93	13.69	88.1	1.2	119.73	55.24	2.2	182.69	95.9	33.62	261.34	60.24	234.5	166.94	322.68	303.96	1023.55	174.62	337.19	664.09	0.0	141.26	166.35	187.65	164.64
Epb4.9	1.95	0.36	0.77	3.19	1.59	2.18	0.19	100.34	170.27	12.54	6.21	2.68	3.53	19.03	0.2	47.72	6.47	5.94	9.29	24.3	32.99	54.54	44.16	62.89	68.93	30.59	19.58	35.94	0.0	33.04	204.98	211.43	207.52
Ephx4	187.47	0.0	0.0	0.0	0.0	0.0	0.0	27.0	180.01	91.88	0.0	1.71	40.53	59.1	0.31	77.76	5.52	35.73	0.0	95.76	6.69	56.6	178.99	213.4	257.68	179.69	128.02	1.94	0.0	229.06	90.88	86.8	82.6
Fam151a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	381.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13
Fbxo6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	1.79	0.0	0.0	0.0	65.93	38.4	0.0	44.76	0.0	16.45	72.55	58.48	0.0	61.31	0.0	0.0	0.0	0.0	0.0	24.52	27.24	24.35
Foxr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7	0.0	0.12	0.0	0.0	0.0	0.77	0.64	0.6
Gm10046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.0	0.0	13.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	4.51	0.0	15.39	0.0	7.53	0.0	0.0	0.0	0.72	0.65	0.42
Gm12657	19.62	0.0	6.14	0.5	1.45	0.75	0.0	0.0	0.77	0.0	3.99	220.67	0.0	6.69	0.0	0.43	0.68	0.63	0.6	0.0	0.53	1.78	1.56	5.32	58.4	0.0	5.15	0.0	0.0	0.0	4.17	3.12	4.17
Gm6367	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.09
Gstm3	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Guk1	147.99	45.54	0.0	0.0	8.7	24.4	0.0	15.44	0.0	0.0	0.0	2.35	27.72	62.38	0.0	160.35	73.59	5.31	162.37	157.73	129.95	245.77	170.37	483.59	281.75	145.67	79.02	0.0	0.0	115.53	146.44	161.54	150.98
Hsd3b5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hus1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Klrb1c	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	5.31	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.08
Lcat	0.0	0.0	0.0	0.69	0.0	65.26	172.46	0.0	0.0	0.0	1313.29	1689.9	0.0	0.0	0.0	0.0	0.0	36.46	0.0	26.73	0.0	0.0	0.0	0.0	75.62	0.0	0.0	0.0	0.0	0.0	28.14	29.0	26.24
Llgl2	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12	0.0	0.0	0.0	0.0	0.0	0.78	0.58	0.46
Lmo3	130.0	133.3	0.0	0.0	0.0	15.45	0.0	161.86	0.6	0.1	0.43	5.04	309.98	158.14	0.0	71.73	69.61	63.24	28.94	43.77	60.16	596.96	705.86	181.09	491.28	236.71	207.63	21.7	0.0	243.14	104.32	108.58	102.18
Med28	16.18	0.0	0.0	103.78	0.24	32.65	8.55	0.0	20.39	0.24	1.74	0.0	3.22	11.15	174.66	12.34	0.3	0.52	10.77	24.73	8.64	29.2	19.86	52.05	69.29	10.21	16.3	0.0	0.0	33.78	25.89	25.64	25.66
Mir3074-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.88	0.0	0.0	0.0	0.0	0.0	4.06	5.39	8.37
Mir467d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31	27.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir669k	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mphosph10	0.0	0.0	0.0	0.21	0.0	72.06	0.0	13.55	17.18	0.88	0.0	395.82	0.0	0.0	1.41	28.67	22.45	0.0	0.0	0.0	0.75	11.2	0.0	21.77	47.06	22.19	13.58	0.0	0.0	0.0	15.33	15.66	14.2
Mthfd1l	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.13	0.08	0.0	0.0	0.0	0.0	2.04	0.0	0.04	0.0	4.57	0.0	0.0	0.0	0.99	0.0	0.0	21.04	0.0	0.0	0.0	0.0	0.0	11.6	11.12	8.46
Myo5a	1.4	4.61	0.07	0.0	0.07	4.37	0.04	88.57	28.65	20.66	0.32	0.97	69.14	25.89	0.03	56.94	55.96	12.08	36.2	74.42	55.38	74.0	55.52	102.2	81.19	39.84	42.52	10.52	0.0	90.14	147.23	132.38	154.8
Naa30	0.0	11.05	0.0	0.0	0.0	0.0	0.0	0.0	11.81	0.05	0.0	12.9	0.41	0.0	0.0	0.0	3.47	3.39	0.0	46.64	6.64	0.0	35.54	1.53	85.52	0.0	38.31	0.0	0.0	31.96	30.13	27.89	27.27
Nap1l5	364.34	130.09	0.0	0.0	0.25	276.35	0.34	148.79	251.04	109.4	0.0	707.08	85.13	168.54	0.0	477.83	185.71	74.93	173.63	116.15	161.43	354.8	677.82	563.8	312.53	345.42	237.02	2.54	0.0	511.9	380.73	391.04	354.8
Ndufa10	92.21	0.21	0.0	0.0	0.39	2.94	0.13	575.97	273.15	30.47	391.46	4.47	43.92	61.13	20.66	319.45	145.99	48.59	38.96	294.11	169.5	304.16	597.16	727.04	695.91	258.34	81.06	20.22	0.0	100.36	203.73	210.1	204.47
Negr1	2.4	0.1	0.0	0.0	0.0	0.55	0.09	18.83	52.03	14.46	67.45	2.46	0.19	3.18	3.34	51.55	1.16	18.85	1.55	9.53	2.36	19.05	23.27	26.67	99.6	22.35	0.97	0.47	0.0	22.42	132.03	133.65	130.93
Npm3-ps1	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.28	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.21
Nptn	319.76	188.67	0.0	430.63	341.62	406.36	0.23	354.58	341.0	86.73	333.82	282.76	606.25	631.71	0.0	385.3	495.34	504.09	478.41	792.24	293.62	355.93	616.29	491.52	713.49	667.0	501.39	557.7	180.62	1085.08	672.66	660.92	623.27
Odz4	0.0	1.73	0.0	0.0	0.0	0.06	0.0	0.73	5.85	0.72	0.0	0.29	0.0	4.07	0.0	15.5	0.1	0.04	0.35	0.0	11.48	9.72	1.16	8.96	10.54	7.91	2.77	0.11	0.0	29.91	30.76	27.31	33.46
Pcmtd2	0.0	1.04	612.25	0.0	0.13	9.97	42.41	90.07	119.9	0.49	0.25	0.0	17.35	47.76	244.55	46.91	33.33	43.81	1.22	40.73	42.91	56.77	108.14	58.84	138.47	76.06	37.46	76.47	0.0	56.63	71.56	69.41	69.17
Pex14	37.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08	0.0	0.86	1.01	7.92	0.0	37.56	1.07	0.0	0.23	15.67	103.67	52.55	35.05	0.0	0.0	0.0	48.28	53.86	50.16
Pip5k1a	3.18	0.0	0.0	0.0	150.75	23.57	0.0	0.0	0.0	0.08	0.0	0.42	0.0	14.53	0.0	0.0	9.02	3.01	0.0	15.33	0.16	12.13	1.71	49.01	3.69	66.0	22.82	2.83	0.0	20.58	49.38	49.47	46.82
Pnmal2	0.92	6.98	0.0	0.0	0.0	0.0	0.0	1.77	3.77	0.36	0.0	1.01	1.83	3.69	0.0	39.01	23.39	4.57	2.2	13.26	24.66	0.85	23.67	15.51	58.41	33.38	22.11	23.38	0.61	52.4	188.1	213.32	193.8
Ppp1cc	3.93	9.16	0.0	0.0	0.19	0.24	0.0	0.0	1.05	6.53	7.49	2.22	8.87	19.98	0.0	122.03	42.64	77.18	5.46	40.02	167.53	255.07	76.89	88.76	216.38	168.42	63.0	0.0	0.0	112.17	191.89	210.87	186.07
Ppp4r4	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.31	0.0	0.0	1.68	0.0	0.0	0.04	0.0	0.0	0.0	3.24	0.11	21.54	23.54	16.29	26.89	29.01	3.26	0.0	0.0	56.76	31.69	30.21	31.64
Prss51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rassf1	0.0	0.0	0.0	0.0	0.0	0.0	81.15	0.0	0.0	0.0	0.0	1.23	54.23	69.44	395.37	60.81	4.23	0.0	79.49	0.0	41.29	7.73	1.78	0.0	126.54	10.09	0.0	0.7	661.55	80.36	19.73	20.15	16.18
Rbfox1	58.99	2.08	0.0	0.0	0.0	11.07	0.05	45.37	102.3	54.3	0.0	1.28	91.05	81.81	0.0	65.41	54.96	64.17	66.71	39.11	74.47	92.51	97.41	119.05	150.62	209.36	190.51	7.7	0.0	191.11	198.25	185.0	193.44
Rnd2	206.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.37	481.34	0.0	134.06	358.61	31.22	375.53	93.63	424.43	337.66	248.83	651.38	487.14	401.88	386.17	0.0	0.0	239.34	191.18	202.8	204.19
Rpl30	69.01	22.89	69.47	0.0	0.0	219.84	208.91	0.0	78.35	25.64	0.0	0.0	10.54	0.0	0.0	20.37	27.35	13.9	88.03	0.0	9.21	19.26	20.71	8.89	52.8	73.09	84.31	28.05	0.0	133.24	29.27	29.0	28.47
Sap30bp	0.26	0.0	0.0	0.0	0.0	0.0	0.0	22.17	0.0	0.0	606.35	1.52	35.29	132.49	229.18	2.23	58.86	42.32	74.68	57.2	0.0	51.49	40.61	13.84	115.65	7.38	57.33	257.72	0.0	106.53	40.78	45.17	44.77
Serpind1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.92	0.0	0.0	88.18	0.0	0.0	3.62	3.5	2.2
Setd7	0.0	0.07	0.0	0.0	0.12	0.45	0.02	0.78	3.38	0.15	0.15	0.14	15.58	16.32	0.0	8.15	6.71	6.94	0.33	45.48	19.33	13.55	8.89	37.66	22.76	7.37	2.81	0.16	0.0	4.47	83.54	75.5	83.81
Sncb	156.11	16.24	0.0	0.0	0.0	0.0	0.0	27.62	101.36	17.35	0.0	5.42	166.86	227.18	0.0	167.8	109.93	87.64	111.64	33.96	97.02	323.56	251.42	271.07	285.72	224.21	246.96	111.71	0.0	224.47	500.1	550.38	513.95
Tectb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57	0.0	0.0	0.0	0.0	0.0	1.12	0.55	0.75
Tiam1	0.0	0.0	0.0	0.0	0.0	0.41	0.0	2.46	16.25	0.15	0.0	0.5	4.98	8.25	0.0	2.04	1.32	3.39	0.0	1.52	12.9	18.23	54.69	18.1	17.33	32.32	16.92	0.0	0.0	26.31	49.18	48.48	49.58
Top1mt	76.01	0.13	0.0	0.0	0.0	15.96	409.84	0.0	5.14	0.0	0.0	0.0	0.0	13.99	0.0	0.0	0.15	0.0	0.0	0.0	0.22	0.0	0.0	3.77	0.0	113.63	0.0	0.0	0.0	72.68	16.82	16.83	16.92
Tor3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	26.77	0.0	0.0	0.11	0.0	0.0	0.0	0.0	20.52	0.96	0.0	0.0	0.0	1.89	5.33	5.36	5.32
Uba2	31.53	47.45	0.0	0.0	0.0	16.69	0.0	0.0	122.77	0.0	0.0	1.25	49.13	46.44	265.5	52.68	0.11	0.0	5.57	0.0	0.0	77.48	49.24	80.72	166.91	43.42	80.83	20.21	0.0	135.85	87.74	91.32	82.99
Wdr1	31.66	24.24	0.0	211.39	0.16	9.4	0.16	42.87	93.42	44.76	1.23	130.86	9.29	18.82	0.0	27.0	4.44	43.02	38.19	73.96	64.1	20.79	30.71	11.76	80.61	156.9	8.03	4.55	100.49	216.72	109.52	120.54	108.93
Yipf5	0.59	105.18	0.0	0.0	0.0	2.59	35.94	44.92	65.96	0.0	0.0	2.72	38.93	35.18	0.17	66.81	18.44	56.49	38.82	0.0	0.0	80.77	129.74	115.42	183.43	41.57	52.21	79.3	0.0	0.27	45.01	45.67	45.24
Zbtb4	20.77	6.34	0.0	0.0	14.84	12.64	0.91	15.91	26.98	0.3	15.51	0.26	0.18	44.83	0.0	34.67	18.28	1.08	1.24	15.21	36.22	39.92	38.69	16.01	42.12	17.76	25.95	0.22	0.0	28.92	45.98	45.72	45.3
mt_AK162500	6442.59	3572.39	1193.59	10812.53	12997.01	18017.62	16972.65	15862.29	13510.06	31266.91	14108.84	20312.88	5766.72	4754.94	7235.15	4793.24	4369.2	18115.72	6572.68	13178.06	13163.08	5111.95	4530.04	4849.59	4540.82	4723.82	4269.72	16571.2	10185.46	4958.28	16158.33	15507.36	15898.39
