	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_12	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_15	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
B230312A22Rik	25.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	74.45	78.32	0.62	0.0	0.83	0.0	16.39	0.0	2.4	0.04	0.0	0.96	17.77	0.11	0.0	0.0	2.41	0.3	0.0	0.0	0.0	0.0	1.74	14.04	0.0	24.58	3.04	0.0	0.0	0.0	14.37	0.08	0.0	3.33	0.0	0.0	0.0	12.52	0.0	0.11	0.0	0.0	0.0	0.3	33.63	4.88	0.43	4.41	3.36	1.73	29.4	30.16	29.99
BC057079	6.23	24.64	16.5	0.0	0.0	0.0	0.0	7.58	1.0	0.0	155.29	53.69	0.0	7.76	6.44	5.95	22.06	11.55	12.51	44.4	18.97	46.03	8.56	3.95	3.05	0.55	1.96	22.7	21.19	0.3	7.48	13.13	26.72	37.09	5.08	0.25	6.07	10.02	34.33	31.27	19.72	43.48	7.38	0.0	0.0	0.0	17.64	7.21	0.06	77.27	0.9	37.97	0.67	15.63	6.34	10.52	6.74	9.41	9.18	22.29	21.25	22.45
Bphl	75.64	59.89	36.09	0.0	0.0	0.0	0.0	108.2	37.17	80.16	563.41	83.04	0.0	0.0	0.0	47.46	0.0	0.0	0.0	76.13	43.32	41.42	14.75	53.41	0.0	25.82	66.48	111.03	0.0	49.99	149.99	0.0	7.08	30.81	45.29	24.65	185.0	0.0	15.35	7.75	67.9	172.95	65.35	0.0	0.0	0.0	0.0	86.58	55.09	59.81	115.58	1.59	62.27	3.68	82.69	59.8	83.79	74.88	72.63	35.96	37.97	34.24
Camk2b	48.2	7.72	60.25	0.0	0.0	0.0	0.0	18.69	169.23	53.32	73.92	80.67	0.0	61.25	8.38	11.14	13.63	5.33	74.42	38.25	18.98	17.41	40.11	2.33	68.66	25.39	41.51	5.29	25.65	43.27	14.51	1.02	7.47	5.6	7.22	44.37	9.8	35.99	25.41	25.5	5.45	1.92	71.21	0.07	37.11	0.0	3.38	9.98	3.3	31.18	50.98	1.52	41.81	8.19	107.35	93.62	111.69	73.92	114.56	532.26	557.69	545.35
Cd38	1.1	2.33	0.41	669.98	0.15	0.6	0.16	0.83	0.78	3.25	3.49	1.85	0.38	0.53	0.78	1.62	2.6	0.63	1.73	0.66	0.69	1.01	1.52	1.84	0.29	1.0	1.13	0.65	0.66	1.31	1.34	0.73	0.83	0.0	0.86	1.09	1.93	0.73	0.73	0.64	1.22	1.81	3.05	0.0	0.0	0.0	0.74	0.91	1.73	0.97	0.81	2.68	2.28	0.33	1.23	2.02	2.1	5.52	0.98	8.08	7.82	8.58
Cdc25b	0.0	38.35	0.26	0.0	0.0	0.0	0.0	0.0	0.0	160.62	121.93	17.24	0.0	0.22	1.18	8.99	0.0	0.0	0.0	0.03	0.0	26.38	0.0	0.0	0.26	0.0	0.0	27.17	21.38	20.62	0.0	0.0	0.0	0.0	0.0	2.61	0.0	0.0	0.0	19.69	0.0	26.59	13.02	0.0	0.0	0.0	0.09	0.0	0.11	0.0	1.09	0.6	0.0	0.8	16.11	8.15	6.94	11.4	13.85	18.23	18.87	18.12
Celf5	1.12	10.21	5.71	0.0	0.0	0.0	0.0	12.31	14.52	17.05	25.91	13.53	0.0	0.59	10.36	2.85	0.08	18.01	23.67	2.48	0.84	4.36	6.0	2.56	9.59	1.51	3.27	0.0	9.43	6.74	11.88	13.49	6.27	14.01	4.61	7.42	17.19	10.53	4.47	0.04	0.05	2.79	24.53	0.0	0.0	0.26	11.41	17.07	11.75	10.54	12.63	22.8	5.35	1.2	23.22	23.71	28.87	60.86	57.82	163.01	160.05	172.09
Celsr2	10.52	13.23	9.91	0.0	0.0	0.0	0.0	8.34	13.22	0.21	21.29	0.57	0.04	0.98	2.95	6.19	9.26	4.46	2.54	4.87	2.24	13.68	0.46	1.88	7.32	0.57	11.46	0.64	0.93	0.11	1.86	2.42	4.46	0.0	5.52	6.61	16.83	6.14	10.45	9.19	6.28	0.56	10.88	0.05	0.0	0.0	0.08	12.33	9.78	0.25	3.18	0.84	2.01	4.87	20.02	19.69	15.36	14.23	13.58	73.45	73.3	82.99
Chpt1	10.72	0.0	0.82	0.0	0.0	0.0	0.0	0.0	18.85	8.8	94.12	0.0	0.0	0.0	36.45	0.0	0.46	13.92	2.78	0.0	3.59	0.0	0.29	0.0	21.57	13.98	0.0	1.18	0.0	0.0	10.13	8.69	29.76	0.0	49.25	0.0	22.72	0.0	6.68	13.54	0.0	0.0	5.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.97	0.0	1.59	0.0	12.1	2.17	7.27	3.67	3.59	33.45	24.64	32.57
Cul7	0.0	0.0	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.98	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	13.76	0.0	5.72	0.0	0.0	0.54	19.98	0.0	0.0	0.0	4.12	0.0	0.0	0.0	1.77	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.09	0.0	0.0	0.0	4.47	0.86	3.34	0.62	0.27	0.31	16.11	17.36	15.39
Dgat1	0.0	0.0	26.52	0.0	0.0	0.0	0.0	2.5	3.13	67.29	119.55	0.0	0.0	0.0	1.06	14.59	0.07	0.0	0.0	0.0	0.0	5.56	0.71	0.32	31.31	1.17	44.39	0.0	0.0	5.4	33.13	21.72	0.49	1.36	27.63	0.0	0.0	0.0	0.0	0.82	12.25	0.0	17.47	0.0	0.0	0.0	0.83	35.76	0.0	23.86	0.0	79.62	0.0	0.36	0.1	4.63	2.56	13.13	8.81	21.45	24.76	22.93
Dhx32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	11.07	0.0	146.84	0.19	0.0	16.03	7.63	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	31.2	0.0	85.69	0.0	0.0	6.2	20.46	50.32	0.0	0.0	0.0	0.0	3.88	0.0	0.0	13.41	0.0	0.0	0.0	2.29	0.0	0.0	0.0	3.09	16.55	0.0	73.42	2.17	0.0	11.62	0.0	2.28	9.03	6.68	5.29	5.64	26.99	28.24	26.97
Dlc1	0.1	0.0	4.44	0.0	7.73	0.25	0.33	0.07	22.17	3.42	66.97	15.12	0.0	0.0	0.18	0.0	0.03	0.08	0.34	0.42	0.14	3.82	0.0	1.63	0.06	0.06	0.92	10.32	7.32	0.0	0.0	0.0	0.0	0.0	0.08	0.0	8.73	0.06	0.18	1.89	0.09	8.51	0.87	0.0	0.0	0.0	0.0	5.61	0.05	0.0	0.0	2.46	6.45	0.0	15.7	16.5	20.13	5.3	9.51	32.01	31.18	28.49
E2f1	3.26	5.71	3.79	1.5	1.42	16.52	0.0	19.39	7.22	12.1	101.49	4.38	3.38	2.89	3.2	4.05	2.24	3.34	5.52	54.31	5.53	32.26	22.97	4.3	4.71	7.41	47.66	6.74	9.28	4.86	53.13	27.05	1.75	9.78	129.13	1.81	47.36	4.99	2.93	3.71	44.08	6.68	8.48	0.37	1.53	1.6	35.49	5.05	4.29	4.2	4.34	3.28	5.47	1.38	38.5	14.85	17.17	13.13	15.31	14.95	13.52	12.78
E2f3	4.1	2.93	0.0	0.0	0.0	0.0	0.0	0.04	0.0	20.37	31.36	6.06	0.0	5.39	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	1.93	0.0	3.67	0.0	0.0	0.51	0.0	4.75	0.0	0.0	4.26	0.0	0.0	18.14	0.0	0.29	0.55	0.06	0.0	0.0	0.0	2.84	0.0	0.0	3.09	0.0	1.71	2.59	7.34	4.85	0.62	1.62	1.28	15.93	16.73	15.67
Elk4	5.55	6.49	0.0	190.78	0.0	3.27	0.0	25.81	7.85	44.36	93.67	54.14	0.0	0.77	0.0	0.02	0.0	0.05	0.0	0.03	0.0	0.2	32.5	0.0	3.05	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.11	4.59	0.0	0.07	0.0	0.0	0.0	24.55	0.0	0.0	0.14	3.49	83.8	0.0	0.16	0.0	0.0	0.0	0.78	28.19	35.36	14.38	37.74	18.91	14.27	15.16	16.04
Epm2aip1	39.08	54.98	24.35	0.2	0.31	2.49	0.0	17.51	85.13	149.67	177.07	76.43	0.0	13.21	21.36	22.38	43.07	6.93	5.65	33.3	18.04	34.15	54.89	45.18	33.63	36.39	9.44	0.67	7.01	49.53	28.15	31.23	40.23	41.51	16.81	32.27	15.12	53.08	17.3	43.95	33.02	5.82	38.35	0.18	0.0	0.0	47.51	17.89	46.94	42.71	5.53	22.69	24.13	67.53	25.49	7.84	12.15	18.05	20.4	81.29	75.74	76.95
Fam177a	6.75	0.66	3.78	5.1	2.63	0.8	2.15	5.1	16.25	15.13	16.63	10.18	0.0	0.75	7.92	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	5.51	4.19	4.03	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	16.78	1.12	0.0	8.46	18.26	23.92	11.71	8.08	15.19	2.86	6.64	1.29	14.42	11.21	10.72	13.41	19.02	17.56	16.4	17.92
Fam19a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09	91.07	12.81	107.92	2.82	0.14	0.57	0.0	0.03	0.0	0.0	0.06	0.31	0.0	0.0	0.0	0.0	0.0	26.7	0.0	0.0	13.82	0.0	59.13	0.0	5.43	0.0	0.0	0.27	0.0	0.0	0.35	14.77	0.3	0.0	12.16	0.0	0.0	0.0	0.12	0.0	0.0	35.66	2.19	4.02	0.0	0.0	3.36	0.99	1.92	0.26	2.1	89.06	100.67	99.37
Fbxo11	38.19	56.2	65.32	0.0	0.0	0.0	0.0	49.81	92.13	187.79	191.97	28.41	212.74	20.27	9.08	0.12	0.0	128.13	48.89	0.03	19.36	54.13	24.93	9.17	11.45	28.87	49.95	13.44	91.58	75.62	62.04	2.6	35.17	33.42	34.75	27.56	0.0	75.63	0.0	61.51	57.07	45.8	75.69	0.0	0.0	0.0	52.39	0.11	79.05	16.2	80.86	57.97	37.43	88.36	44.83	29.6	33.66	61.64	40.12	82.98	81.77	83.57
Gabrb3	11.71	13.21	16.1	0.0	0.0	0.0	0.0	3.45	180.87	8.03	159.74	40.97	0.0	23.54	13.78	24.53	0.41	0.15	33.78	0.04	36.32	1.39	28.42	0.05	5.86	0.15	0.43	0.05	0.0	32.89	4.53	0.0	0.0	0.0	1.06	0.21	2.95	35.22	42.08	13.29	13.66	23.97	56.7	0.44	0.0	0.0	0.21	25.77	15.91	0.96	25.78	2.92	19.78	0.05	50.4	75.57	61.8	100.98	70.63	154.37	138.99	149.04
Gdf1	5.13	0.0	0.0	0.0	0.0	0.0	0.0	0.14	5.46	2.45	11.48	0.0	0.0	0.13	0.0	0.0	0.0	5.03	0.0	1.03	6.34	0.35	0.0	3.36	0.0	0.0	7.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	1.49	0.0	0.0	0.0	0.72	7.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.5	3.76	2.52	0.18	0.75	1.07	19.48	4.66
Get4	1.01	1.44	12.33	0.0	0.0	0.0	0.0	2.98	58.12	6.8	122.69	0.0	0.0	1.67	2.51	5.5	0.0	0.09	0.35	9.77	0.99	11.44	0.0	12.63	12.67	2.13	0.32	2.22	27.38	11.71	0.0	0.0	19.58	0.0	2.82	0.22	0.29	0.0	2.02	0.0	0.12	52.29	14.19	0.0	0.0	0.31	8.91	3.01	0.0	0.77	0.0	1.97	0.0	0.0	13.92	14.52	8.07	4.56	4.58	55.98	62.01	56.66
Glyctk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	45.2	91.68	0.0	0.0	1.0	0.09	0.0	0.38	0.04	0.0	0.05	0.03	0.0	0.0	0.0	0.09	0.0	0.0	0.0	9.66	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.06	0.15	0.0	0.0	0.0	0.08	0.0	0.0	0.08	0.05	0.0	0.0	0.2	3.72	0.0	0.0	0.14	0.5	3.95	4.7	4.28
Gm14430	8.29	2.27	0.0	0.0	0.0	0.0	0.0	12.4	17.47	19.54	23.07	13.78	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	0.37	0.47	0.12	6.27	12.37	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	6.69	0.03	0.37	0.0	2.39	0.82	0.0	0.0	4.29	0.26	0.0	8.42	6.89	5.17	4.81	4.14	4.22	7.67	5.07	7.49
Gm14434	8.29	2.27	0.0	0.0	0.0	0.0	0.0	12.4	17.47	19.54	23.07	13.78	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	0.37	0.47	0.12	6.27	12.37	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	6.69	0.03	0.37	0.0	2.39	0.82	0.0	0.0	4.29	0.26	0.0	8.42	6.89	5.17	4.81	4.14	4.22	7.67	5.07	7.49
Gm4724	8.29	2.27	0.0	0.0	0.0	0.0	0.0	12.4	17.47	19.54	23.07	13.78	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	0.37	0.47	0.12	6.27	12.37	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	6.69	0.03	0.37	0.0	2.39	0.82	0.0	0.0	4.29	0.26	0.0	8.42	6.89	5.17	4.81	4.14	4.22	7.67	5.07	7.49
Gns	23.77	56.82	0.0	0.0	0.0	0.0	0.0	28.25	50.37	1.16	85.52	0.0	0.0	0.94	22.8	1.53	0.06	2.27	0.0	0.05	27.38	24.18	0.0	9.31	0.0	0.0	23.07	0.0	0.26	56.98	26.45	2.29	0.0	0.0	0.0	0.0	0.07	16.32	7.69	0.0	0.3	0.7	6.94	0.0	0.0	0.0	19.87	0.0	0.0	0.0	8.09	0.0	0.0	1.61	7.81	4.58	9.03	7.77	9.94	70.53	71.42	68.64
Golph3	61.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.86	0.0	161.41	77.87	0.0	20.77	49.16	0.09	18.19	60.59	18.44	58.09	0.0	6.76	2.14	0.0	0.0	19.28	0.0	5.94	46.84	0.0	32.94	9.29	0.0	34.77	12.03	7.45	1.6	90.51	0.0	0.0	1.43	30.97	44.13	0.0	0.0	0.0	7.81	0.0	0.0	49.44	52.86	79.86	13.06	61.86	13.82	18.64	23.21	21.41	20.66	82.61	83.83	80.39
Gria3	15.14	16.08	1.22	0.0	0.0	0.0	0.0	63.22	116.85	248.04	399.52	123.31	0.0	9.91	46.25	20.36	0.05	45.87	0.13	0.94	35.67	4.44	3.37	30.79	0.07	0.0	38.48	13.52	28.84	11.32	22.78	24.04	53.1	0.09	29.36	24.07	22.78	0.06	51.51	56.14	0.22	1.27	189.07	0.16	0.0	0.0	42.33	29.15	0.63	107.9	8.22	0.99	12.74	39.18	231.22	212.28	187.87	335.92	223.69	145.23	119.79	146.2
Hcn1	3.27	7.68	0.07	0.0	0.0	0.0	0.0	8.07	20.71	25.39	66.87	20.83	0.0	4.32	0.09	3.76	9.74	7.49	2.92	8.76	18.16	5.02	19.09	2.92	0.15	0.3	0.38	0.04	14.19	0.04	9.25	3.77	2.45	0.0	0.92	1.56	0.14	0.0	25.86	32.42	22.51	8.27	38.48	0.0	0.0	0.0	2.93	0.0	11.66	0.16	4.1	0.64	9.53	0.0	13.55	23.67	5.97	10.74	10.0	28.29	25.28	29.23
Hsph1	102.17	81.55	29.03	0.0	0.0	0.0	0.0	146.2	131.07	96.95	111.36	31.12	0.0	24.98	68.95	48.8	76.29	41.2	59.87	8.35	54.55	114.17	2.48	61.36	89.15	127.85	152.85	76.48	84.93	184.7	46.07	87.36	118.19	3.84	110.71	87.15	55.6	31.53	179.71	31.45	35.93	100.05	100.55	0.16	0.0	0.0	54.03	53.82	76.24	6.38	34.37	188.32	0.26	23.92	235.88	315.47	201.63	213.44	203.15	238.03	226.06	225.17
Kbtbd11	0.35	3.39	0.15	0.0	0.0	0.05	1.36	9.46	0.36	0.0	47.62	8.0	0.0	0.19	0.0	0.19	0.12	14.1	0.1	0.2	0.13	4.15	0.16	4.04	0.13	0.06	0.51	0.04	0.0	0.25	0.1	0.07	0.0	0.12	0.07	2.36	3.47	0.32	0.12	0.03	0.13	9.1	1.41	0.0	0.0	0.0	0.08	3.24	0.16	0.33	0.15	0.17	5.33	13.48	5.0	16.47	6.02	9.62	12.34	53.75	58.79	54.92
Kdm5b	0.4	12.45	3.54	0.0	0.0	0.0	0.0	34.75	30.77	50.48	112.44	15.32	0.0	26.22	15.08	13.44	0.17	23.85	1.04	7.5	6.51	10.05	5.44	21.96	11.25	14.48	0.47	23.07	4.79	22.7	10.32	12.14	12.58	2.84	2.48	9.52	2.18	12.46	21.5	6.41	5.53	20.0	29.4	0.04	0.0	14.03	7.05	29.38	13.87	12.48	3.92	10.98	12.67	14.39	24.45	35.18	25.31	27.36	17.43	30.2	29.66	27.73
Krba1	0.0	0.19	0.04	0.0	0.0	0.0	0.0	0.0	23.06	0.08	34.83	0.0	0.0	0.0	0.0	1.27	1.04	13.86	0.11	0.0	3.27	5.37	17.82	7.53	0.0	15.52	0.04	0.0	0.0	16.31	0.36	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.4	5.56	0.56	4.53	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.07	13.91	0.0	4.36	1.82	2.54	1.55	2.74	18.03	18.34	19.19
LOC100044193	12.22	18.94	17.32	0.0	0.0	0.0	0.0	36.7	14.45	80.57	131.47	20.14	5.22	11.12	28.42	51.27	3.77	21.59	17.68	69.89	0.73	14.37	66.84	4.09	19.87	49.46	36.62	9.62	16.09	32.72	34.01	19.71	22.77	50.52	53.3	0.91	10.91	5.21	13.93	6.89	13.57	1.02	25.25	9.14	0.0	0.0	0.13	1.67	2.88	18.24	27.46	4.87	9.73	100.41	21.55	41.76	46.61	48.97	28.86	10.21	6.49	8.93
