	Chrna2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_7	Chrna2_tdTpositive_cell_19	Chrna2_tdTpositive_cell_21	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_37	Chrna2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_78	Gad2_tdTpositive_cell_72	Htr3a_tdTpositive_cell_78	Nkx2.1_tdTpositive_cell_16	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_36	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_61	Sst_tdTpositive_cell_62	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_77	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_102	Sst_tdTpositive_cell_107
Eif2ak2	31.15	42.71	22.04	25.14	12.47	15.95	24.72	16.85	13.94	4.6	5.1	4.48	8.87	28.05	32.53	1.62	1.1	25.36	29.7	34.26	14.06	39.08	19.9	24.86	48.09	34.17	5.48	26.4	32.78	12.19	10.09
Fam169b	13.49	12.17	10.39	13.93	3.59	11.18	8.71	2.56	4.15	1.41	1.34	1.42	6.35	14.53	8.42	1.83	0.43	10.33	14.92	18.31	6.58	15.26	3.63	11.45	14.09	12.07	8.66	6.97	19.57	5.29	13.14
Gm6602	15.19	15.64	7.64	6.82	3.42	4.76	10.74	6.68	6.03	1.83	0.83	0.82	3.15	9.43	7.87	0.55	0.0	10.16	9.86	27.47	7.86	13.93	6.05	12.55	21.6	20.54	4.32	10.57	7.68	3.01	4.61
Itga4	8.75	5.73	4.41	2.46	1.93	2.08	1.33	3.15	0.91	1.44	1.64	0.77	1.96	4.11	5.3	1.12	0.0	2.73	4.36	3.31	2.97	6.73	3.71	4.59	7.7	7.99	4.0	5.44	6.59	1.54	0.97
Lrrn4cl	9.77	8.33	7.43	5.73	2.98	8.45	3.92	4.81	5.85	1.0	2.84	2.94	2.09	9.42	12.27	1.06	0.0	9.89	5.72	7.88	3.99	9.22	2.74	9.58	10.6	9.03	2.47	5.99	12.79	1.91	2.17
Nrp2	0.81	0.24	0.24	0.37	0.21	0.35	0.16	0.17	0.14	0.07	0.0	0.1	0.13	0.8	1.26	0.0	0.0	0.55	0.41	0.22	0.31	0.86	0.22	0.19	0.8	0.63	0.36	0.39	0.88	0.1	0.12
Pi15	17.38	24.0	11.05	13.25	8.13	12.98	12.91	9.37	5.66	1.67	1.26	2.0	5.78	14.75	16.88	5.24	0.04	14.01	15.93	19.14	8.6	20.85	14.98	64.3	28.84	18.42	3.61	17.37	29.92	8.21	2.61
Rab3b	2161.57	2146.67	1463.18	1681.63	1767.73	1887.83	1354.49	1876.22	2165.23	2193.28	1811.14	1470.43	1908.94	2277.65	1603.74	1489.11	1452.39	1762.71	1695.59	1928.53	1576.88	1851.85	1773.17	1940.41	2008.83	2254.63	2380.34	2021.77	2300.38	1605.57	1770.27
Skint4	8.16	8.02	2.11	7.19	1.8	4.59	4.0	2.04	2.0	2.19	0.48	0.91	1.81	8.91	10.05	0.18	0.0	4.75	7.15	9.22	1.76	8.17	4.35	4.57	14.96	7.14	2.34	7.88	8.34	2.53	2.98
Slc23a1	7.69	7.77	7.17	6.08	2.94	5.93	5.46	4.23	4.62	2.29	2.81	2.52	3.61	8.41	9.44	2.29	0.95	5.52	5.54	8.39	3.75	5.13	5.27	6.26	11.58	10.03	2.7	5.48	6.68	3.08	3.21
Sp110	18.52	10.6	5.15	7.61	4.11	4.25	4.52	0.65	2.15	1.4	0.07	0.21	2.39	11.4	12.53	2.09	0.15	5.92	7.82	4.69	9.98	15.12	3.68	9.09	9.31	3.97	7.55	5.46	14.84	2.64	3.18
Sprr2a1	0.29	1.02	0.18	0.33	0.0	0.22	0.0	0.0	0.09	0.0	0.06	0.0	0.05	0.76	0.31	0.0	0.0	0.65	0.21	0.0	0.12	0.51	0.0	0.74	0.66	0.86	0.12	0.19	0.85	0.0	0.0
Sprr2a2	0.29	1.02	0.18	0.33	0.0	0.22	0.0	0.0	0.09	0.0	0.06	0.0	0.05	0.76	0.31	0.0	0.0	0.65	0.21	0.0	0.12	0.51	0.0	0.74	0.66	0.86	0.12	0.19	0.85	0.0	0.0
Tigit	24.86	25.82	8.11	12.59	6.3	15.27	8.18	3.05	7.42	4.96	0.0	0.97	6.93	20.12	8.63	2.59	0.0	12.55	17.77	15.57	8.05	18.73	5.82	23.13	16.51	17.62	11.75	20.97	27.5	4.88	0.68
Trim36	7.88	6.36	3.02	4.8	2.24	3.66	5.38	1.56	1.38	1.46	0.44	1.47	4.26	8.04	8.64	1.05	0.13	5.71	4.78	3.86	3.22	4.34	5.89	6.35	8.68	3.64	2.38	6.0	6.26	1.65	2.4
Ube1y1	16.46	13.11	3.38	9.3	5.24	8.53	4.05	5.05	3.76	1.36	0.5	0.21	3.02	21.45	13.19	1.22	0.0	11.25	14.02	11.24	3.76	15.36	11.17	14.93	15.21	16.39	4.04	6.63	13.51	9.55	8.74
