	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cab39	119.2	1.79	57.42	0.0	2.24	40.48	23.85	155.91	195.89	106.4	0.21	0.0	0.0	0.0	0.64	0.0	0.52	0.7	0.0	2.09	53.41	54.51	32.05	6.31	57.09	5.68	44.17	16.03	0.33	9.86	19.13	0.52	87.59	5.05	20.17	40.02	2.22	98.19	61.54	43.11	52.66	7.46	0.91	33.37	0.0	45.71	5.87	123.76	1.92	41.34	1.91	99.82	8.12	153.97	150.03	150.81
Cadps	133.42	70.08	73.33	0.0	0.0	109.41	201.95	207.22	384.49	116.8	14.67	0.0	0.0	0.0	15.71	0.0	23.59	24.72	55.6	2.32	65.38	13.28	121.44	91.96	10.28	79.95	71.04	28.59	105.33	17.85	59.75	17.34	134.45	102.55	57.86	85.53	55.2	55.13	62.1	46.81	84.96	101.58	56.9	15.74	0.0	54.2	50.99	66.35	69.57	133.53	27.24	90.07	16.88	144.91	144.37	143.17
Camk2a	0.0	0.0	0.0	0.62	0.0	25.91	74.39	21.91	69.23	0.28	0.14	0.08	1.22	0.0	13.2	0.0	0.0	0.1	0.11	0.17	0.13	0.12	0.05	0.5	0.0	13.02	7.45	3.79	1.49	35.01	0.0	0.06	20.22	0.28	7.51	0.0	0.18	22.08	2.24	0.13	0.25	11.2	1.43	0.17	0.74	0.0	0.0	10.81	0.13	1.98	0.2	9.19	0.0	1430.39	1416.19	1497.51
D3Bwg0562e	82.61	86.4	0.9	0.15	0.85	8.85	23.97	225.73	390.32	42.02	12.41	2.13	2.1	0.02	125.25	0.0	14.01	1.8	3.97	24.65	54.38	23.16	8.86	29.05	31.78	47.62	33.55	27.76	34.86	7.12	29.19	87.62	52.01	48.36	7.09	4.62	7.95	9.09	0.66	4.55	23.03	31.46	1.96	19.18	0.34	28.49	25.38	59.45	16.06	63.13	11.96	53.41	49.29	121.62	116.8	128.52
Dclk1	82.45	63.68	43.59	0.0	0.0	150.0	90.08	153.64	400.29	426.05	88.46	0.0	0.08	0.0	92.43	0.0	43.0	88.44	72.51	138.79	121.18	14.22	68.43	73.95	44.76	121.6	84.21	43.57	74.07	94.41	45.01	88.36	142.9	92.3	21.0	83.25	51.39	66.36	83.18	120.74	19.14	85.02	71.64	71.84	0.0	44.06	115.1	76.9	33.08	34.37	64.95	113.98	53.69	367.79	342.85	374.41
Dirc2	7.22	22.79	27.38	3.43	0.08	29.72	7.55	49.62	94.8	1.56	1.17	0.0	0.82	0.08	2.93	0.0	1.49	5.68	0.51	0.37	0.68	15.34	1.31	1.06	30.51	0.72	1.85	0.64	0.43	2.95	44.89	24.68	0.68	35.1	8.15	0.78	0.22	2.13	22.15	0.25	14.46	0.58	14.8	0.74	2.04	23.36	1.08	21.02	0.18	3.62	10.45	13.91	0.44	38.97	41.16	39.36
Dlgap1	85.99	111.24	15.19	0.52	0.0	96.51	47.62	54.79	66.75	54.85	28.29	0.1	0.16	0.0	28.16	0.0	36.38	31.69	80.77	19.84	63.69	32.39	36.86	104.52	96.5	56.19	27.18	16.27	23.24	21.17	28.98	32.39	85.44	86.28	64.11	24.52	0.0	71.34	31.41	1.77	15.89	3.62	25.03	75.68	0.0	36.15	7.17	43.14	34.6	39.33	29.34	51.14	50.75	236.7	227.58	247.69
Dnajc27	27.87	21.31	0.06	0.0	0.0	16.33	4.89	81.32	157.47	1.8	0.0	0.0	0.0	0.0	1.68	0.0	27.6	25.43	38.92	62.17	0.0	20.82	0.05	25.25	0.0	15.99	4.09	34.89	0.0	0.0	13.31	35.14	0.0	7.13	0.07	30.51	0.0	0.0	35.13	0.0	0.0	0.0	24.52	3.42	0.0	0.0	0.0	57.34	2.16	0.0	30.78	27.56	8.94	91.95	90.65	89.27
Fam198b	0.76	0.48	0.82	0.2	0.06	1.19	2.5	1.33	87.98	8.87	1.03	1.45	0.41	0.88	46.2	0.0	0.56	0.33	0.5	0.27	0.33	0.42	0.67	0.39	0.79	0.39	0.5	0.31	0.68	0.46	0.26	0.33	7.15	1.13	0.44	0.35	0.36	0.81	0.47	0.57	0.53	0.63	0.43	0.65	0.19	0.49	0.36	0.45	0.62	0.56	0.48	0.42	0.27	4.49	3.5	4.54
Foxk2	1.51	0.0	0.0	0.0	0.0	0.0	5.75	10.49	84.34	22.29	0.15	0.0	0.0	0.0	68.94	0.0	11.7	0.54	0.02	0.06	0.0	3.43	0.11	14.9	31.54	0.92	0.4	0.47	0.0	1.31	0.0	0.0	0.0	0.0	11.3	3.36	0.0	0.15	1.3	0.6	5.35	0.0	0.0	0.0	0.0	1.35	19.65	0.07	0.35	16.62	2.15	0.09	0.0	56.9	56.88	57.47
Gde1	101.79	85.14	1.59	0.0	0.0	179.34	151.74	110.31	83.3	127.95	26.68	0.0	0.0	0.0	46.15	0.0	12.16	4.62	0.08	9.4	130.3	1.77	4.87	69.47	42.48	75.53	10.51	8.98	66.6	12.32	3.72	12.08	17.63	4.67	33.72	0.0	11.11	6.95	4.86	61.94	3.7	4.19	5.25	21.68	0.0	78.35	0.0	12.4	5.07	76.36	66.84	85.71	3.6	304.34	337.74	326.45
Herc3	8.72	4.3	0.0	0.0	0.0	64.03	44.33	148.19	136.35	40.83	12.74	0.0	0.0	0.0	137.74	0.0	18.01	0.1	22.3	0.14	16.76	2.53	17.67	7.12	0.0	9.47	53.64	4.99	43.99	29.69	22.4	17.71	0.0	50.49	29.87	0.04	5.08	0.0	6.69	6.07	26.57	1.03	2.82	50.05	0.0	0.06	11.84	37.61	63.48	7.36	45.13	69.27	53.45	122.19	119.82	118.17
Inpp5a	0.46	0.0	0.0	0.0	0.0	0.0	4.24	26.93	77.89	0.0	0.0	0.0	0.0	0.0	86.45	0.0	0.0	11.75	0.04	0.0	0.0	0.0	0.0	6.52	0.0	22.73	0.0	0.0	0.0	0.0	0.0	27.25	0.0	0.0	9.65	0.0	0.0	0.18	0.3	24.0	24.49	0.0	0.0	0.0	0.0	0.0	0.0	0.09	35.8	0.0	7.66	0.0	13.59	42.92	46.53	44.53
Kalrn	6.93	1.65	7.89	0.0	0.06	23.78	12.68	67.37	67.47	5.38	0.36	0.2	0.21	0.04	14.01	0.0	1.05	2.77	0.82	0.19	0.27	3.35	11.42	3.34	4.22	0.54	1.09	0.5	1.17	0.18	5.84	0.05	1.13	8.61	0.29	4.69	0.05	10.91	9.47	1.06	0.81	0.1	2.63	9.15	0.25	6.79	11.2	18.89	4.43	12.46	11.1	15.36	7.99	250.25	239.88	249.16
Kcna6	13.34	9.97	0.72	0.0	0.0	14.88	46.25	45.56	25.85	9.97	0.04	0.0	0.0	0.0	45.96	0.0	0.62	0.76	0.0	0.0	0.68	0.02	3.2	0.9	0.94	3.78	2.81	0.97	6.38	0.36	0.52	1.73	0.41	1.6	19.01	13.08	0.68	0.0	0.04	0.05	17.81	1.58	26.38	0.46	0.0	2.91	0.04	3.34	0.25	18.04	15.74	55.1	1.91	50.12	47.07	51.34
Lime1	0.0	0.0	0.0	0.0	0.0	0.0	5.84	6.36	148.56	98.23	0.0	0.0	0.0	0.0	99.71	0.0	0.0	51.88	6.43	0.0	1.0	8.49	11.71	0.74	0.16	0.0	0.0	0.16	44.35	2.99	39.84	8.6	0.0	0.15	0.0	0.22	0.0	0.0	32.86	2.15	0.0	2.11	4.06	0.0	0.0	0.44	45.94	3.34	33.68	0.46	0.0	52.58	0.05	57.7	56.82	56.73
Lrp1	2.87	6.37	0.77	3.13	0.02	6.71	24.85	15.95	34.39	20.47	6.38	0.0	0.0	0.0	1.54	0.0	3.99	4.79	11.0	1.58	6.62	1.07	3.73	9.12	1.29	0.53	11.52	4.28	7.63	12.55	6.14	11.59	0.91	8.15	4.64	6.56	0.17	2.98	2.73	4.02	0.46	0.23	16.07	14.87	0.0	4.99	7.5	12.99	7.66	8.87	9.26	6.37	4.94	105.31	103.13	117.97
Meg3	847.89	648.89	502.48	0.0	0.0	1270.84	368.04	618.76	852.23	500.8	444.43	0.04	0.7	0.0	683.26	0.0	298.81	538.5	317.11	233.81	650.68	356.91	444.3	304.96	632.18	518.69	769.21	298.72	510.23	539.11	313.62	805.45	358.07	563.91	688.91	490.95	422.92	645.92	452.48	469.33	448.96	518.15	361.57	538.61	0.93	443.23	645.27	335.99	302.67	343.21	471.89	734.88	240.66	1387.58	1233.84	1645.32
Npy	138375.8	173305.25	115124.65	0.0	0.0	12448.57	96206.73	68542.73	65548.38	125016.83	59230.28	0.0	0.0	0.0	63494.68	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	101137.64	151963.58	0.0	145032.54	180453.32	48343.46	128781.07	137945.15	137580.94	65503.76	120620.2	214.21	196.57	200.76
Nt5dc3	1.82	15.96	2.08	3.14	0.04	2.66	66.47	67.28	65.11	45.82	2.3	6.34	0.18	0.55	2.7	0.0	1.16	19.28	1.84	7.15	2.1	10.97	1.43	1.91	7.75	3.94	2.17	3.04	10.96	2.72	0.86	27.75	42.85	4.99	11.24	1.76	1.85	2.39	6.9	2.04	2.33	1.91	1.96	7.2	0.0	2.88	4.94	7.01	5.84	1.73	7.07	15.31	0.33	67.85	65.67	69.07
Ogt	51.43	63.79	63.3	0.0	0.12	79.98	79.12	103.8	96.7	148.8	112.52	7.57	0.1	1.16	68.77	0.0	31.83	29.83	1.8	25.01	46.53	46.32	29.78	75.47	24.33	74.26	102.13	131.85	42.54	109.85	49.74	45.83	61.43	119.1	10.79	9.01	0.65	62.05	78.43	49.95	43.33	114.91	15.45	56.64	0.0	61.23	43.56	65.45	29.94	3.53	39.65	124.58	45.4	186.13	173.01	183.72
Prkcb	13.39	45.18	11.53	0.1	0.0	40.63	122.43	13.98	61.7	74.86	35.75	0.05	1.11	0.04	19.19	0.0	8.6	14.93	2.64	6.89	28.23	9.02	2.13	11.3	34.75	23.49	9.01	0.36	15.78	22.11	2.83	3.8	36.62	3.33	15.12	0.06	32.65	30.8	5.25	14.58	0.37	3.4	0.14	7.3	0.0	0.27	0.11	35.92	0.52	2.75	1.86	52.56	8.53	360.87	341.57	387.59
Rap1gds1	63.05	115.78	36.34	0.0	0.0	172.16	224.72	80.4	118.84	124.96	29.01	0.0	0.0	0.0	173.36	0.0	88.29	84.24	18.27	70.34	120.48	40.6	72.14	9.62	79.76	147.77	99.78	174.83	101.29	51.44	73.47	87.65	111.65	48.01	8.02	1.03	29.57	38.23	175.93	64.52	34.07	59.64	51.99	65.02	0.0	13.7	2.53	94.1	27.75	98.98	3.01	42.38	15.97	284.57	290.45	264.54
Reps2	53.28	17.75	2.45	0.0	0.0	66.96	63.71	15.08	113.14	91.73	6.24	0.0	0.46	0.0	28.75	0.0	26.59	0.09	14.81	3.33	0.97	19.67	43.51	6.16	0.1	3.1	31.97	5.89	36.06	30.05	47.79	40.86	50.3	6.05	2.17	5.71	0.16	93.18	13.52	0.35	5.92	13.33	0.0	22.71	0.11	6.93	0.06	66.06	45.03	13.23	8.96	31.04	0.07	91.08	77.05	87.88
Rph3a	51.39	76.82	0.19	0.21	0.0	117.24	282.63	185.83	180.93	254.99	124.73	0.0	0.0	0.0	51.72	0.0	34.97	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	46.62	26.4	118.7	0.32	8.71	51.57	4.68	14.26	37.75	41.54	0.77	29.39	18.09	29.04	41.97	61.85	29.81	14.53	0.3	76.8	11.54	42.18	41.22	75.04	43.48	94.26	32.02	260.55	249.44	277.37
Rpl30	76.45	46.14	6.34	0.0	0.0	109.38	75.39	89.28	344.48	306.67	6.05	0.0	0.0	0.0	431.24	0.0	105.47	74.96	11.42	39.74	15.77	46.64	61.81	93.66	78.72	50.83	54.69	12.11	0.0	79.42	14.5	95.09	0.0	19.32	46.66	13.34	22.47	101.47	88.01	141.72	27.02	6.53	5.47	125.73	0.0	193.88	76.63	145.06	0.0	92.47	88.52	111.47	80.28	29.27	29.0	28.47
Sfswap	0.0	0.0	0.64	0.0	0.0	54.78	35.87	14.3	83.23	0.15	0.0	0.0	0.0	0.0	6.07	0.0	9.64	0.07	0.04	37.98	0.36	0.0	0.0	0.0	5.05	2.08	7.7	0.09	0.38	0.0	0.0	5.17	4.08	0.0	0.0	0.0	0.0	0.0	0.0	0.08	2.03	0.0	0.0	1.19	0.0	0.09	0.0	0.04	0.0	1.6	0.0	0.0	0.0	47.3	47.44	50.34
Slc25a23	7.59	49.69	0.47	0.0	0.0	75.96	138.81	54.11	87.49	86.25	62.11	0.0	0.0	0.0	54.68	0.0	9.28	21.37	14.43	0.1	9.31	6.46	1.97	3.64	12.16	7.27	0.12	30.14	0.47	3.76	1.0	0.0	24.25	11.09	9.94	0.0	21.67	63.79	9.02	10.29	6.15	10.29	16.71	1.83	0.0	9.0	6.24	60.48	4.43	6.74	0.36	57.19	40.24	290.22	282.16	298.37
Snap91	146.95	28.07	80.63	0.0	0.0	114.97	166.59	92.98	127.41	96.3	10.89	0.0	0.0	0.0	77.13	0.0	77.73	55.39	53.88	59.0	67.02	4.04	78.32	64.19	71.94	66.46	86.82	64.74	57.11	91.5	98.59	84.7	21.3	71.33	33.6	89.85	48.38	72.5	92.62	78.8	20.49	43.67	54.21	34.81	0.0	51.8	114.46	87.04	94.6	143.33	89.88	100.77	8.46	254.03	253.8	241.24
Suz12	0.0	23.52	0.06	0.0	0.0	44.9	8.91	37.91	97.36	80.77	0.0	0.0	0.0	0.0	0.57	22.5	0.0	2.44	5.26	33.23	0.92	0.0	0.0	0.0	1.36	0.0	0.0	20.68	0.0	1.44	2.14	27.74	80.04	0.0	21.71	0.0	0.0	1.1	0.0	2.5	0.0	0.0	0.21	3.07	0.0	0.0	1.74	24.54	0.07	20.18	2.73	1.18	0.0	23.43	22.44	24.63
Sv2a	87.21	188.74	86.37	0.0	0.0	259.81	293.01	363.2	607.98	316.92	236.29	0.0	0.0	0.0	239.81	0.0	172.66	149.6	76.27	60.63	138.62	155.33	139.92	44.28	31.77	60.44	127.08	153.44	64.42	190.79	181.48	119.27	171.42	72.42	47.95	77.31	106.52	135.34	83.75	57.37	130.42	30.97	15.96	59.77	0.0	36.62	36.85	125.25	20.83	128.48	86.59	76.5	69.32	289.26	306.68	286.94
Trim2	43.25	40.32	25.47	0.13	0.0	104.0	62.76	96.03	105.34	46.67	2.99	0.64	0.0	0.0	37.44	1.3	0.09	65.5	65.62	51.58	13.66	31.36	34.7	20.54	68.71	44.72	76.32	16.81	79.77	22.99	53.36	63.43	56.88	56.11	36.09	51.99	19.74	100.42	76.85	39.57	32.13	21.69	61.54	30.53	0.21	5.12	60.55	45.81	64.94	78.75	31.81	62.57	1.89	107.53	98.64	106.4
Vopp1	0.0	7.58	42.22	0.0	0.0	79.66	66.6	164.74	160.7	0.0	2.82	0.0	0.0	0.0	0.0	0.0	0.06	23.41	57.3	0.34	0.0	0.0	0.0	0.92	46.67	26.61	0.0	10.13	0.0	1.79	0.1	62.11	76.34	5.57	64.43	0.0	1.22	0.26	0.22	0.1	0.2	33.81	29.01	41.0	0.0	0.0	0.0	102.16	0.0	18.28	0.84	2.58	0.0	94.53	95.58	89.3
Zfp106	15.53	28.09	18.56	0.0	0.0	46.13	39.39	3.31	89.13	25.24	0.14	0.0	0.0	0.0	18.03	0.0	8.1	29.9	0.31	1.59	30.64	6.3	55.94	6.27	41.94	16.5	1.6	0.62	0.45	10.08	13.92	16.22	10.39	13.42	7.16	1.27	0.0	15.78	17.91	0.75	3.51	3.17	8.72	29.14	0.27	2.67	12.52	26.82	13.73	33.23	14.37	8.48	8.1	81.46	75.11	80.47
Zic1	0.95	1.04	0.14	0.9	0.11	0.17	0.39	0.43	1.64	0.45	0.19	0.0	2.1	1.81	0.25	0.0	0.39	0.21	0.25	0.07	0.12	0.08	0.37	0.2	0.45	0.39	0.48	0.66	0.27	0.36	0.41	1.02	0.32	0.68	0.31	0.07	0.1	1.68	0.13	0.08	0.45	0.16	0.01	0.84	0.0	0.17	0.19	0.16	0.27	0.47	0.43	0.6	0.05	9.06	11.02	7.95
