	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_33	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_91	Rbp4_tdTpositive_cell_165	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Snx22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.62	0.0	0.0	0.0	4.2	10.73	0.0	9.7	0.53	0.0	1.56	12.79	12.52	14.18
Tac1	6532.88	7648.19	5471.23	4256.24	6618.42	4203.43	5550.42	5716.55	8114.55	11032.51	6960.91	5303.3	3739.41	6135.38	483.5	5369.1	4173.91	7.26	97.93	105.12	85.26
Tmem200a	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.14	0.0	26.83	0.0	0.25	15.77	12.37	12.34	12.3
Tmem203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.16	0.0	0.0	7.98	24.53	25.93	28.41
Tmem42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	4.18	0.0	0.0	7.7	27.68	24.83	28.1
Tonsl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.33	0.0	2.09	0.0	63.38	0.43	3.59	3.72	4.43
Traip	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.09	0.0	0.0	0.58	20.4	14.43	14.86
Tusc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.86	0.0	0.0	2.13	6.38	10.92	8.48
Wtip	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	0.0	0.0	0.0	5.53	7.12	6.08
Zfp646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.29	0.06	0.0	0.59	11.22	11.77	10.28
c15_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	19.11	0.0	0.0	30.99	0.0	0.0	11.79	0.0	0.0	66.53	0.0	0.0	0.0	43.97	40.89	51.24
