	Cux2_tdTnegative_cell_3	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_41	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Slfn10-ps	0.0	0.0	0.0	0.55	0.09	0.23
Slk	0.0	1.41	21.71	46.81	40.09	47.23
Snrk	24.73	1.21	14.35	47.62	51.78	49.29
Spast	0.0	0.0	0.0	35.91	36.22	33.42
Svil	0.0	0.0	0.0	3.91	4.53	4.57
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem201	0.0	2.07	1.73	55.13	57.86	56.99
Trim59	0.0	0.0	0.0	13.81	12.4	16.73
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttc7	0.0	0.09	0.0	6.53	5.61	7.2
Ube4b	0.0	1.28	3.48	67.23	68.41	62.94
Vav1	0.56	0.29	0.0	3.39	2.83	2.77
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr1	72.86	60.99	48.48	109.52	120.54	108.93
Zfp238	0.0	10.53	2.72	221.06	223.84	211.8
Zfp609	0.0	2.17	3.24	19.14	19.16	19.7
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.08	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	18.94	0.0	9032.87	8417.95	8583.15
