	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_44	PvalbF.Gad2_tdTpositive_cell_44	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Kif5c	0.04	0.05	80.9	410.62	413.29
Lao1	0.0	0.0	0.0	0.05	0.05
Lect2	0.0	0.0	0.0	0.12	0.12
Lipm	0.0	0.0	0.0	0.11	0.11
Ltf	0.0	0.0	0.0	0.04	0.04
Mad2l2	0.0	0.0	0.0	13.77	13.12
Mep1a	0.0	0.0	0.0	0.03	0.03
Mepce	0.0	0.0	0.0	27.75	26.75
Mmachc	0.96	0.83	1.39	17.1	18.1
Muc13	0.0	0.0	0.0	0.03	0.03
Muc4	0.0	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.0	0.08	0.08
Naip6	0.0	0.0	0.0	0.38	0.38
Ncr1	0.0	0.0	0.0	0.07	0.07
Nisch	0.0	0.07	9.72	203.61	214.29
Nkx6-3	0.0	0.0	0.0	0.04	0.09
Nlrp12	0.0	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.0	0.06	0.06
Nr0b1	0.0	0.0	0.0	0.06	0.06
Obfc2a	0.0	0.0	0.0	10.6	8.47
Olfr1420	0.0	0.0	0.0	0.11	0.11
Olfr15	0.0	0.0	0.0	0.11	0.11
Osbpl8	1.79	0.4	6.66	55.34	52.54
Osgep	0.0	0.0	0.0	26.39	26.61
Otop3	0.0	0.0	0.0	0.04	0.04
Otx2os1	0.0	0.0	0.0	0.14	0.14
Oxgr1	0.0	0.0	0.0	0.24	0.24
Parp6	0.0	0.0	0.21	110.81	113.03
Prps1l1	0.0	0.0	0.0	0.06	0.06
Ptx4	0.0	0.0	0.0	0.07	0.07
Qrfp	0.0	0.0	0.0	0.14	0.14
Rab44	0.0	0.0	0.0	0.12	0.12
Rab5c	0.0	0.0	43.28	172.31	176.72
Raet1d	0.0	0.0	0.0	0.16	0.16
Rala	0.0	0.0	0.2	61.85	59.24
Rcor3	0.0	0.0	0.0	14.75	15.23
Rere	0.0	0.0	1.4	54.44	56.56
Rfc3	0.0	0.0	0.0	7.6	8.42
Rnase13	0.0	0.0	0.0	0.17	0.17
Rnf133	0.0	0.0	0.0	0.08	0.08
Rps19bp1	0.0	0.0	4.01	33.75	34.34
Rsph4a	0.0	0.0	0.0	2.16	2.16
Rtp1	0.0	0.0	0.0	0.16	0.16
Sim1	0.0	0.0	0.0	0.07	0.07
Skint7	0.0	0.0	0.0	0.06	0.06
Slc10a5	0.0	0.0	0.0	0.08	0.08
Slc25a39	0.0	0.0	10.91	61.39	64.37
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slc4a5	0.0	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.06	0.06
Smok3a	0.0	0.0	0.0	0.11	0.11
Smurf2	0.0	0.0	0.0	20.16	19.15
Stx11	0.0	0.0	0.0	0.14	0.14
Tac4	0.0	0.0	0.0	0.08	0.08
Taco1	0.0	0.0	0.0	20.89	20.02
Tacr1	1.32	1.0	1.28	4.19	3.88
Tas1r2	0.0	0.0	0.0	0.03	0.03
Tas2r137	0.0	0.0	0.0	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.12	0.12
Tg	0.0	0.0	0.0	0.08	0.08
Thnsl2	0.0	0.0	0.0	2.99	2.99
Thoc6	0.0	0.0	0.0	6.62	6.65
Tktl1	0.0	0.0	0.0	0.08	0.08
Tln2	0.16	0.0	0.0	35.9	36.54
Tmem54	0.0	0.0	0.0	0.19	0.19
Top3a	0.0	0.0	0.0	4.92	5.13
Trabd	0.0	0.0	0.89	16.49	16.77
Ttc39d	0.0	0.0	0.0	0.05	0.05
Tubb1	0.0	0.0	0.0	0.07	0.07
Txndc2	0.0	0.0	0.0	0.12	0.12
Usp26	0.0	0.0	0.0	0.02	0.02
Usp42	0.0	0.0	0.0	15.21	14.88
Vax2os2	0.0	0.0	0.0	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.04
Vmn2r118	0.0	0.0	0.0	0.04	0.09
Vrk2	0.0	0.0	0.0	2.24	2.24
Vwc2l	0.0	0.0	0.0	6.22	6.22
Wdr38	0.0	0.0	0.0	0.17	0.17
Wfdc12	0.0	0.0	0.0	0.14	0.14
Zfp750	0.0	0.0	0.0	0.03	0.03
Zfp800	0.0	0.0	0.0	7.39	8.02
Zfp957	0.0	0.0	0.0	0.07	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.04
c19_LSU-rRNA_Hsa	0.0	0.0	1.67	2.46	7.19
mt_AK131586	0.0	0.0	0.0	25813.35	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	18655.33
