	"NCI.H1395"	"X8.MG.BA"	"NCI.H1838"	"NCI.H2141"	"NCI.H345"	"TE.5"	"BB49.HNC"	"DMS.79"	"CCRF.CEM"	"MOLT.4"	"NCI.H322M"	"EKVX"	"SNB75"	"X697"	"ECC12"	"HuTu.80"	"KE.37"	"SCH"	"SIG.M5"	"SK.LMS.1"	"SW684"	"RCC10RGB"	"BV.173"	"SNU.C1"	"COR.L95"	"MOLM.13"	"P32.ISH"	"SU.DHL.16"	"NCI.H378"	"NCI.H250"	"NCI.H1623"	"NCI.H2291"	"HGC.27"	"MC.IXC"	"NCI.H2452"	"RCM.1"	"Saos.2"	"YAPC"	"COLO.678"	"MDA.MB.415"	"SKG.IIIa"	"BT.483"	"H2461"	"KYSE.30"	"NCI.H2172"	"NCI.H2444"	"Sarc9371"
"GSK1070916"	1.282054	0.0	1.089139	0.0	1.309411	0.709135	1.300626	0.512867	0.0	0.0	0.543486	2.013307	0.996073	0.0	0.0	0.0	0.0	1.025123	0.0	0.0	1.606466	0.486204	0.0	0.612839	0.317223	0.0	0.0	0.0	0.0	0.0	1.311867	1.343942	0.0	0.0	1.217925	0.880638	1.461408	0.646792	1.029876	1.43207	1.06507	1.91553	0.953184	0.0	1.208219	1.241447	1.589298
"Cabozantinib"	1.144576	0.0	1.450403	0.015014	0.462987	1.418277	1.726941	1.317652	0.0	0.0	1.29959	2.299049	1.848163	0.0	0.0	0.0	0.0	1.485612	0.0	0.0	2.151744	0.0	0.0	1.959498	0.862641	0.0	0.0	0.0	0.0	0.0	1.011219	2.035575	0.0	0.22065	1.563275	1.428591	1.9522	0.8777	1.775108	1.768081	1.820323	2.657581	1.631769	0.0	0.721563	0.593408	2.13974
"XMD14-99"	1.195747	0.0	0.784576	0.669574	1.121179	0.791725	1.088477	1.048485	0.0	0.0	1.442463	2.720833	1.499645	0.0	0.0	0.0	0.0	0.740988	0.0	0.0	1.635906	1.446628	0.0	1.652608	0.81157	0.0	0.0	0.0	0.0	0.0	1.167349	1.10635	0.0	0.0	0.873789	0.588234	1.536507	1.286921	1.271463	1.414049	1.287613	2.302596	1.228801	0.0	1.000194	1.011973	0.642785
"NPK76-II-72-1"	0.071893	0.0	1.694596	0.950539	1.477452	1.106854	1.6791	0.244369	0.0	0.0	1.535356	2.046548	1.677609	0.0	0.0	0.0	0.0	1.470346	0.0	0.0	1.988173	1.944525	0.0	1.872587	0.065609	0.0	0.0	0.0	0.0	0.0	1.272628	1.889538	0.0	0.0	1.486633	1.595891	1.777332	1.633348	1.470129	1.427233	1.610326	2.120932	1.40143	0.0	0.959109	0.851489	1.958874
"STF-62247"	0.619754	0.0	0.806576	0.206384	1.145811	0.810117	0.988204	1.310111	0.0	0.0	0.486066	2.862462	1.016126	0.0	0.0	0.0	0.0	1.023438	0.0	0.0	1.89499	0.434469	0.0	1.681451	0.682679	0.0	0.0	0.0	0.0	0.0	1.294411	1.429411	0.0	0.0	0.777225	1.268166	1.653588	1.342816	1.367186	1.461153	1.494221	2.706561	1.255994	0.0	1.403589	1.160851	1.377017
"TL-1-85"	0.542033	0.0	1.185836	1.126704	1.170437	0.96387	0.394158	1.116069	0.0	0.0	1.161711	2.286736	1.60067	0.0	0.0	0.0	0.0	0.832854	0.0	0.0	1.817771	0.167155	0.0	1.710932	0.798297	0.0	0.0	0.0	0.0	0.0	1.174023	1.635019	0.0	0.0	1.131196	1.220735	1.513694	1.499171	1.127097	1.479322	1.545152	2.108276	1.290375	0.0	1.020416	1.487166	1.731299
"FR-180204"	1.444697	0.0	0.489426	0.741452	1.114769	1.069809	1.292177	1.409225	0.0	0.0	1.141777	2.062955	1.900276	0.0	0.0	0.0	0.0	1.245337	0.0	0.452124	2.291911	0.775964	0.0	1.642927	0.935661	0.0	0.0	0.0	0.0	0.0	0.521902	1.72054	0.0	0.0	1.272691	1.341732	1.567769	0.908565	1.503071	1.839556	1.654039	2.493727	1.112437	0.0	0.013788	0.095009	2.154141
"Tubastatin A"	0.766892	0.0	1.499433	0.688513	0.342293	1.136576	1.113637	1.148415	0.0	0.0	0.420907	2.472267	0.711615	0.0	0.0	0.0	0.0	1.23645	0.0	0.0	1.833047	2.097749	0.0	1.377313	0.862074	0.0	0.0	0.0	0.0	0.0	0.668461	1.76325	0.0	0.0	1.314419	1.403888	1.700689	1.471446	1.461322	1.548436	1.500394	2.134533	1.313628	0.0	1.294502	0.598318	1.11288
"Zibotentan"	1.462372	0.0	1.520472	0.451919	1.178187	0.886442	1.288369	0.0	0.0	0.0	1.458534	4.086608	1.296906	0.0	0.0	0.0	0.0	0.977281	0.0	0.0	2.521398	0.901076	0.0	2.026349	0.565121	0.0	0.0	0.0	0.0	0.0	1.354911	2.077645	0.0	0.0	1.157156	1.246893	2.059785	1.311443	1.434945	1.850639	1.815009	3.115921	0.803089	0.0	1.371742	0.355785	2.344326
"VNLG/124"	1.145064	0.0	1.292588	0.0	1.03521	0.724858	1.128976	1.195768	0.0	0.0	1.258239	1.591175	1.042857	0.0	0.0	0.0	0.0	0.181678	0.0	0.143128	1.777869	1.407062	0.0	0.699941	0.907819	0.0	0.0	0.0	0.0	0.0	0.906795	1.073209	0.0	0.0	0.807888	0.781876	1.051784	1.237769	1.429197	0.965165	1.147409	2.66677	0.330056	0.0	0.842853	1.183243	1.250877
"Linifanib"	1.169051	0.0	1.227073	0.511738	0.628856	0.697865	0.64766	0.080199	0.0	0.0	1.093951	2.189541	0.653304	0.0	0.0	0.0	0.0	0.512906	0.0	0.089232	1.708294	2.150055	0.0	1.373541	0.211931	0.0	0.0	0.0	0.0	0.0	0.798704	1.26369	0.0	0.0	0.651118	0.868719	1.446194	0.886423	0.956062	1.374846	0.919705	1.836521	1.000626	0.0	1.013203	0.922916	0.0
"BIX02189"	0.551317	0.0	1.297231	0.693721	1.56175	1.098706	1.296387	0.464269	0.0	0.0	0.0	2.967728	1.764568	0.0	0.0	0.0	0.0	1.473734	0.0	0.0	2.207757	0.0	0.0	1.82429	0.815102	0.0	0.0	0.0	0.0	0.0	1.122579	1.648558	0.0	0.02849	1.49736	1.191728	1.987887	0.834137	1.101178	1.894168	1.692175	2.176793	1.347633	0.0	0.525101	1.14636	1.893924
"KIN001-236"	0.357619	0.0	1.047799	0.672987	1.046619	0.861177	1.388161	1.175925	0.0	0.0	1.189152	2.912824	1.693581	0.0	0.0	0.0	0.0	1.111434	0.0	0.0	1.995031	2.003313	0.0	1.657479	0.20828	0.0	0.0	0.0	0.0	0.0	0.902207	1.684962	0.0	0.0	1.013783	1.210635	1.731495	1.40205	1.478483	1.440262	1.377991	1.853288	0.815542	0.0	0.0	1.278787	1.955053
"KIN001-260"	1.067282	0.0	1.243814	0.82298	0.635463	1.155521	0.91144	0.237284	0.0	0.0	0.517613	2.296757	1.5315	0.0	0.0	0.0	0.0	1.203595	0.0	0.0	1.93327	0.963972	0.0	1.415045	0.597815	0.0	0.0	0.0	0.0	0.0	0.986014	1.155581	0.0	0.0	1.277722	1.334174	1.720362	1.413918	1.291449	0.950395	1.309003	2.624545	1.380299	0.0	0.119964	1.368697	1.725766
"NVP-BHG712"	0.500965	0.169934	1.196994	1.191899	1.447401	1.043886	0.631807	1.298891	0.0	0.0	1.176815	2.11694	1.751549	0.0	0.0	0.0	0.0	1.429366	0.0	0.0	1.965617	1.236606	0.0	1.356111	0.827383	0.0	0.0	0.0	0.0	0.0	0.996684	1.866955	0.0	0.0	1.231981	0.893494	1.801813	1.474845	1.390022	1.550469	1.735116	2.373746	1.325681	0.0	0.147779	0.038181	1.810165
"Tivozanib"	1.390295	0.0	1.342516	0.030764	1.056596	0.851138	1.359058	0.65753	0.0	0.0	1.459163	3.217835	0.690414	0.0	0.0	0.0	0.0	0.877152	0.0	0.0	1.732722	2.647991	0.0	1.768788	0.364588	0.0	0.0	0.0	0.0	0.0	1.187769	1.837325	0.0	0.0	0.836032	1.132349	1.681243	0.81522	0.992571	1.573156	1.539435	2.813984	1.190107	0.0	1.234249	1.193296	0.214842
"QL-XI-92"	0.570533	0.0	1.431686	0.838681	0.561557	0.782273	1.366213	1.200219	0.0	0.0	1.06782	2.64071	0.897246	0.0	0.0	0.0	0.0	0.962964	0.0	0.0	1.847227	1.649085	0.0	1.639002	0.298888	0.0	0.0	0.0	0.0	0.0	1.446194	1.66201	0.0	0.0	1.32927	1.354911	1.726318	0.882341	1.472409	1.655309	1.640759	1.98855	1.429231	0.0	1.253722	1.318869	0.949781
"XMD13-2"	1.074879	0.0	1.624567	0.034874	1.606127	0.79241	1.7113	1.032336	0.0	0.0	1.859747	2.409719	1.727529	0.0	0.0	0.0	0.0	1.491291	0.0	0.0	1.825256	2.398393	0.0	1.916821	0.233661	0.0	0.0	0.0	0.0	0.0	1.718138	2.065927	0.0	0.0	1.595578	1.564437	1.982524	1.172723	1.853782	1.716322	1.895711	2.193922	1.687802	0.0	1.913808	1.655329	0.28082
"XMD15-27"	1.374021	0.0	1.042782	0.442455	0.648171	0.851175	1.235459	0.814262	0.0	0.0	0.467365	2.642182	1.177626	0.0	0.0	0.0	0.0	0.895626	0.0	0.0	1.893161	2.511232	0.0	1.66818	1.033029	0.0	0.0	0.0	0.0	0.0	1.201106	1.724526	0.0	0.0	1.016985	1.171009	1.579247	1.036916	1.241753	1.490381	1.468352	2.76048	1.155451	0.0	1.384205	1.125457	0.87564
"T0901317"	1.370526	0.0	0.562683	0.694034	1.091185	0.73183	1.001217	1.24112	0.0	0.0	1.403414	2.651818	1.525049	0.0	0.0	0.0	0.0	0.66149	0.0	0.0	0.996751	1.998546	0.0	0.806778	1.16563	0.0	0.0	0.0	0.0	0.0	1.226666	1.363381	0.0	0.0	1.078292	0.484266	1.552467	0.687938	1.216499	0.642619	1.382879	2.028172	1.189722	0.0	1.302883	0.964596	1.095208
"Selisistat"	1.22079	0.0	0.790689	0.526119	0.815907	0.767631	0.655416	1.278818	0.0	0.0	1.663072	1.909209	1.129066	0.0	0.0	0.0	0.0	0.968305	0.0	0.0	1.836727	2.27348	0.0	1.724477	1.179093	0.0	0.0	0.0	0.0	0.0	1.365382	1.194029	0.0	0.0	1.032923	0.734009	1.890363	1.454954	1.729391	1.333562	1.710403	2.439003	0.904143	0.0	0.741783	1.342088	2.044642
"KIN001-270"	0.243064	0.0	1.047758	0.874473	0.69469	1.160163	1.511653	0.175476	0.0	0.0	1.762082	3.098201	1.189094	0.0	0.0	0.0	0.0	0.737795	0.0	0.0	2.218421	1.845658	0.0	1.5034	0.968072	0.0	0.0	0.0	0.0	0.0	0.83559	0.824311	0.0	0.0	1.222966	0.672256	1.939088	1.590967	1.809061	1.506109	1.726411	2.31328	1.277268	0.0	0.0	1.482475	2.134819
"Olaparib"	0.765981	0.0	1.633739	1.289959	0.893709	0.324699	1.366757	0.2783	0.0	0.0	1.953518	3.047568	1.207732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.067514	1.877609	0.0	1.926184	1.580261	0.0	0.0	0.0	0.0	0.0	1.355456	1.701526	0.0	0.0	1.187049	1.687919	0.199111	0.708396	1.037474	1.010703	1.582255	3.011093	0.897003	0.0	1.998348	1.588224	1.341593
"Veliparib"	1.033091	0.0	0.272908	0.614912	1.185282	0.387388	1.515592	1.395822	0.0	0.0	1.147284	1.940384	1.841303	0.0	0.0	0.0	0.0	0.696809	0.0	0.0	2.240057	2.125207	0.0	1.564337	1.280412	0.0	0.0	0.0	0.0	0.0	0.954031	1.752508	0.0	0.0	1.15273	1.235105	1.647792	0.945395	1.179134	1.740936	1.715659	3.408206	1.153246	0.0	1.547981	0.924703	0.165874
"Lenalidomide"	1.237744	0.0	0.62432	0.609773	0.970357	0.826212	1.423096	1.131098	0.0	0.0	0.286711	0.773222	1.41426	0.0	0.0	0.0	0.0	0.90019	0.0	0.0	2.076811	1.621777	0.0	1.814697	1.226808	0.0	0.0	0.0	0.0	0.0	1.283604	1.677704	0.0	0.0	1.103585	1.003908	1.747045	1.189764	1.367249	1.627806	1.599192	3.124702	0.0	0.0	1.545457	1.130841	0.774695
"Axitinib"	0.941192	0.0	1.68262	0.871782	1.478477	0.878346	1.150087	1.532347	0.0	0.0	0.672818	2.610844	0.786358	0.0	0.0	0.0	0.0	1.37505	0.0	0.0	2.072142	2.095437	0.0	1.859593	1.398829	0.0	0.0	0.0	0.0	0.0	1.403678	1.866009	0.0	0.0	0.407098	1.278549	1.072145	0.367643	1.456864	0.295785	0.313591	2.48216	1.369362	0.0	1.814106	1.2023	0.765012
"VX-702"	0.183656	0.136767	0.22823	0.639462	1.122537	0.922255	1.34535	1.293198	0.0	0.0	0.126995	1.889872	1.670952	0.0	0.0	0.0	0.0	0.061625	0.0	0.0	1.78055	1.48382	0.0	1.202372	1.230003	0.0	0.0	0.0	0.0	0.0	1.028727	1.826484	0.0	0.0	1.061079	0.632401	0.0	0.748854	1.290645	1.588295	1.542198	2.796312	1.24758	0.0	1.604979	1.194474	1.09968
"Motesanib"	1.606101	0.141014	0.966567	0.78073	1.010515	0.68906	1.178134	1.44603	0.0	0.0	1.619696	1.792342	0.457249	0.0	0.0	0.0	0.0	1.147723	0.0	0.0	2.108156	2.576834	0.0	1.758411	0.510858	0.0	0.0	0.0	0.0	0.0	1.22314	1.50425	0.0	0.0	1.252974	1.401059	1.589094	1.495859	1.692331	0.0	1.48587	2.820536	1.177645	0.0	1.531201	0.491136	1.495269
"Vismodegib"	1.573471	0.0	0.050168	0.759092	1.230349	0.0	1.142173	1.090848	0.0	0.0	1.032194	2.608363	1.595884	0.0	0.0	0.0	0.0	0.636572	0.0	0.0	0.344866	2.184914	0.0	1.86877	1.336495	0.0	0.0	0.0	0.0	0.0	1.391756	1.888385	0.0	0.0	1.204487	0.688886	0.693677	1.358158	0.775662	1.690387	1.400189	2.244576	1.353856	0.0	1.607905	1.372694	1.389825
"JNK Inhibitor VIII"	1.000166	0.20125	0.0	0.776859	1.168752	0.713389	1.360683	1.128764	0.0	0.0	1.644847	3.018395	0.728253	0.0	0.0	0.0	0.0	1.138862	0.0	0.0	1.811976	2.756382	0.0	1.810955	0.401918	0.0	0.0	0.0	0.0	0.0	1.492119	1.59356	0.0	0.0	1.286591	1.425189	1.87299	1.30934	1.684107	0.336546	1.641184	3.228745	1.269603	0.0	1.879746	0.753299	2.101669
"RO-3306"	0.651589	0.0	1.67109	1.008079	1.359414	0.612051	1.436171	1.076398	0.0	0.0	0.451121	2.20749	1.500329	0.0	0.0	0.0	0.0	1.158434	0.0	0.060301	2.155357	0.382723	0.0	1.75012	0.850938	0.0	0.0	0.0	0.0	0.0	0.431629	1.222558	0.0	0.0	0.563456	1.05144	1.650094	1.416123	1.677705	1.426989	0.0	1.731641	0.0	0.0	1.722833	0.975544	1.963669
"SB590885"	1.240516	0.0	0.589704	0.624936	0.957439	0.110624	1.07796	1.013339	0.0	0.0	0.006126	2.365772	0.992533	0.0	0.0	0.0	0.0	0.582422	0.0	0.283136	1.639554	2.160089	0.0	1.463173	1.053233	0.0	0.0	0.0	0.0	0.0	1.109186	0.116901	0.0	0.0	0.970039	0.0	0.193488	0.970755	1.309052	1.32889	1.31216	2.366375	1.074511	0.0	1.375014	0.963724	1.104267
"SGC0946"	1.465687	0.0	1.461934	0.406951	1.091571	0.733157	0.739262	1.122688	0.0	0.0	0.911015	2.250479	1.707233	0.0	0.0	0.0	0.0	0.287218	0.0	0.0	1.921752	2.671307	0.0	1.744394	1.195007	0.0	0.0	0.0	0.0	0.0	1.139368	0.0	0.0	0.0	0.957247	1.217557	1.720339	1.342197	1.643242	0.0	1.62354	2.493498	0.754477	0.0	1.512738	1.284216	1.210467
"Temozolomide"	0.934926	0.0	1.058314	0.646179	0.007824	0.793325	0.810177	1.084819	0.0	0.0	1.236833	1.968212	1.54419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.975967	2.214654	0.0	0.697384	1.204384	0.0	0.0	0.0	0.0	0.0	1.260335	0.741471	0.0	0.0	0.135142	1.230253	0.828725	1.192026	1.375129	1.342858	1.040792	2.944145	1.093058	0.0	1.615035	1.277737	1.602825
