	"COLO.829"	"NCI.H1838"	"NCI.H2126"	"NCI.H345"	"TE.5"	"BB49.HNC"	"CP66.MEL"	"CTV.1"	"LB996.RCC"	"TE.10"	"CCRF.CEM"	"SR"	"NCI.H322M"	"EKVX"	"SNB75"	"X697"	"DEL"	"ECC4"	"HuTu.80"	"LC.1F"	"MC116"	"NCI.SNU.5"	"SCH"	"SIG.M5"	"SW684"	"RCC10RGB"	"CMK"	"SNU.C1"	"D.263MG"	"MDST8"	"CL.11"	"A498"	"A2058"	"ECC10"	"MES.SA"	"CAL.51"	"KMH.2"
"Bicalutamide"	1.21324	1.798328	1.683184	1.112639	0.454882	0.070903	1.185396	0.0	0.638829	0.029461	0.0	0.0	1.375002	3.007032	1.888862	0.0	0.0	1.483113	0.0	1.512933	0.0	0.437616	0.537554	0.0	2.497835	2.066493	0.0	0.831222	0.9009	0.620684	0.012725	1.831391	0.0	0.088117	0.0	0.0	0.13659
"GW-2580"	1.823742	1.55238	0.7501	0.0	0.953992	0.639915	0.379093	0.0	0.786891	0.086853	0.0	0.0	1.633495	3.189257	1.786701	0.0	0.0	1.939733	0.0	0.930578	0.0	0.691209	0.826865	0.0	1.154811	1.420187	0.0	1.658461	1.139581	0.023414	0.178472	1.076526	0.0	0.193888	0.0	0.0	0.0
"Avagacestat"	1.249708	1.51441	1.226366	1.29365	0.982698	0.933035	0.464104	0.0	0.835109	0.628772	0.0	0.0	1.506492	3.107561	1.489749	0.0	0.0	2.106081	0.0	1.519685	0.0	0.710253	0.817829	0.0	2.16903	2.717226	0.0	1.692754	0.832733	0.697671	0.796022	2.000961	0.243099	0.362063	0.0	0.0	0.0
"Ruxolitinib"	1.357744	0.954941	1.031755	0.893033	0.583885	0.812127	0.716545	0.0	0.673223	0.0	0.0	0.0	0.976906	2.618811	0.568701	0.0	0.0	1.422938	0.0	1.176522	0.0	0.385628	0.729067	0.0	1.570595	1.208798	0.0	0.026578	0.849363	0.168258	0.810814	0.964992	0.0	0.0	0.0	0.0	0.0
"Ispinesib Mesylate"	0.961955	1.676172	1.302623	1.47713	0.366674	1.484989	0.609392	0.0	1.503911	0.0	0.0	0.0	1.589874	2.074092	1.021151	0.0	0.0	0.624519	0.0	0.714296	0.0	0.419977	1.544885	0.0	1.726352	2.385319	0.0	1.04854	1.440399	0.139356	1.5721	1.385755	0.0	0.28134	0.53797	0.888507	0.0
"TL-2-105"	1.391895	0.34456	0.854376	1.248895	0.786581	1.410803	0.559408	0.0	0.937505	0.426061	0.0	0.0	1.1618	2.526834	1.33671	0.0	0.0	0.966423	0.0	1.187884	0.0	0.839592	0.989877	0.0	1.823526	1.924238	0.0	1.340863	1.217854	0.505219	0.738898	1.370045	0.130012	0.0	0.215337	0.0	0.0
"TAK-715"	2.05185	1.721699	0.880778	0.256071	0.057782	1.852374	0.938354	0.0	0.476593	0.0	0.0	0.0	0.91683	2.633692	1.759661	0.0	0.0	0.409407	0.0	0.92773	0.0	0.620371	0.503932	0.0	1.977736	2.391841	0.0	1.03391	1.124834	1.105358	0.495388	1.496862	0.0	0.0	0.0	0.0	0.0
"BX-912"	1.771554	1.137077	1.338227	1.356406	0.62836	0.903258	1.39262	0.0	1.056004	0.12596	0.0	0.0	1.391529	2.140864	0.223101	0.0	0.0	1.140584	0.0	1.654596	0.0	1.301207	1.438941	0.0	1.917043	2.264126	0.0	0.70284	0.0	0.747749	1.200115	1.2536	0.0	0.0	0.0	0.355486	0.0
"GSK1070916"	0.90302	1.089139	1.296561	1.309411	0.709135	1.300626	1.099811	0.0	1.108818	0.087015	0.0	0.0	0.543486	2.013307	0.996073	0.0	0.0	0.528257	0.0	1.361188	0.163493	1.06547	1.025123	0.0	1.606466	0.486204	0.0	0.612839	1.152918	0.374282	0.681945	1.306756	0.0	0.0	0.0	0.366171	0.0
"XMD14-99"	1.094192	0.784576	1.215111	1.121179	0.791725	1.088477	0.957797	0.0	0.929732	0.485256	0.0	0.0	1.442463	2.720833	1.499645	0.0	0.0	1.028773	0.0	1.296829	0.0	0.75212	0.740988	0.0	1.635906	1.446628	0.0	1.652608	1.070658	0.233243	0.933149	0.948931	0.0	0.0	0.105262	0.0	0.040847
"Quizartinib"	0.593034	0.0	0.805486	1.007448	0.857938	1.237885	0.141936	0.0	0.808946	0.398092	0.0	0.0	0.364277	2.51108	0.678614	0.0	0.0	1.208984	0.0	1.258938	0.0	0.655622	0.894045	0.0	1.299191	2.285535	0.0	1.201438	0.968684	0.19594	0.916209	1.47884	0.035222	0.0	0.0	0.0	0.039302
"CP724714"	1.341213	1.518543	0.899447	1.309083	0.712919	1.267643	0.621308	0.0	0.924609	0.283577	0.0	0.0	0.79714	1.613964	1.698379	0.0	0.0	1.495717	0.0	1.200426	0.0	0.914453	0.619513	0.0	2.044114	1.714215	0.0	1.868283	1.149005	0.49579	0.615479	1.544157	0.0	0.0	0.0	0.0	0.069399
"NPK76-II-72-1"	0.572722	1.694596	1.40721	1.477452	1.106854	1.6791	0.774375	0.0	1.415657	0.843387	0.0	0.0	1.535356	2.046548	1.677609	0.0	0.0	1.070882	0.0	0.543682	0.0	1.322505	1.470346	0.0	1.988173	1.944525	0.0	1.872587	1.211461	0.643804	1.537413	1.844941	0.137022	0.345273	0.878731	0.931751	1.007322
"STF-62247"	1.615891	0.806576	1.325486	1.145811	0.810117	0.988204	0.254194	0.0	0.876222	0.135587	0.0	0.0	0.486066	2.862462	1.016126	0.0	0.0	1.775741	0.0	1.263927	0.0	0.767243	1.023438	0.0	1.89499	0.434469	0.0	1.681451	0.280665	0.369971	1.113176	1.273895	0.0	0.0	0.099474	0.074801	0.0
"TL-1-85"	0.71599	1.185836	1.474457	1.170437	0.96387	0.394158	0.900253	0.0	1.133423	0.233533	0.0	0.0	1.161711	2.286736	1.60067	0.0	0.0	1.340441	0.0	0.605324	0.0	1.179683	0.832854	0.0	1.817771	0.167155	0.0	1.710932	1.19973	0.14375	0.896286	1.509596	0.0	0.106858	0.737421	0.738341	0.850613
"FR-180204"	0.868535	0.489426	1.459185	1.114769	1.069809	1.292177	0.554414	0.0	0.78011	0.0	0.0	0.0	1.141777	2.062955	1.900276	0.0	0.0	1.824111	0.0	0.0	0.0	0.997407	1.245337	0.0	2.291911	0.775964	0.0	1.642927	0.969798	0.0	1.372478	1.584666	0.374828	0.429011	0.046294	0.237521	0.384145
"Tubastatin A"	1.010811	1.499433	1.262323	0.342293	1.136576	1.113637	1.191499	0.0	1.090352	0.686968	0.0	0.0	0.420907	2.472267	0.711615	0.0	0.0	1.457166	0.0	1.190667	0.0	1.048492	1.23645	0.0	1.833047	2.097749	0.0	1.377313	0.831724	0.6528	1.278815	1.593287	0.638943	0.0	0.527774	0.549309	0.645864
"Zibotentan"	2.002781	1.520472	1.549198	1.178187	0.886442	1.288369	0.0	0.0	0.794745	0.072317	0.0	0.0	1.458534	4.086608	1.296906	0.0	0.0	1.742727	0.0	1.110295	0.0	0.540453	0.977281	0.0	2.521398	0.901076	0.0	2.026349	0.6457	0.0	0.933911	1.918434	0.0	0.0	0.0	0.0	0.0
"VNLG/124"	1.528908	1.292588	1.21595	1.03521	0.724858	1.128976	0.452012	0.0	0.239526	0.087322	0.0	0.0	1.258239	1.591175	1.042857	0.0	0.0	1.41469	0.0	1.195021	0.0	0.141431	0.181678	0.0	1.777869	1.407062	0.0	0.699941	0.617935	0.381562	1.005581	1.522149	0.0	0.0	0.0	0.0	0.0
"Linifanib"	0.750348	1.227073	0.794366	0.628856	0.697865	0.64766	0.419488	0.0	0.281814	0.0	0.0	0.0	1.093951	2.189541	0.653304	0.0	0.0	1.217128	0.0	1.120079	0.0	0.440941	0.512906	0.0	1.708294	2.150055	0.0	1.373541	0.838152	0.234608	0.931099	0.946232	0.0	0.0	0.0	0.0	0.0
"KIN001-236"	1.678327	1.047799	1.39384	1.046619	0.861177	1.388161	0.84483	0.0	0.918289	0.0	0.0	0.0	1.189152	2.912824	1.693581	0.0	0.0	1.174031	0.0	1.446121	0.0	0.830832	1.111434	0.0	1.995031	2.003313	0.0	1.657479	1.150265	0.591324	1.22311	1.157219	0.311133	0.218134	0.0	0.19069	0.31988
"KIN001-260"	1.693792	1.243814	1.037863	0.635463	1.155521	0.91144	0.73311	0.0	0.850784	0.090246	0.0	0.0	0.517613	2.296757	1.5315	0.0	0.0	1.402278	0.0	1.495883	0.0	0.986944	1.203595	0.0	1.93327	0.963972	0.0	1.415045	1.069781	0.344296	1.267631	1.645916	0.536146	0.040775	0.348108	0.43853	0.545953
"OSI-930"	1.272426	0.922578	0.830394	0.772606	0.823765	1.101714	0.161245	0.0	0.652466	0.0	0.0	0.0	1.590387	2.208866	1.693357	0.0	0.0	0.823529	0.0	0.0	0.0	0.042955	0.613208	0.0	1.386593	2.275867	0.0	0.520873	0.49046	0.740639	1.141529	1.397146	0.0	0.063485	0.401947	0.0	0.400992
"Tivozanib"	0.9882	1.342516	1.319063	1.056596	0.851138	1.359058	0.933016	0.0	0.671553	0.139578	0.0	0.0	1.459163	3.217835	0.690414	0.0	0.0	1.758103	0.0	1.342586	0.0	0.577228	0.877152	0.0	1.732722	2.647991	0.0	1.768788	0.999222	0.173526	0.241748	1.771401	0.0	0.0	0.0	0.0	0.0
"GSK690693"	0.436976	1.17197	1.204639	1.088521	0.0	1.184404	1.030546	0.0	0.851615	0.670304	0.0	0.0	1.277776	2.02319	0.009833	0.0	0.0	1.354531	0.0	1.119959	0.0	0.879139	0.518333	0.0	1.385937	1.855884	0.0	0.405795	1.065367	0.096272	1.086468	0.876178	0.0	0.0	0.190389	0.0	0.0
"QL-XI-92"	0.864405	1.431686	1.38535	0.561557	0.782273	1.366213	0.792409	0.0	1.159301	0.338349	0.0	0.0	1.06782	2.64071	0.897246	0.0	0.0	0.950848	0.0	1.354685	0.0	1.060899	0.962964	0.0	1.847227	1.649085	0.0	1.639002	1.258228	0.646712	0.924819	1.158203	0.0	0.0	0.280336	0.281756	0.0
"XMD13-2"	1.164376	1.624567	1.761737	1.606127	0.79241	1.7113	1.062256	0.0	1.324397	0.0	0.0	0.0	1.859747	2.409719	1.727529	0.0	0.0	0.329182	0.0	1.461322	0.0	1.325537	1.491291	0.0	1.825256	2.398393	0.0	1.916821	1.029914	0.274553	0.772879	1.579747	0.0	0.0	0.0	0.458453	0.0
"XMD15-27"	1.558032	1.042782	1.266722	0.648171	0.851175	1.235459	0.913816	0.0	0.815467	0.305619	0.0	0.0	0.467365	2.642182	1.177626	0.0	0.0	1.340542	0.0	1.335672	0.0	0.610244	0.895626	0.0	1.893161	2.511232	0.0	1.66818	0.985834	0.383203	0.870638	1.673645	0.0	0.0	0.0	0.0	0.0
"T0901317"	1.523187	0.562683	1.064532	1.091185	0.73183	1.001217	0.479993	0.0	0.912624	0.356671	0.0	0.0	1.403414	2.651818	1.525049	0.0	0.0	0.636934	0.0	0.535319	0.0	0.32269	0.66149	0.0	0.996751	1.998546	0.0	0.806778	0.552891	0.538879	0.165901	1.599786	0.0	0.075423	0.0	0.0	0.216427
"Selisistat"	0.450471	0.790689	1.463517	0.815907	0.767631	0.655416	0.348623	0.0	0.795689	0.0	0.0	0.0	1.663072	1.909209	1.129066	0.0	0.0	2.005602	0.0	1.55895	0.0	0.367595	0.968305	0.0	1.836727	2.27348	0.0	1.724477	0.421359	0.0	0.692986	1.738721	0.0	0.337416	0.0	0.0	0.0
"KIN001-270"	1.667257	1.047758	1.429015	0.69469	1.160163	1.511653	0.907965	0.0	0.929681	0.0	0.0	0.0	1.762082	3.098201	1.189094	0.0	0.0	1.451786	0.0	1.325901	0.0	0.991123	0.737795	0.0	2.218421	1.845658	0.0	1.5034	0.893033	0.241689	1.108952	1.739423	0.0	0.0	0.23329	0.227069	0.136834
