	"MC.CAR"	"NCI.H64"	"CTV.1"	"NCI.H128"	"CCRF.CEM"	"MOLT.4"	"SR"	"X697"	"DEL"	"NCI.H2291"	"BEN"	"BT.20"	"GAMG"	"MDA.MB.175.VII"	"MDA.MB.361"	"NCI.H1793"	"SW1463"	"SW948"	"YAPC"	"AU565"	"CaR.1"	"MDA.MB.415"	"BT.483"	"MDA.MB.436"	"OVKATE"	"CAL.78"	"HCC1428"	"huH.1"	"K2"	"PCI.30"	"Sarc9371"
"GSK429286A"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.497737	9.71E-4	1.282539	0.0	1.121152	0.697167	1.516786	2.13627	1.206021	0.816734	0.448817	1.495328	1.524918	2.536587	1.255418	2.123562	1.189965	0.922166	1.313846	0.966507	1.001586	1.468406
"FMK"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.508257	1.10913	0.645979	0.027932	1.265105	0.463943	1.997137	2.487593	2.133797	0.27193	0.50079	1.641401	1.84613	3.194176	1.507917	1.810703	1.2852	1.000368	1.505729	1.073357	1.361993	2.195795
"XMD14-99"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10635	0.742046	1.236164	0.534532	0.569521	0.610217	1.64524	1.964097	1.833556	1.286921	0.725573	1.396211	1.414049	2.302596	1.259312	1.426749	1.114772	1.013035	0.598053	1.263992	1.007098	0.642785
"Tubastatin A"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76325	0.183855	1.146641	0.0	0.996257	0.0	1.631044	1.812161	0.832544	1.471446	0.295745	1.62786	1.548436	2.134533	0.816603	0.903542	0.75527	0.556645	1.35214	1.196325	1.307884	1.11288
"VNLG/124"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.073209	0.408623	0.71885	0.237608	0.333545	0.496683	1.567477	1.248154	1.356508	1.237769	0.0	1.244034	0.965165	2.66677	1.008682	1.212438	0.86874	0.794048	0.546218	0.513203	0.828601	1.250877
"KIN001-236"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.684962	0.432821	1.330438	0.0	0.270586	0.0	1.383141	1.627959	1.357151	1.40205	0.0	0.488167	1.440262	1.853288	1.18078	1.062349	1.236225	0.524172	1.383432	1.194751	1.134932	1.955053
"Tivozanib"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.837325	0.810343	0.687992	0.0	0.953631	0.127211	1.697153	2.409559	1.976217	0.81522	0.621656	1.180276	1.573156	2.813984	1.228908	2.400427	1.067081	0.697276	1.240585	0.951205	0.974172	0.214842
"QL-XI-92"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66201	0.919017	0.0	0.0	0.0	0.376713	1.518677	2.214792	1.550948	0.882341	0.436003	1.411899	1.655309	1.98855	1.018003	2.152472	1.341677	0.566249	1.303992	1.161992	0.861026	0.949781
"XMD15-27"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.724526	0.941941	0.995373	0.459368	0.941452	0.099268	1.633002	2.317837	1.830376	1.036916	0.077473	1.61802	1.490381	2.76048	1.196735	2.294112	1.041824	0.708302	1.204698	1.246912	0.550378	0.87564
"Selisistat"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.194029	0.398605	0.717371	0.400982	1.030529	0.0	1.846253	2.471477	1.895502	1.454954	0.670234	1.207982	1.333562	2.439003	0.989281	2.150484	1.16946	0.95743	0.709904	1.267648	1.256846	2.044642
"Tamoxifen"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.482684	0.082082	1.332039	0.27576	1.153771	0.0	1.354262	2.564574	2.082947	0.606879	0.791782	0.988425	0.168522	3.064889	1.36304	2.566417	0.919172	0.0	1.403899	1.134576	1.38782	1.788084
"UNC1215"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.043203	0.906167	1.22946	0.135131	0.955248	0.232059	1.778381	2.876575	2.235772	1.314131	0.0	1.872686	1.52987	3.694525	0.918999	2.879086	1.08248	0.756736	1.287973	0.332367	0.44201	2.286743
"Temozolomide"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.741471	1.039483	1.031089	0.399973	1.018208	0.0	1.594677	2.369059	0.429101	1.192026	0.0	1.336874	1.342858	2.944145	0.130813	2.370824	1.107662	0.983406	1.231135	0.594232	1.224548	1.602825
