	"EKVX"	"DOHH.2"	"KALS.1"	"SW684"	"Tera.1"	"Toledo"	"NCI.H2291"	"NCI.H522"	"COR.L105"	"NCI.H1793"	"PA.1"	"SW837"	"COLO.678"	"BT.483"	"SW1116"
"NPK76-II-72-1"	2.046548	0.0	0.456393	1.988173	0.0	0.0	1.889538	0.0	0.021561	1.493165	0.0	0.787385	1.470129	2.120932	1.585632
"STF-62247"	2.862462	0.0	0.264175	1.89499	0.0	0.0	1.429411	0.242637	0.0	1.21007	0.0	1.338353	1.367186	2.706561	1.74976
"NG-25"	2.321663	0.0	0.284636	2.11472	0.0	0.0	1.919899	0.0	0.0	1.429213	0.0	1.082041	1.030358	1.978418	2.042266
"TL-1-85"	2.286736	0.0	0.126922	1.817771	0.0	0.0	1.635019	0.400274	0.0	1.554731	0.0	1.133662	1.127097	2.108276	1.776845
"FR-180204"	2.062955	0.0	1.223645	2.291911	0.0	0.0	1.72054	0.0	0.0	1.948764	0.0	0.397312	1.503071	2.493727	2.110069
"Tubastatin A"	2.472267	0.0	0.282282	1.833047	0.0	0.0	1.76325	0.0	0.0	1.631044	0.0	0.793406	1.461322	2.134533	1.470002
"Zibotentan"	4.086608	0.0	0.863448	2.521398	0.0	0.0	2.077645	0.176554	0.309993	2.080321	0.0	1.649126	1.434945	3.115921	2.174489
"VNLG/124"	1.591175	0.0	1.07218	1.777869	0.0	0.0	1.073209	0.986953	0.0	1.567477	0.0	0.918067	1.429197	2.66677	1.407957
"Linifanib"	2.189541	0.0	0.520086	1.708294	0.0	0.488394	1.26369	0.280258	0.81298	1.468395	0.0	1.124069	0.956062	1.836521	1.664887
"BIX02189"	2.967728	0.0	0.268895	2.207757	0.0	0.0	1.648558	0.782095	0.0	1.365737	0.0	0.986928	1.101178	2.176793	1.634069
"Alectinib"	1.95577	0.0	0.994419	1.629018	0.0	0.0	1.485901	0.612054	0.0	1.514545	0.0	1.043171	0.920367	1.51128	1.655534
"KIN001-236"	2.912824	0.0	0.544618	1.995031	0.0	0.0	1.684962	0.972016	0.0	1.383141	0.0	0.676297	1.478483	1.853288	1.669802
"KIN001-260"	2.296757	0.0	0.503023	1.93327	0.0	0.0	1.155581	0.514007	0.0	1.502082	0.0	1.444655	1.291449	2.624545	1.751039
"KIN001-266"	1.77918	0.0	0.0	2.695085	0.0	0.0	2.140864	0.0	0.0	1.857143	0.0	0.304529	0.374377	3.474842	1.929623
"NVP-BHG712"	2.11694	0.0	0.797657	1.965617	0.0	0.0	1.866955	0.732333	0.0	1.199976	0.0	0.675673	1.390022	2.373746	1.917627
"TPCA-1"	1.833368	0.0	0.62463	2.347873	0.0	0.0	2.079855	0.328174	0.0	1.542102	0.0	0.625979	1.695718	1.404395	2.033444
"Foretinib"	1.787126	0.0	0.092737	3.725395	0.0	0.0	3.612575	0.314864	0.0	0.929646	0.0	0.0	0.727869	3.540682	1.292011
"Tivozanib"	3.217835	0.0	1.013125	1.732722	0.0	0.0	1.837325	0.784817	0.80111	1.697153	0.0	1.402487	0.992571	2.813984	1.305791
"GSK690693"	2.02319	0.0	0.0	1.385937	0.0	0.0	1.431631	0.803586	0.0	1.385985	0.0	1.087505	1.143079	1.692849	1.38072
"QL-XI-92"	2.64071	0.0	0.0	1.847227	0.0	0.0	1.66201	0.525478	0.0	1.518677	0.0	1.042516	1.472409	1.98855	1.831461
"XMD13-2"	2.409719	0.0	0.0	1.825256	0.0	0.0	2.065927	0.151978	0.0	2.005883	0.0	0.396596	1.853782	2.193922	1.931754
"XMD15-27"	2.642182	0.0	0.622614	1.893161	0.0	0.557191	1.724526	0.631634	0.904283	1.633002	0.0	1.33911	1.241753	2.76048	1.774611
"T0901317"	2.651818	0.0	1.20148	0.996751	0.0	0.0	1.363381	0.369801	0.0	1.427073	0.0	1.341968	1.216499	2.028172	1.727092
"Selisistat"	1.909209	0.0	0.92986	1.836727	0.0	0.0	1.194029	0.827145	0.987811	1.846253	0.0	1.063346	1.729391	2.439003	1.479329
"KIN001-270"	3.098201	0.0	1.003883	2.218421	0.0	0.0	0.824311	0.841489	0.0	1.347412	0.0	1.267372	1.809061	2.31328	1.372981
"Olaparib"	3.047568	0.0	1.691101	2.067514	0.0	0.0	1.701526	0.87063	0.0	1.572632	0.0	0.86316	1.037474	3.011093	1.87574
"TW 37"	1.749544	0.0	0.0	0.602599	0.0	0.0	2.667924	1.138576	0.234626	0.918559	0.0	0.804821	1.358956	2.433711	2.359911
"SB505124"	2.383646	0.0	0.0	2.019969	0.0	0.0	1.85145	0.800616	0.697976	1.758823	0.0	0.783582	1.530524	2.33962	1.816727
"PFI-1"	1.648763	0.0	0.038984	1.092471	0.0	0.0	1.450482	0.0	0.0	2.015668	0.0	0.0	1.02004	1.492123	0.990682
"YK-4-279"	4.099373	0.0	0.083315	1.191377	0.0	0.0	1.619326	0.267498	1.231241	1.349459	0.0	1.450453	2.645724	3.729222	1.962741
"Piperlongumine"	2.155356	0.0	0.0	0.931567	0.0	0.0	2.163325	0.0	0.0	1.388398	0.0	0.681849	1.486919	2.274028	0.729031
"Daporinad"	2.25812	0.0	0.470607	1.594969	0.0	0.0	2.016674	0.532637	0.760277	1.251206	0.0	1.012671	1.32129	1.962957	1.215583
"Temozolomide"	1.968212	0.0	0.391478	1.975967	0.0	0.0	0.741471	0.740354	0.130517	1.594677	0.0	1.119751	1.375129	2.944145	1.851935
"Bleomycin (50 uM)"	1.197341	0.0	0.663016	0.629506	0.0	0.0	0.938764	0.174032	0.404054	0.872697	0.0	0.885469	0.065266	1.919672	1.193989
"SN-38"	2.052829	0.0	0.304389	1.863386	0.0	0.0	1.836022	0.910995	1.116751	1.453588	0.0	0.926035	1.390059	1.588459	1.813374
