	"NCI.H345"	"DMS.79"	"LU.165"	"NCI.H128"	"SR"	"EKVX"	"NAMALWA"	"SCH"	"SW684"	"BL.41"	"NBsusSR"	"NCI.H1836"	"GA.10"	"KARPAS.231"	"NCI.H2291"	"HGC.27"	"Saos.2"	"LN.405"	"CaR.1"	"MDA.MB.415"	"SiHa"	"SKG.IIIa"	"TT"	"BT.483"	"SU.DHL.10"	"JEKO.1"	"RCH.ACV"
"Selisistat"	0.815907	1.278818	0.669562	0.0	0.0	1.909209	0.0	0.968305	1.836727	0.0	0.0	1.025471	0.0	0.0	1.194029	0.0	1.890363	1.278339	1.207982	1.333562	0.92195	1.710403	1.490218	2.439003	0.0	0.0	0.0
"KIN001-270"	0.69469	0.175476	0.0	0.0	0.0	3.098201	0.0	0.737795	2.218421	0.0	0.06845	0.181732	0.0	0.0	0.824311	0.0	1.939088	1.04694	1.171372	1.506109	1.398766	1.726411	1.952005	2.31328	0.0	0.0	0.0
"Gefitinib"	1.272798	1.272112	0.682849	0.0	0.258092	0.0	0.0	1.18293	1.987501	0.0	0.0	0.991803	0.0	0.0	1.457882	0.0	1.388936	0.0	0.283329	1.659339	1.214005	0.59793	0.112052	1.848693	0.0	0.0	0.0
"Nilotinib"	0.902968	1.023303	0.856286	0.0	0.0	0.0	0.032764	0.809356	1.472093	0.0	0.0	0.837751	0.0	0.0	1.332368	0.0	1.273815	1.035284	0.885232	1.203554	0.937752	1.189091	0.642812	1.895505	0.0	0.0	0.0
"Veliparib"	1.185282	1.395822	0.900929	0.0	0.0	1.940384	0.0	0.696809	2.240057	0.0	0.0	0.796714	0.0	0.0	1.752508	0.0	1.647792	0.810387	1.057814	1.740936	1.242227	1.715659	0.819171	3.408206	0.0	0.0	0.0
"Bosutinib"	1.526804	1.558095	1.511732	0.0	0.0	0.722503	0.0	0.0	2.076956	0.0	0.0	1.463045	0.0	0.0	1.229368	0.0	1.719315	1.542198	0.211432	1.817369	1.495671	1.155867	0.521618	2.356776	0.0	0.0	0.0
"Lenalidomide"	0.970357	1.131098	0.937549	0.0	0.0	0.773222	0.0	0.90019	2.076811	0.0	0.0	1.011756	0.0	0.0	1.677704	0.0	1.747045	0.648771	0.284628	1.627806	1.177226	1.599192	0.578586	3.124702	0.0	0.0	0.0
"Axitinib"	1.478477	1.532347	1.318014	0.0	0.0	2.610844	0.054904	1.37505	2.072142	0.0	0.0	1.406555	0.0	0.0	1.866009	0.0	1.072145	1.605882	0.869857	0.295785	0.119201	0.313591	0.0	2.48216	0.0	0.0	0.0
"GW441756"	1.304676	1.325737	1.28515	0.0	0.202058	1.683944	0.251362	1.175518	1.992796	0.0	0.0	1.222781	0.147168	0.0	1.837424	0.0	1.704808	1.31922	1.405463	0.0	0.0	0.0	0.0	2.637754	0.0	0.572625	0.0
"Motesanib"	1.010515	1.44603	0.93412	0.0	0.141447	1.792342	0.031328	1.147723	2.108156	0.0	0.043416	1.180029	0.028983	0.0	1.50425	0.0	1.589094	0.0	1.287219	0.0	0.0	1.48587	0.0	2.820536	0.0	0.403512	0.0
"PLX-4720"	1.150089	0.874909	0.0	0.0	0.0	0.307612	0.0	0.0	1.715062	0.0	0.0	1.198564	0.0	0.0	1.59812	0.0	1.465063	0.430406	1.509419	1.381297	0.673785	1.169577	1.479932	2.369416	0.0	0.0	0.0
"JNK Inhibitor VIII"	1.168752	1.128764	1.340702	0.0	0.0	3.018395	0.0	1.138862	1.811976	0.0	0.0	1.18967	0.0	0.0	1.59356	0.0	1.87299	0.538395	1.825885	0.336546	1.064978	1.641184	1.209149	3.228745	0.0	0.274294	0.0
"PD173074"	1.109063	0.997033	1.081242	0.0	0.0	2.064642	0.0	1.020832	1.701844	0.0	0.0	1.070467	0.0	0.0	0.0	0.0	1.246577	0.783168	1.577864	0.850608	1.158847	1.493289	1.401324	2.066517	0.0	0.0	0.0
"RO-3306"	1.359414	1.076398	1.412353	0.0	0.0	2.20749	0.0	1.158434	2.155357	0.0	0.0	1.322799	0.0	0.0	1.222558	0.0	1.650094	0.987405	1.156566	1.426989	0.0	0.0	1.618858	1.731641	0.0	0.0	0.115965
"SGC0946"	1.091571	1.122688	1.012278	0.0	0.0	2.250479	0.0	0.287218	1.921752	0.0	0.0	0.908529	0.0	0.0	0.0	0.0	1.720339	1.324952	1.815905	0.0	1.078786	1.62354	1.880703	2.493498	0.0	0.0	0.0
"Dabrafenib"	1.067545	1.097039	0.10255	0.0	0.0	1.832636	0.132191	0.0	1.237604	0.0	0.118638	1.028057	0.113477	0.316578	0.0	0.0	1.259252	0.964342	1.301137	0.899188	1.004702	0.954812	0.125101	1.686114	0.067872	0.0	0.168639
"Temozolomide"	0.007824	1.084819	1.182037	0.0	0.0	1.968212	0.0	0.0	1.975967	0.0	0.0	0.0	0.0	0.0	0.741471	0.0	0.828725	1.29351	1.336874	1.342858	0.977968	1.040792	1.221563	2.944145	0.0	0.0	0.0
