	"MC.CAR"	"ACN"	"RKO"	"SW684"	"NCI.H1437"	"MIA.PaCa.2"	"NCI.H2291"	"EBC.1"	"OVCAR.3"	"A2058"	"CAL.72"	"DMS.53"	"LU.99A"	"Mewo"	"MG.63"	"NCI.H2452"	"Saos.2"	"RPMI.7951"	"RO82.W.1"	"SKG.IIIa"	"HCC.44"	"JHH.6"	"huH.1"	"MCC26"	"SW1116"	"IOSE.523..."	"KNS.62"	"H2810"
"JW-7-24-1"	0.0	0.123075	0.0	2.904582	0.0	0.977822	2.575087	0.0	2.451527	0.23229	2.516116	2.464846	1.666958	1.33436	2.460561	2.549802	2.88905	0.0	2.410653	2.739979	0.0	0.446672	2.270823	2.456084	2.919551	0.220873	0.0	0.0
"NPK76-II-72-1"	0.0	0.942524	0.0	1.988173	0.0	0.856698	1.889538	0.696993	1.440043	0.137022	1.509335	1.455408	0.0	1.537755	1.444918	1.486633	1.777332	0.0	1.357876	1.610326	0.0	0.28588	1.629453	1.677957	1.585632	0.0	0.0	0.0
"VX-11e"	0.0	0.31397	0.0	1.902835	0.0	0.986147	1.793605	0.0	1.198508	0.409406	1.330184	1.280899	0.170166	1.376137	1.17658	1.360421	1.720536	0.0	1.45239	1.590047	0.0	0.353049	1.481259	1.554721	1.789491	0.313471	0.0	0.0
"Pelitinib"	0.0	0.353295	0.0	1.989927	0.220815	1.343333	1.666752	0.500819	1.471695	0.144199	1.553221	1.524487	0.418757	0.944318	1.486564	1.591303	1.535155	0.0	1.646299	1.505256	0.0	1.046548	1.338234	1.444813	2.13101	0.931729	0.0	0.0
"Omipalisib"	0.0	0.0	0.0	1.357754	0.0	1.720936	2.50078	0.0	2.387084	0.110858	2.421135	1.752922	0.776901	0.728906	2.310532	2.451144	1.58316	0.0	2.136398	2.20057	0.0	2.073452	2.506979	2.495906	2.941993	1.181411	0.0	0.0
"MPS-1-IN-1"	0.0	1.241717	0.0	2.269601	0.0	1.474453	2.161765	1.231435	1.601445	0.054515	1.660794	1.620457	0.0	1.72499	1.60246	1.707933	2.054875	0.0	1.627217	1.997194	0.0	0.539255	1.802019	1.907012	1.941789	0.0	0.0	0.0
"NVP-BHG712"	0.0	1.11331	0.0	1.965617	0.63311	0.987569	1.866955	0.852855	1.393442	0.484249	1.463861	1.419042	0.0	1.489859	1.410949	1.231981	1.801813	0.0	1.017096	1.735116	0.0	0.39462	1.584958	1.658867	1.917627	0.158666	0.0	0.0
"PHA-793887"	0.0	0.1159	0.0	1.559539	0.0	1.22474	1.783387	0.032961	1.416779	0.06192	1.47076	1.429942	0.891881	1.351175	1.343143	1.490119	1.487232	0.0	1.588422	1.68441	0.0	0.541826	1.570906	1.542749	1.765923	1.002816	0.0	0.0
"PI-103"	0.0	0.0	0.0	1.171432	0.0	1.660126	1.936109	0.0	1.804498	0.0	1.851052	1.615039	0.787413	0.511375	1.810297	1.868178	1.808162	0.0	1.464653	2.036518	0.0	0.858586	1.937988	1.915881	1.634196	0.835022	0.0	0.0
"SB52334"	0.0	0.936454	0.065385	2.118502	0.088873	1.258438	1.985716	0.355182	1.362552	0.002133	1.460278	1.413868	0.329849	0.128468	1.340519	1.493963	1.911411	0.025331	1.223476	1.821344	0.0	0.203451	1.639593	1.723045	1.820012	0.0	0.0	0.0
"Fedratinib"	0.0	0.24403	0.112455	2.238834	0.0	1.518721	2.431116	0.210451	1.938995	0.031014	2.010052	1.546608	0.361238	1.555939	1.947845	2.015374	1.67489	0.056823	1.651722	2.176287	0.0	1.701125	1.828113	1.708617	2.435466	1.498891	0.0	0.0
"YM201636"	0.0	1.369754	0.0	2.592583	0.0	1.269208	2.444884	0.061408	1.782351	0.791918	1.88207	1.879574	0.0	1.431393	1.84802	1.417658	2.38303	0.0	2.053172	2.147703	0.0	0.0	2.105415	2.192426	2.512659	0.0	0.0	0.0
"QL-XI-92"	0.0	0.0	0.0	1.847227	0.0	1.02034	1.66201	0.0	1.221222	0.0	1.305401	1.239962	0.84861	1.157597	1.231707	1.32927	1.726318	0.0	1.485247	1.640759	0.0	0.815567	1.303992	0.934325	1.831461	0.680791	0.0	0.0
"XMD13-2"	0.0	0.0	0.0	1.825256	0.0	0.343511	2.065927	0.0	1.483182	0.0	1.26646	1.452956	0.73207	0.731347	1.296562	1.595578	1.982524	0.386623	1.320923	1.895711	0.0	1.199108	1.720525	1.124452	1.931754	0.956631	0.0	0.0
"QL-X-138"	0.0	0.0	0.0	1.144316	0.0	2.010623	2.295891	0.0	2.221352	0.0	2.273881	2.236904	0.748052	1.963827	2.228708	2.310407	1.736839	0.0	1.632856	2.399919	0.178162	0.88567	2.408036	1.927299	2.528944	0.321921	0.0	0.0
