	"Cryptophthalmos, Unilateral or Bilateral, Isolated"	"Microcornea-glaucoma-absent frontal sinuses syndrome"	"Nail-patella syndrome"	"Oculodentodigital dysplasia"	"Axenfeld-Rieger Syndrome, Type 1"	"Autosomal dominant vitreoretinochoroidopathy"	"Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome"	"Microphthalmia With Hyperopia, Retinal Degeneration, Macrophakia, and Dental Anomalies"	"Retinal degeneration-nanophthalmos-glaucoma syndrome"	"Rothmund-Thomson Syndrome"	"Subaortic stenosis-short stature syndrome"	"Oculofaciocardiodental syndrome"	"Nance-Horan Syndrome"	"Chondrodysplasia Punctata 2, X-Linked Dominant"	"oculocerebrorenal syndrome"	"Ehlers-Danlos syndrome, musculocontractural type"	"Cataract, autosomal dominant"	"COL4A1-related familial vascular leukoencephalopathy"	"Chromosome 17Q12 Duplication Syndrome"	"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain and Eye Anomalies), Type A, 7"	"Orphanet:1052"	"Orphanet:1473"	"Orphanet:1900"	"Orphanet:199"	"Orphanet:2108"	"Orphanet:2536"	"Orphanet:261272"	"Orphanet:2710"	"Orphanet:2712"	"Orphanet:287"	"Congenital rubella syndrome"	"Orphanet:3103"	"Orphanet:3380"	"Orphanet:35612"	"Microphthalmia, Lenz type"	"Muscle-eye-brain disease"	"Orphanet:627"	"Orphanet:649"	"Orphanet:709"	"Orphanet:818"	"Orphanet:899"
"Anophthalmia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Hand polydactyly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aplasia/Hypoplasia of the corpus callosum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
"Foot polydactyly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Optic nerve coloboma"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Coloboma"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Severe Myopia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sclerocornea"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
"Remnants of the hyaloid vascular system"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Aplasia/Hypoplasia of the cerebellum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
