	"pontocerebellar hypoplasia type 4"	"Microcephaly with chorioretinopathy, autosomal recessive"	"Pontocerebellar hypoplasia type 2A"	"Microcephaly, Amish Type"	"pontocerebellar hypoplasia type 3"	"Primary autosomal recessive microcephaly 5"	"Pontocerebellar hypoplasia type 2B"	"Cortical Dysplasia, Complex, With Other Brain Malformations 8"	"Lissencephaly 4"	"Pontocerebellar hypoplasia, type 7"	"Mitochondrial complex v (atp synthase) deficiency, nuclear type 4"	"Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome"	"Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy"	"Cortical dysplasia, complex, with other brain malformations 6"	"Primary autosomal recessive microcephaly 13"	"Microcephaly and chorioretinopathy, autosomal recessive, 2"	"Lissencephaly 7 with cerebellar hypoplasia"	"Primary autosomal recessive microcephaly 15"	"Polymicrogyria, Perisylvian, With Cerebellar Hypoplasia and Arthrogryposis"	"Spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome"	"Microcephaly 16, primary, autosomal recessive"	"Mental Retardation, Autosomal Recessive 53; MRT53"	"Pontocerebellar hypoplasia, type 2f"	"Microcephaly 17, Primary, Autosomal Recessive"
"HP:0001276"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003577"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Cerebellar hypoplasia"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
"Attention deficit hyperactivity disorder"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pulmonary hypoplasia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sloping forehead"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
"Cortical gyral simplification"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
"Hypoplasia of the brainstem"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"Spastic tetraplegia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"Encephalopathy"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Progressive microcephaly"	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0
"High-pitched cry"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Small cerebral cortex"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
