	"Adams-Oliver Syndrome 1"	"Sotos Syndrome 1"	"Bannayan-Riley-Ruvalcaba Syndrome"	"Oculodentodigital dysplasia"	"Greig cephalopolysyndactyly syndrome"	"Melanosis, Neurocutaneous"	"syndromic X-linked intellectual disability 94"	"Moyamoya Disease 4 With Short Stature, Hypergonadotropic Hypogonadism, and Facial Dysmorphism"	"X-linked cerebral-cerebellar-coloboma syndrome syndrome"	"Mend Syndrome"	"glycerol kinase deficiency"	"Curry-Jones syndrome"	"Megalencephaly-Capillary Malformation-Polymicrogyria Syndrome"	"Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1"	"Polyhydramnios, megalencephaly, and symptomatic epilepsy"	"Witteveen-kolk syndrome"	"chromosome 19p13.13 deletion syndrome"	"Mental retardation with language impairment and with or without autistic features"	"Brain Malformations and Urinary Tract Defects"	"Chromosome 17Q12 Duplication Syndrome"	"Malan overgrowth syndrome"	"Autism, Susceptibility To, 18"	"Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2"	"Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3"	"Mental retardation, autosomal dominant 31"	"Tenorio Syndrome"	"Intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome"	"Mental Retardation, Autosomal Dominant 36"	"Luscan-Lumish Syndrome; LLS"	"OMIM:617537"	"Orphanet:100924"	"Orphanet:109"	"Orphanet:1553"	"2q24 microdeletion syndrome"	"Orphanet:199276"	"5q14.3 microdeletion syndrome"	"Orphanet:2481"	"8p23.1 duplication syndrome"	"Orphanet:261272"	"20q13.33 microdeletion syndrome"	"Orphanet:261476"	"Xq12-q13.3 duplication syndrome"	"Familial primary hypomagnesemia with normocalciuria and normocalcemia"	"Orphanet:380"	"Isolated glycerol kinase deficiency"	"Monosomy 9q22.3"	"Orphanet:821"	"Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome"	"Orphanet:85277"	"Orphanet:974"
"Generalized hypotonia"	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ventriculomegaly"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
"Hydrocephalus"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
"Broad nasal tip"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aggressive behavior"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Obesity"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Prominent forehead"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Open mouth"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Feeding difficulties"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Delayed myelination"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Facial hypotonia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
