	"Hypogonadotropic Hypogonadism 7 With or Without Anosmia"	"hypogonadotropic hypogonadism 2 with or without anosmia"	"hypogonadotropic hypogonadism 3 with or without anosmia"	"Hypogonadotropic Hypogonadism 4 With or Without Anosmia"	"Hypogonadotropic Hypogonadism 5 With or Without Anosmia"	"Hypogonadotropic Hypogonadism 6 With or Without Anosmia"	"Hypogonadotropic Hypogonadism 8 With or Without Anosmia"	"Hypogonadotropic Hypogonadism 9 With or Without Anosmia"	"Hypogonadotropic hypogonadism 11 with or without anosmia"	"hypogonadotropic hypogonadism 12 with or without anosmia"	"Hypogonadotropic Hypogonadism 14 With or Without Anosmia"	"Hypogonadotropic Hypogonadism 15 With or Without Anosmia"	"hypogonadotropic hypogonadism 16 with or without anosmia"	"Hypogonadotropic Hypogonadism 22 With or Without Anosmia"	"Orphanet:478"
"Primary amenorrhea"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Gynecomastia"	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Decreased testicular size"	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hyposmia"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Hypoplasia of the ovary"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Microphallus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Decreased serum testosterone level"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Absence of pubertal development"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Decreased serum estradiol"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Small pituitary gland"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Decreased circulating gonadotropin level"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
