	"Axenfeld-Rieger Anomaly With Partially Absent Eye Muscles, Distinctive Face, Hydrocephaly, and Skeletal Abnormalities"	"Ehlers-Danlos Syndrome With Short Stature and Limb Anomalies"	"autosomal dominant Robinow syndrome 1"	"Joubert syndrome 1"	"Mannosidosis, Alpha B, Lysosomal"	"Primrose syndrome"	"Progeroid Syndrome, Neonatal"	"Joubert syndrome 10"	"syndromic X-linked intellectual disability Snyder type"	"Diamond-Blackfan anemia 15 with mandibulofacial dysostosis"	"Noonan Syndrome-Like Disorder With Loose Anagen Hair 1"	"Craniolenticulosutural dysplasia"	"Larsen-like osseous dysplasia-short stature syndrome"	"Noonan syndrome 6"	"Chromosome 4Q32.1-Q32.2 Triplication Syndrome"	"Noonan syndrome 7"	"Brain Malformations and Urinary Tract Defects"	"ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder"	"Tenorio Syndrome"	"Cole-Carpenter Syndrome 2"	"Growth restriction, severe, with distinctive facies"	"Palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome"	"Thauvin-robinet-faivre syndrome"	"Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies"	"Neurodevelopmental Disorder with Hypotonia, Seizures, and Absent Language; NDHSAL"	"Orphanet:1193"	"Orphanet:1394"	"Orphanet:1782"	"Orphanet:199318"	"Orphanet:238446"	"Orphanet:2780"	"Orphanet:2849"	"Orphanet:3219"	"Orphanet:85276"
"Wide nasal bridge"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"Short neck"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000006"	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Generalized hypotonia"	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Epicanthus"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Intrauterine growth retardation"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003593"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Posteriorly rotated ears"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"Prominent forehead"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
