	"Familial abdominal aortic aneurysm 1"	"Charcot-Marie-Tooth disease, demyelinating, type 1b"	"Charcot-Marie-Tooth Disease, Axonal, Type 2A1"	"Charcot-Marie-Tooth disease type 1A"	"Charcot-Marie-Tooth Disease and Deafness"	"Dejerine-Sottas disease"	"Neuropathy, Hereditary Sensory and Autonomic, Type 1A"	"Roussy-LC)vy syndrome"	"Charcot-Marie-Tooth Disease, Type 4A"	"CMTX2"	"CMTX3"	"Charcot-Marie-Tooth disease type 2B"	"Charcot-Marie-Tooth disease type 1C"	"Neuropathy, Hereditary Motor and Sensory, Type 6A"	"Charcot-Marie-Tooth disease type 4B1"	"Charcot-Marie-Tooth disease type 4C"	"Charcot-Marie-Tooth Disease, Type 4B2"	"Charcot-Marie-Tooth disease type 4E"	"Charcot-Marie-Tooth disease type 4G"	"Charcot-Marie-Tooth Disease, Axonal, Type 2B1"	"Charcot-Marie-Tooth Disease, Axonal, Type 2B2"	"Hereditary Motor and Sensory Neuropathy, Type 2C"	"DNM2-related intermediate Charcot-Marie-Tooth neuropathy"	"Charcot-Marie-Tooth disease dominant intermediate A"	"Charcot-Marie-Tooth Disease, Axonal, Type 2F"	"Spinocerebellar Ataxia, Autosomal Recessive, With Axonal Neuropathy"	"Charcot-Marie-Tooth Disease, Axonal, Type 2I"	"Charcot-Marie-Tooth Disease, Axonal, Type 2E"	"Charcot-Marie-Tooth Disease, Axonal, With Vocal Cord Paresis, Autosomal Recessive"	"CMT2H"	"Charcot-Marie-Tooth Disease, Demyelinating, Type 1F"	"Charcot-Marie-Tooth Disease, Axonal, Type 2J"	"Charcot-Marie-Tooth disease dominant intermediate 3"	"Charcot-Marie-Tooth disease axonal type 2K"	"Charcot-Marie-Tooth Disease, Recessive Intermediate a"	"Moved to 614436"	"Charcot-Marie-Tooth disease axonal type 2L"	"Charcot-Marie-Tooth Disease, Axonal, Autosomal Dominant, Type 2A2A"	"Charcot-Marie-Tooth Disease, Type 4H"	"giant axonal neuropathy 2"	"Charcot-Marie-Tooth disease, type 2N"	"Charcot-Marie-Tooth disease type 2P"	"Charcot-Marie-Tooth disease dominant intermediate E"	"Distal hereditary motor neuronopathy type 5B"	"Charcot-Marie-Tooth disease type 4F"	"Charcot-Marie-Tooth Disease, Recessive Intermediate C"	"Myasthenic syndrome, congenital, 7, presynaptic"	"Orphanet:3115"
"Ulnar claw"	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Areflexia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hammertoe"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
"Distal muscle weakness"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
"Distal sensory impairment"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
"Steppage gait"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Decreased number of peripheral myelinated nerve fibers"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Onion bulb formation"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Cold-induced muscle cramps"	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Foot dorsiflexor weakness"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Segmental peripheral demyelination/remyelination"	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
