	"Charcot-Marie-Tooth Disease, Axonal, Type 2A1"	"Neuropathy, Hereditary Sensory and Autonomic, Type 1A"	"Neuropathy, Hereditary, With Liability to Pressure Palsies"	"Spinocerebellar ataxia 1"	"Roussy-LC)vy syndrome"	"Adult onset ataxia with oculomotor apraxia"	"Charcot-Marie-Tooth Disease, Type 4A"	"hereditary motor and sensory neuropathy with agenesis of the corpus callosum"	"Optic Atrophy, Hearing Loss, and Peripheral Neuropathy, Autosomal Recessive"	"Charlevoix-Saguenay spastic ataxia"	"Charcot-Marie-Tooth disease X-linked dominant 1"	"Charcot-Marie-Tooth disease type 5"	"Charcot-Marie-Tooth disease type 1C"	"Charcot-Marie-Tooth Disease, Type 4D"	"Charcot-Marie-Tooth disease type 4E"	"Charcot-Marie-Tooth disease type 4G"	"Charcot-Marie-Tooth Disease, Axonal, Type 2B2"	"Distal hereditary motor neuropathy, Jerash type"	"ataxia with oculomotor apraxia type 2"	"Hereditary Motor and Sensory Neuropathy, Type 2C"	"DNM2-related intermediate Charcot-Marie-Tooth neuropathy"	"Charcot-Marie-Tooth Disease, Axonal, With Vocal Cord Paresis, Autosomal Recessive"	"Charcot-Marie-Tooth Disease, Demyelinating, Type 1F"	"Charcot-Marie-Tooth disease dominant intermediate 3"	"Charcot-Marie-Tooth disease axonal type 2K"	"Charcot-Marie-Tooth disease axonal type 2L"	"Neurologic Waardenburg-Shah syndrome"	"Charcot-Marie-Tooth Disease, Axonal, Autosomal Dominant, Type 2A2A"	"Charcot-Marie-Tooth Disease, Type 4H"	"giant axonal neuropathy 2"	"Charcot-Marie-Tooth disease type 4J"	"Charcot-Marie-Tooth disease, type 2N"	"Charcot-Marie-Tooth disease axonal type 20"	"Charcot-Marie-Tooth disease type 2P"	"Charcot-Marie-Tooth disease dominant intermediate E"	"Distal hereditary motor neuronopathy type 5B"	"Charcot-Marie-Tooth disease type 4F"	"Spinal Muscular Atrophy, Jokela Type"	"Charcot-Marie-Tooth Disease, Recessive Intermediate C"	"Myasthenic syndrome, congenital, 7, presynaptic"	"Orphanet:3115"	"Orphanet:640"	"Orphanet:643"
"Myelin outfoldings"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Foot dorsiflexor weakness"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Axonal degeneration/regeneration"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Peripheral axonal atrophy"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Segmental peripheral demyelination/remyelination"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Subsarcolemmal accumulations of abnormally shaped mitochondria"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cytochrome C oxidase-negative muscle fibers"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Multiple mitochondrial DNA deletions"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Muscle fiber necrosis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Impaired distal proprioception"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Impaired distal vibration sensation"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sensory ataxic neuropathy"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Atrophy/Degeneration involving the spinal cord"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
