	"DECIPHER:66"	"Johnson neuroectodermal syndrome"	"Shprintzen syndrome"	"Epiphyseal Dysplasia, Microcephaly, and Nystagmus"	"Fanconi anemia, complementation group C"	"Fanconi Anemia, Complementation Group D2"	"Fanconi Anemia, Complementation Group a"	"Microcephaly-cervical spine fusion anomalies syndrome"	"Oculopalatocerebral Syndrome"	"Xeroderma pigmentosum, group F"	"Chromosome Xp11.3 Deletion Syndrome"	"Aphalangia, Partial, With Syndactyly and Duplication of Metatarsal 4"	"Fanconi Anemia, Complementation Group E"	"Trichothiodystrophy 1, photosensitive"	"Tricho-oculo-dermo-vertebral syndrome"	"Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy"	"Xeroderma Pigmentosum, Complementation Group B"	"Riddle Syndrome"	"Skeletal Defects, Genital Hypoplasia, and Mental Retardation"	"Nijmegen Breakage Syndrome-Like Disorder"	"Brain calcification, Rajab type"	"Feingold syndrome type 2"	"Microcephaly 11, Primary, Autosomal Recessive"	"Mental retardation, autosomal dominant 33"	"Trichothiodystrophy 6, Nonphotosensitive; TTD6"	"Fanconi Anemia, Complementation Group 5"	"Growth hormone insensitivity syndrome"	"Orphanet:1824"	"Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome"	"Orphanet:2985"	"Orphanet:317"	"Orphanet:85273"
"Reticulocytopenia"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Complete duplication of thumb phalanx"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bruising susceptibility"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Absent radius"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Duplicated collecting system"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Leukemia"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pancytopenia"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Anemic pallor"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Deficient excision of UV-induced pyrimidine dimers in DNA"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prolonged G2 phase of cell cycle"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chromosomal breakage induced by crosslinking agents"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
