	"hereditary spastic paraplegia 3A"	"Spastic paraplegia 4, autosomal dominant"	"hereditary spastic paraplegia 17"	"Spastic paraplegia 15"	"Spastic paraplegia 5A"	"Troyer syndrome"	"hereditary spastic paraplegia 34"	"Spastic Paraplegia 2, X-Linked"	"hereditary spastic paraplegia 6"	"Distal hereditary motor neuronopathy type 5"	"hereditary spastic paraplegia 9A"	"Charcot-Marie-Tooth Disease, Axonal, Type 2D"	"hereditary spastic paraplegia 8"	"Spastic Paraplegia 10, Autosomal Dominant"	"hereditary spastic paraplegia 11"	"Spastic Paraplegia 12, Autosomal Dominant"	"SPG14"	"Spastic Paraplegia 13, Autosomal Dominant"	"hereditary spastic paraplegia 19"	"Spastic Paraplegia 7, Autosomal Recessive"	"Spastic Paraplegia, Ataxia, and Mental Retardation"	"SPG27"	"Spastic Paraplegia 26, Autosomal Recessive"	"hereditary spastic paraplegia 28"	"hereditary spastic paraplegia 29"	"Spastic paraplegia 33, autosomal dominant"	"Spastic Paraplegia 31, Autosomal Dominant"	"hereditary spastic paraplegia 30"	"hereditary spastic paraplegia 32"	"SPG37"	"SPG38"	"Spastic Paraplegia 42, Autosomal Dominant"	"SPG36"	"Spastic Paraplegia 44, Autosomal Recessive"	"OMIM:613364"	"Spastic paraplegia 46, autosomal recessive"	"Spastic paraplegia 56, autosomal recessive"	"Spastic Paraplegia 55, Autosomal Recessive"	"Spastic Paraplegia 72, Autosomal Recessive"	"Spastic Paraplegia 74, Autosomal Recessive"	"Spastic paraplegia 76, autosomal recessive"	"Spastic paraplegia-Paget disease of bone syndrome"	"Orphanet:431329"
"Babinski sign"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Urinary bladder sphincter dysfunction"	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Decreased number of peripheral myelinated nerve fibers"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sensory neuropathy"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Lower limb muscle weakness"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Urinary urgency"	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Impaired vibration sensation in the lower limbs"	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Spastic gait"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"Abnormality of the periventricular white matter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Distal peripheral sensory neuropathy"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tip-toe gait"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
