	"Frasier syndrome"	"46,XY sex reversal, type 4"	"Denys-Drash syndrome"	"46,Xy Sex Reversal 1"	"46,XY sex reversal, type 3"	"46,Xy Sex Reversal 5"	"46,XY disorder of sex development due to testicular 17,20-desmolase deficiency"	"Orphanet:168558"	"Orphanet:220"	"46,XY partial gonadal dysgenesis"	"Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency"	"Orphanet:347"	"Orphanet:754"	"Leydig cell hypoplasia"	"Orphanet:90790"	"Orphanet:90791"	"Orphanet:90793"	"Orphanet:90794"	"Orphanet:90795"	"46,XY disorder of sex development due to isolated 17,20-lyase deficiency"	"Orphanet:95699"
"Abnormal scrotal rugation"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Abnormality of the menstrual cycle"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
"Abnormal sex determination"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"Decreased fertility in males"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hyperpigmented genitalia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0
"Abnormality of the labia majora"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
"Ectopic adrenal gland"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
"Hypervolemia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"Abnormal circulating aldosterone"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"Abnormality of hair growth rate"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
"Female sexual dysfunction"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
