	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YGR085C"	-3.406	-6.059	-2.625	-2.77	-3.306	-3.54	-4.179	-1.815
"YGR148C"	-3.884	-5.757	-2.508	-2.896	-3.022	-3.649	-4.092	-2.072
"YGR185C"	-5.306	-6.361	-2.531	-2.944	-4.576	-4.871	-5.006	-0.9955
"YGR200C"	-2.863	-3.668	-1.274	-1.456	-1.861	-2.863	-2.446	-0.962
"YGR264C"	-5.206	-4.616	-2.707	-3.468	-4.623	-4.957	-4.753	-1.1595
"YGR285C"	-4.078	-6.1	-2.557	-2.811	-3.452	-4.07	-4.065	-1.4295
"YHL034C"	-1.801	-3.26	-0.827	-1.108	-1.2	-1.905	-1.822	0.494
"YHR019C"	-4.051	-5.077	-2.109	-2.06	-3.117	-3.721	-4.387	-1.678
"YHR043C"	-1.983	-3.778	-0.839	-1.062	-1.59	-1.963	-1.696	0.4215
"YHR068W"	-4.28	-6.532	-1.927	-2.429	-2.724	-3.669	-3.425	-1.4595
"YHR118C"	-1.129	-2.376	-0.302	-0.515	-0.662	-1.109	-1.036	-0.148
"YHR190W"	-1.807	-3.849	-0.083	-0.186	-1.054	-1.59	-1.725	0.152
"YHR193C"	-3.11	-4.166	-1.494	-1.913	-1.778	-2.357	-2.845	-1.1525
"YIL020C"	-2.251	-3.447	-1.134	-1.135	-1.853	-1.943	-1.728	-0.248
"YIL078W"	-5.192	-6.059	-2.436	-3.226	-4.41	-4.902	-4.944	-1.422
"YIL128W"	-2.602	-4.056	-0.572	-0.961	-1.552	-2.023	-1.64	-0.14
"YJL002C"	-2.469	-4.487	-0.942	-1.17	-1.748	-2.556	-2.618	-0.541
"YJL014W"	-2.624	-3.962	-1.558	-1.58	-2.252	-3.068	-2.866	-0.561
"YJL097W"	-2.596	-4.683	-1.025	-1.409	-1.461	-2.558	-2.276	-0.362
"YJL138C"	-3.125	-5.625	-1.763	-2.049	-2.542	-2.785	-3.522	-1.659
"YJL145W"	-2.136	-3.628	-1.678	-1.482	-2.303	-2.334	-2.853	-1.0165
"YJR064W"	-1.931	-4.297	-1.592	-1.762	-1.961	-2.702	-2.57	-0.4
"YJR087W"	-2.136	-3.553	-0.447	-0.634	-1.125	-1.669	-1.145	0.056
"YJR088C"	-1.838	-3.175	-0.446	-0.384	-0.879	-1.194	-1.086	-0.119
"YJR139C"	-2.333	-4.462	-0.762	-1.269	-1.914	-2.388	-2.051	-0.255
"YKL056C"	-3.426	-5.119	-1.741	-2.281	-2.754	-3.265	-3.483	-1.1915
"YKL068W"	-1.98	-3.325	-0.788	-0.482	-1.121	-1.563	-1.621	-0.085
"YKL080W"	-4.229	-5.94	-1.299	-1.962	-2.874	-2.944	-2.866	-0.692
"YKL092C"	-1.204	-2.057	-0.2305	-0.33	-0.6105	-1.139	-1.0235	0.0085
"YKL122C"	-2.027	-4.576	-1.296	-1.282	-2.178	-2.544	-2.706	-0.754
"YKL143W"	-2.312	-3.827	-1.815	-1.965	-2.215	-3.005	-2.585	-1.479
"YKL145W"	-1.469	-3.898	-0.029	0.168	-0.904	-1.615	-1.832	0.63
"YKL154W"	-2.701	-3.89	-1.477	-1.447	-1.765	-2.132	-2.222	-0.165
"YKL172W"	-2.813	-5.305	-1.613	-2.079	-2.271	-2.723	-3.135	-1.183
"YKL179C"	-1.527	-3.305	-0.234	-0.514	-0.951	-1.676	-1.88	-0.013
"YKR026C"	-2.863	-3.755	-1.369	-1.003	-1.858	-2.363	-2.231	-0.479
"YKR056W"	-3.298	-4.34	-1.597	-1.637	-2.627	-3.787	-3.544	-0.816
"YLR060W"	-4.941	-5.967	-2.397	-2.667	-3.118	-3.713	-4.371	-0.708
"YLR061W"	-4.939	-6.591	-2.433	-2.88	-3.309	-3.833	-3.91	-0.817
"YLR065C"	-1.93	-3.028	-1.07	-1.137	-1.477	-1.554	-1.642	-0.087
"YLR153C"	-4.481	-5.598	-1.29	-2.312	-3.578	-3.672	-3.394	-0.493
"YLR196W"	-4.437	-5.836	-2.66	-2.604	-3.933	-4.664	-4.392	-1.454
"YLR199C"	-0.956	-2.056	-0.109	0.058	-0.74	-1.023	-0.878	0.168
"YLR222C"	-3.721	-4.745	-2.036	-2.29	-3.081	-2.929	-3.119	-0.913
"YLR293C"	-3.488	-6.281	-1.45	-2.158	-2.379	-3.03	-3.186	-0.733
"YLR301W"	-3.676	-5.415	-0.925	-1.325	-2.581	-2.218	-2.268	-0.05
"YLR399C"	-0.6555	-1.252	0.206	-0.3065	-0.4295	-0.585	-0.791	-0.006
"YLR409C"	-3.204	-4.211	-2.024	-2.286	-2.713	-3.315	-3.47	-1.148
"YML008C"	-4.23	-4.829	-2.014	-3.366	-3.358	-5.162	-3.504	-1.144
"YML019W"	-1.914	-3.311	-0.992	-0.775	-1.333	-1.842	-1.638	-0.702
"YML063W"	-4.048	-13.273	-2.658	-2.875	-3.123	-3.364	-4.059	-1.98
"YML074C"	-2.837	-5.319	-1.207	-1.673	-2.826	-3.214	-3.466	-0.69
"YML085C"	-3.379	-4.526	-1.408	-1.564	-1.907	-2.298	-2.55	-0.578
"YMR033W"	-3.063	-4.454	-1.244	-1.469	-1.745	-1.826	-1.988	-0.295
"YMR131C"	-5.052	-6.665	-2.829	-3.214	-4.236	-5.241	-4.266	-1.363
"YMR208W"	-2.542	-3.618	-0.931	-1.136	-1.98	-2.454	-2.354	-0.276
"YMR220W"	-1.869	-3.12	-0.492	-0.881	-1.468	-2.008	-1.728	-0.013
"YMR235C"	-3.534	-5.187	-2.046	-2.046	-2.838	-3.21	-3.756	-1.014
"YMR289W"	-1.469	-2.452	-0.254	-0.255	-0.772	-1.125	-0.922	0.003
"YMR299C"	-1.298	-2.08	-0.368	-0.249	-0.705	-0.916	-0.674	-0.107
"YMR300C"	-3.133	-4.702	-0.742	-0.949	-1.803	-2.016	-1.571	-0.146
"YMR307W"	-5.132	-5.877	-2.493	-3.39	-4.432	-5.016	-4.56	-1.484
"YMR308C"	-3.091	-4.033	-2.014	-1.774	-2.239	-2.796	-2.451	-0.405
"YNL002C"	-2.73	-3.468	-1.856	-2.186	-2.277	-2.592	-2.588	-1.349
"YNL059C"	-1.821	-3.096	-0.723	-0.804	-1.895	-2.027	-2.028	-0.33
"YNL096C"	-4.038	-6.106	-2.776	-3.041	-3.644	-4.096	-4.68	-1.523
"YNL132W"	-4.956	-6.392	-2.799	-2.936	-3.396	-4.377	-4.049	-1.837
"YNL181W"	-1.86	-3.847	-0.753	-0.888	-1.588	-2.16	-1.612	-0.237
"YNL247W"	-3.191	-4.64	-1.899	-2.277	-2.658	-3.388	-2.515	-1.462
"YNR043W"	-2.934	-5.1565	-2.078	-2.382	-2.655	-3.803	-3.856	-1.007
"YOL070C"	-1.284	-2.0685	-0.733	-0.69	-0.88	-1.326	-1.318	-0.259
"YOL077C"	-3.02	-6.552	-2.549	-3.046	-3.299	-3.894	-4.326	-1.771
"YOR103C"	-1.431	-2.033	-0.653	-0.79	-0.954	-1.114	-1.311	-0.283
"YOR157C"	-1.899	-4.5095	-0.204	-0.073	-1.14	-2.012	-1.966	0.246
"YOR163W"	-1.226	-3.0605	-0.29	-0.809	-0.809	-1.31	-1.484	-0.06
"YOR168W"	-1.984	-4.808	-1.54	-1.525	-2.348	-2.353	-2.604	-0.749
"YOR198C"	-4.452	-5.562	-2.3	-2.828	-4.384	-4.657	-4.415	-0.817
"YOR206W"	-3.681	-6.4785	-2.451	-2.637	-3.151	-3.692	-3.694	-1.499
"YOR243C"	-3.3625	-4.3935	-2.179	-2.726	-2.865	-4.484	-3.863	-1.245
"YOR253W"	-2.7935	-5.157	-1.139	-1.299	-1.872	-2.672	-2.633	-0.853
"YOR260W"	-2.507	-4.639	-1.513	-1.624	-2.257	-2.577	-3.081	-0.214
"YOR280C"	-1.883	-4.249	-0.193	-0.29	-1.197	-1.828	-1.95	0.005
"YOR323C"	-4.2845	-6.434	-1.557	-1.382	-2.742	-3.497	-3.428	-0.792
"YPL037C"	-3.9955	-5.417	-1.561	-1.872	-2.115	-3.222	-3.654	-1.009
"YPL146C"	-2.869	-3.5085	-1.917	-1.781	-2.424	-3.141	-3.062	-0.974
"YPL160W"	-3.08233333333333	-5.284	-2.449	-2.824	-3.1695	-3.499	-2.977	-1.148
"YPL241C"	-1.9285	-3.6825	-0.924	-1.179	-1.429	-1.607	-1.54	-0.388
"YPR033C"	-4.8805	-7.94	-2.096	-2.55	-3.951	-4.382	-4.54	-1.174
"YPR102C"	-4.045	-6.451	-2.723	-3.232	-3.352	-3.749	-4.692	-1.815
"YPR110C"	-3.662	-6.318	-2.175	-2.703	-2.993	-3.212	-3.358	-1.216
"YPR118W"	-3.9965	-5.524	-2.594	-2.077	-2.882	-3.334	-3.538	-1.435
"YPR145W"	-3.737	-5.02	-2.228	-2.21	-3.369	-3.625	-3.498	-0.727
"YPR148C"	-1.599	-3.536	0.318	0.335	-0.987	-1.426	-2.035	0.076
