	"57.Elutriation2:Sample2:Time4.0hrs"	"115.heat shock 20 min repeat"	"497.Heat Shock 000 minutes"	"597.25 deg growth"	"686.YP ethanol vs reference pool"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"985.constant 0.32 mM H2O2 (20 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"5239.DES460 (wt) - mock irradiation - 30 min"	"7760.Na 45min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"21628..24 mM H2O2- 105 minutes"	"21645..24 mM H2O2- 020 minutes"	"21650..24 mM H2O2- 040 minutes"	"21660..24 mM H2O2- 120 minutes"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28852.P2Comp 12 hr 22 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34348.wt_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38156.03II01 batch p12"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"	"42404.CC PU 2B Phosphate-Uracil Chemostat Comparison"
"YER070W"	0.32	-2.62	0.79	-0.019	-0.133	-1.922	-3.377	-1.093	-1.51	-3.252	-3.737	-3.09	-2.84	-2.667	-2.624	0.015	0.081	-3.198	-1.289	-2.288	-2.637	-3.229	-3.359	0.128	-1.155	-0.378	-2.798	-1.897	-1.946	-2.811	-0.312	0.969	-0.586	-0.279	0.086	-0.314	-0.185	-1.276	-1.325	-1.516	-1.3	-0.046	0.4	-1.096	-1.406	-1.602	0.44	0.247	-0.809
"YGR085C"	0.294	-1.952	1.473	0.456	-0.601	-0.828	-3.713	-3.301	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	0.853	-1.609	-4.359	-2.625	-2.77	-3.306	-3.54	-4.179	-0.172	-2.111	0.455	-2.078	-1.442	-1.73	-1.234	-0.732	1.306	0.761	0.273	-1.815	0.401	-1.621	-4.004	-2.792	-3.45	-3.003	0.309	0.492	-2.54	-3.52	-2.491	1.259	-0.122	0.181
"YGR094W"	0.121	-2.002	0.652	-0.102	-0.953	-1.911	-3.268	-2.215	-1.689	-4.521	NaN	-2.31	-2.538	-2.033	-2.487	-0.037	-0.282	-3.175	-2.442	-2.85	-4.254	-4.392	-5.518	0.983	-1.707	0.269	-2.594	-2.478	-2.327	-2.93	-0.417	-0.114	-0.5	-0.336	-1.122	0.238	0.098	-1.562	-1.2865	-1.024	-1.242	0.067	-0.046	-1.1175	-0.8195	-1.1425	-0.7645	-0.112	0.9975
"YGR264C"	-0.302	-2.2015	1.02	0.09	-1.489	-1.481	-3.787	-2.696	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-3.49	0.214	-0.833	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	-0.186	-1.941	0.243	-2.246	-2.287	-2.376	-2.353	-0.689	-0.364	-0.576	-0.301	-1.149	-1.355	-2.682	-3.556	-2.673	-3.33	-3.082	0.106	0.259	-1.773	-2.661	-1.432	-0.028	-0.379	-0.247
"YHR068W"	0.013	-1.2965	0.968	0.014	-1.125	-0.587	-3.316	-2.566	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-0.048	-0.587	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	0.333	-0.673	-0.153	-2.522	-2.438	-2.761	-2.475	-0.105	0.689	-0.068	-0.018	-0.904	0.806	-0.805	-2.437	-2.467	-2.406	-2.362	0.365	0.026	-2.469	-2.43	-1.87	0.349	-0.535	-0.228
"YIL018W"	0.513	-2.4325	1.253	0.057	-1.109	-1.744	-4.365	-3.03	-2.78	-3.492	-5.749	-3.362	-3.505	-3.056	-3.151	0.447	-0.688	-3.907	-2.218	-2.606	-2.661	-3.27	-3.914	0.261	-1.963	-1.203	-1.845	-1.798	-1.414	-1.831	-0.816	-0.156	-0.775	-0.308	-2.339	-0.24	-1.093	-4.277	-3.397	-4.06	-3.676	-0.277	-0.201	-2.05	-3.555	-1.609	0.761	0.409	0.156
"YIL078W"	0.017	-1.524	0.897	0.155	-1.288	-0.876	-2.907	-2.075	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	0.137	-0.243	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.218	-1.737	0.73	-2.573	-2.57	-2.6	-2.341	-0.92	0.255	0.238	-0.188	-0.715	-0.348	-1.228	-3.116	-1.937	-1.996	-2.548	-0.117	0.066	-1.391	-1.874	-1.442	0.362	-0.251	-0.082
"YJL177W"	0.284	-2.4035	1.302	0.009	-1.171	-0.293	-4.132	-3.846	-2.747	-3.255	-5.49	-3.409	-3.772	-3.428	-3.164	0.61	-0.92	-5.074	-2.525	-2.421	-1.768	-2.278	-2.905	0.114	-2.129	-0.219	-2.547	-1.676	-1.519	-1.331	-0.452	1.035	-0.786	0.095	-1.721	0.639	-1.683	-4.72	-4.004	-4.54	-4.115	0.25	0.232	-2.619	-3.25	-2.986	1.092	0.049	-0.53
"YKL180W"	0.446	-1.947	1.141	0.367	-0.73	-0.685	-2.661	-2.738	-1.857	-2.561	-5.237	-2.625	-3.204	-2.593	-2.296	0.599	-0.702	-4.629	-2.351	-2.354	-2.059	-2.04	-2.857	0.301	-2.003	-0.452	-2.025	-1.502	-1.757	-1.287	-0.558	0.848	0.241	-0.38	-2.062	0.616	-1.246	-3.827	-3.339	-3.071	-2.962	0.355	0.105	-2.687	-4.065	-2.998	1.559	0.216	-0.089
"YLL045C"	0.803	-2.105	1.394	0.333	-0.971	-1.547	-3.851	-3.176	-2.221	-3.857	-6.618	-3.169	-3.335	-3.185	-2.744	0.568	-1.049	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	0.733	-2.243	0.258	-1.749	-0.995	-1.237	-1.078	-0.493	0.834	-0.202	-0.249	-1.625	-0.251	-1.285	-3.449	-2.833	-3.788	-3.87	0.364	0.217	-2.703	-2.778	-2.191	0.979	-0.364	-0.112
"YLR060W"	0.449	-0.649	0.836	-0.081	-1.157	-0.984	-3.165	-2.617	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	0.317	-0.211	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	0.446	-1.345	0.795	-1.72	-1.77	-1.452	-2.018	0.112	0.476	-0.038	0.381	-1.01	-0.01	-1.787	-2.734	-2.666	-2.64	-2.996	-0.155	-0.044	-1.591	-2.55	-2.175	0.409	-0.726	-0.576
"YLR183C"	-0.009	-1.938	0.428	0.247	-0.453	-1.436	-3.26	-2.307	-1.912	-3.664	-3.782	-1.854	-1.595	-1.418	-1.919	-0.138	-0.443	-2.966	-1.133	-1.434	-1.791	-3.695	-3.132	0.069	-1.323	0.381	-3.098	-1.596	-1.031	-1.531	-0.181	-0.227	-0.656	0.333	-0.812	0.758	-0.665	-1.962	-2.055	-3.342	-2.647	-0.659	-0.318	-0.573	-1.442	-1.778	0.168	-0.576	-0.681
"YLR344W"	0.0975	NaN	1.172	0.096	-0.63	-0.993	-3.262	-2.447	-1.785	-3.139	-4.414	-3.245	-2.655	-2.639	-2.318	0.629	-0.713	-3.619	-2.264	-1.964	-1.824	-2.383	-3.724	-0.009	-2.167	-0.403	-1.829	-1.358	-1.123	-1.146	-0.977	-0.156	-0.678	-0.332	-1.334	0.209	-1.273	-3.46	-2.977	-4.22	-3.608	0.325	0.123	-2.44	-2.817	-2.261	0.778	0.166	0.328
"YNL096C"	-0.182	-2.093	1.017	0.013	-1.968	-1.426	-4.113	-3.765	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	0.439	-1.025	-4.716	-2.776	-3.041	-3.644	-4.096	-4.68	-0.204	-2.046	0.922	-2.296	-1.647	-1.704	-1.302	-0.506	-0.062	-0.587	0.053	-0.971	0.861	-2.61	-3.52	-2.764	-3.087	-3.372	0.123	0.265	-2.516	-3.108	-2.343	0.98	-0.243	-0.398
"YPL079W"	-0.043	-2.597	0.688	0.007	-1.022	-1.356	-4.616	-4.1965	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-3.112	0.672	-0.904	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	0.121	-2.574	-0.126	-2.001	-1.716	-1.575	-1.04	-0.694	-0.328	-0.981	-0.247	-0.368	0.858	0.389	-2.865	-2.753	-3.573	-3.431	-0.157	-0.32	-2.289	-2.489	-2.116	0.622	-0.147	-0.457
"YPL160W"	0.158	-1.5095	0.5835	0.0683333333333333	-1.226	-1.066	-3.26033333333333	-2.28466666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-0.13	-0.264	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	0.617	-1.523	0.0925	-2.4615	-2.584	-2.827	-2.7275	-1.035	-0.4555	-0.531	-0.3555	-1.213	0.13	-1.251	-3.477	-2.958	-3.512	-2.719	-0.052	-0.1365	-1.3955	-1.7245	-1.4145	0.2765	-0.764	-0.496
"YPL226W"	-0.154	-3.002	0.7565	0.113333333333333	-1.114	-1.4335	-4.86566666666667	-3.38066666666667	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-2.786	-2.922	0.122	-1.5665	-4.0095	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.677	-1.907	0.116	-2.2435	-2.2755	-1.7945	-2.3825	-0.903	-0.4235	-1.004	-0.9235	-0.798	-0.403	-1.013	-2.657	-3.519	-3.811	-3.004	0.15	0.142	-1.596	-2.123	-1.895	0.377	-0.343	-0.118
"YPR033C"	0.31	-1.614	0.789	-0.059	-0.59	-0.901	-2.7945	-1.8465	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	0.186	-0.745	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	0.294	-1.74	0.063	-2.213	-2.318	-2.374	-2.285	0.05	0.916	-0.449	0.131	-1.24	-0.119	-1.347	-2.1325	-2.033	-2.0305	-1.9695	-0.0125	0.0665	-1.1885	-1.6665	-1.289	0.636	-0.0435	1.03466666666667
"YPR074C"	0.384	-1.032	0.666	-0.0895	-1.655	-0.916	-3.2435	-2.5595	-2.2945	-5.337	-5.42	-3.374	-2.2005	-3.7185	-4.2955	-0.353	-0.5	-3.649	-2.351	-3.162	-3.369	-3.61	-3.663	0.79	-0.87	-0.572	-3.257	-3.973	-3.946	-4.176	-0.576	-0.802	-0.978	-0.348	-1.041	-0.437	-1.52	-4.473	-3.729	-2.351	-3.123	0.05	0.134	-1.879	-2.334	-2.026	0.89	-0.198	0.011
"YPR102C"	0.218	-2.298	1.367	0.093	-1.197	-0.995	-3.521	-3.2315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-3.673	-3.277	0.704	-1.177	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	-0.201	-2.388	0.809	-2.243	-1.685	-1.678	-1.328	-0.885	0.205	-0.258	-0.043	-2.079	0.652	-2.701	-3.927	-2.614	-4.015	-3.517	0.058	-0.015	-2.691	-3.663	-2.864	0.716	-0.171	0.109
