	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.GC.A3BM.01A.11R.A22U.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.DK.AA6U.01A.11R.A39I.07	TCGA.CV.7432.11A.01R.2132.07	TCGA.CV.6933.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7794.11A.01R.2118.07	GTEX.11DYG.2526.SM.5N9BB	GTEX.145LV.1226.SM.5S2QH
RUFY1	384.34	555.41	457.25	551.56	909.17	595.34	0.0	0.85	988.12	1151.06	928.3
SARDH	10.24	10.39	5.73	6.84	78.89	543.96	0.0	0.34	117.6	215.77	47.17
SH3BP4	57.89	409.15	136.19	97.36	3124.78	4095.0	0.0	0.62	1277.29	1350.18	660.68
SHANK1	0.87	1.91	1.51	1.71	4.43	3.86	0.0	0.08	7.4	12.27	3.29
SHISA6	0.0	0.33	0.31	6.21	0.74	2.1	0.0	0.01	93.35	143.01	6.57
SIRT3	98.73	275.28	175.07	256.78	426.57	466.88	0.0	0.35	525.39	842.36	703.28
SLC14A2	0.0	3.14	0.3	0.0	20.86	6.67	0.0	0.18	6.41	10.08	3.89
SLC15A2	31.22	78.89	12.36	70.51	713.11	441.64	0.0	0.2	1104.13	1963.57	961.07
SLC25A30	51.71	61.68	55.1	69.03	204.07	176.29	0.0	0.27	329.84	325.29	185.11
SMR3B	0.0	0.0	0.0	0.0	3832885.91	3.646477005E7	0.0	0.0	1.43	101.54	0.0
SPATA18	7.69	15.22	16.51	17.13	400.71	346.29	0.0	0.0	287.01	490.14	305.55
SYTL3	111.21	44.57	21.32	33.06	514.56	412.0	0.0	0.39	265.87	262.2	180.02
TARSL2	42.71	100.83	56.68	25.54	149.12	185.11	0.0	0.47	244.57	289.02	221.86
TBX4	1.16	8.58	2.41	3.99	3.44	3.63	0.0	0.6	108.9	158.79	127.89
TGFB3	60.82	94.67	31.45	34.75	642.59	194.36	0.0	0.0	1721.16	3395.89	466.88
TMEM232	0.0	10.71	14.78	3.69	75.11	48.18	0.0	0.0	59.13	48.87	47.5
TMEM71	4.58	15.45	3.92	6.26	204.07	79.45	0.0	0.53	94.67	127.89	73.54
TRPS1	13.42	4.82	25.17	23.59	143.01	84.63	0.0	0.58	309.83	189.02	109.66
TSLP	2.29	21.94	7.75	2.58	18.97	6.89	0.0	0.26	85.82	105.15	43.63
TTC12	39.79	171.45	120.1	133.36	417.77	217.27	0.0	0.19	486.75	555.41	435.55
TTC18	1.46	47.5	4.24	17.38	34.02	34.51	0.0	0.22	64.34	209.84	96.68
TTC40	0.85	0.0	0.31	0.0	13.12	6.89	0.0	0.0	5.36	4.43	1.66
TVP23A	4.28	10.71	4.5	7.4	12.18	5.02	0.0	0.33	58.3	50.27	37.32
WNT3A	0.29	8.45	3.29	0.87	24.63	18.97	0.0	0.1	40.93	127.89	13.83
ZFP2	8.78	3.82	5.73	2.32	27.25	24.63	0.0	0.12	58.71	85.82	56.68
ZG16B	1233.75	688.78	199.85	460.44	593956.43	4282434.24	0.0	0.19	3847.29	4358.66	3168.41
ZHX2	96.01	159.9	129.69	107.38	497.0	334.46	0.0	0.43	567.1	348.71	187.71
ZKSCAN1	209.84	291.04	232.94	299.25	514.56	397.93	206.94	466.88	928.3	819.3	688.78
ZNF540	8.51	26.47	7.82	15.34	52.82	53.95	0.0	0.34	123.5	157.68	136.19
ZNF804A	0.85	1.58	0.31	0.58	1.97	0.79	0.0	0.04	31.67	8.0	3.44
