	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7101.01A.11R.2016.07	TCGA.55.8621.01A.11R.2403.07	GTEX.WYVS.0526.SM.3NM9W	TCGA.34.2608.01A.02R.0851.07	TCGA.22.5472.11A.11R.1635.07
CENPE	8.65	15.56	5.41	82.29	41.81	33.3	76.17	20.71	21.63
CENPN	140.04	122.64	94.01	728.11	583.07	242.88	1437.15	473.41	211.31
CHAF1B	23.59	25.35	15.34	72.52	91.41	61.25	156.59	88.26	53.19
CHRNA5	37.32	10.16	5.32	145.02	69.03	149.12	143.01	21.01	20.56
CKMT1A	4.13	9.63	18.43	12943.04	2047.0	108.14	555.41	470.14	63.0
CLCA2	74.58	42.41	7.11	3.801327429E7	4388.98	61.68	136637.07	2224.63	36.01
COL7A1	8.71	13.32	19.82	5479.15	1950.0	441.64	503.95	1781.89	75.11
CTD-2105E13.6	0.0	0.0	0.0	928.3	0.68	0.52	62.56	5.45	0.0
CTD-2116N17.1	2.34	0.0	0.0	43.63	8.51	4.86	10.63	5.06	3.59
DEFB1	748.61	866.07	738.29	117311.73	2520.38	198.47	1268.46	1183.45	162.14
DNAJC22	0.0	0.36	1.13	3280.18	17.0	45.21	37.32	28.45	11.91
DNAJC9	120.94	138.1	182.55	423.61	363.56	312.0	511.0	414.87	267.73
EGLN3	26.86	70.51	82.87	4358.66	1233.75	1369.04	1066.48	551.56	138.1
EXO1	4.1	11.04	1.51	135.24	134.3	57.49	191.67	76.71	33.54
FAM64A	4.54	7.11	4.28	291.04	201.25	77.25	129.69	99.43	51.35
FAT2	33.78	89.51	1.66	402881.61	915.51	55.1	1896.65	603.67	49.91
FOXE1	0.39	1.13	0.0	402881.61	1685.71	8.71	332.14	289.02	5.19
GBP6	0.38	0.0	0.0	9975791.32	2417.67	53.57	1685.71	441.64	20.71
GJB3	0.0	3.92	0.0	175363.84	2018.8	81.71	764.36	346.29	25.54
GJB4	0.0	0.39	0.0	113315.62	166.73	4.46	132.44	42.71	3.38
GPR19	1.58	3.11	1.23	78.89	15.11	25.72	24.11	16.39	4.03
H2AFX	111.21	146.03	140.04	2664.15	1268.46	555.41	2224.63	769.69	368.65
HAS3	11.13	55.1	16.75	251464.33	4358.66	217.27	2777.33	1015.93	293.07
HIST1H1B	0.0	1.19	0.0	14.24	9.27	1.95	31.0	2.29	1.01
HIST1H2AJ	0.0	0.0	3.17	1313.23	8.99	7.4	30.56	4.31	0.0
HIST1H2BI	0.0	0.0	0.0	120.1	2.41	4.24	7.82	2.61	0.0
ISM2	0.39	0.0	3.17	10.71	5.77	5.96	19.11	4.39	0.41
KCNK10	0.0	0.39	0.0	154.42	3.41	0.41	52.82	2.34	1.03
KCTD11	212.78	246.28	205.5	11992.79	454.09	356.05	1407.55	289.02	318.57
KIF24	3.86	9.06	2.36	53.19	25.91	38.95	61.25	22.43	32.36
KIF2C	6.31	21.63	6.84	406.31	206.94	135.24	253.23	142.01	61.25
KISS1R	0.0	0.0	0.0	63.45	8.13	5.54	38.4	3.29	0.57
KREMEN2	0.0	0.83	0.45	5329.3	55.1	8.13	100.83	51.71	1.36
LGALS9B	1.91	7.4	0.0	12853.63	48.87	65.26	86.43	12.64	14.24
LGALS9C	0.0	3.47	2.01	9025.81	64.8	24.81	297.17	10.55	18.7
LIG1	75.11	134.3	116.78	825.0	591.22	447.82	961.07	536.45	435.55
LSM4	1233.75	1487.87	1225.22	4903.87	3564.78	2224.63	4704.07	2119.22	1950.0
MCM10	5.54	11.73	6.06	84.04	118.43	30.12	127.0	56.68	30.12
MELK	13.32	17.51	1.13	279.14	211.31	81.14	246.28	154.42	53.57
MMP13	2.23	1.48	0.0	5791.62	128.79	36.79	373.81	1143.1	44.25
MYBL2	5.68	33.54	6.57	397.93	624.99	161.02	684.02	400.71	86.43
NCAPD3	144.01	186.4	206.94	389.72	305.55	269.6	497.0	217.27	275.28
NCAPG	8.85	12.45	3.41	185.11	96.01	70.01	167.9	92.05	47.84
NKX2-8	0.0	0.0	0.0	860.08	25.91	15.45	536.45	16.03	19.53
NSG1	7.11	28.45	53.95	15499.21	260.38	59.13	159.9	356.05	82.87
PADI3	0.77	0.0	0.79	32994.92	112.77	1.89	981.29	102.97	0.33
PAX9	3.82	4.9	3.53	113315.62	551.56	145.02	241.19	81.71	50.27
PITX1	1.66	10.79	13.52	163620.18	3540.14	239.52	226.54	647.07	19.82
PKMYT1	6.67	73.54	56.28	866.07	555.41	305.55	521.76	285.03	147.06
PLCH2	0.49	2.16	3.96	37639.55	444.72	132.44	366.09	336.79	52.82
POLQ	1.91	4.5	1.95	131.51	42.11	19.97	57.08	27.25	12.36
PRR5-ARHGAP8	0.0	4.24	2.76	102.97	13.93	8.85	21.01	9.56	7.06
PTTG1	27.84	87.65	45.85	2018.8	1322.37	1059.11	2104.58	954.43	287.01
PVRL1	105.89	150.17	47.84	36106.23	4358.66	249.73	1651.0	2720.15	249.73
RAD54L	3.23	9.06	8.13	236.21	84.63	102.97	249.73	100.83	34.75
RHBDL2	38.67	20.56	23.93	12853.63	287.01	100.83	353.59	132.44	50.27
RRM2	5.41	41.81	8.85	1437.15	1030.12	373.81	1519.15	403.5	279.14
S100A7	0.0	2.76	0.0	1.38765328462E9	1487.87	4.5	2367.9	10368.08	26.28
SERPINB13	0.0	0.0	0.0	5.413281112E7	2119.22	16.88	21320.18	323.03	8.65
SERPINB3	0.0	0.0	0.0	7.2329051809E8	11827.67	104.42	24490.61	1143.1	53.95
SERPINB4	0.0	0.0	0.0	2.2261876945E8	2468.49	11.91	15285.81	307.69	4.62
SERPINB5	2.41	0.0	6.06	1825675.85	7382.04	49.91	4639.29	1769.57	57.08
SNX31	5.15	10.63	4.46	37.05	105.15	5.77	38.12	11.82	0.83
SOX21	0.0	0.0	0.0	139508.13	318.57	9.48	1819.35	98.73	4.1
SPAG5	32.36	84.04	30.56	332.14	575.03	305.55	463.65	267.73	120.1
SPNS3	0.87	2.03	2.1	74.58	19.39	35.0	86.43	23.59	23.08
SPRR2D	0.0	0.0	0.0	6.572778255E7	8134.41	9.78	1286.18	1674.06	42.71
TICRR	2.63	12.74	5.23	30.34	63.0	19.39	59.13	30.78	10.71
TK1	38.12	63.45	18.7	2976.74	995.0	934.76	2193.99	890.44	447.82
TP53AIP1	0.29	0.0	0.0	46662.28	116.78	45.53	267.73	128.79	9.2
TP63	5.45	6.57	6.78	3290783.22	6840.04	83.45	4268.94	1991.0	113.56
TRIM31	0.79	1.55	0.0	339.14	190.34	74.06	258.57	15.45	6.46
TRIP13	20.56	20.11	19.11	395.18	277.2	158.79	483.38	275.28	75.11
UBD	34.51	80.01	24.28	8363.13	624.99	967.76	2875.3	1044.52	384.34
WDR76	32.13	52.45	64.8	733.19	248.0	113.56	693.58	77.25	121.79
ZG16B	2.89	16.27	3.76	3768.09	591.22	121.79	638.15	260.38	42.11
