	GTEX.W5X1.2326.SM.3GIL6	TCGA.A3.3324.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4852.01A.01R.1503.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	TCGA.KS.A4ID.01A.11R.A250.07	GTEX.111VG.0526.SM.5N9BW	GTEX.13QJC.0826.SM.5RQKC
COPS5	2075.59	1233.75	1127.35	1572.76	1605.83	1225.22	941.27	1119.56	642.59	961.07	1111.82	1073.91	1183.45
COPS8	2163.77	1605.83	1437.15	1819.35	1617.0	1388.16	476.71	470.14	480.04	518.15	928.3	1191.69	981.29
CSGALNACT2	651.58	406.31	356.05	432.53	432.53	187.71	72.52	125.24	63.0	111.21	223.41	297.17	283.05
CXorf57	224.97	215.77	202.66	258.57	237.86	83.45	23.59	22.26	11.38	14.67	43.63	96.68	208.38
DCTN4	1628.26	1015.93	1001.93	890.44	1088.92	595.34	277.2	262.2	208.38	277.2	525.39	599.49	624.99
DERL1	1417.35	1605.83	1909.85	2004.85	2104.58	1051.79	1697.45	1519.15	1498.22	1477.58	902.89	612.11	802.41
DOC2A	13.62	1322.37	1572.76	1561.89	212.78	4.28	2.66	12.36	1.13	1.97	22.26	27.05	20.71
DPY19L1	327.56	543.96	312.0	447.82	329.84	149.12	111.99	157.68	90.77	208.38	162.14	185.11	180.02
DUS4L	279.14	316.37	189.02	234.57	249.73	169.07	58.3	87.65	42.71	64.8	149.12	186.4	163.28
E2F7	11.91	10.96	14.89	19.53	6.73	3.69	2.36	1.99	2.51	0.0	7.0	6.67	1.87
EIF2S3	7331.05	2018.8	2609.3	3491.39	3081.75	1769.57	802.41	1044.52	733.19	974.5	1477.58	1844.76	2434.5
ELMSAN1	616.37	733.19	693.58	775.05	587.13	267.73	94.01	112.77	83.45	131.51	226.54	473.41	575.03
EMC2	3614.55	1407.55	1417.35	2004.85	1721.16	1143.1	633.73	647.07	299.25	547.75	954.43	934.76	860.08
EXOSC9	842.36	470.14	514.56	532.74	473.41	356.05	299.25	363.56	127.89	195.72	417.77	507.46	529.06
FAF2	934.76	947.83	769.69	866.07	759.08	368.65	214.27	297.17	234.57	339.14	301.33	373.81	435.55
FAM183A	16.88	75.64	136.19	93.35	52.82	16.75	0.0	0.0	0.0	0.0	0.0	0.0	4.82
FCHO2	866.07	759.08	642.59	684.02	620.67	463.65	69.52	147.06	48.18	130.6	460.44	395.18	575.03
GMCL1	511.0	348.71	305.55	698.41	426.57	273.37	65.72	127.89	72.01	130.6	130.6	232.94	198.47
GPRIN1	2.92	81.71	23.93	82.87	51.35	3.72	2.86	3.5	1.64	1.85	37.05	5.28	2.43
GRM5	0.46	2.27	2.03	1.83	1.19	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HAVCR1	2.66	2591.27	2061.24	1844.76	463.65	151.22	0.0	0.67	0.0	0.0	5.19	1.07	11.55
HDAC3	1457.23	1617.0	1733.13	1832.01	2047.0	813.63	791.35	830.75	902.89	830.75	896.64	1378.57	1191.69
HERPUD2	759.08	579.04	536.45	624.99	518.15	356.05	191.67	299.25	152.28	246.28	269.6	412.0	420.68
HEY2	1313.23	309.83	293.07	297.17	193.01	60.39	49.56	153.34	172.65	123.5	248.0	108.9	40.64
HMGN4	3124.78	2075.59	1617.0	2209.26	1417.35	1277.29	305.55	248.0	231.32	275.28	1059.11	981.29	1369.04
HOXC11	22.43	21.63	51.35	22.26	7.22	7.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ING3	599.49	536.45	463.65	480.04	460.44	217.27	103.69	113.56	36.53	119.26	144.01	332.14	397.93
JRKL	688.78	275.28	348.71	381.68	265.87	131.51	31.67	40.93	23.42	19.68	147.06	182.55	226.54
KCNK3	13.93	1066.48	162.14	1073.91	551.56	16.03	0.0	7.46	4.31	5.96	65.72	20.11	24.46
KDELC1	241.19	190.34	234.57	281.09	320.8	98.73	199.85	90.14	105.15	72.52	77.79	74.06	77.79
KIAA0408	336.79	260.38	178.77	318.57	42.41	17.51	0.93	3.38	4.39	2.34	73.03	150.17	59.97
KIAA1024	21.01	11.21	7.4	16.88	11.38	2.58	0.64	0.65	0.0	0.73	4.5	9.34	8.58
KIAA1033	1268.46	808.0	688.78	934.76	567.1	486.75	114.36	215.77	77.79	265.87	318.57	525.39	620.67
KIF11	100.13	56.68	66.18	79.45	49.21	20.41	13.93	12.83	4.35	5.45	43.94	21.47	29.06
KLF8	438.59	206.94	389.72	346.29	279.14	104.42	3.0	8.71	5.77	4.13	103.69	201.25	171.45
LEP	363.56	4.54	0.35	9.06	5.92	0.38	0.0	0.0	0.0	0.0	1.45	0.29	0.0
LIN9	206.94	46.18	53.19	75.64	63.45	45.53	13.72	12.09	4.82	14.03	34.26	27.64	49.91
LYSMD2	836.53	579.04	507.46	780.44	441.64	275.28	438.59	429.54	151.22	297.17	525.39	532.74	283.05
MICAL3	543.96	785.88	928.3	995.0	679.29	287.01	71.0	132.44	285.03	336.79	99.43	336.79	376.41
MIOS	579.04	947.83	351.14	854.13	409.15	299.25	94.67	169.07	127.89	180.02	136.19	264.03	318.57
MPHOSPH9	221.86	368.65	339.14	397.93	303.44	154.42	211.31	226.54	67.12	151.22	112.77	279.14	273.37
MSH2	647.07	332.14	334.46	366.09	379.04	204.07	45.53	55.1	44.89	50.98	258.57	285.03	279.14
MZT1	466.88	287.01	248.0	447.82	414.87	215.77	52.82	58.71	36.79	55.1	231.32	232.94	194.36
NANOS2	0.0	0.38	1.01	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NEDD1	536.45	258.57	339.14	346.29	212.78	182.55	20.71	42.11	17.9	41.52	110.43	177.53	172.65
NMI	703.28	642.59	796.86	738.29	503.95	199.85	373.81	441.64	124.37	341.51	454.09	521.76	341.51
NR2E1	0.0	69.52	2.68	60.82	2.34	4.35	0.0	0.0	0.0	0.57	0.0	13.83	0.0
NT5DC3	281.09	305.55	201.25	441.64	289.02	27.05	19.97	27.05	38.95	49.21	45.85	34.75	132.44
OGFRL1	738.29	483.38	387.02	409.15	297.17	162.14	16.27	40.64	11.3	46.5	126.12	285.03	373.81
OR10Q1	0.0	0.75	12.64	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5B12	0.0	0.77	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OSGIN2	896.64	381.68	283.05	511.0	435.55	400.71	88.26	121.79	92.7	181.28	202.66	209.84	166.73
PADI1	15.22	68.55	28.65	103.69	13.52	0.77	1.73	0.0	3.14	0.0	0.68	0.0	1.46
PAIP2	4210.15	3103.19	3280.18	3955.48	3540.14	2835.7	1519.15	1674.06	878.17	1407.55	1286.18	1697.45	1991.0
PCDHB12	239.52	38.4	76.17	59.13	38.12	12.45	17.9	3.2	2.81	6.16	5.28	26.28	8.45
PGGT1B	780.44	366.09	387.02	341.51	412.0	224.97	107.38	145.02	129.69	170.25	127.0	262.2	226.54
PHTF2	579.04	269.6	234.57	316.37	334.46	151.22	37.05	49.56	17.25	44.25	124.37	262.2	199.85
PLAGL1	813.63	599.49	813.63	802.41	447.82	201.25	10.39	49.21	12.36	23.25	62.12	389.72	138.1
POLR2D	521.76	341.51	303.44	417.77	441.64	255.0	267.73	204.07	191.67	209.84	163.28	164.42	193.01
POLR3C	896.64	708.18	688.78	616.37	860.08	368.65	295.11	191.67	149.12	170.25	358.54	412.0	470.14
PRIM1	318.57	199.85	212.78	237.86	237.86	78.34	102.97	92.7	35.25	110.43	105.15	105.15	127.89
PSMD10	1896.65	988.12	921.88	1340.84	1088.92	947.83	703.28	323.03	312.0	406.31	769.69	728.11	669.92
RAP2B	417.77	205.5	241.19	229.72	242.88	73.54	66.18	100.13	45.85	42.11	183.82	195.72	202.66
RAPGEF6	336.79	195.72	239.52	212.78	190.34	83.45	18.7	36.53	14.14	33.3	53.57	115.16	144.01
RARS	1519.15	1685.71	1066.48	1561.89	1709.26	708.18	708.18	638.15	450.94	633.73	679.29	733.19	733.19
RB1	1857.6	1350.18	1225.22	1030.12	1023.0	480.04	95.34	130.6	72.01	147.06	412.0	612.11	532.74
RECQL	819.3	612.11	733.19	612.11	583.07	346.29	80.01	90.14	34.51	143.01	199.85	283.05	387.02
RHBDD1	1066.48	547.75	476.71	409.15	368.65	334.46	106.63	157.68	155.5	209.84	182.55	275.28	327.56
RINT1	555.41	633.73	325.29	563.18	466.88	226.54	128.79	159.9	75.11	146.03	226.54	329.84	273.37
RNF219	708.18	209.84	206.94	265.87	212.78	100.13	26.67	52.08	11.3	44.89	88.26	155.5	157.68
RPGRIP1L	112.77	202.66	185.11	208.38	103.69	84.04	25.35	20.86	10.55	6.52	65.26	54.33	62.12
SENP1	412.0	187.71	172.65	195.72	147.06	105.15	41.52	46.5	22.59	40.36	76.71	105.89	117.6
SEPT1	1.598261246E7	81.14	99.43	74.58	53.95	0.0	0.0	0.0	0.0	0.0	10.63	0.0	2.669377385E7
SKIV2L2	1583.71	1081.39	753.83	860.08	884.29	620.67	264.03	381.68	177.53	303.44	567.1	718.08	878.17
SLC35G3	0.0	0.38	2.01	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC4A1AP	713.11	463.65	460.44	559.28	529.06	412.0	205.5	215.77	151.22	208.38	373.81	397.93	435.55
SLC5A1	323.03	1437.15	299.25	1030.12	13.22	175.07	0.0	48.52	29.27	39.5	0.0	4.35	1.75
SLFN5	819.3	392.44	318.57	287.01	318.57	94.01	37.85	80.01	13.22	42.11	251.48	273.37	217.27
SOGA3	15.91	36.79	55.89	65.26	12.27	5.15	0.0	0.91	0.47	0.0	11.73	24.11	14.89
SSPN	1794.29	429.54	642.59	343.89	476.71	108.9	0.69	2.48	0.0	12.93	49.21	182.55	96.01
SWT1	283.05	166.73	139.07	115.16	127.0	106.63	26.28	37.05	21.47	36.53	43.63	91.41	84.04
SYTL2	6079.61	2018.8	1844.76	1977.24	1277.29	389.72	54.33	75.64	32.59	77.25	106.63	447.82	166.73
TAF7	4543.8	2004.85	1697.45	3039.3	2720.15	1467.37	1191.69	1127.35	473.41	1051.79	1044.52	1583.71	2018.8
TAF9B	1709.26	521.76	460.44	753.83	486.75	476.71	98.04	154.42	81.14	159.9	312.0	334.46	312.0
TBL2	591.22	1015.93	599.49	941.27	713.11	400.71	447.82	414.87	392.44	387.02	392.44	457.25	507.46
TDRD3	775.05	500.46	438.59	656.11	363.56	361.04	191.67	175.07	62.56	145.02	241.19	371.22	260.38
TM4SF18	1639.59	1457.23	2240.11	2193.99	1936.53	503.95	99.43	50.27	32.36	43.63	237.86	232.94	140.04
TMEM123	4869.99	7331.05	7032.37	8078.22	5147.73	2997.45	2758.13	3540.14	1457.23	4575.41	2104.58	2193.99	3146.52
TMEM133	536.45	518.15	511.0	802.41	343.89	151.22	92.7	116.78	59.55	70.51	127.0	307.69	142.01
TMEM135	665.29	595.34	665.29	878.17	414.87	397.93	162.14	133.36	320.8	348.71	186.4	563.18	400.71
TNFAIP6	223.41	2915.45	674.59	3820.7	155.5	3.69	9.2	5.5	1.08	10.71	30.78	33.78	6.73
TTC26	253.23	223.41	167.9	232.94	183.82	127.89	9.93	15.22	8.19	14.03	93.35	92.05	81.14
TXNDC16	728.11	126.12	181.28	232.94	178.77	117.6	29.27	55.1	29.91	63.89	40.07	92.7	94.67
TYW1	392.44	483.38	309.83	441.64	400.71	221.86	277.2	211.31	153.34	163.28	244.57	295.11	287.01
UFM1	2090.03	1769.57	1487.87	1991.0	1936.53	1159.07	511.0	718.08	373.81	708.18	1127.35	1447.15	1519.15
USP1	2367.9	371.22	429.54	447.82	353.59	295.11	112.77	127.89	48.52	127.89	202.66	329.84	303.44
VEGFA	460.44	44452.21	60304.42	52135.28	32767.0	3018.3	1447.15	2133.97	748.61	1388.16	5403.7	3716.2	6516.03
VMA21	483.38	403.5	332.14	454.09	490.14	318.57	241.19	155.5	92.05	141.02	265.87	316.37	295.11
VPS41	1769.57	1331.57	1030.12	995.0	961.07	780.44	265.87	242.88	201.25	285.03	392.44	603.67	713.11
WDR76	242.88	102.97	98.73	122.64	84.04	33.78	16.27	16.63	23.93	6.21	75.11	60.39	49.21
XRCC2	21.94	15.11	24.63	36.79	29.91	2.94	1.16	0.65	0.66	0.0	14.24	5.77	12.64
ZFYVE16	836.53	540.19	476.71	579.04	525.39	384.34	108.14	161.02	61.68	127.89	262.2	356.05	447.82
ZNF562	253.23	244.57	336.79	229.72	237.86	157.68	123.5	67.59	28.04	83.45	115.97	111.99	204.07
ZXDA	152.28	83.45	100.83	102.25	72.52	47.5	13.12	12.36	14.35	13.22	24.63	58.71	55.1
