	TCGA.E2.A158.11A.22R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OHPM.2626.SM.33HC5	GTEX.13QBU.0626.SM.5J2OG	GTEX.ZQG8.0926.SM.57WFF	GTEX.S4P3.0226.SM.3K2BD
APOE	5403.7	3349.13	15824.9	10154.69	1572.76	0.0	0.29	738.29	2758.13	8840.04	1781.89
AQP7	8247.98	4066.71	9409.14	16960.78	2.01	0.0	0.13	77.25	185.11	1030.12	204.07
AQPEP	460.44	258.57	748.61	555.41	0.47	0.0	0.34	2.92	8.51	23.93	12.45
ATP10A	158.79	111.21	130.6	332.14	3.44	0.0	0.38	33.78	35.76	102.25	19.82
ATP1A2	860.08	420.68	1159.07	4937.99	0.55	0.0	0.29	23.08	73.54	379.04	30.56
C14orf180	1477.58	723.08	2434.5	1447.15	0.0	0.0	0.0	1.85	25.91	120.94	15.0
CAPN11	56.28	76.71	77.79	125.24	9.63	0.0	0.04	2.71	3.5	24.81	10.39
CASQ2	1819.35	244.57	656.11	532.74	0.0	0.0	0.16	39.5	135.24	260.38	50.27
CDH23	603.67	283.05	497.0	529.06	2.12	0.0	0.67	14.14	83.45	164.42	34.75
CES1	5292.48	7433.4	10883.59	8305.36	0.42	665.29	228.13	126.12	500.46	4038.61	624.99
CIDEC	17078.76	11267.44	30785.28	51062.33	0.0	0.0	0.24	3.76	182.55	698.41	22.92
CYB5A	7803.01	6426.31	12415.75	29943.43	3060.45	0.0	0.62	1225.22	1437.15	3395.89	878.17
DUSP4	204.07	507.46	518.15	1674.06	52.82	166.73	75.11	11.73	100.13	713.11	24.46
ELOVL3	134.3	56.28	307.69	262.2	1.22	0.0	0.24	0.57	1.69	16.63	1.17
ESR2	96.01	27.05	66.18	46.84	3.82	0.0	0.24	5.63	9.63	16.51	11.91
FABP4	174152.51	103551.29	292889.12	602247.76	41.81	0.0	0.15	17804.06	40621.74	89523.81	21919.61
FAH	5831.91	3928.15	9279.58	7032.37	265.87	0.0	0.17	483.38	967.76	1832.01	616.37
FAM47E	1225.22	1044.52	3060.45	1883.54	24.81	0.0	0.41	88.26	85.22	253.23	59.13
FAM47E-STBD1	775.05	559.28	1572.76	775.05	22.59	0.0	0.48	40.07	98.73	171.45	26.28
FFAR4	56.68	97.36	198.47	129.69	4.62	0.0	0.0	3.03	11.73	42.71	0.0
GAS2L2	21.32	24.46	16.39	37.59	0.0	0.0	0.0	0.0	3.17	83.45	1.06
GLRX	902.89	842.36	1304.15	2061.24	116.78	1268.46	329.84	595.34	470.14	830.75	432.53
GPAM	7032.37	8598.28	20737.16	9344.14	19.39	0.0	0.0	215.77	1697.45	6164.49	529.06
GPBAR1	189.02	83.45	170.25	529.06	7.82	0.0	0.0	12.93	27.84	45.21	18.03
GPD1	22225.61	14663.09	42346.82	36864.92	1.25	0.0	0.0	25.91	295.11	1111.82	48.87
GYG2	6426.31	4671.57	11745.96	5633.22	4.1	0.0	0.09	47.17	78.89	872.1	23.59
GYS1	1030.12	872.1	1322.37	1073.91	612.11	0.0	0.39	518.15	525.39	954.43	463.65
HADH	5403.7	3103.19	8247.98	7485.11	967.76	0.0	0.27	1639.59	1175.27	2335.28	1008.9
HEPACAM	343.89	236.21	713.11	518.15	0.0	0.0	0.0	2.05	5.32	17.38	0.0
HEPN1	518.15	320.8	896.64	836.53	0.0	0.0	0.12	0.67	11.21	38.67	4.1
HRASLS5	1268.46	1340.84	2224.63	4450.27	0.15	0.0	0.09	2.86	35.0	143.01	6.73
ITIH3	733.19	74.06	106.63	19.82	1.99	0.0	0.42	5.77	43.02	154.42	24.46
KCNE1	27.44	59.55	6.06	26.28	0.01	0.0	0.27	2.89	19.25	44.57	3.76
KCNIP2	6607.01	3716.2	8718.32	12244.81	13.72	0.0	0.66	9.27	50.27	211.31	25.91
KLB	674.59	460.44	954.43	376.41	18.56	4.28	36.79	1.22	8.92	28.86	1.27
KLF14	32.36	13.93	58.3	25.17	1.25	0.0	0.09	0.25	0.77	2.78	0.0
KLHL31	106.63	260.38	450.94	363.56	39.22	0.0	0.14	23.93	28.86	136.19	21.16
KRT16	145.02	559.28	163.28	5.54	2.5045913555E8	0.0	0.69	0.15	2.34	11.91	1.43
LEP	4481.23	8778.97	12244.81	6792.79	0.22	0.0	0.2	0.64	2.43	42.11	4.21
LGALS12	3491.39	1561.89	5041.77	5255.91	0.0	0.0	0.18	0.0	55.89	271.48	3.38
LIPE	32767.0	18431.96	46662.28	26800.01	514.56	0.0	0.46	121.79	305.55	1242.34	201.25
LPL	15715.58	19482.97	44145.15	30361.44	21.32	0.0	0.44	120.94	348.71	1896.65	125.24
LRRC3B	18.84	13.03	15.22	27.25	0.0	0.0	0.0	1.35	0.0	3.66	2.61
MME	2796.65	2976.74	4038.61	5555.65	248.0	0.0	0.27	21.94	78.34	563.18	33.78
MOGAT2	11.04	28.65	17.0	12.27	0.89	0.0	0.05	0.29	0.3	4.58	0.0
MPC2	2451.44	2739.08	2271.4	3665.02	1540.37	1259.69	206.94	1159.07	1417.35	3768.09	1044.52
MRAP	2193.99	1721.16	2895.31	3443.31	0.0	0.0	0.32	1.06	48.52	226.54	4.98
MUSTN1	8718.32	312.0	1151.06	708.18	26.1	0.0	0.47	44.25	684.02	1883.54	221.86
MYOM1	785.88	214.27	1001.93	414.87	0.72	0.0	0.28	90.14	88.88	229.72	57.89
NAT8L	1167.14	733.19	2627.46	1427.22	0.41	0.0	0.27	3.59	50.63	134.3	8.92
NPC1L1	31.45	9.2	12.45	12.09	0.0	0.0	0.27	0.21	1.53	7.17	0.0
NTSR2	2.97	0.0	4.62	20.71	0.0	0.0	0.0	0.0	0.93	2.32	0.0
OR51E1	121.79	45.53	283.05	133.36	0.52	0.0	0.06	20.71	13.93	44.57	10.16
OR51E2	44.57	3.17	15.45	9.56	0.0	0.0	0.0	0.62	3.29	8.19	3.11
PC	4210.15	1896.65	4937.99	3955.48	591.22	0.0	0.47	555.41	693.58	2555.58	884.29
PCK1	2240.11	703.28	4836.35	4181.07	0.0	0.0	0.0	1.39	81.14	189.02	21.16
PDE3B	848.22	854.13	2627.46	1417.35	5.82	0.0	0.51	9.78	42.41	111.99	12.45
PFKFB1	373.81	379.04	1183.45	679.29	15.0	0.0	0.08	17.0	30.34	100.13	25.91
PIP5K1B	59.97	80.57	57.89	53.57	7.34	0.0	0.12	30.34	37.85	83.45	31.22
PLIN1	23986.58	22535.88	52497.92	82378.63	2.12	0.0	0.46	21.47	260.38	1819.35	37.59
PLIN4	25354.3	16611.71	45701.96	39785.74	1.77	0.0	0.69	11.13	74.58	373.81	36.53
PLN	2485.67	260.38	583.07	669.92	0.83	0.0	0.39	195.72	154.42	928.3	92.05
PNPLA2	21026.65	10959.3	25887.07	21026.65	1628.26	0.0	0.97	1073.91	2935.74	5403.7	3280.18
PPP1R1A	9409.14	5872.48	14663.09	34876.28	0.0	0.0	0.35	20.56	236.21	2664.15	36.79
PRKAR2B	3103.19	5147.73	11584.24	8247.98	2.56	0.0	0.47	145.02	124.37	1066.48	58.3
PXMP2	571.05	438.59	1081.39	1216.75	441.64	0.0	0.06	412.0	420.68	575.03	293.07
RBP4	22225.61	18950.18	56265.94	29943.43	18.03	0.0	0.06	12.0	753.83	5183.54	36.27
RMDN3	1030.12	974.5	854.13	1143.1	599.49	0.0	0.28	620.67	808.0	1199.98	713.11
RNF157	366.09	307.69	698.41	473.41	3.29	0.0	0.49	29.7	24.63	343.89	18.56
RP11-362K2.2	19.82	16.27	2.78	16.75	0.0	0.0	0.01	0.0	0.0	7.46	0.0
RP11-830F9.6	23.59	20.71	14.35	45.53	8.06	0.0	0.21	10.24	17.38	12.36	10.31
S100B	3768.09	2855.44	7280.4	104271.56	67.59	0.0	0.44	11.3	223.41	4607.24	29.06
SCD	58250.19	45386.27	23330.64	23492.92	6079.61	2835.7	591.22	25.72	2032.85	12589.08	76.71
SEL1L2	490.14	10.88	164.42	16.27	10.63	0.0	0.0	0.0	0.65	8.25	0.0
SGK2	713.11	486.75	830.75	624.99	14.67	0.0	0.49	5.32	37.32	167.9	6.94
SLC19A3	3235.01	1295.13	3874.05	8963.45	0.0	0.0	0.15	2.53	6.41	56.28	7.69
SLC22A3	480.04	155.5	346.29	536.45	46.18	0.0	0.0	19.39	61.25	389.72	38.12
SLC25A1	3280.18	2434.5	4388.98	3124.78	3349.13	0.0	0.57	1250.98	2520.38	4298.64	1216.75
SLC2A4	825.0	525.39	1378.57	915.51	2.92	0.0	0.44	8.38	228.13	941.27	86.43
SLC36A2	5.82	3.47	0.37	3.47	0.0	0.0	0.0	0.0	0.36	3.2	0.0
SLC7A10	543.96	769.69	2777.33	1378.57	0.0	0.0	0.0	7.51	23.25	151.22	34.02
SNTG2	66.18	44.89	105.15	105.89	0.97	0.0	0.21	2.58	28.45	36.01	20.11
SYT15	183.82	241.19	85.22	698.41	84.04	65.26	94.01	29.48	80.01	341.51	86.43
TF	3982.99	5329.3	2758.13	9740.98	0.0	0.0	0.62	6.46	316.37	974.5	6.57
TMPRSS5	44.25	19.53	22.59	12.45	1.95	0.0	0.58	2.34	16.88	27.44	11.91
TUSC5	4298.64	3901.01	8778.97	10084.54	0.21	0.0	0.05	8.51	28.45	82.29	23.59
WNT9B	49.91	6.01	11.55	6.62	4.7	0.0	0.01	0.17	5.36	10.31	1.51
