	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.BA.4078.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.34.8455.01A.11R.2326.07	TCGA.60.2710.01A.01R.0851.07	TCGA.85.7844.01A.11R.2125.07	TCGA.22.5482.01A.01R.1635.07	GTEX.P4PP.1526.SM.3P61M	GTEX.QDVN.1226.SM.48TZ5
MAP1A	13.52	4.46	85.22	0.0	0.24	53.95	256.78	351.14	30.12	38.95	32.59
MASP2	3.41	5.36	37.85	0.0	0.25	5.36	13.42	12.55	7.0	29.06	28.86
MBD4	567.1	237.86	1175.27	0.0	0.85	848.22	1001.93	1508.65	514.56	454.09	791.35
MCOLN3	0.59	0.0	297.17	0.0	0.69	40.64	253.23	343.89	105.15	69.03	28.86
MED12L	6.46	3.14	65.72	0.0	0.15	27.84	16.88	18.7	3.47	1.45	35.0
MINA	318.57	183.82	642.59	0.0	0.47	684.02	674.59	842.36	309.83	267.73	234.57
MRPL3	1286.18	825.0	4066.71	0.0	0.13	3124.78	3124.78	4358.66	2335.28	1457.23	1397.83
MS4A2	0.0	0.0	21.78	0.0	0.01	20.26	52.08	81.14	3.63	10.0	28.86
NAA50	896.64	1191.69	4010.71	2351.53	229.72	4328.55	5995.9	5329.3	1936.53	679.29	708.18
NDUFB4	3443.31	2627.46	13033.07	0.0	1.28	6164.49	9876.98	10808.41	6745.86	6516.03	5441.3
NEK11	49.56	25.91	132.44	0.0	0.01	75.11	62.56	132.44	75.11	47.17	63.0
NSUN3	73.54	30.12	314.17	0.0	0.39	201.25	281.09	346.29	194.36	98.04	156.59
NUDT16	206.94	49.21	543.96	0.0	0.0	466.88	866.07	819.3	110.43	450.94	591.22
OR5K2	0.57	0.0	1.55	0.0	0.16	2.18	1.36	3.5	0.0	0.75	0.0
OSBPL11	108.9	88.26	297.17	132.44	83.45	187.71	384.34	329.84	106.63	94.67	104.42
PCDH15	0.29	0.32	1.5	0.0	0.04	1.41	2.1	16.39	1.43	0.6	0.0
PCNP	1088.92	1051.79	5329.3	2664.15	185.11	4239.45	3874.05	5112.16	2319.15	954.43	1175.27
PHF20	162.14	102.25	312.0	0.0	0.34	251.48	265.87	387.02	148.09	127.89	190.34
PIK3R4	454.09	314.17	1477.58	0.0	0.55	860.08	1191.69	1277.29	529.06	318.57	389.72
PLCXD2	2.92	104.42	43.63	0.0	0.27	1437.15	5147.73	8598.28	450.94	208.38	106.63
POGLUT1	63.89	49.56	915.51	171.45	432.53	373.81	432.53	389.72	353.59	165.57	139.07
POLQ	28.45	47.5	194.36	0.0	0.32	85.22	149.12	264.03	44.89	43.02	18.03
PRSS12	1.73	73.54	368.65	0.0	0.13	26.1	218.79	426.57	90.14	444.72	563.18
PTPRF	1088.92	2664.15	7589.61	1359.57	884.29	5041.77	5006.93	5954.47	2997.45	3419.52	2895.31
PVRL3	21.01	13.03	426.57	0.0	0.27	40.36	84.63	470.14	74.58	246.28	323.03
QTRTD1	77.25	84.04	587.13	0.0	0.33	417.77	521.76	599.49	195.72	129.69	132.44
RAB44	0.58	0.65	6.06	0.0	0.28	4.62	9.2	7.46	4.66	0.87	4.82
RABL3	128.79	156.59	830.75	0.0	0.13	441.64	748.61	748.61	395.18	229.72	205.5
RCBTB1	83.45	127.89	205.5	0.0	0.43	214.27	197.09	457.25	133.36	104.42	172.65
RUVBL1	1015.93	616.37	2224.63	0.0	0.47	1721.16	2645.74	2209.26	1259.69	563.18	466.88
RYK	279.14	363.56	2682.69	0.0	0.82	1519.15	1896.65	2627.46	1001.93	497.0	571.05
SEC22A	277.2	194.36	961.07	0.0	0.55	507.46	460.44	1044.52	579.04	237.86	348.71
SEC61A1	3146.52	1769.57	5954.47	5076.84	2485.67	5479.15	8658.09	9540.5	3467.27	3820.7	3039.3
SENP7	27.25	35.0	281.09	0.0	0.4	242.88	125.24	237.86	107.38	101.54	115.16
SLC35A5	215.77	182.55	1304.15	0.0	0.01	567.1	1242.34	1059.11	441.64	299.25	483.38
SNCA	116.78	13.03	1073.91	0.0	0.73	1037.29	395.18	896.64	587.13	63.45	59.97
SNX4	244.57	169.07	1073.91	0.0	0.35	567.1	738.29	1250.98	323.03	429.54	518.15
SPICE1	58.3	46.5	320.8	0.0	0.39	305.55	353.59	559.28	94.01	117.6	139.07
SRFBP1	61.25	50.63	102.25	0.0	0.04	90.77	97.36	153.34	82.29	63.0	66.18
STIM2	159.9	212.78	669.92	341.51	220.32	961.07	532.74	1259.69	473.41	486.75	417.77
TBC1D23	258.57	183.82	791.35	0.0	0.62	483.38	525.39	764.36	305.55	248.0	316.37
TCF7L1	41.52	81.14	651.58	0.0	0.78	463.65	454.09	379.04	242.88	144.01	108.14
TFG	1594.73	1819.35	4010.71	0.0	1.11	3794.3	4869.99	7180.15	2609.3	1806.78	2400.97
TIMMDC1	2287.2	866.07	4038.61	0.0	0.84	2816.11	3039.3	3874.05	2367.9	1857.6	1950.0
TMCC1	94.01	193.01	490.14	281.09	264.03	540.19	808.0	1008.9	400.71	163.28	178.77
TMEM39A	143.01	151.22	1651.0	723.08	151.22	1030.12	1250.98	1757.34	713.11	351.14	432.53
TOMM70A	353.59	267.73	830.75	0.0	0.59	842.36	915.51	1088.92	603.67	371.22	476.71
TOPBP1	153.34	224.97	1378.57	0.0	0.96	447.82	1159.07	1407.55	414.87	314.17	273.37
TPRA1	753.83	444.72	1427.22	0.0	0.75	896.64	1594.73	1519.15	884.29	591.22	551.56
TPSAB1	52.82	25.91	866.07	0.0	0.46	2271.4	3168.41	3190.46	656.11	265.87	2739.08
TPSD1	2.84	0.0	3.99	0.0	0.29	239.52	148.09	260.38	1.11	17.64	232.94
TXNRD3	112.77	44.25	387.02	0.0	0.37	267.73	312.0	384.34	169.07	89.51	72.52
UBA5	309.83	201.25	1127.35	0.0	0.78	620.67	1059.11	1233.75	500.46	591.22	460.44
UMPS	493.56	476.71	1397.83	0.0	0.0	748.61	1225.22	1572.76	665.29	483.38	429.54
WDR49	1.11	0.0	26.86	0.0	0.0	3.08	8.58	62.12	2.25	2.89	55.49
WDR5B	36.27	22.92	279.14	0.0	0.0	84.04	88.88	205.5	55.89	64.8	71.5
ZBTB11	59.97	80.01	320.8	0.0	0.47	299.25	351.14	438.59	176.29	116.78	111.99
ZDHHC23	3.47	1.95	166.73	0.0	0.46	84.04	176.29	211.31	40.64	127.0	101.54
ZKSCAN7	7.69	2.27	64.34	0.0	0.15	24.63	24.81	37.85	13.22	23.59	34.75
ZNF148	62.56	88.26	665.29	0.0	0.47	327.56	603.67	947.83	176.29	120.1	159.9
ZNF518B	66.65	51.71	125.24	64.8	107.38	128.79	186.4	325.29	138.1	95.34	38.67
ZNF660	2.56	0.34	16.15	0.0	0.13	7.22	14.78	40.36	2.81	5.63	17.38
ZNF774	18.29	15.68	116.78	0.0	0.0	73.54	57.89	96.01	65.72	53.57	59.55
ZXDC	84.63	154.42	981.29	0.0	0.23	473.41	878.17	947.83	358.54	403.5	409.15
