	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.11EMC.2026.SM.5A5JV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
CD164L2	32.59	4.24	0.0	51.71	49.91	19.97	25.17	45.53	14.78	4.86	110.43	167.9	145.02	182.55	123.5	178.77	100.13	105.89	109.66	0.0	0.0	414.87
CDC37L1	215.77	376.41	197.09	341.51	269.6	373.81	314.17	323.03	480.04	353.59	395.18	473.41	429.54	483.38	450.94	460.44	511.0	400.71	299.25	0.0	0.33	785.88
CGB7	6.41	1.5	0.0	7.06	2.97	6.11	9.06	4.28	0.0	2.51	20.56	24.11	20.41	11.55	9.85	21.16	13.42	19.11	24.28	0.0	0.62	44.57
CHGB	1.46	0.0	2.34	1.69	0.36	6.89	4.62	3.76	0.39	0.66	9.06	72.52	2.58	23.25	115.16	2.46	149.12	9.78	26.28	0.0	0.33	305.55
CHRNB1	123.5	110.43	173.85	206.94	204.07	249.73	172.65	195.72	208.38	120.1	201.25	309.83	316.37	237.86	258.57	232.94	299.25	303.44	297.17	0.0	0.35	1066.48
CLCA4	12.18	0.91	0.64	20.71	0.0	0.28	0.0	2.01	5.32	0.0	71.0	78.89	30.34	77.25	232.94	91.41	49.91	94.01	19.39	0.0	0.0	187.71
CNTF	2.43	7.4	2.25	10.16	6.06	1.46	7.22	4.35	6.36	0.58	11.3	11.91	8.85	25.54	35.0	14.45	7.51	12.45	18.03	0.0	0.16	28.86
COPS3	759.08	759.08	738.29	1359.57	1037.29	1104.13	909.17	791.35	1073.91	599.49	1119.56	1111.82	1111.82	1286.18	1119.56	1259.69	1175.27	1259.69	1378.57	0.0	0.67	2148.82
CUTC	323.03	127.89	334.46	395.18	187.71	343.89	260.38	353.59	228.13	249.73	480.04	525.39	412.0	518.15	432.53	536.45	409.15	473.41	417.77	0.0	0.6	1769.57
DAB2IP	358.54	264.03	368.65	463.65	325.29	325.29	409.15	483.38	228.13	264.03	1044.52	1143.1	1135.2	854.13	1088.92	988.12	848.22	775.05	674.59	0.0	0.67	1594.73
DLX6	1.89	0.0	3.08	0.39	1.71	0.37	0.85	4.58	1.53	0.0	1.5	0.79	8.06	1.83	8.51	1.46	0.8	5.73	1.69	0.0	0.0	20.41
DNM1L	688.78	718.08	616.37	616.37	518.15	555.41	518.15	612.11	540.19	555.41	909.17	796.86	921.88	967.76	872.1	974.5	842.36	1023.0	1208.34	1044.52	320.8	1073.91
EDNRB	262.2	26.86	400.71	189.02	28.24	77.79	152.28	81.71	89.51	38.12	217.27	320.8	305.55	334.46	503.95	332.14	403.5	136.19	244.57	0.0	0.34	759.08
EFNB3	38.12	40.64	42.71	67.12	18.56	21.94	27.05	16.51	41.52	36.27	234.57	312.0	291.04	287.01	223.41	236.21	273.37	460.44	325.29	0.0	0.0	511.0
EGFLAM	339.14	241.19	363.56	301.33	171.45	115.16	178.77	269.6	229.72	98.73	343.89	532.74	532.74	414.87	961.07	460.44	693.58	423.61	473.41	0.0	0.13	1322.37
ELOVL7	343.89	97.36	27.44	60.39	202.66	44.89	26.67	10.08	57.49	73.54	1127.35	125.24	113.56	536.45	91.41	95.34	97.36	115.16	98.04	0.0	0.2	743.43
ESF1	126.12	221.86	145.02	206.94	109.66	144.01	239.52	117.6	211.31	99.43	260.38	339.14	289.02	309.83	295.11	376.41	256.78	490.14	199.85	0.0	0.11	460.44
ETFDH	651.58	312.0	312.0	629.35	371.22	507.46	273.37	376.41	595.34	503.95	551.56	651.58	647.07	497.0	567.1	500.46	403.5	785.88	616.37	234.57	132.44	947.83
FAM135A	37.85	17.25	62.12	63.45	83.45	37.05	101.54	87.65	47.17	15.45	117.6	182.55	156.59	167.9	134.3	169.07	122.64	217.27	131.51	0.0	0.56	532.74
FAM150B	9.63	6.16	13.03	27.84	2.61	42.71	3.89	1.25	3.63	1.81	228.13	336.79	435.55	85.22	703.28	603.67	117.6	242.88	103.69	0.0	0.52	698.41
FANCE	34.02	106.63	59.97	79.45	80.57	61.68	52.82	98.73	35.0	35.5	111.99	141.02	131.51	105.15	94.67	125.24	89.51	145.02	92.7	0.0	0.64	155.5
FZD6	194.36	94.01	301.33	295.11	277.2	242.88	476.71	159.9	217.27	28.65	500.46	647.07	532.74	599.49	466.88	486.75	551.56	624.99	353.59	0.0	0.44	974.5
GAL3ST1	8.99	3.99	2.84	18.29	6.52	3.86	19.39	1.87	1.58	1.36	30.78	24.81	36.53	17.13	31.9	40.36	16.51	49.21	37.85	0.0	0.28	54.72
GATSL2	22.1	27.44	0.0	41.22	24.28	16.63	32.82	31.67	15.22	10.96	39.5	20.71	41.52	38.95	44.57	20.26	33.06	55.89	43.02	0.0	0.09	86.43
GDF1	1.57	0.0	0.0	1.81	0.75	1.66	0.88	1.14	1.58	0.0	2.27	12.36	0.83	5.11	11.55	1.14	11.82	11.73	3.32	0.0	0.17	33.54
GRIA1	0.74	1.28	0.36	2.68	3.89	7.75	0.0	3.11	1.48	0.0	14.45	3.38	5.23	12.27	31.0	2.86	24.46	12.83	97.36	0.0	0.13	39.79
GTPBP8	163.28	195.72	214.27	165.57	132.44	164.42	205.5	193.01	183.82	115.16	217.27	253.23	197.09	232.94	244.57	236.21	206.94	206.94	167.9	0.0	0.36	381.68
HADHA	1857.6	2303.12	2720.15	2935.74	2032.85	2520.38	2682.69	1745.2	3443.31	4095.0	2682.69	3395.89	3847.29	3081.75	3874.05	3467.27	3901.01	3124.78	2956.17	0.0	0.71	5219.6
HDAC5	480.04	417.77	466.88	819.3	417.77	612.11	624.99	819.3	511.0	397.93	981.29	1175.27	1191.69	1059.11	1191.69	1135.2	921.88	1350.18	928.3	0.0	0.38	1225.22
HDGFRP3	208.38	438.59	353.59	536.45	170.25	555.41	285.03	279.14	511.0	591.22	575.03	769.69	647.07	791.35	743.43	642.59	842.36	587.13	532.74	0.0	0.74	954.43
HOGA1	0.39	5.02	4.94	46.5	18.56	4.54	0.8	3.79	15.56	16.75	13.83	31.9	40.64	31.0	22.43	14.89	16.15	15.45	31.45	0.0	0.31	96.01
HOXD10	20.86	5.32	20.71	34.75	42.71	8.99	36.01	6.94	29.48	13.52	79.45	32.13	88.26	29.48	85.82	27.25	97.36	74.06	52.45	0.0	0.27	186.4
IFFO2	218.79	60.82	121.79	1008.9	255.0	127.0	177.53	163.28	78.89	41.22	836.53	860.08	928.3	616.37	909.17	791.35	438.59	884.29	961.07	176.29	67.59	1208.34
IGFBP6	503.95	258.57	493.56	967.76	318.57	1216.75	318.57	854.13	785.88	371.22	3564.78	1322.37	2520.38	3419.52	2148.82	1617.0	2303.12	3039.3	2796.65	0.0	0.42	8421.31
IGFN1	10.79	3.53	4.43	39.79	0.42	7.11	0.92	1.2	5.68	0.4	49.21	21.01	6.36	8.38	16.63	6.41	15.34	17.0	4.66	0.0	0.46	112.77
IL7	20.26	8.32	9.78	23.42	47.17	28.04	78.89	27.25	8.51	4.17	41.52	42.11	49.21	41.81	28.24	55.89	35.76	70.01	38.12	0.0	0.13	173.85
IMPDH2	4181.07	2915.45	1529.73	4152.18	1870.53	3768.09	2335.28	2367.9	6079.61	4095.0	4419.52	5633.22	6207.38	5112.16	6840.04	7589.61	5479.15	6164.49	4869.99	0.0	0.83	9876.98
INPP1	157.68	62.56	178.77	334.46	224.97	171.45	143.01	158.79	153.34	113.56	603.67	497.0	463.65	521.76	521.76	525.39	387.02	511.0	441.64	0.0	0.74	1008.9
KBTBD12	2.53	0.0	0.0	2.36	0.0	1.25	0.82	2.78	1.48	0.0	3.63	10.08	8.78	4.62	2.66	8.0	1.91	14.78	6.16	0.0	0.18	103.69
KCNJ14	7.06	9.06	16.88	15.34	10.71	9.41	6.46	12.0	16.75	13.72	23.25	33.3	25.17	25.35	34.02	26.67	28.65	40.64	16.03	0.0	0.29	38.95
KCTD1	620.67	629.35	575.03	825.0	1023.0	514.56	642.59	426.57	1073.91	921.88	1127.35	1191.69	1369.04	1304.15	1135.2	1175.27	1143.1	1388.16	1167.14	0.0	0.49	1844.76
KIF26A	43.02	15.22	28.86	42.41	8.0	38.95	7.94	67.59	21.94	11.55	61.25	63.45	62.12	35.0	75.11	30.56	78.34	87.65	38.95	3.38	50.27	180.02
KLHL21	389.72	217.27	239.52	620.67	232.94	248.0	224.97	277.2	281.09	115.16	791.35	1104.13	1104.13	780.44	915.51	896.64	753.83	1572.76	536.45	0.0	0.69	1819.35
LSMEM1	30.12	17.13	17.0	24.46	16.15	8.92	22.92	16.27	26.67	26.1	54.72	28.45	35.76	29.7	25.91	28.65	24.28	66.18	37.32	0.0	0.59	80.01
LYRM7	56.28	61.25	111.99	94.01	69.03	65.26	125.24	61.68	199.85	87.65	109.66	159.9	162.14	156.59	131.51	186.4	145.02	281.09	173.85	94.01	107.38	275.28
MAK16	153.34	185.11	123.5	201.25	73.03	146.03	167.9	102.97	127.0	120.1	232.94	269.6	256.78	281.09	255.0	258.57	231.32	287.01	287.01	118.43	497.0	480.04
MASP1	2.1	1.53	6.73	30.78	1.58	4.74	6.41	0.66	7.4	0.0	31.0	55.1	32.36	34.02	85.82	11.91	65.72	112.77	24.81	0.0	0.02	283.05
MEIOB	0.0	0.0	0.33	1.66	0.97	0.0	0.0	2.39	0.36	0.0	1.75	1.79	3.96	8.19	8.71	1.38	2.18	0.79	5.68	0.0	0.14	13.52
MMP27	1.77	0.92	1.64	4.62	0.31	0.29	0.77	1.36	1.79	0.0	12.55	11.04	5.77	10.31	19.25	4.1	23.59	7.63	14.67	0.0	0.0	41.52
MRGPRX3	8.78	0.0	0.0	13.42	1.58	2.36	3.44	0.0	5.32	0.0	78.34	12.0	71.0	30.34	24.28	8.78	31.0	16.51	42.11	0.0	0.07	198.47
MRPS27	764.36	500.46	656.11	967.76	555.41	854.13	759.08	612.11	1340.84	836.53	1081.39	1119.56	1191.69	1111.82	1167.14	1304.15	1111.82	1350.18	1304.15	0.0	0.28	1498.22
MUCL1	2216726.5	636586.81	386469.83	919186.72	828417.36	593956.43	1273174.62	524287.0	900270.11	985160.01	141455.6	284880.02	169390.27	161367.56	17804.06	161367.56	253213.41	294926.33	677564.08	0.0	0.22	9635979.21
MYLK4	7.17	9.2	7.28	7.34	6.52	7.0	3.69	4.7	4.21	3.63	19.82	31.22	24.11	14.14	21.78	24.28	25.17	24.63	49.21	0.0	0.16	63.45
NDEL1	567.1	426.57	457.25	780.44	567.1	684.02	603.67	684.02	642.59	295.11	1096.5	1030.12	934.76	1096.5	1208.34	974.5	866.07	1167.14	1066.48	0.0	0.59	3235.01
NGFR	149.12	13.12	229.72	334.46	4.39	353.59	28.65	84.63	140.04	30.12	909.17	764.36	878.17	995.0	921.88	616.37	476.71	480.04	599.49	0.0	0.52	3103.19
NHLH2	0.35	0.0	0.32	0.65	0.0	0.59	0.0	0.33	1.41	2.12	0.34	0.35	2.46	0.0	2.48	7.22	10.79	2.81	0.65	0.0	0.0	31.67
NLE1	161.02	124.37	162.14	275.28	162.14	221.86	121.79	232.94	260.38	198.47	291.04	346.29	417.77	358.54	373.81	376.41	325.29	332.14	234.57	0.0	0.02	444.72
NOC3L	129.69	171.45	127.0	237.86	127.0	148.09	177.53	126.12	183.82	108.9	255.0	307.69	343.89	329.84	314.17	371.22	316.37	376.41	356.05	0.0	0.07	438.59
NPPC	44.57	0.0	1.93	8.78	0.0	7.11	3.41	6.06	10.55	0.0	19.11	61.25	31.9	39.22	197.09	19.68	24.81	21.78	3.96	0.0	0.1	152.28
NSG1	25.91	3.72	17.64	121.79	8.0	25.72	21.01	21.94	44.57	3.69	206.94	454.09	547.75	450.94	429.54	389.72	264.03	595.34	309.83	0.0	0.25	1572.76
NUP35	231.32	293.07	285.03	361.04	336.79	237.86	185.11	189.02	239.52	262.2	353.59	426.57	397.93	500.46	361.04	543.96	373.81	444.72	417.77	0.0	0.0	507.46
PARD6G	69.52	43.32	108.14	129.69	81.14	59.55	109.66	111.21	84.63	74.58	162.14	249.73	318.57	237.86	256.78	202.66	237.86	217.27	135.24	0.0	0.56	486.75
PDCD11	406.31	271.48	356.05	363.56	231.32	316.37	277.2	420.68	343.89	193.01	406.31	392.44	476.71	406.31	470.14	591.22	426.57	417.77	579.04	0.0	0.24	808.0
PET112	309.83	191.67	314.17	343.89	236.21	417.77	181.28	273.37	363.56	329.84	351.14	392.44	356.05	368.65	412.0	381.68	395.18	429.54	483.38	0.0	0.0	1023.0
PEX5	579.04	412.0	400.71	718.08	429.54	368.65	373.81	547.75	514.56	283.05	669.92	684.02	718.08	563.18	836.53	679.29	753.83	595.34	525.39	0.0	0.65	995.0
PHYHIP	46.84	9.85	16.63	36.79	10.55	23.76	8.06	15.11	17.0	7.46	57.08	67.12	61.25	94.01	46.5	31.9	51.35	22.26	138.1	0.0	0.21	297.17
PINLYP	85.22	57.89	78.34	107.38	44.25	64.34	53.95	127.0	241.19	50.98	115.16	186.4	229.72	189.02	262.2	253.23	228.13	155.5	241.19	0.0	0.56	1081.39
PLCD3	341.51	145.02	229.72	343.89	150.17	193.01	137.14	450.94	249.73	303.44	555.41	813.63	836.53	674.59	612.11	532.74	647.07	651.58	500.46	217.27	121.79	2555.58
PLEKHA4	312.0	490.14	329.84	547.75	327.56	351.14	132.44	525.39	255.0	555.41	1143.1	1259.69	1030.12	1295.13	1008.9	1151.06	1104.13	1350.18	1044.52	444.72	142.01	3325.99
PNRC1	1757.34	674.59	1427.22	1991.0	2895.31	1896.65	2075.59	1487.87	1745.2	1088.92	3039.3	3955.48	3742.05	2701.35	3419.52	2875.3	3103.19	5255.91	2720.15	0.0	0.08	7803.01
POLR3A	131.51	152.28	151.22	173.85	107.38	157.68	202.66	145.02	159.9	115.97	198.47	224.97	209.84	217.27	234.57	239.52	209.84	273.37	262.2	0.0	0.49	366.09
POLR3D	406.31	242.88	366.09	293.07	177.53	262.2	346.29	318.57	318.57	149.12	389.72	381.68	358.54	332.14	514.56	379.04	320.8	490.14	285.03	267.73	145.02	967.76
PPP3CB	403.5	511.0	497.0	819.3	392.44	629.35	878.17	642.59	878.17	571.05	808.0	915.51	954.43	967.76	1001.93	1008.9	921.88	1519.15	890.44	620.67	279.14	1674.06
PPTC7	100.13	154.42	80.01	244.57	140.04	135.24	157.68	105.15	122.64	125.24	255.0	246.28	221.86	264.03	309.83	248.0	201.25	260.38	241.19	0.0	0.16	507.46
PROS1	221.86	69.52	224.97	444.72	165.57	198.47	155.5	215.77	255.0	82.29	620.67	733.19	928.3	780.44	830.75	713.11	713.11	1233.75	336.79	0.0	0.45	934.76
PYGO1	14.45	17.25	15.0	19.53	12.27	4.62	18.29	24.11	18.43	5.63	51.35	58.3	82.29	58.3	61.25	51.71	52.08	144.01	28.86	0.0	0.31	162.14
RCL1	242.88	239.52	175.07	507.46	229.72	239.52	307.69	197.09	450.94	460.44	339.14	518.15	329.84	417.77	426.57	536.45	412.0	400.71	371.22	0.0	0.62	1417.35
RIPPLY2	2.12	0.0	0.0	0.0	0.0	0.0	6.46	0.0	1.43	0.0	13.42	9.85	1.45	7.51	1.48	2.41	1.46	16.15	8.19	0.0	0.0	20.71
RP11-849F2.7	1.81	2.23	0.67	8.0	3.92	1.85	6.62	2.43	1.1	0.0	3.89	8.65	10.16	7.63	5.92	3.11	1.85	8.99	8.71	0.0	0.01	14.67
SAMD4A	108.14	74.06	66.18	90.77	181.28	76.17	69.03	109.66	73.03	72.01	267.73	167.9	148.09	185.11	221.86	120.1	164.42	406.31	190.34	127.0	129.69	718.08
SCN5A	2.92	0.34	4.66	3.72	0.68	4.58	0.82	1.77	1.13	0.34	11.73	10.55	11.04	7.75	8.99	9.13	4.9	4.31	12.83	0.0	0.22	26.28
SEMA6A	47.17	18.16	62.56	208.38	19.97	267.73	44.57	43.94	162.14	60.82	395.18	293.07	248.0	466.88	429.54	327.56	429.54	287.01	698.41	55.49	115.97	974.5
SESN3	215.77	234.57	94.67	293.07	91.41	105.89	373.81	129.69	149.12	358.54	368.65	698.41	518.15	551.56	738.29	620.67	647.07	1119.56	651.58	241.19	46.84	1286.18
SGCB	156.59	147.06	166.73	269.6	236.21	231.32	239.52	212.78	387.02	128.79	361.04	540.19	579.04	460.44	679.29	497.0	490.14	518.15	363.56	0.0	0.41	591.22
SLC22A3	6.62	20.11	15.0	14.45	22.43	39.5	3.63	20.26	11.73	4.17	42.41	68.07	41.22	57.08	107.38	49.21	172.65	50.98	29.06	0.0	0.0	271.48
SLC41A1	90.14	343.89	139.07	293.07	109.66	164.42	242.88	269.6	279.14	215.77	255.0	320.8	397.93	329.84	339.14	320.8	334.46	299.25	312.0	0.0	0.51	616.37
SNCA	123.5	26.86	111.99	166.73	36.01	92.05	42.11	123.5	134.3	35.5	285.03	289.02	351.14	187.71	180.02	267.73	172.65	249.73	102.25	0.0	0.73	507.46
SOHLH2	11.91	3.89	6.62	17.64	3.44	4.94	22.43	6.26	19.53	6.52	27.64	15.34	21.01	17.38	7.75	46.84	9.13	12.36	8.13	0.0	0.18	49.56
SOX6	41.22	1.58	1.68	14.14	36.79	7.69	11.3	4.78	6.06	6.11	32.59	31.9	30.12	18.84	29.48	23.08	12.09	25.35	9.63	0.0	0.29	87.65
STAR	7.75	2.29	0.72	7.88	0.38	9.63	1.25	2.16	6.36	1.64	16.63	41.52	19.25	14.56	18.84	14.45	18.7	7.69	13.52	0.0	0.42	33.54
STK3	232.94	463.65	450.94	312.0	363.56	253.23	693.58	371.22	285.03	334.46	536.45	438.59	551.56	420.68	490.14	518.15	447.82	612.11	612.11	0.0	0.59	579.04
SYNE2	703.28	514.56	591.22	928.3	988.12	679.29	1175.27	808.0	591.22	1104.13	1427.22	1781.89	1388.16	1378.57	1191.69	1662.49	1268.46	1066.48	967.76	248.0	318.57	1950.0
SYNPO2	102.25	42.11	94.67	493.56	53.57	138.1	202.66	108.9	158.79	26.47	775.05	723.08	1151.06	928.3	684.02	669.92	595.34	988.12	460.44	0.0	0.43	6079.61
TAF4B	19.11	11.38	42.71	41.81	15.8	31.22	47.5	28.86	37.05	5.28	96.01	140.04	128.79	112.77	143.01	190.34	80.57	167.9	55.1	0.0	0.32	185.11
TEX10	234.57	237.86	241.19	287.01	165.57	178.77	336.79	205.5	249.73	163.28	414.87	423.61	353.59	348.71	447.82	486.75	341.51	591.22	356.05	0.0	0.74	612.11
TIPARP	237.86	693.58	194.36	642.59	246.28	366.09	363.56	220.32	423.61	473.41	1044.52	2451.44	514.56	1923.14	988.12	1519.15	518.15	713.11	567.1	0.0	0.2	1167.14
TMEFF2	0.0	0.0	0.0	7.0	0.0	1.3	0.0	0.0	0.0	0.0	1.06	5.32	0.35	0.33	0.73	0.68	1.11	1.03	1.25	0.0	0.01	10.24
TNFRSF10D	21.94	15.22	7.17	50.27	32.13	24.28	23.08	44.89	20.71	17.0	56.28	78.34	95.34	105.15	105.89	67.12	72.52	80.01	62.12	0.0	0.45	199.85
TRNP1	171.45	11.04	30.34	162.14	185.11	50.27	25.35	55.49	148.09	83.45	285.03	476.71	480.04	559.28	490.14	420.68	348.71	314.17	406.31	0.0	0.53	1277.29
TSPAN11	20.41	11.73	39.5	53.57	40.64	34.26	12.64	34.02	32.82	10.79	59.13	30.56	41.22	52.82	107.38	54.72	121.79	117.6	39.22	0.0	0.16	239.52
TSR1	248.0	269.6	229.72	470.14	309.83	414.87	265.87	262.2	470.14	166.73	441.64	500.46	503.95	497.0	493.56	555.41	473.41	444.72	547.75	0.0	0.12	1081.39
UBE2B	1794.29	1991.0	2303.12	2287.2	1991.0	2148.82	1806.78	1819.35	2682.69	1857.6	2163.77	2976.74	2367.9	3103.19	2701.35	2915.45	2573.36	3820.7	2935.74	0.0	0.59	5791.62
UBE2G2	679.29	974.5	785.88	1037.29	825.0	961.07	1044.52	780.44	571.05	567.1	1037.29	1030.12	1277.29	1081.39	1143.1	1175.27	988.12	1388.16	1572.76	878.17	1059.11	1870.53
VPS13D	612.11	460.44	547.75	633.73	470.14	414.87	563.18	571.05	480.04	497.0	656.11	708.18	753.83	642.59	698.41	669.92	660.68	656.11	543.96	144.01	90.77	1259.69
WFDC5	14.56	2.23	0.0	0.0	2.32	0.0	22.75	0.71	0.0	0.0	1.08	3.96	2.56	7.94	2.97	2.78	0.75	1.73	2.1	0.0	0.18	220.32
WHAMM	185.11	78.89	66.18	190.34	116.78	151.22	93.35	99.43	97.36	122.64	246.28	297.17	218.79	228.13	248.0	255.0	195.72	281.09	220.32	63.0	221.86	332.14
ZC3H8	177.53	205.5	143.01	204.07	104.42	149.12	271.48	119.26	107.38	162.14	256.78	336.79	309.83	248.0	323.03	287.01	273.37	366.09	285.03	0.0	0.52	376.41
ZDHHC13	56.68	358.54	178.77	267.73	217.27	162.14	334.46	183.82	146.03	194.36	220.32	325.29	258.57	312.0	277.2	312.0	248.0	329.84	329.84	0.0	0.35	503.95
ZNF326	255.0	470.14	220.32	356.05	198.47	285.03	287.01	314.17	289.02	297.17	426.57	559.28	529.06	463.65	525.39	583.07	454.09	688.78	525.39	0.0	0.72	703.28
ZNF330	540.19	470.14	438.59	733.19	674.59	559.28	1127.35	503.95	529.06	397.93	860.08	854.13	915.51	1008.9	825.0	934.76	884.29	1233.75	909.17	0.0	0.72	1127.35
