	GTEX.13O3O.0826.SM.5K7WE	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AM.5821.01A.01R.1653.07	GTEX.T5JC.1726.SM.4DM6U	GTEX.PLZ4.1626.SM.3P618	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.13FLV.1126.SM.5J2NO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CASC10	9.85	23.93	4.28	24.81	18.97	23.42	11.04	5.96	0.0	0.03
CCDC88B	116.78	1936.53	267.73	884.29	1096.5	848.22	426.57	297.17	0.0	0.79
CDH8	13.03	11.55	0.0	27.44	37.59	21.78	4.7	2.14	0.0	0.1
CDS1	189.02	896.64	58.71	595.34	603.67	503.95	444.72	351.14	0.0	0.0
CES3	3.44	785.88	1.91	928.3	426.57	291.04	137.14	58.71	0.0	0.03
CIZ1	1498.22	884.29	1286.18	2384.37	2720.15	2573.36	2384.37	1883.54	0.0	0.85
CNGA1	17.51	253.23	0.0	123.5	260.38	177.53	143.01	81.14	0.0	0.01
CPT2	153.34	438.59	113.56	384.34	540.19	351.14	318.57	147.06	0.0	0.0
CRAT	229.72	21919.61	587.13	1313.23	2163.77	2075.59	698.41	830.75	0.0	0.79
CSTA	94.67	1.6409999923E8	154.42	134755.94	131982.68	87075.75	36106.23	58250.19	0.0	0.92
CXCR2	14.24	4268.94	9.63	325.29	356.05	226.54	194.36	84.63	0.0	0.09
CYP2F1	0.0	3.53	2.27	76.17	72.52	81.71	29.27	2.78	0.0	0.0
DBI	6652.97	30999.42	5913.33	12853.63	17078.76	11745.96	11504.21	7642.41	0.0	0.28
DEGS2	713.11	20881.4	0.0	1437.15	1088.92	1313.23	825.0	417.77	0.0	0.0
DNAJB2	878.17	2004.85	583.07	1378.57	1844.76	1529.73	1143.1	743.43	0.0	0.6
DNASE1	92.05	368.65	108.14	872.1	1151.06	860.08	547.75	72.01	0.0	0.51
EME2	52.08	202.66	102.97	414.87	591.22	642.59	329.84	217.27	118.43	120.1
EPN3	102.97	9740.98	5.45	2047.0	3060.45	3039.3	1936.53	693.58	0.0	0.0
ESPL1	9.85	500.46	49.21	1151.06	848.22	1015.93	620.67	316.37	0.0	0.4
ESRRB	3.76	16.15	0.0	2.66	5.87	4.31	3.06	3.96	0.0	0.14
EVPL	63.89	24153.43	153.34	6792.79	7280.4	6983.79	6294.04	5872.48	0.0	0.41
FAAH2	199.85	1685.71	71.0	336.79	373.81	212.78	303.44	148.09	0.0	0.2
FAM3A	297.17	808.0	551.56	1498.22	1806.78	1697.45	1594.73	954.43	0.0	0.77
FAM3D	78.34	10883.59	0.67	5831.91	12943.04	6207.38	7857.29	3515.68	0.0	0.31
FKBP8	3395.89	5441.3	3564.78	5954.47	6607.01	6699.25	6079.61	5441.3	5872.48	3564.78
GLTPD1	122.64	1844.76	329.84	1467.37	1685.71	1540.37	1242.34	743.43	0.0	0.33
GMDS	1242.34	521.76	921.88	1583.71	2384.37	2417.67	2434.5	733.19	0.0	0.59
GPR56	872.1	4836.35	1417.35	2485.67	2351.53	2335.28	2193.99	1175.27	0.0	0.83
GPS2	1159.07	555.41	1183.45	1583.71	1769.57	1844.76	1199.98	1127.35	0.0	0.73
GSTT2B	31.0	24.28	14.45	412.0	316.37	460.44	74.06	0.0	0.0	0.53
GTF3C1	947.83	5479.15	791.35	3515.68	4419.52	4038.61	2895.31	2855.44	0.0	0.8
HILPDA	2163.77	8598.28	325.29	10368.08	8191.0	7032.37	2645.74	194.36	567.1	1540.37
HPGD	95.34	5076.84	17.77	4210.15	3467.27	3515.68	2104.58	1397.83	0.0	0.61
ICOSLG	81.71	444.72	26.28	267.73	299.25	260.38	209.84	169.07	0.0	0.39
KAT2B	74.58	981.29	63.89	791.35	733.19	674.59	583.07	260.38	0.0	0.38
KCTD21	54.72	253.23	44.25	150.17	242.88	155.5	201.25	75.11	0.0	0.1
KLHL17	17.38	226.54	305.55	1088.92	1191.69	872.1	521.76	540.19	0.0	1.22
KPNA7	1.5	3716.2	16.03	42.11	21.47	15.91	7.4	2.71	0.0	0.04
KRCC1	555.41	1001.93	351.14	1697.45	1331.57	587.13	872.1	115.97	0.0	0.34
KRT34	0.0	19.53	0.0	13.42	12.36	13.72	4.58	2.58	0.0	0.0
KRTAP5-8	2.34	3.99	0.0	6.94	7.22	7.17	2.81	1.11	0.0	0.08
LIN37	182.55	89.51	205.5	201.25	329.84	297.17	226.54	228.13	0.0	0.56
LIPH	79.45	37639.55	19.68	511.0	785.88	629.35	559.28	291.04	40.93	81.71
LPAR5	25.54	3794.3	3.41	555.41	579.04	450.94	500.46	275.28	47.17	128.79
LPIN3	55.1	607.87	73.03	2193.99	2664.15	1936.53	1583.71	547.75	159.9	332.14
LRRC14	138.1	215.77	483.38	1030.12	1277.29	1088.92	915.51	307.69	0.0	0.72
LRRC56	17.51	108.9	23.25	102.97	100.13	144.01	77.25	50.27	0.0	0.11
LY6K	267.73	2004.85	5.32	571.05	507.46	967.76	363.56	159.9	0.0	0.48
MAP3K4	197.09	409.15	269.6	629.35	753.83	753.83	633.73	567.1	0.0	0.78
MC5R	0.0	43.02	0.0	12.09	44.57	51.35	13.22	4.62	0.0	0.0
MCC	125.24	211.31	37.32	371.22	346.29	435.55	299.25	170.25	54.72	48.52
MEIG1	5.45	38.12	5.63	14.03	13.03	7.06	12.09	6.89	0.0	0.0
MFSD5	441.64	1529.73	447.82	1167.14	1208.34	1183.45	842.36	595.34	0.0	0.0
MIEF2	141.02	490.14	113.56	397.93	285.03	348.71	269.6	171.45	159.9	283.05
MLLT11	31.45	57.89	67.59	146.03	155.5	154.42	120.1	62.12	0.0	0.95
MPI	934.76	1529.73	583.07	884.29	1183.45	890.44	718.08	329.84	0.0	0.0
MTMR10	232.94	198.47	158.79	1167.14	1191.69	1233.75	866.07	341.51	0.0	0.58
NDRG4	37.59	4639.29	71.0	1369.04	813.63	1388.16	995.0	567.1	0.0	0.65
PAQR8	22.1	387.02	81.71	547.75	947.83	325.29	164.42	40.64	55.1	65.72
PAX8	6.06	3491.39	69.03	226.54	121.79	277.2	112.77	98.04	0.0	0.21
PAX9	52.82	113315.62	28.65	2468.49	2075.59	1572.76	1674.06	1437.15	0.0	0.09
PCSK6	1225.22	2119.22	24.28	361.04	332.14	201.25	84.04	81.14	0.0	0.58
PDCD6IP	1963.57	2319.15	1250.98	3589.58	3235.01	3124.78	2335.28	2104.58	0.0	1.07
PHC1	309.83	92.7	104.42	1487.87	1806.78	1437.15	830.75	473.41	0.0	0.8
PLCB3	123.5	981.29	395.18	878.17	1143.1	1369.04	890.44	693.58	299.25	224.97
PLEKHG6	176.29	2701.35	19.25	1322.37	1477.58	1508.65	1286.18	1051.79	0.0	0.27
PLGLB1	29.06	84.04	21.63	189.02	228.13	258.57	102.25	34.51	0.0	0.46
PPP1R1C	1.3	86.43	60.82	41.81	80.01	53.19	25.17	7.63	0.0	0.01
PPP1R3G	34.75	52.45	2.23	169.07	139.07	148.09	67.59	22.75	0.0	0.06
PPP2R5B	167.9	293.07	202.66	366.09	403.5	379.04	271.48	265.87	193.01	163.28
PPT2	279.14	217.27	356.05	1111.82	1008.9	1088.92	854.13	848.22	0.0	0.79
PPT2-EGFL8	37.59	40.36	43.02	277.2	295.11	295.11	201.25	167.9	0.0	0.83
PRKCZ	149.12	866.07	162.14	567.1	753.83	825.0	679.29	454.09	0.0	0.42
PRRG2	249.73	954.43	82.87	500.46	595.34	493.56	420.68	267.73	0.0	0.0
PSCA	2417.67	450134.56	3.79	28723.62	26248.46	42641.37	17078.76	11584.24	0.0	0.22
PSD4	361.04	1909.85	145.02	808.0	909.17	808.0	884.29	718.08	246.28	108.9
QRICH2	9.78	116.78	16.03	155.5	229.72	161.02	51.35	19.39	0.0	0.38
RAB10	2451.44	11664.82	2090.03	7589.61	7695.57	5219.6	5006.93	4388.98	0.0	0.69
RAB11A	5403.7	23169.48	5403.7	11267.44	10808.41	8901.53	8538.88	8963.45	0.0	0.91
RAB4B	368.65	1447.15	660.68	1051.79	1191.69	1417.35	1051.79	825.0	0.0	0.68
RAET1L	3.5	49322.93	47.84	587.13	872.1	620.67	450.94	327.56	0.0	0.35
RBBP8NL	15.34	2682.69	0.0	387.02	417.77	336.79	229.72	55.89	0.0	0.0
RECQL5	253.23	1685.71	187.71	3515.68	4038.61	3820.7	2555.58	1697.45	0.0	0.59
REXO1L1	0.0	0.44	0.0	0.48	0.47	0.44	0.0	0.0	0.0	0.0
RMND5A	281.09	2367.9	139.07	1175.27	808.0	1088.92	642.59	651.58	205.5	173.85
RMND5B	457.25	7081.29	476.71	2287.2	2573.36	2335.28	1806.78	1233.75	0.0	0.47
RNF123	195.72	197.09	295.11	414.87	612.11	607.87	426.57	343.89	0.0	0.62
RP11-146D12.2	15.34	61.25	3.69	193.01	226.54	144.01	56.28	17.77	0.0	0.31
RP11-195B21.3	3.5	5.19	0.0	44.25	40.36	40.07	19.97	6.21	0.0	0.0
RP11-552F3.12	0.74	21.32	4.06	23.42	31.45	48.52	29.48	12.45	0.0	0.27
RPTN	0.0	18819.27	0.33	12.09	23.93	32.13	1.64	1.83	0.0	0.0
SCNN1B	146.03	23986.58	11.13	4802.93	3716.2	3540.14	2209.26	1519.15	0.0	0.43
SCTR	1.87	58.71	0.0	10.16	31.22	37.32	6.41	7.82	0.0	0.01
SERINC2	1477.58	11189.6	83.45	4181.07	4419.52	5633.22	3768.09	3103.19	0.0	0.54
SERPINB3	0.0	7.2329051809E8	38.4	3820.7	4066.71	4575.41	941.27	1721.16	0.0	0.14
SGK223	77.79	262.2	139.07	116.78	110.43	212.78	100.83	62.56	31.45	73.03
SH3TC2	10.0	58.3	70.51	67.59	172.65	162.14	35.5	17.0	0.0	0.17
SLC15A2	10.39	45.21	9.85	64.8	239.52	149.12	103.69	22.26	0.0	0.2
SLC37A2	34.02	2061.24	14.67	339.14	299.25	356.05	172.65	66.18	0.0	0.23
SLC44A2	860.08	4836.35	775.05	3540.14	3303.0	3589.58	3280.18	1963.57	2956.17	2255.7
SPINT1	1322.37	17558.94	684.02	9808.75	9279.58	9808.75	7803.01	7280.4	0.0	0.07
STX19	76.71	1674.06	0.0	236.21	312.0	158.79	285.03	27.44	0.0	0.04
STXBP2	753.83	3901.01	543.96	3901.01	4388.98	4038.61	3325.99	2796.65	3820.7	1104.13
STYK1	27.64	2701.35	16.88	190.34	249.73	264.03	256.78	68.07	0.0	0.22
TARS2	293.07	679.29	309.83	420.68	521.76	688.78	514.56	279.14	0.0	0.17
TEN1	647.07	934.76	493.56	830.75	1051.79	848.22	981.29	583.07	0.0	0.65
TESK2	76.17	599.49	43.32	287.01	295.11	283.05	325.29	204.07	0.0	0.48
THEM5	10.0	1208.34	0.91	155.5	38.67	67.12	22.26	35.0	0.0	0.22
TMEM40	123.5	391864.76	0.0	4239.45	4512.4	4802.93	3443.31	4181.07	0.0	0.64
TMEM63B	189.02	1397.83	291.04	1331.57	1617.0	1551.09	1208.34	941.27	0.0	0.33
TOP3B	262.2	221.86	234.57	718.08	967.76	872.1	808.0	267.73	0.0	0.77
TREH	8.85	5.28	0.08	85.22	68.55	173.85	37.59	71.5	0.0	0.16
TSPAN14	1572.76	4010.71	1369.04	3039.3	3146.52	2956.17	2796.65	1844.76	961.07	1015.93
UCN	4.98	15.11	7.06	35.5	31.22	38.12	13.03	7.11	0.0	0.56
UNC93A	0.0	46019.85	1.64	86.43	162.14	96.01	79.45	94.01	0.0	0.0
USP54	483.38	708.18	186.4	902.89	961.07	1051.79	759.08	595.34	0.0	0.32
VSIG10L	22.43	58655.36	32.13	4769.75	4268.94	2335.28	2018.8	1832.01	0.0	0.65
WWC1	698.41	3190.46	444.72	718.08	791.35	1295.13	551.56	356.05	329.84	98.73
YPEL3	525.39	3395.89	693.58	4512.4	5006.93	7230.1	3794.3	2148.82	0.0	0.6
ZGPAT	314.17	379.04	486.75	567.1	684.02	848.22	607.87	525.39	0.0	0.95
ZNF431	175.07	2148.82	141.02	1519.15	1832.01	2178.83	967.76	1001.93	0.0	0.78
