	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.1399R.1226.SM.5P9GF	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.CE.A3MD.01A.11R.A20F.07	GTEX.S4Z8.0326.SM.3K2AU	GTEX.WEY5.0526.SM.3GIKZ
NOC4L	423.61	376.41	190.34	318.57	339.14	181.28	0.0	0.58	587.13	392.44	665.29	511.0	361.04	271.48
NOL12	417.77	423.61	159.9	98.73	189.02	124.37	0.0	0.41	909.17	780.44	571.05	1081.39	651.58	384.34
NOTCH1	246.28	314.17	81.14	91.41	136.19	22.59	0.0	0.88	400.71	260.38	339.14	262.2	193.01	126.12
PAX8	223512.12	273275.14	14.45	7.94	26.47	3.44	0.0	0.21	29736.59	26614.89	11584.24	11584.24	17558.94	9474.59
PHKG2	599.49	764.36	470.14	503.95	400.71	529.06	0.0	1.0	1331.57	1127.35	1437.15	1286.18	629.35	703.28
PIDD	368.65	351.14	71.5	87.03	100.83	72.01	0.0	1.01	629.35	420.68	547.75	616.37	198.47	125.24
PIGQ	1119.56	1119.56	234.57	260.38	397.93	525.39	0.0	0.73	2032.85	1991.0	1605.83	1977.24	1096.5	536.45
PLOD3	759.08	486.75	633.73	1127.35	796.86	368.65	0.0	0.88	1216.75	1015.93	1322.37	1073.91	909.17	884.29
PNKP	928.3	961.07	228.13	343.89	281.09	293.07	0.0	0.97	1594.73	1015.93	1508.65	1277.29	669.92	599.49
PPP1R35	1001.93	769.69	96.68	189.02	170.25	387.02	0.0	0.88	1331.57	785.88	1259.69	1242.34	379.04	346.29
PQLC2	327.56	379.04	157.68	226.54	187.71	106.63	0.0	0.09	473.41	417.77	525.39	567.1	336.79	220.32
PRKRIP1	890.44	860.08	112.77	112.77	190.34	119.26	0.0	0.61	934.76	769.69	848.22	915.51	547.75	507.46
PUSL1	301.33	303.44	74.06	111.99	152.28	142.01	0.0	0.59	309.83	166.73	361.04	279.14	170.25	92.05
RRP8	406.31	341.51	551.56	314.17	332.14	314.17	0.0	0.41	669.92	579.04	591.22	616.37	450.94	332.14
SCRIB	1457.23	1685.71	111.99	232.94	406.31	181.28	1447.15	540.19	1519.15	718.08	1757.34	1286.18	518.15	371.22
SCYL1	1662.49	1651.0	1037.29	1605.83	1427.22	1457.23	0.0	1.1	2335.28	1781.89	2537.92	2240.11	1685.71	1277.29
SIPA1	2701.35	1208.34	547.75	595.34	579.04	981.29	0.0	0.91	1870.53	1340.84	2119.22	2271.4	802.41	507.46
SLC12A4	591.22	651.58	312.0	389.72	356.05	242.88	0.0	0.89	1540.37	1073.91	1135.2	1561.89	808.0	759.08
SLC35G5	1.31	2.39	0.0	0.0	0.48	0.51	0.0	0.13	7.17	2.41	7.0	6.78	0.91	0.4
SLC38A10	2609.3	2133.97	1304.15	1769.57	1977.24	2061.24	954.43	1447.15	2555.58	2451.44	2935.74	2485.67	2047.0	1111.82
SLC39A13	866.07	802.41	138.1	130.6	289.02	173.85	575.03	1216.75	1508.65	1051.79	1457.23	1457.23	728.11	796.86
SLC5A4	5.28	6.57	0.04	0.43	1.19	0.0	0.0	0.13	22.92	21.16	20.26	22.92	5.23	6.84
SMARCD3	4450.27	2319.15	64.8	16.63	56.68	31.22	0.0	1.04	2555.58	1685.71	1709.26	2451.44	1151.06	1151.06
SMG9	860.08	575.03	124.37	60.82	131.51	97.36	0.0	0.31	1044.52	743.43	1030.12	1088.92	463.65	351.14
SMPD2	351.14	426.57	77.79	85.22	88.26	105.89	0.0	0.16	490.14	511.0	403.5	339.14	273.37	218.79
WDR13	2976.74	2956.17	665.29	1467.37	915.51	2032.85	0.0	0.95	3419.52	2875.3	2956.17	3690.52	1883.54	1733.13
WFDC2	1.736886224E7	2.009035788E7	18.29	148.09	122.64	66.65	0.0	0.65	25354.3	16611.71	8963.45	9673.69	36357.37	1540.37
ZNF467	748.61	209.84	29.06	100.13	348.71	351.14	0.0	0.75	486.75	373.81	483.38	651.58	273.37	180.02
