	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A6.3809.01A.01R.A278.07	GTEX.11DYG.1326.SM.5N9DO	GTEX.RNOR.1226.SM.48FDQ	GTEX.XQ3S.1126.SM.4BOPK	GTEX.RN64.1026.SM.48FDX	GTEX.T2IS.0826.SM.4DM6L	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.38.4625.01A.01R.1206.07.1
RFFL	1519.15	236.21	234.57	497.0	733.19	842.36	708.18	656.11	0.62
RNF208	2400.97	5.73	486.75	941.27	1331.57	1883.54	1216.75	1295.13	0.51
RP1L1	52.08	0.61	0.96	1.07	5.15	5.5	4.86	1.53	0.04
S100A14	1.609378033E7	6207.38	19892.37	36864.92	104271.56	107203.06	67377.47	69271.73	1250.98
SDCBP2	44145.15	117.6	988.12	2645.74	4704.07	6792.79	3928.15	4450.27	0.67
SERPINB10	638.15	3.41	4.7	6.06	14.56	14.78	14.14	12.83	0.09
SERPINB3	7.2329051809E8	149.12	2796.65	2271.4	5112.16	12589.08	3564.78	5292.48	0.14
SMARCA4	5672.41	1044.52	1662.49	1896.65	3060.45	2777.33	2240.11	2573.36	902.89
SOWAHB	1662.49	15.0	29.48	85.82	182.55	165.57	115.16	107.38	0.0
SPAG4	100.83	80.01	44.25	20.56	63.89	100.13	22.75	53.57	0.53
TGM3	654483.73	5.15	3639.7	15824.9	45386.27	57051.4	31650.8	34635.37	0.16
TMCC3	571.05	139.07	38.67	102.97	234.57	201.25	104.42	81.71	60.82
TMEM54	24490.61	162.14	2047.0	4010.71	5791.62	5292.48	3982.99	4450.27	0.43
TMPRSS11A	6673442.71	0.69	454.09	320.8	1259.69	928.3	480.04	669.92	0.0
UPP1	11035.54	438.59	1008.9	1617.0	6983.79	6561.36	3146.52	2682.69	0.92
VPS4B	4769.75	842.36	629.35	1191.69	1721.16	2271.4	1628.26	1991.0	0.21
WBP2	3874.05	624.99	2148.82	2555.58	2875.3	3349.13	2935.74	2777.33	0.87
XXbac-BPG32J3.20	94.01	2.18	0.0	0.0	29.7	24.28	0.0	15.91	0.0
YWHAZ	36864.92	9876.98	7589.61	11504.21	15075.35	19482.97	12589.08	15285.81	1733.13
ZFAND3	1151.06	228.13	555.41	669.92	819.3	961.07	638.15	785.88	138.1
