	TCGA.CR.7374.01A.11R.2016.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.144GM.0126.SM.5Q5AX	TCGA.33.4589.01A.01R.1443.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.52.7809.01A.21R.2125.07	TCGA.34.5927.01A.11R.1820.07
EXD1	3.35	0.36	0.33	0.0	0.0	8.99	1.62	2.07	2.51	2.34
FAM171A2	107.38	38.12	40.07	0.0	0.16	2.36	10.96	16.75	208.38	293.07
FAM184A	59.97	3.47	9.78	0.0	0.28	75.11	1.0	71.5	120.94	202.66
FAM53C	417.77	145.02	327.56	0.0	0.32	336.79	138.1	444.72	480.04	642.59
FAM76B	441.64	173.85	228.13	0.0	0.6	150.17	73.03	376.41	497.0	785.88
FBXL12	500.46	287.01	450.94	0.0	0.72	353.59	185.11	435.55	454.09	525.39
FEZF1	242.88	9.93	1.33	0.0	0.0	1.62	0.0	32.36	301.33	571.05
FLJ00273	5.82	0.0	0.0	0.0	0.0	0.0	0.0	3.72	10.16	6.62
FOXN4	3.0	0.67	0.0	0.0	0.0	0.0	0.0	3.66	94.01	8.99
FXYD6	961.07	66.65	108.14	329.84	435.55	595.34	34.26	579.04	2591.27	559.28
GABRA3	177.53	0.0	37.59	0.0	0.29	0.0	12.27	42.11	54.72	87.65
GDPD1	98.73	8.06	17.51	0.0	0.06	18.84	4.5	35.0	61.68	127.89
HEATR5B	260.38	74.06	104.42	0.0	0.27	140.04	23.25	246.28	217.27	320.8
HNRNPLL	595.34	275.28	366.09	0.0	0.34	379.04	518.15	555.41	638.15	674.59
HSPA1L	26.86	3.29	33.54	0.0	0.0	23.76	7.88	12.09	53.57	62.12
IFT80	480.04	99.43	312.0	0.0	0.16	236.21	178.77	417.77	616.37	703.28
IFT81	118.43	82.29	105.15	0.0	0.32	102.97	58.3	173.85	346.29	551.56
IKZF4	100.13	23.42	44.89	0.0	0.42	87.65	8.06	87.03	127.0	108.9
IPP	279.14	79.45	67.12	0.0	0.0	98.04	35.5	153.34	165.57	414.87
JRKL	281.09	198.47	162.14	0.0	0.0	119.26	25.35	162.14	155.5	403.5
KANSL2	743.43	277.2	656.11	0.0	0.59	579.04	947.83	579.04	1051.79	1143.1
KAT6B	303.44	32.82	66.18	53.95	57.08	72.01	12.93	103.69	182.55	343.89
KCNJ11	71.0	1.46	12.36	0.0	0.03	16.15	0.66	30.56	56.28	329.84
KCNK9	212.78	1.16	1.73	0.0	0.25	1.38	0.6	10.47	41.81	228.13
KDELC2	1167.14	146.03	249.73	0.0	0.46	191.67	189.02	295.11	638.15	476.71
KDM4A	1457.23	232.94	363.56	0.0	0.29	332.14	131.51	435.55	476.71	1417.35
KIAA1324	693.58	15.56	21.16	0.0	0.06	57.49	18.16	438.59	128.79	1628.26
KIF21A	759.08	242.88	255.0	0.0	0.13	74.58	84.63	748.61	435.55	1259.69
KIF3A	91.41	52.45	71.0	0.0	0.2	37.32	24.63	91.41	180.02	80.57
KLF12	114.36	32.36	32.13	0.0	0.34	6.11	14.78	110.43	172.65	77.79
KLF14	1.73	3.41	4.39	0.0	0.09	9.78	3.2	4.21	17.51	18.16
KLHL23	223.41	13.72	21.16	0.0	0.38	16.03	40.64	165.57	392.44	559.28
KSR2	16.63	0.4	0.71	0.0	0.0	5.77	0.0	2.71	4.78	9.85
LEKR1	45.85	4.66	21.47	0.0	0.0	10.39	5.02	23.76	44.25	69.52
LY6G6D	26.1	0.47	0.0	0.0	0.0	10.08	8.85	17.64	915.51	49.91
MAGEA10	713.11	0.0	0.72	0.0	0.0	0.0	0.49	255.0	3.14	1.45
MAGEA9	748.61	0.43	2.34	0.0	0.0	34.51	3.99	860.08	902.89	1447.15
MAGEA9B	483.38	0.0	0.0	0.0	0.0	1.563278947E8	0.0	295.11	264.03	414.87
MAP3K15	4.78	1.22	0.41	0.0	0.0	13.52	1.77	2.56	4.28	10.47
MAST2	457.25	237.86	271.48	0.0	0.82	128.79	38.67	665.29	432.53	1277.29
MED12	660.68	166.73	218.79	189.02	193.01	271.48	32.82	599.49	872.1	802.41
MEGT1	19.82	1.85	0.21	0.0	0.06	8.65	2.78	3.08	232.94	14.03
METTL20	57.49	16.27	17.77	0.0	0.09	46.18	23.42	29.7	30.12	35.0
METTL7B	353.59	5.02	7.4	0.0	0.0	201.25	17.0	36.01	76.17	110.43
MICU3	52.82	1.51	3.69	0.0	0.36	23.59	0.75	38.12	60.82	48.52
MIXL1	85.82	1.28	1.55	0.0	0.0	4.74	1.14	15.91	45.85	94.01
MSANTD4	336.79	40.07	187.71	117.6	95.34	241.19	100.83	204.07	220.32	595.34
MSH6	1519.15	334.46	457.25	0.0	0.71	262.2	197.09	902.89	2255.7	1697.45
NAALAD2	100.13	2.53	6.67	0.0	0.23	5.77	0.97	13.22	406.31	94.01
NFYB	830.75	327.56	503.95	0.0	0.35	450.94	271.48	612.11	1208.34	1242.34
NHSL2	34.02	2.43	3.29	0.0	0.22	6.01	0.0	13.03	26.28	14.24
NKAIN1	38.67	5.28	1.87	0.0	0.2	1.14	7.57	26.86	108.9	135.24
NSUN7	117.6	0.0	5.63	0.0	0.32	208.38	5.45	76.71	140.04	94.01
NUP153	642.59	197.09	303.44	0.0	0.61	289.02	110.43	529.06	848.22	836.53
PAIP2B	158.79	33.54	19.82	0.0	0.12	27.25	23.59	47.5	82.29	117.6
PAX6	543.96	1.55	2.76	0.0	0.2	1.25	4.43	28.65	511.0	532.74
PAXIP1-AS2	58.3	27.25	55.89	0.0	0.27	80.57	9.13	45.21	69.03	78.34
PGK2	2.76	0.0	0.0	0.0	0.04	0.34	0.0	0.41	1.06	0.73
PHF12	808.0	209.84	518.15	0.0	0.87	647.07	60.39	684.02	607.87	830.75
POLI	211.31	70.51	113.56	0.0	0.53	161.02	125.24	237.86	346.29	507.46
POMGNT2	563.18	45.85	78.34	0.0	0.47	224.97	65.26	182.55	185.11	191.67
PREPL	511.0	131.51	205.5	0.0	0.48	197.09	146.03	400.71	733.19	1030.12
RCN2	2193.99	575.03	503.95	0.0	0.82	412.0	1322.37	1397.83	2335.28	3419.52
RNF103	563.18	117.6	201.25	0.0	0.54	236.21	119.26	454.09	403.5	571.05
RNF144A	178.77	63.89	74.58	0.0	0.27	66.65	58.3	124.37	275.28	220.32
RNF180	45.53	4.39	5.5	0.0	0.26	17.25	1.62	39.79	40.07	49.21
RPIA	1167.14	256.78	381.68	0.0	0.06	466.88	214.27	353.59	1059.11	1259.69
SALL2	285.03	9.56	12.93	0.0	0.31	173.85	2.46	57.49	197.09	223.41
SCAPER	204.07	226.54	88.26	0.0	0.27	123.5	72.52	162.14	256.78	301.33
SCML2	19.39	11.91	8.45	0.0	0.46	1.81	8.51	18.16	29.06	146.03
SNRPN	591.22	69.03	70.51	0.0	0.57	100.13	57.89	206.94	125.24	647.07
SPATA12	15.11	0.79	0.4	0.0	0.0	0.0	2.12	2.36	5.41	0.88
SRBD1	248.0	121.79	137.14	0.0	0.0	199.85	88.88	90.14	351.14	244.57
SRGAP3	191.67	26.67	58.71	0.0	0.0	11.73	31.67	90.77	208.38	110.43
STOX1	454.09	6.11	8.99	0.0	0.0	9.48	2.66	22.1	183.82	559.28
SUPT6H	1216.75	595.34	1059.11	0.0	0.84	1277.29	164.42	1143.1	1199.98	1268.46
TAF1	563.18	85.22	128.79	231.32	58.3	189.02	26.67	466.88	463.65	684.02
TMTC4	514.56	58.3	77.25	0.0	0.57	94.01	25.35	221.86	693.58	791.35
TMX3	289.02	139.07	166.73	0.0	0.75	476.71	165.57	486.75	603.67	647.07
TNRC6C	232.94	9.78	33.78	0.0	0.4	43.02	3.5	52.82	146.03	153.34
TRPV5	2.27	0.48	0.45	0.0	0.0	0.0	0.39	1.19	0.73	0.75
UCP3	26.28	5.15	17.51	0.0	0.37	40.07	0.0	38.67	35.5	52.45
WDR31	37.85	10.16	27.44	0.0	0.0	19.82	4.1	32.59	39.5	52.08
WDR7	107.38	29.7	53.57	0.0	0.29	104.42	22.59	109.66	100.83	100.13
ZBTB10	165.57	10.88	17.77	0.0	0.35	30.34	4.03	72.01	127.89	191.67
ZFHX4	101.54	0.93	3.99	0.0	0.21	4.78	3.72	7.06	15.0	102.25
ZKSCAN7	64.8	3.32	10.79	0.0	0.15	51.35	4.5	15.68	55.49	54.33
ZMYM3	420.68	102.25	119.26	0.0	0.34	206.94	68.07	253.23	595.34	651.58
ZNF217	1059.11	109.66	251.48	591.22	150.17	181.28	135.24	703.28	366.09	1208.34
ZNF286A	346.29	132.44	190.34	120.94	75.64	100.13	181.28	258.57	607.87	764.36
ZNF407	77.25	39.22	38.67	0.0	0.45	108.14	16.63	75.11	96.01	98.04
ZNF501	124.37	12.0	13.72	0.0	0.0	47.17	10.08	15.56	37.59	55.49
ZNF516	158.79	79.45	69.52	0.0	0.54	115.97	32.36	236.21	201.25	237.86
ZNF532	713.11	185.11	232.94	389.72	77.25	273.37	59.55	703.28	1199.98	1447.15
ZNF589	264.03	56.68	61.68	0.0	0.43	111.99	17.0	595.34	167.9	381.68
ZNF619	76.17	8.25	19.53	0.0	0.0	34.51	6.41	24.99	62.12	24.81
ZNF620	90.14	4.66	3.66	0.0	0.17	46.84	1.83	24.28	134.3	49.21
ZNF660	23.25	1.35	4.43	0.0	0.13	19.82	0.45	10.31	23.93	37.85
ZNF704	265.87	4.28	26.86	0.0	0.23	10.55	1.62	86.43	95.34	145.02
ZNF709	42.71	4.31	5.06	0.0	0.17	17.64	6.84	15.11	28.24	37.85
ZNF8	90.77	18.84	23.93	0.0	0.2	20.86	11.3	54.33	77.79	165.57
ZSCAN30	178.77	47.5	47.84	0.0	0.59	141.02	28.65	178.77	255.0	228.13
