	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.ZTPG.1426.SM.51MT3	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13OVJ.0726.SM.5KM1W	GTEX.ZYY3.0926.SM.5E454	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.X261.1026.SM.3NMDL	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.1192X.1126.SM.5EGGU
FLI1	64.8	115.16	218.79	81.14	49.21	353.59	0.0	0.56	579.04	493.56	1225.22	3467.27	2224.63	733.19	409.15	1295.13	1909.85	334.46
GNG11	169.07	178.77	231.32	143.01	105.15	318.57	0.0	0.38	1313.23	785.88	2255.7	3467.27	3955.48	1662.49	791.35	961.07	2796.65	583.07
GYPA	0.0	0.0	0.0	0.0	0.87	1.58	0.0	0.0	7.69	4.9	7.57	11.3	20.56	7.0	6.78	12.27	9.41	3.44
GYPB	0.0	0.0	0.0	0.0	0.0	5.06	0.0	0.0	28.45	22.59	38.95	54.72	53.57	20.71	21.78	48.87	55.89	14.89
GYPC	395.18	389.72	785.88	295.11	312.0	1832.01	0.0	0.85	9808.75	6471.02	14065.74	9540.5	12764.83	8078.22	4512.4	6792.79	5517.27	1081.39
HBA2	6699.25	3235.01	3665.02	6699.25	10084.54	16496.96	0.0	0.0	627822.72	411347.03	1041331.96	2011721.67	311742.51	355624.68	220434.95	875652.15	992012.34	251464.33
HBB	3690.52	3443.31	5594.3	5292.48	9409.14	14971.21	0.0	0.0	828417.36	783730.52	1703415.74	3313672.43	462789.59	659036.03	358098.26	1299926.74	1336472.68	277089.94
HBD	12.36	2.23	21.47	3.76	12.74	31.45	0.0	0.05	166.73	101.54	209.84	497.0	429.54	98.04	94.67	191.67	204.07	91.41
HBM	0.0	0.0	13.93	0.0	4.46	10.08	0.0	0.0	75.64	50.63	73.03	81.71	100.13	43.94	64.8	86.43	105.89	40.07
HEMGN	0.88	0.0	0.82	0.0	1.62	2.1	0.0	0.18	18.84	6.26	13.93	24.63	45.53	12.83	12.45	25.17	19.53	18.97
HSPA12B	20.56	22.26	63.89	21.78	4.24	32.13	0.0	0.22	339.14	87.03	612.11	1044.52	1191.69	723.08	271.48	356.05	866.07	135.24
HYAL2	457.25	642.59	941.27	429.54	392.44	934.76	0.0	0.0	5791.62	1697.45	5517.27	4066.71	6250.56	4481.23	2384.37	2319.15	5112.16	1151.06
IFIT1B	0.0	0.0	1.27	0.61	0.34	2.25	0.0	0.0	8.71	5.82	9.93	14.67	12.55	3.56	5.41	4.98	9.2	4.1
KLF1	1.51	1.33	2.05	0.0	0.0	4.5	0.0	0.03	8.92	5.5	8.85	21.78	24.99	4.43	6.46	12.45	9.34	4.1
LYL1	43.02	52.08	75.64	52.08	24.81	149.12	0.0	0.22	366.09	107.38	356.05	775.05	723.08	297.17	204.07	532.74	441.64	122.64
LYPD5	1.04	5.45	10.47	1.91	6.94	13.52	0.0	0.32	154.42	36.27	351.14	189.02	297.17	171.45	105.89	186.4	329.84	30.34
MAPK11	46.5	30.56	94.67	29.48	13.93	105.89	0.0	0.87	267.73	171.45	642.59	713.11	753.83	201.25	202.66	651.58	813.63	165.57
MFNG	209.84	164.42	275.28	147.06	28.86	323.03	0.0	0.55	429.54	265.87	2701.35	1832.01	3716.2	559.28	493.56	1350.18	1651.0	221.86
NPR1	198.47	127.89	99.43	137.14	35.76	156.59	0.0	0.46	518.15	177.53	2855.44	3018.3	3280.18	698.41	563.18	698.41	1963.57	185.11
NRG3	2.73	5.02	10.47	1.57	1.01	35.25	0.0	0.0	1.75	7.57	47.5	24.28	40.36	24.99	9.63	24.63	23.59	4.39
OSBPL5	46.18	47.17	96.01	44.25	33.78	195.72	0.0	0.93	460.44	105.15	563.18	915.51	1088.92	463.65	248.0	764.36	819.3	258.57
PCDH12	26.47	45.21	59.97	41.22	15.22	90.14	0.0	0.16	198.47	130.6	518.15	521.76	967.76	336.79	128.79	199.85	305.55	62.12
PKN3	26.47	111.99	38.67	32.59	130.6	46.18	0.0	0.6	366.09	78.89	381.68	540.19	866.07	363.56	130.6	224.97	406.31	144.01
PPM1F	109.66	96.01	217.27	90.14	45.85	166.73	195.72	769.69	723.08	353.59	1883.54	1159.07	1857.6	281.09	616.37	417.77	1268.46	336.79
RASIP1	141.02	69.03	130.6	107.38	31.45	460.44	0.0	0.54	921.88	1104.13	1697.45	1066.48	1909.85	921.88	371.22	441.64	934.76	105.15
SEPN1	211.31	309.83	423.61	193.01	234.57	312.0	0.0	0.74	1674.06	607.87	2335.28	1844.76	2855.44	1617.0	934.76	1304.15	2855.44	1662.49
SLC4A1	0.0	0.91	2.61	0.0	2.39	5.59	0.0	0.03	33.78	23.76	49.21	67.12	92.05	32.82	24.28	61.68	30.12	25.72
TEK	55.1	93.35	132.44	72.52	19.97	131.51	0.0	0.31	454.09	454.09	1407.55	1151.06	2032.85	1674.06	141.02	1143.1	1540.37	248.0
TOR4A	49.21	40.93	66.65	40.93	25.54	100.13	0.0	0.56	403.5	220.32	356.05	432.53	633.73	71.5	287.01	125.24	583.07	133.36
TSPO2	5.54	2.29	7.75	0.0	5.54	4.5	0.0	0.16	25.17	5.45	23.76	24.99	45.85	8.19	9.7	28.04	14.14	4.5
ZDHHC3	454.09	521.76	703.28	551.56	334.46	587.13	0.0	0.54	1572.76	1127.35	1477.58	1977.24	1529.73	836.53	1583.71	1286.18	1135.2	988.12
ZNF442	18.7	16.39	31.45	15.22	12.45	7.94	0.0	0.16	43.02	44.89	94.01	16.27	75.64	60.39	56.68	31.9	101.54	31.45
ZNF746	99.43	105.89	127.89	90.77	98.73	121.79	0.0	0.58	236.21	116.78	348.71	256.78	255.0	147.06	190.34	231.32	214.27	166.73
