	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.YFC4.1426.SM.5IFJG	GTEX.Q2AG.0326.SM.48U1O	GTEX.13FTY.2226.SM.5J1ND	TCGA.38.4625.01A.01R.1206.07
PROX1	1.39	4.31	1.6	11.55	8.19	0.58	4.86	81.14	142.01	105.15	35.76	0.0
PRSS12	2.03	6.11	0.33	38.95	2.84	0.0	10.79	139.07	189.02	141.02	289.02	0.0
RAPH1	312.0	514.56	52.45	239.52	251.48	102.97	507.46	679.29	583.07	536.45	1628.26	165.57
RGN	13.93	17.64	77.79	52.45	15.91	11.47	287.01	163.28	113.56	381.68	748.61	0.0
RIC3	112.77	11.91	155.5	136.19	12.09	1.38	376.41	500.46	802.41	312.0	1594.73	0.0
RNF150	21.78	20.41	19.39	29.91	19.68	10.63	27.44	159.9	182.55	181.28	140.04	0.0
RNF183	2.89	5.68	0.72	21.47	0.8	6.73	61.68	118.43	567.1	73.03	166.73	0.0
RP11-155D18.14	0.0	5.06	0.0	0.0	0.0	0.0	0.0	7.63	2.34	34.75	21.32	0.0
SAA4	0.0	2.18	3.47	19.11	1.23	0.0	12.74	33.78	3.96	12.18	75.64	0.0
SCHIP1	70.01	29.27	53.19	100.13	50.98	28.65	221.86	212.78	130.6	332.14	500.46	0.0
SCN2B	0.27	11.82	0.55	31.22	1.62	0.0	21.01	85.82	185.11	75.11	74.06	0.0
SCN4B	15.22	108.9	66.65	208.38	58.3	92.05	182.55	547.75	878.17	1340.84	684.02	0.0
SCPEP1	403.5	1143.1	473.41	3928.15	599.49	493.56	2193.99	5831.91	5403.7	4358.66	6983.79	2351.53
SLC4A7	167.9	414.87	117.6	332.14	223.41	57.89	536.45	878.17	941.27	738.29	1819.35	0.0
ST8SIA2	0.61	4.5	0.0	23.76	6.89	0.0	8.38	182.55	293.07	72.52	73.54	0.0
TCEAL5	2.41	9.63	0.0	63.45	7.11	0.0	21.32	234.57	376.41	173.85	161.02	0.0
TGFB2	122.64	122.64	21.78	180.02	84.63	43.63	438.59	220.32	406.31	540.19	836.53	0.0
TMEM130	11.47	44.89	3.86	55.89	27.64	1.41	25.72	248.0	189.02	153.34	186.4	0.0
TMEM135	265.87	346.29	111.99	384.34	260.38	262.2	320.8	703.28	693.58	819.3	1008.9	0.0
TRDN	0.0	0.67	0.0	1.6	1.62	1.0	1.57	2.92	20.86	52.82	12.18	0.0
TTC28	94.67	94.01	93.35	135.24	89.51	68.55	127.0	293.07	320.8	503.95	348.71	0.0
USP28	205.5	167.9	116.78	275.28	137.14	148.09	314.17	514.56	543.96	400.71	507.46	231.32
VAT1L	6.52	8.19	2.71	8.71	2.68	0.0	5.23	102.25	77.25	109.66	59.55	0.0
VIT	14.35	20.86	0.39	85.82	4.78	1.23	62.12	234.57	52.82	221.86	341.51	0.0
VPS13A	212.78	264.03	119.26	214.27	154.42	101.54	186.4	334.46	470.14	320.8	728.11	0.0
WNT6	1.3	2.76	2.63	27.64	1.35	1.41	23.42	23.59	29.91	64.34	56.28	0.0
ZBTB20	14.67	46.84	9.06	8.32	24.28	19.53	82.87	83.45	111.99	68.07	185.11	0.0
ZFP36L1	3901.01	3060.45	529.06	4328.55	2468.49	237.86	1037.29	11424.74	10225.32	13306.94	17437.64	1639.59
