	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CV.6933.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.D7.A6EX.01A.11R.A31P.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.CG.4465.01A.01R.1157.13	TCGA.N5.A4RD.01A.11R.A28V.07
SEZ6	1369.04	2.34	0.0	0.0	80.01	232.94	12.64	1.69	7.34
SH3BP5L	808.0	251.48	0.0	0.36	547.75	579.04	271.48	176.29	703.28
SHISA2	37.59	72.52	26.67	88.88	82.87	4181.07	287.01	10.63	138.1
SLC24A5	42.41	3.35	0.0	0.17	18.7	199.85	10.63	0.0	25.54
SLC30A3	285.03	5.82	0.0	0.11	108.9	126.12	8.71	0.78	299.25
SLIT1	307.69	0.79	0.0	0.0	191.67	713.11	7.17	1.08	97.36
SMR3B	0.0	3.646477005E7	0.0	0.0	0.0	0.0	11.82	0.0	49.56
SNAP25	1044.52	2.61	0.0	0.28	185.11	2287.2	21.94	14.14	438.59
SOX13	583.07	237.86	0.0	0.89	872.1	2682.69	665.29	507.46	414.87
SOX5	75.64	67.12	0.0	0.26	100.13	466.88	63.45	5.59	7.63
SPACA5	3.56	0.0	0.0	0.0	2.94	10.47	1.62	0.0	7.4
SPOCK3	229.72	14.24	0.0	0.0	14.24	223.41	12.27	0.0	55.89
SPRED3	163.28	2.86	0.0	0.55	40.93	199.85	30.78	17.51	11.82
SRRM3	480.04	106.63	0.0	0.57	193.01	1819.35	85.82	12.83	599.49
ST18	76.17	0.0	0.0	0.14	53.95	698.41	34.26	5.59	6.01
STX1A	1651.0	59.13	0.0	0.79	1709.26	4937.99	325.29	94.01	571.05
STXBP5L	84.04	0.74	0.0	0.14	27.25	57.08	6.73	0.0	34.26
SVOP	426.57	0.0	0.0	0.0	18.29	198.47	10.79	0.0	48.87
SYN1	218.79	2.48	0.0	0.37	83.45	703.28	12.0	6.26	108.14
SYP	1191.69	18.16	0.0	0.3	209.84	753.83	28.86	5.87	1457.23
SYT11	579.04	41.22	0.0	0.47	178.77	1037.29	61.25	72.01	279.14
TAS2R14	57.08	18.03	0.0	0.35	32.59	124.37	47.17	13.72	56.28
TMEM151B	121.79	1.81	0.0	0.33	75.64	126.12	15.22	0.0	96.68
TPBGL	102.97	2.36	0.0	0.0	26.47	329.84	8.32	5.54	52.45
TUBB2B	3419.52	126.12	0.0	0.47	642.59	1977.24	39.5	67.12	2367.9
TUBB3	3690.52	13.03	0.0	0.35	1199.98	4543.8	426.57	249.73	4038.61
UNC80	368.65	0.0	0.0	0.04	28.65	130.6	10.31	0.75	20.86
VGF	1991.0	0.0	18.43	132.44	371.22	4607.24	24.81	7.57	447.82
XKR7	110.43	0.0	0.0	0.0	84.04	251.48	5.19	0.0	4.54
