	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.QMRM.1126.SM.447BN	GTEX.Q734.1026.SM.48U16	GTEX.13U4I.2526.SM.5SI8Z	GTEX.YJ8A.1526.SM.5P9FT	GTEX.ZZPU.1426.SM.5GZZ6	GTEX.WEY5.1226.SM.4LMIQ	GTEX.P78B.1826.SM.3P5YX
INF2	1529.73	1081.39	1359.57	2935.74	2287.2	1551.09	1674.06	1175.27	2502.97
KDM2B	0.0	0.6	323.03	460.44	698.41	175.07	303.44	204.07	575.03
KIAA0195	0.0	0.92	1081.39	1457.23	1487.87	368.65	1331.57	620.67	1936.53
LAT	0.0	0.79	209.84	312.0	836.53	82.87	177.53	102.25	693.58
LTC4S	0.0	0.17	209.84	314.17	669.92	63.89	325.29	146.03	353.59
MED16	0.0	0.64	1001.93	1037.29	1151.06	813.63	866.07	579.04	1233.75
MICALL2	0.0	1.28	713.11	1639.59	1191.69	624.99	764.36	514.56	1427.22
MTHFSD	0.0	0.05	249.73	343.89	483.38	163.28	269.6	149.12	353.59
MUTYH	0.0	0.79	303.44	624.99	612.11	176.29	358.54	351.14	713.11
MYH7B	0.0	0.39	6.73	30.12	26.86	7.11	12.0	7.17	17.38
NIT1	0.0	0.77	819.3	1096.5	1350.18	567.1	981.29	444.72	1331.57
NPDC1	0.0	1.07	5112.16	7032.37	13215.02	1350.18	2777.33	1685.71	7081.29
NUMB	0.0	0.66	1277.29	1242.34	1561.89	909.17	1023.0	624.99	1594.73
P2RX4	0.0	0.58	638.15	1073.91	961.07	358.54	529.06	255.0	866.07
P2RY4	0.0	0.16	2.05	2.68	5.41	0.0	4.24	0.0	3.96
PARP10	0.0	0.89	967.76	1467.37	1721.16	327.56	684.02	358.54	1674.06
PGBD2	0.0	0.0	92.05	143.01	146.03	51.71	96.01	72.01	152.28
PGBD4	0.0	0.0	22.26	35.5	57.08	13.42	31.45	19.11	56.28
PHYKPL	0.0	1.03	1037.29	1467.37	1674.06	624.99	928.3	532.74	1757.34
PIANP	0.0	0.42	38.67	79.45	51.35	32.36	30.34	23.25	91.41
PIH1D1	0.0	0.72	1617.0	1963.57	2133.97	1359.57	1540.37	1143.1	2417.67
PTPRF	1359.57	884.29	1883.54	1936.53	1963.57	1096.5	1963.57	1447.15	2335.28
RECQL5	0.0	0.59	599.49	1073.91	808.0	253.23	633.73	497.0	1216.75
REG3A	0.0	0.0	35856.82	3955.48	2.72546668E7	521.76	540.19	2061.24	38430.46
RSG1	0.0	0.0	96.01	178.77	124.37	60.39	140.04	55.49	127.89
SCNM1	0.0	0.49	775.05	1119.56	1407.55	555.41	1037.29	674.59	1369.04
SEPT8	0.0	0.56	647.07	708.18	785.88	438.59	665.29	450.94	703.28
SH3GLB2	0.0	0.96	2720.15	3372.43	2935.74	1233.75	3039.3	1991.0	3639.7
SIGIRR	0.0	0.74	1757.34	2739.08	2351.53	921.88	1199.98	1135.2	2209.26
SIRT7	0.0	0.78	651.58	1242.34	819.3	406.31	603.67	559.28	981.29
SLC12A9	0.0	0.41	435.55	503.95	688.78	130.6	373.81	279.14	642.59
SLC26A1	0.0	0.57	91.41	197.09	112.77	34.51	93.35	67.12	194.36
SMYD3	0.0	0.44	186.4	356.05	348.71	202.66	251.48	171.45	299.25
STX10	0.0	0.73	1350.18	1594.73	1617.0	547.75	1208.34	708.18	1781.89
TFPT	0.0	0.46	460.44	738.29	842.36	429.54	497.0	341.51	941.27
TMEM63A	473.41	579.04	1073.91	1447.15	1819.35	403.5	825.0	409.15	2271.4
TMEM79	0.0	0.42	129.69	466.88	281.09	64.8	139.07	74.58	346.29
TP53I13	0.0	0.77	808.0	1519.15	2163.77	656.11	915.51	514.56	1709.26
TRADD	0.0	0.74	688.78	954.43	974.5	305.55	629.35	387.02	1119.56
TRMT10B	0.0	0.48	194.36	283.05	260.38	108.14	180.02	107.38	305.55
TTC14	0.0	0.91	438.59	651.58	764.36	183.82	591.22	226.54	1199.98
TVP23A	0.0	0.33	30.34	63.45	61.25	15.68	17.9	15.91	44.25
VARS2	0.0	0.64	470.14	808.0	567.1	265.87	381.68	371.22	651.58
ZBTB22	0.0	0.25	312.0	429.54	381.68	166.73	325.29	175.07	397.93
ZBTB48	0.0	0.72	363.56	647.07	587.13	198.47	457.25	441.64	603.67
ZNF517	0.0	0.31	148.09	199.85	208.38	47.5	215.77	59.55	156.59
ZNF641	0.0	0.13	163.28	237.86	260.38	64.8	217.27	136.19	265.87
ZNF814	0.0	0.74	183.82	723.08	718.08	177.53	214.27	115.97	603.67
