	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.G4.6298.01A.11R.1723.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.BG.A0MK.01A.51R.A19W.07	TCGA.EY.A2OO.01A.11R.A19W.07	TCGA.B5.A5OD.01A.11R.A31O.07	TCGA.B5.A0K9.01A.21R.A104.07	TCGA.PG.A916.01A.11R.A37O.07	TCGA.AJ.A8CT.01A.11R.A37O.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.EO.A22Y.01A.11R.A180.07	TCGA.N9.A4Q4.01A.11R.A28V.07	GTEX.13QBU.1626.SM.5LU4S
CCDC39	209.84	237.86	4.82	0.0	0.3	8.25	11.38	336.79	81.71	30.12	2.94	255.0	503.95	1.31	141.02	2.97	19.68
CCDC42B	4358.66	30572.63	11.64	0.0	0.0	5.54	144.01	1923.14	109.66	85.22	27.64	728.11	3280.18	8.13	218.79	3.08	21.47
CCDC65	713.11	5954.47	10.08	0.0	0.0	11.55	12.36	1242.34	115.97	40.07	8.85	392.44	1721.16	26.86	264.03	18.29	54.72
CCDC96	417.77	1844.76	7.11	0.0	0.0	6.52	161.02	1001.93	68.55	28.86	44.89	525.39	1295.13	27.44	271.48	16.03	104.42
CDK20	518.15	808.0	80.01	0.0	0.31	45.85	253.23	780.44	343.89	153.34	183.82	559.28	915.51	68.07	432.53	87.03	199.85
CETN2	3190.46	5672.41	825.0	0.0	0.0	674.59	1733.13	8479.89	1572.76	1295.13	921.88	5366.37	11827.67	915.51	4869.99	1498.22	3540.14
DNAAF1	12415.75	72213.45	5.5	0.0	0.0	56.28	567.1	2193.99	244.57	109.66	16.63	1617.0	7081.29	64.8	559.28	5.02	20.11
DNAAF3	2303.12	9088.59	23.93	0.0	0.0	11.3	215.77	1721.16	1073.91	144.01	71.0	1487.87	3639.7	57.49	1208.34	26.1	4.82
DNAH7	1870.53	7433.4	4.28	0.0	0.0	2.86	81.14	348.71	92.7	31.0	38.12	339.14	679.29	14.89	99.43	3.53	72.52
DNALI1	6652.97	49322.93	40.93	0.0	0.39	38.95	4575.41	5872.48	1896.65	2875.3	1427.22	5006.93	9945.68	341.51	1819.35	1143.1	1417.35
EFCAB12	1216.75	5329.3	1.79	0.0	0.01	2.73	82.87	511.0	87.03	27.84	26.1	371.22	1167.14	7.51	320.8	1.87	29.27
EFCAB6	127.0	813.63	8.13	0.0	0.0	2.43	52.08	229.72	35.76	21.01	13.62	208.38	466.88	9.13	87.03	12.0	22.43
ENKUR	1685.71	17197.56	0.0	0.0	0.0	4.46	75.64	1167.14	60.82	35.0	6.46	785.88	1697.45	1.73	450.94	3.99	16.03
ENO4	76.71	187.71	8.13	0.0	0.22	29.27	25.72	277.2	71.0	12.36	11.73	226.54	197.09	10.71	112.77	8.78	64.8
FAM166B	4869.99	49322.93	6.94	0.0	0.0	26.47	109.66	4419.52	366.09	48.52	43.32	2004.85	5872.48	28.04	503.95	16.51	128.79
FAM187A	50.27	242.88	3.59	0.0	0.0	2.39	51.71	199.85	61.68	19.53	21.78	82.29	275.28	23.42	61.25	3.66	27.84
FAM81B	14765.09	229795.93	0.0	0.0	0.0	79.45	91.41	1233.75	198.47	33.3	15.45	769.69	2240.11	1.2	309.83	3.38	0.0
FOXJ1	322736.12	1204496.53	1.36	0.0	0.0	62.56	1369.04	5711.87	854.13	130.6	679.29	3039.3	6381.92	75.11	2537.92	27.64	0.0
IFLTD1	150.17	896.64	0.0	0.0	0.0	0.74	2.68	96.01	8.65	1.31	1.27	92.7	94.01	0.0	23.25	0.0	0.0
IQCD	713.11	4066.71	10.47	0.0	0.0	6.21	140.04	713.11	258.57	112.77	71.0	460.44	1111.82	56.28	198.47	19.97	83.45
IQCK	1088.92	3190.46	79.45	0.0	0.22	68.07	483.38	1605.83	591.22	348.71	229.72	1143.1	1487.87	163.28	629.35	258.57	457.25
MDH1B	384.34	1159.07	5.36	0.0	0.0	2.1	71.0	447.82	98.04	111.21	45.53	417.77	825.0	19.68	111.21	13.12	361.04
MORN5	647.07	2835.7	11.91	0.0	0.0	3.17	339.14	4328.55	85.22	117.6	36.01	1757.34	5711.87	5.5	551.56	38.12	2224.63
NME9	1923.14	3039.3	3.56	0.0	0.08	3.29	61.25	698.41	77.79	24.11	16.51	356.05	1073.91	3.89	143.01	5.96	57.49
NPHP1	255.0	995.0	60.39	0.0	0.03	12.27	307.69	780.44	242.88	183.82	392.44	551.56	1030.12	61.25	336.79	152.28	339.14
OSCP1	381.68	1757.34	71.5	0.0	0.0	43.02	733.19	1769.57	297.17	353.59	271.48	1508.65	3303.0	221.86	497.0	171.45	796.86
PCDP1	1583.71	43840.21	0.0	0.0	0.21	17.51	94.67	575.03	41.81	27.44	27.05	423.61	995.0	2.86	190.34	3.76	147.06
RAB36	1104.13	3716.2	9.78	0.0	0.0	7.4	236.21	1191.69	438.59	166.73	80.01	775.05	1896.65	11.82	332.14	30.56	165.57
RIBC1	329.84	2047.0	12.93	0.0	0.0	3.26	224.97	1674.06	111.99	55.89	93.35	1096.5	2047.0	27.64	490.14	25.72	182.55
ROPN1L	22850.48	184082.4	1.39	0.0	0.0	14.24	444.72	3168.41	59.55	112.77	25.54	1605.83	3372.43	3.69	1030.12	4.94	16.15
RSPH1	60304.42	573724.06	23.59	0.0	0.0	9.63	595.34	6561.36	293.07	373.81	189.02	3768.09	6207.38	28.65	2287.2	14.35	236.21
SPAG8	518.15	3235.01	11.47	0.0	0.06	7.75	129.69	1242.34	132.44	37.05	29.48	836.53	2537.92	11.55	267.73	11.55	271.48
SPATA17	890.44	7280.4	8.85	0.0	0.0	20.86	130.6	941.27	318.57	45.85	170.25	748.61	1277.29	87.03	603.67	129.69	116.78
SPEF1	1662.49	14361.31	0.0	0.0	0.0	5.06	253.23	1583.71	167.9	109.66	56.28	525.39	1991.0	135.24	397.93	7.63	66.65
TEKT2	14971.21	176583.6	0.0	0.0	0.0	2.89	435.55	1388.16	277.2	205.5	139.07	1350.18	3168.41	21.94	660.68	36.01	153.34
TSNAXIP1	239.52	842.36	17.25	0.0	0.06	4.31	253.23	703.28	217.27	92.05	57.08	718.08	2367.9	22.92	336.79	21.78	68.07
TTC18	1617.0	2451.44	3.2	0.0	0.22	9.56	76.71	514.56	221.86	43.63	31.0	529.06	1909.85	21.01	253.23	14.56	49.91
WDR63	177.53	1977.24	2.89	0.0	0.0	1.19	42.41	299.25	40.64	14.78	5.45	299.25	532.74	2.89	129.69	1.91	23.08
WDR65	1397.83	5112.16	3.2	0.0	0.0	1.68	63.45	466.88	77.79	22.1	6.41	318.57	775.05	5.36	166.73	5.82	19.11
WDR78	403.5	4481.23	4.39	0.0	0.0	10.0	122.64	866.07	104.42	78.89	59.97	728.11	890.44	24.46	187.71	16.63	43.94
WDR96	3103.19	32092.64	0.0	0.0	0.0	3.72	135.24	1378.57	189.02	62.12	18.97	1104.13	2682.69	4.66	320.8	6.41	34.75
WFDC2	1.736886224E7	2.009035788E7	202.66	0.0	0.65	595.34	187950.38	201440.3	59474.18	84694.64	50709.61	251464.33	137587.47	84109.6	94628.34	3614.55	2965819.8
ZBBX	14867.79	64632.75	0.0	0.0	0.0	1.69	88.88	612.11	100.83	45.85	8.38	599.49	1794.29	2.81	244.57	5.96	0.0
ZC2HC1C	325.29	341.51	43.63	0.0	0.01	15.11	116.78	460.44	121.79	63.0	105.89	312.0	1051.79	67.59	267.73	33.78	63.45
ZNF487	470.14	1001.93	31.22	0.0	0.09	27.84	163.28	555.41	269.6	159.9	105.89	555.41	915.51	23.42	555.41	65.26	197.09
