	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.13NYB.1326.SM.5K7Y1	GTEX.PVOW.1626.SM.48TC9	GTEX.ZXES.1126.SM.5GZXN	GTEX.12696.1326.SM.5FQTJ	GTEX.13X6H.1326.SM.5LU42	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
COL5A3	25.91	748.61	348.71	107.38	164.42	88.26	329.84	139.07	0.0	0.93
COL6A1	97.36	34396.12	7230.1	2240.11	3168.41	1417.35	5292.48	4210.15	3325.99	262.2
COL6A2	102.97	32994.92	7803.01	2855.44	3614.55	1745.2	5751.61	4607.24	0.0	1.53
COLEC11	19.11	205.5	104.42	28.04	16.15	9.41	80.57	75.64	0.0	0.3
CORO2B	0.0	368.65	70.51	12.27	37.85	13.72	50.27	54.33	0.0	0.24
CREB3L2	175.07	819.3	866.07	218.79	417.77	287.01	426.57	341.51	423.61	114.36
CREM	231.32	1369.04	466.88	314.17	346.29	320.8	444.72	368.65	0.0	0.0
CTNND2	0.0	65.72	16.88	2.34	10.96	0.75	12.93	6.52	0.0	0.0
CYTH3	146.03	665.29	497.0	239.52	329.84	201.25	450.94	417.77	0.0	0.71
DCLK1	2.32	329.84	85.22	9.7	34.75	28.04	74.06	81.71	0.0	0.25
DCN	1331.57	71714.63	14262.1	4481.23	8538.88	3235.01	14163.58	10154.69	0.0	1.06
DIAPH2	297.17	392.44	178.77	105.15	98.73	119.26	215.77	155.5	0.0	0.53
DKK3	1286.18	4268.94	1151.06	507.46	848.22	555.41	753.83	1051.79	0.0	0.99
DMXL1	483.38	414.87	447.82	305.55	514.56	384.34	728.11	409.15	0.0	0.46
DNAJB5	147.06	1757.34	423.61	265.87	299.25	92.05	412.0	325.29	0.0	0.46
DYNC1I1	0.0	175.07	61.68	24.46	22.26	10.47	55.49	16.63	0.0	0.57
EBF1	1.53	412.0	117.6	31.67	82.29	31.22	103.69	80.01	0.0	0.29
ELMO1	91.41	830.75	291.04	118.43	132.44	50.63	220.32	176.29	0.0	0.59
EMD	1447.15	3190.46	2400.97	1721.16	1685.71	1331.57	2104.58	1583.71	0.0	0.8
EVC	11.04	366.09	171.45	41.52	93.35	66.65	164.42	135.24	0.0	0.33
F10	151.22	954.43	332.14	106.63	101.54	36.79	291.04	209.84	0.0	0.4
FAIM2	0.0	723.08	122.64	31.67	34.51	4.78	94.67	114.36	0.0	0.07
FAM180A	61.68	142.01	135.24	27.64	45.53	23.93	112.77	76.71	0.0	0.13
FAM188B	24.46	191.67	58.71	29.48	47.17	48.87	96.01	71.0	0.0	0.27
FAM211A	6.01	175.07	52.82	6.57	13.12	9.48	39.79	40.93	0.0	0.16
FAM26E	1.35	41.52	14.14	5.54	8.85	5.45	16.51	14.56	0.0	0.15
FBLN2	571.05	4607.24	1313.23	503.95	961.07	206.94	1143.1	728.11	229.72	108.9
FBN1	21.94	3039.3	651.58	199.85	514.56	208.38	500.46	480.04	0.0	0.89
FBXL13	2.2	35.76	40.64	6.73	12.18	1.41	28.86	7.0	0.0	0.14
FGD5	14.56	241.19	156.59	56.68	69.03	57.89	101.54	115.16	0.0	0.48
FGF14	186.4	218.79	90.77	22.92	29.06	10.0	77.25	56.28	0.0	0.09
FGFR4	6.52	221.86	420.68	110.43	159.9	31.0	356.05	197.09	0.0	0.61
FIBIN	136.19	738.29	239.52	97.36	112.77	45.85	226.54	70.51	0.0	0.07
FOXD1	0.0	9.06	23.42	0.92	4.82	0.61	24.46	10.55	0.0	0.2
FXR1	1259.69	1870.53	1359.57	866.07	1073.91	974.5	1437.15	1216.75	0.0	1.04
GAREML	20.71	103.69	59.55	18.43	21.78	12.83	46.5	32.36	0.0	0.48
GAS1	6.84	1059.11	197.09	48.87	96.01	78.34	201.25	172.65	0.0	0.16
GDNF	4.24	91.41	17.38	5.5	6.06	1.73	9.78	14.78	0.0	0.23
GLIPR1L2	11.13	2.81	16.63	7.4	12.18	3.11	32.82	13.62	0.0	0.0
GLRA4	3.08	12.64	4.7	0.0	0.0	0.0	4.1	3.79	0.0	0.05
GNAI2	4972.34	7749.1	3690.52	2209.26	2609.3	2075.59	3467.27	3491.39	0.0	0.85
GPR50	0.0	0.0	3.99	1.0	0.0	1.89	3.23	1.38	0.0	0.0
GRM3	0.0	2.36	3.82	0.96	0.64	0.6	4.62	0.59	0.0	0.06
GSN	5366.37	47642.77	14867.79	13776.25	12329.98	5791.62	15075.35	12076.21	2075.59	1883.54
H1F0	28923.41	3639.7	8658.09	3081.75	3820.7	2777.33	6887.62	5403.7	0.0	0.22
HAS2	21.01	106.63	73.54	8.13	22.75	8.0	40.07	36.53	0.0	0.0
HIP1	38.12	206.94	115.97	83.45	90.14	95.34	140.04	132.44	0.0	0.66
HIST1H1C	8191.0	1073.91	3847.29	651.58	1088.92	656.11	1697.45	934.76	0.0	0.74
HIST1H2AC	3349.13	974.5	2720.15	414.87	426.57	450.94	1259.69	1066.48	0.0	0.41
HIST1H2AE	1151.06	105.15	848.22	43.02	78.34	33.3	420.68	127.89	0.0	0.58
HIST1H2BC	1051.79	68.07	518.15	125.24	221.86	153.34	358.54	373.81	0.0	0.29
HIST1H2BF	93.35	19.11	164.42	1.69	15.22	29.91	111.99	73.54	0.0	0.57
HIST1H2BG	1143.1	73.54	954.43	23.08	64.34	55.49	624.99	201.25	0.0	1.0
HIST1H2BM	180.02	21.63	45.53	0.0	4.58	3.99	42.41	13.32	0.0	0.26
HIST2H2AA3	420.68	112.77	297.17	31.22	104.42	82.29	202.66	96.01	0.0	0.06
HIST2H2AA4	9673.69	2777.33	7433.4	878.17	1081.39	738.29	4543.8	1304.15	0.0	0.0
HIST2H2BE	1757.34	791.35	4607.24	166.73	258.57	356.05	1605.83	480.04	0.0	0.44
HIST2H2BF	599.49	947.83	1883.54	33.54	165.57	56.68	1135.2	532.74	0.0	0.0
HSPB6	34.75	16496.96	3212.66	866.07	2485.67	246.28	2777.33	1832.01	0.0	0.69
HTRA3	36.53	2351.53	543.96	140.04	221.86	124.37	373.81	435.55	0.0	0.52
IFFO1	6.16	791.35	301.33	178.77	155.5	99.43	220.32	287.01	0.0	0.89
IGFBP6	967.76	11035.54	5147.73	1322.37	1583.71	1208.34	3716.2	2664.15	0.0	0.42
ITM2A	28.24	3665.02	921.88	162.14	384.34	102.97	808.0	470.14	0.0	0.34
KCND2	22.43	22.75	8.45	0.69	0.72	0.32	6.06	2.43	0.0	0.09
KCNK6	1183.45	81.14	1233.75	688.78	733.19	733.19	629.35	775.05	0.0	0.66
KCTD4	0.43	4.58	3.29	0.77	1.53	1.11	2.1	2.1	0.0	0.0
KHDRBS3	73.54	848.22	146.03	90.14	78.34	59.13	123.5	117.6	0.0	0.55
KIAA2022	0.0	16.27	9.93	2.51	9.2	2.07	12.64	3.2	0.0	0.01
KLF17	0.0	25.91	4.28	0.28	0.95	0.27	9.41	4.28	0.0	0.1
KLHL15	29.91	107.38	146.03	37.05	81.71	44.25	135.24	74.06	0.0	0.2
KLKB1	2.68	64.8	12.74	6.84	6.52	2.66	9.41	8.65	0.0	0.28
KRT16	2.5045913555E8	14.24	37121.34	529.06	5403.7	29327.18	5594.3	8363.13	0.0	0.69
KRT74	246.28	0.0	19.11	3.53	6.46	4.98	26.28	7.06	0.0	0.0
KRTAP21-2	0.0	0.0	8.51	0.0	0.0	0.0	5.77	0.0	0.0	0.0
LOX	20.11	107.38	77.25	32.36	73.54	38.95	122.64	66.18	0.0	0.55
LRRC70	31.22	176.29	85.82	28.24	57.49	15.22	71.0	73.54	0.0	0.2
LRRN4CL	12.27	507.46	206.94	45.85	98.04	26.67	136.19	128.79	0.0	0.21
LSMEM2	2.68	27.64	8.99	3.11	6.21	5.59	8.85	8.13	0.0	0.17
MAMLD1	11.82	177.53	100.83	43.63	88.26	42.41	79.45	65.26	14.56	152.28
MAP1A	4.82	293.07	73.54	25.17	50.63	17.77	74.06	43.94	0.0	0.24
MARCH4	0.0	3.38	0.83	0.0	0.0	0.0	0.79	0.0	0.0	0.0
MCAM	152.28	10512.82	2451.44	688.78	1721.16	583.07	1896.65	1350.18	947.83	438.59
MEIS1	98.04	1870.53	860.08	435.55	638.15	258.57	909.17	579.04	0.0	0.65
MEIS2	43.02	718.08	363.56	108.9	232.94	116.78	334.46	244.57	0.0	0.46
MMP16	0.43	59.97	10.55	1.14	4.74	2.27	7.69	5.15	0.0	0.02
MYCT1	30.12	457.25	153.34	35.5	71.5	26.67	100.13	108.9	45.21	283.05
NAP1L3	2.53	97.36	12.36	4.28	8.32	1.89	22.26	10.31	0.0	0.13
NAP1L5	39.22	397.93	72.01	30.78	64.8	18.56	87.65	47.17	0.0	0.27
NAT8	0.0	2.51	6.67	0.0	0.0	0.0	4.5	0.0	0.0	0.04
NAV3	33.54	117.6	32.82	1.23	18.84	10.96	36.79	17.25	0.0	0.51
NGF	0.0	108.9	64.8	13.62	20.11	0.68	28.45	33.3	0.0	0.32
NKX6-1	0.21	1639.59	332.14	107.38	171.45	32.13	316.37	181.28	0.0	0.2
NT5E	38.12	896.64	151.22	39.79	72.52	23.59	110.43	120.94	0.0	0.45
NTNG2	5.82	55.89	26.47	6.41	6.67	5.63	20.71	10.0	0.0	0.46
OLFML1	76.17	759.08	202.66	43.02	69.03	25.54	221.86	161.02	0.0	0.15
OR13C2	0.0	0.0	1.62	0.0	0.0	0.0	0.92	0.0	0.0	0.0
OR2A42	2.34	0.0	6.73	1.31	2.05	0.0	6.62	2.23	0.0	0.0
OR8G5	0.0	0.0	1.75	0.0	0.0	0.0	0.92	0.0	0.0	0.0
PALM	8.06	2004.85	536.45	147.06	420.68	114.36	323.03	392.44	0.0	0.73
PCDH18	3.47	209.84	121.79	44.57	59.55	35.5	85.22	89.51	0.0	0.29
PDCD1LG2	5.54	28.86	21.01	11.47	15.8	6.41	29.91	7.63	0.0	0.16
PDGFRB	98.04	3124.78	967.76	309.83	559.28	432.53	836.53	607.87	0.0	1.03
PDZD9	0.0	10.88	3.38	1.17	0.0	2.23	7.51	1.48	0.0	0.0
PELO	215.77	457.25	236.21	387.02	236.21	204.07	251.48	241.19	0.0	0.47
PID1	19.25	1572.76	303.44	149.12	202.66	105.89	291.04	180.02	0.0	0.37
PPP1R15B	743.43	529.06	928.3	320.8	454.09	616.37	559.28	563.18	0.0	0.1
PREX2	2.25	236.21	91.41	7.34	26.67	14.35	55.1	41.81	0.0	0.28
PTGIS	0.33	878.17	341.51	170.25	202.66	82.87	314.17	224.97	62.12	69.03
PTPRR	0.39	139.07	2.89	1.23	2.39	2.81	2.73	3.26	0.0	0.0
RARB	76.17	248.0	144.01	156.59	89.51	21.01	107.38	52.45	0.0	0.4
RASSF8	3.82	332.14	98.04	32.36	67.59	34.51	87.65	63.89	0.0	0.4
RBMS3	2.86	587.13	145.02	31.0	62.56	20.11	115.16	46.18	15.22	150.17
RECK	1.23	480.04	195.72	51.71	77.79	25.35	157.68	108.14	0.0	0.45
RERG	6.78	620.67	217.27	87.65	115.16	44.25	204.07	154.42	0.0	0.41
RP11-182J1.16	3.23	59.55	11.13	17.77	5.59	2.41	10.71	5.68	0.0	0.21
RP11-302B13.5	11.91	36.01	23.76	0.0	2.14	0.0	10.0	5.06	0.0	0.09
RSPO1	16.88	26.47	129.69	27.25	57.49	25.35	87.65	42.41	0.0	0.06
SBSN	1.66613263E7	25.17	29327.18	1936.53	16960.78	13399.51	13033.07	14461.21	0.0	0.96
SCN1B	21.94	684.02	165.57	71.5	110.43	44.25	162.14	143.01	0.0	0.69
SFRP2	981.29	14561.8	19082.0	503.95	3564.78	429.54	10585.95	4869.99	0.0	0.0
SGTB	23.59	119.26	51.71	18.16	29.91	29.48	57.08	43.32	0.0	0.29
SLIT3	12.09	1183.45	507.46	64.34	206.94	55.1	384.34	334.46	0.0	0.53
SNAP25	0.48	438.59	21.01	14.03	7.4	14.24	47.84	8.71	0.0	0.28
SNX21	241.19	836.53	780.44	195.72	563.18	198.47	595.34	642.59	0.0	0.77
SSC5D	9.7	1447.15	275.28	33.54	164.42	12.64	211.31	183.82	0.0	0.27
STARD9	5.96	463.65	176.29	50.27	92.7	42.71	140.04	123.5	0.0	0.53
STK32B	1.85	102.25	46.18	8.45	21.47	5.73	31.22	27.64	0.0	0.31
SYNE1	21.78	1844.76	500.46	122.64	171.45	105.15	432.53	417.77	0.0	0.83
SYNE3	9.85	175.07	66.65	5.82	23.25	19.25	52.82	34.26	0.0	0.36
SYT4	0.0	87.03	10.24	0.0	0.92	0.89	8.0	0.88	0.0	0.0
TBX5	2.12	256.78	76.17	13.62	34.75	4.98	57.89	34.02	0.0	0.52
TMEM200B	24.63	559.28	236.21	79.45	161.02	55.1	175.07	157.68	0.0	0.62
TOB2	432.53	995.0	748.61	466.88	642.59	384.34	674.59	555.41	551.56	82.87
TP53TG3B	10.88	1.48	8.85	0.64	0.0	0.24	3.11	0.0	0.0	0.09
TRAM2	19.11	336.79	167.9	66.65	135.24	115.16	145.02	148.09	0.0	0.67
UNC5C	0.0	68.55	20.71	3.63	7.46	2.34	12.09	10.31	0.0	0.36
VASN	2816.11	1030.12	2209.26	438.59	836.53	366.09	1950.0	1111.82	0.0	0.8
VSTM4	6.11	351.14	182.55	35.5	59.13	22.43	147.06	85.22	32.13	61.68
VWA7	38.4	54.72	94.67	29.27	52.82	18.84	100.83	34.26	0.0	0.0
WNK2	62.56	2178.83	441.64	73.03	120.1	35.25	376.41	204.07	0.0	0.53
ZC2HC1B	5.5	8.0	10.79	2.23	2.63	2.18	5.63	2.73	0.0	0.0
ZCCHC24	4.5	813.63	353.59	145.02	215.77	142.01	281.09	251.48	0.0	0.61
ZEB2	63.45	1340.84	309.83	165.57	202.66	151.22	358.54	307.69	215.77	85.82
ZNF385B	34.26	170.25	60.82	17.38	29.48	19.53	70.01	49.91	0.0	0.06
ZNF385D	17.0	497.0	101.54	10.79	57.49	5.11	120.94	65.26	0.0	0.07
