	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.AL.3473.01A.01R.1193.07	TCGA.38.4625.01A.01R.1206.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ
LPPR4	6.94	2.46	7.94	1.64	0.0	8.45	9.41	13.93	2.25	3.29	6.73	0.0	214.27	44.25	17.9	389.72	93.35	46.84	81.14	10.63	45.85	82.87	33.3	82.29	323.03	232.94	58.71	28.04	63.0
LRRC71	1.45	4.78	0.77	1.07	0.0	7.06	9.48	3.14	4.06	7.28	1.33	0.0	314.17	8.65	81.71	132.44	457.25	256.78	197.09	23.93	426.57	85.22	118.43	97.36	19.11	287.01	85.82	11.47	25.91
MAK	1.71	2.14	0.72	0.67	4.46	5.41	3.47	4.9	0.99	2.36	1.89	13.83	66.18	8.71	23.93	56.68	111.99	38.95	37.32	5.77	56.68	18.43	36.53	24.63	5.82	54.72	11.73	9.7	7.57
MAP6	23.08	16.15	15.91	22.43	2.61	44.25	28.86	25.91	6.31	27.25	6.01	0.0	1088.92	89.51	260.38	583.07	988.12	587.13	698.41	279.14	633.73	137.14	429.54	312.0	114.36	1030.12	264.03	58.3	88.88
MID1IP1	320.8	197.09	406.31	363.56	435.55	389.72	287.01	285.03	316.37	447.82	201.25	0.0	1617.0	1331.57	1487.87	995.0	1844.76	1733.13	1417.35	941.27	1250.98	718.08	2319.15	1781.89	967.76	1015.93	4328.55	1369.04	995.0
MS4A2	18.29	39.79	17.25	7.63	0.64	12.27	4.62	26.67	3.26	28.86	5.28	0.0	152.28	60.39	8.51	848.22	356.05	220.32	412.0	14.45	470.14	47.17	55.89	529.06	92.7	241.19	157.68	112.77	34.51
MUSK	0.68	0.36	0.72	0.67	0.0	0.37	0.0	0.0	0.0	0.34	1.91	0.0	59.97	17.64	48.52	40.64	34.75	24.11	29.27	10.79	69.03	56.68	18.03	17.64	51.71	12.64	21.78	31.0	28.45
MYO1D	291.04	297.17	271.48	241.19	201.25	624.99	253.23	389.72	218.79	295.11	180.02	0.0	759.08	351.14	1477.58	525.39	587.13	1233.75	825.0	361.04	796.86	1304.15	1378.57	796.86	493.56	490.14	708.18	1388.16	934.76
MYOZ3	0.71	6.11	0.73	1.69	2.27	9.78	6.57	18.03	3.32	1.38	0.96	0.0	3.92	5.63	11.47	63.0	35.0	56.68	43.63	15.8	90.14	3.89	29.91	20.26	6.94	73.54	15.11	6.36	7.69
NYNRIN	51.35	47.84	39.22	39.79	16.27	98.04	92.7	115.16	24.81	57.08	13.42	0.0	150.17	15.22	132.44	368.65	651.58	189.02	412.0	52.45	432.53	71.0	500.46	249.73	108.9	384.34	269.6	65.26	191.67
OSBPL6	6.41	12.09	8.78	2.68	1.6	13.32	8.45	29.06	1.97	7.69	1.27	55.89	312.0	25.35	46.84	249.73	547.75	223.41	215.77	62.56	703.28	102.97	329.84	120.94	31.22	423.61	99.43	264.03	93.35
PCP4L1	0.69	1.08	0.72	0.0	6.06	5.77	10.39	11.64	0.67	4.03	1.27	0.0	397.93	167.9	536.45	16.88	79.45	248.0	59.55	44.89	193.01	226.54	279.14	325.29	14.67	197.09	406.31	102.25	105.89
PODN	57.89	25.17	9.34	16.15	12.0	376.41	64.34	126.12	6.36	39.22	14.24	273.37	599.49	591.22	3103.19	825.0	5711.87	583.07	5995.9	103.69	2875.3	2485.67	486.75	2061.24	981.29	599.49	1417.35	665.29	1733.13
RIMS1	0.0	0.71	1.06	0.99	0.95	0.36	1.53	0.74	0.33	0.34	0.31	0.0	34.75	8.0	2.51	8.32	5.36	11.47	9.78	2.53	6.73	3.5	23.25	4.39	7.22	35.76	5.77	14.03	5.11
RP11-503N18.3	0.0	0.39	0.38	1.71	2.29	0.75	1.19	0.0	0.0	1.38	1.28	0.0	50.27	6.52	19.25	34.51	59.13	39.5	41.22	6.41	64.8	20.71	23.59	27.25	6.01	50.98	16.15	3.26	1.62
SCARA5	2.73	0.36	2.12	3.0	0.32	2.89	0.78	0.75	0.33	3.03	0.62	35.25	473.41	389.72	85.22	438.59	1388.16	450.94	5219.6	58.3	1437.15	503.95	189.02	1001.93	115.97	299.25	307.69	12.45	921.88
SIAH3	0.31	0.0	0.0	0.0	0.29	1.04	0.36	0.35	0.0	0.0	0.0	0.0	9.41	0.96	0.0	10.71	12.0	2.2	2.92	0.0	1.62	2.34	2.27	4.39	0.0	1.53	1.57	0.0	0.0
SIGLEC6	3.72	14.24	10.96	3.66	2.56	9.78	0.78	11.3	1.31	12.45	1.25	0.0	87.03	122.64	2.78	379.04	78.34	130.6	249.73	1.73	127.0	97.36	20.56	239.52	55.1	63.45	115.16	36.01	26.67
SIX4	0.0	0.35	0.69	0.99	0.0	1.77	0.38	1.85	0.97	1.33	0.0	0.0	61.68	40.36	38.67	49.56	42.71	89.51	26.1	14.78	50.63	21.94	57.49	28.86	22.1	27.05	17.64	14.89	16.51
SOX2	0.68	0.0	0.0	0.34	0.0	0.37	0.78	0.0	0.0	0.34	1.25	0.0	728.11	13.12	98.73	518.15	1313.23	147.06	299.25	10.71	607.87	63.89	255.0	85.22	30.56	493.56	67.59	2.16	2.1
THSD4	10.47	55.1	29.06	29.27	7.63	125.24	22.43	37.05	15.56	61.68	24.99	0.0	260.38	169.07	129.69	373.81	193.01	271.48	229.72	59.55	289.02	708.18	854.13	228.13	115.16	153.34	120.94	70.01	291.04
TMEM132C	1.03	0.72	0.0	0.67	0.65	0.73	0.0	0.0	0.34	0.35	0.95	0.0	37.85	10.24	2.1	46.18	281.09	21.47	90.14	7.06	48.87	18.16	21.32	56.28	17.13	31.9	65.26	27.64	31.22
UCN3	4.06	6.73	1.06	11.21	1.27	2.16	14.14	1.13	23.59	0.0	0.0	0.0	981.29	49.91	54.33	30.34	223.41	228.13	82.87	0.0	48.87	170.25	316.37	31.67	18.16	202.66	98.04	118.43	0.0
UNC45B	2.01	1.75	1.04	2.97	0.95	3.92	6.46	2.61	2.58	1.0	0.61	0.0	13.83	3.66	8.99	6.57	6.62	23.25	21.63	10.24	16.39	17.9	14.89	11.64	5.82	28.45	9.06	5.5	8.99
USP54	83.45	176.29	236.21	95.34	126.12	177.53	190.34	145.02	112.77	236.21	84.63	0.0	718.08	228.13	872.1	591.22	974.5	2178.83	511.0	460.44	1819.35	463.65	3212.66	1304.15	346.29	529.06	1191.69	1183.45	860.08
VWA3B	0.65	3.5	1.38	0.31	1.87	4.98	1.87	5.54	0.62	1.3	4.9	0.0	684.02	73.54	305.55	429.54	651.58	371.22	297.17	38.67	713.11	249.73	403.5	121.79	54.33	511.0	140.04	24.63	19.11
ZMYND10	204.07	29.48	108.9	305.55	161.02	153.34	155.5	285.03	31.22	23.08	206.94	0.0	4639.29	112.77	1167.14	1936.53	3982.99	3874.05	1936.53	432.53	4152.18	571.05	1662.49	1030.12	199.85	3395.89	1030.12	161.02	55.49
ZNF536	0.0	0.0	0.0	0.34	0.0	2.16	0.78	0.39	0.0	0.68	0.0	0.0	5.36	1.41	1.25	7.34	2.14	10.31	28.45	3.32	53.57	4.58	30.34	16.75	4.06	23.42	1.43	0.03	10.71
