	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.12WSD.1826.SM.5GCOA	GTEX.11XUK.0826.SM.5GU6P	GTEX.Q2AI.0626.SM.48TZU	GTEX.139YR.1726.SM.5IFFK	GTEX.ZYW4.1326.SM.5E45N	TCGA.B8.A54G.01A.11R.A266.07	TCGA.B0.5709.01A.11R.1541.07	TCGA.69.7761.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.7552.01A.11R.2039.07	GTEX.YF7O.2226.SM.5CVN8
EPGN	15715.58	22535.88	400.71	529.06	791.35	753.83	171.45	14.89	1.38	0.47	0.0	0.51	0.0
FAM3B	44761.41	82951.62	3146.52	3589.58	1977.24	2193.99	1259.69	1.93	23.08	77.79	0.0	559.28	934.76
FAM83C	794671.01	2216726.5	633.73	688.78	624.99	638.15	262.2	0.0	0.0	0.0	0.0	0.0	101.54
FAT2	402881.61	171754.88	878.17	1037.29	1340.84	1044.52	733.19	5.32	2.12	3.92	0.0	12.0	356.05
FDFT1	20310.37	8840.04	4095.0	4038.61	6037.61	7485.11	4543.8	878.17	1359.57	3235.01	0.0	3742.05	3928.15
FOXN1	636586.81	394590.4	323.03	303.44	403.5	348.71	258.57	0.61	0.0	0.48	0.0	3.96	116.78
FUT3	38430.46	19348.38	2090.03	2816.11	3039.3	4066.71	1674.06	14.67	71.0	954.43	0.0	1697.45	1183.45
FUT6	212926.09	88905.42	1081.39	1617.0	2537.92	2240.11	470.14	470.14	612.11	199.85	0.0	429.54	708.18
GBP6	9975791.32	1123834.93	5995.9	6516.03	5329.3	7537.18	3190.46	5.41	9.93	17.64	0.0	86.43	974.5
GGT6	29943.43	18431.96	1733.13	1832.01	1883.54	2018.8	723.08	0.0	9.06	165.57	0.0	412.0	1277.29
GJB6	6908781.2	5092701.46	3515.68	2555.58	5555.65	4802.93	1477.58	3.47	0.72	9.78	0.0	27.44	312.0
GLTP	55877.28	23656.34	7280.4	6294.04	7589.61	9540.5	4575.41	647.07	921.88	463.65	802.41	808.0	3395.89
GPR87	654483.73	1514068.5	961.07	848.22	988.12	1208.34	698.41	1.91	0.36	77.25	0.0	105.89	860.08
HMGCS1	8134.41	3190.46	4152.18	2682.69	4836.35	5292.48	3372.43	392.44	759.08	1167.14	172.65	616.37	1208.34
HS3ST4	84.63	358.54	3.92	12.27	12.74	25.54	3.96	0.0	0.36	0.42	0.0	0.0	21.01
IL36A	38697.77	11189.6	3039.3	3303.0	6745.86	4388.98	79.45	0.0	0.0	0.0	0.0	1.22	109.66
IL36G	12329.98	59063.35	136.19	206.94	599.49	195.72	29.48	0.0	0.0	3.66	0.0	1.95	61.68
IVL	7.49798696E7	4.247174256E7	6561.36	4268.94	3928.15	15607.02	3060.45	2.58	1.08	1.25	0.0	4.24	656.11
JMJD7	1427.22	2004.85	974.5	961.07	1001.93	954.43	607.87	228.13	134.3	178.77	0.0	271.48	669.92
KIAA1737	629.35	1015.93	376.41	384.34	420.68	301.33	387.02	120.94	162.14	242.88	0.0	341.51	373.81
KLK1	5517.27	934.76	96.68	336.79	154.42	212.78	190.34	1.93	22.92	83.45	0.0	208.38	163.28
KLK11	2884719.27	1864037.21	13776.25	10808.41	13681.08	15607.02	7911.95	0.0	3.53	2061.24	0.0	1277.29	1104.13
KLK12	2343119.96	751804.53	4802.93	5479.15	13033.07	11992.79	1628.26	0.0	0.0	2.53	0.0	0.0	51.35
KLK13	3478417.29	602247.76	20170.07	22850.48	27174.14	36864.92	8598.28	4.21	3.96	46.18	0.0	48.52	723.08
KLK14	25530.66	237.86	21.01	32.36	72.01	37.59	5.54	3.96	0.0	2.12	0.0	3.69	4.9
KPRP	4972.34	299.25	33.3	129.69	665.29	9151.82	20.56	0.0	0.0	0.0	0.0	0.0	6.67
KRT15	1.054459145E7	2.10891839E7	36610.26	59474.18	37639.55	25354.3	31650.8	8.51	6.62	435.55	0.0	397.93	7032.37
KRT6A	2.01760973986E9	2.41604469791E9	331809.5	73730.83	301123.38	345900.08	29943.43	140.04	1.53	141.02	0.0	211.31	47313.67
KRT6B	9.677103146E8	3.449777448E7	36864.92	5006.93	25005.23	62865.33	3491.39	49.56	0.39	265.87	0.0	69.03	37639.55
KRTDAP	1622738.51	2617937.91	1561.89	7130.55	81244.48	38430.46	117.6	14.89	1.87	0.0	0.0	0.0	1477.58
LGR6	2303.12	813.63	116.78	281.09	129.69	237.86	181.28	9.85	32.59	100.83	0.0	87.03	10.88
LPAR3	4268.94	2835.7	234.57	123.5	224.97	221.86	99.43	0.32	1.41	18.97	0.0	75.64	309.83
LRRC26	457.25	1286.18	100.83	144.01	39.79	29.48	98.04	5.15	2.86	3.0	0.0	3.79	25.72
MSGN1	31.0	50.27	2.63	5.87	5.68	5.06	3.82	0.0	0.0	0.0	0.0	0.0	2.03
MSMO1	7180.15	3901.01	2915.45	1844.76	4937.99	6652.97	1950.0	373.81	525.39	1733.13	1159.07	1143.1	1225.22
MVD	5555.65	2573.36	2163.77	1286.18	3124.78	2758.13	2163.77	567.1	363.56	785.88	0.0	651.58	693.58
NKPD1	251.48	289.02	17.0	41.81	41.22	57.89	20.86	0.66	1.46	1.95	0.0	0.0	3.47
NSG1	15499.21	38697.77	909.17	1088.92	1467.37	1008.9	642.59	7.75	109.66	39.5	0.0	101.54	295.11
NUDT8	2400.97	2895.31	1216.75	941.27	1044.52	954.43	981.29	206.94	242.88	224.97	0.0	223.41	651.58
PAX9	113315.62	4268.94	2047.0	1088.92	1191.69	2451.44	802.41	6.01	6.67	21.32	0.0	110.43	514.56
PI3	1656835.72	1482909.4	98646.85	29531.18	74243.68	85283.74	11035.54	70.01	2664.15	5147.73	0.0	575.03	66449.85
PLA2G3	19082.0	8840.04	297.17	175.07	218.79	351.14	205.5	0.0	0.0	4.86	0.0	15.68	38.95
PLA2G4F	4095.0	15499.21	688.78	669.92	866.07	791.35	420.68	0.66	7.11	102.25	0.0	52.82	212.78
PNLIPRP3	163.28	3190.46	17.13	111.21	303.44	295.11	8.92	0.0	0.36	0.0	0.0	0.48	26.47
PPL	46019.85	24153.43	12244.81	14561.8	19214.73	16611.71	5831.91	150.17	208.38	769.69	0.0	808.0	6652.97
PRSS27	577714.63	226632.25	4937.99	3982.99	7433.4	5711.87	1950.0	23.76	15.45	19.97	0.0	19.39	1151.06
RHCG	4.336416418E7	2.18328924E7	57847.82	53601.03	73730.83	74243.68	36106.23	10.08	6.36	6.57	0.0	31.0	2739.08
RNF222	1051.79	414.87	157.68	201.25	409.15	241.19	99.43	0.65	0.37	0.0	0.0	0.91	21.16
RNF223	27938.14	7180.15	358.54	412.0	802.41	656.11	211.31	0.32	0.0	17.51	0.0	36.01	82.87
SBSN	1.66613263E7	5057523.59	34876.28	14663.09	21617.82	47313.67	3665.02	35.5	4.43	2.81	0.0	0.0	2271.4
SDR9C7	36106.23	45386.27	260.38	476.71	400.71	665.29	107.38	0.0	0.0	0.0	0.0	0.73	50.98
SERPINB13	5.413281112E7	6.572778255E7	5555.65	2956.17	5872.48	4736.79	2319.15	0.66	0.0	0.0	0.0	0.8	493.56
SLC6A11	139.07	223.41	218.79	177.53	255.0	183.82	101.54	0.0	1.41	1.71	0.0	2.14	17.51
SPINK5	1997825.68	726195.27	11035.54	16496.96	26986.43	40062.48	4419.52	9.41	6.52	127.89	0.0	193.01	2664.15
SPRR1A	2.4530476105E8	9.690044701E7	175363.84	119776.72	158046.64	292889.12	30999.42	34.75	0.0	0.0	0.0	14.14	2468.49
SPRR2E	3.522264608E7	1645391.11	99333.0	7230.1	81809.59	168220.2	633.73	41.81	0.0	3.03	0.0	0.0	947.83
SQLE	6037.61	3146.52	2271.4	1331.57	2367.9	3190.46	1457.23	163.28	236.21	921.88	0.0	599.49	599.49
TM7SF2	51417.5	7081.29	1844.76	1427.22	2075.59	2537.92	884.29	185.11	236.21	320.8	0.0	269.6	1088.92
TMEM40	391864.76	115696.65	2875.3	2537.92	3820.7	6983.79	2148.82	0.0	4.62	42.11	0.0	69.03	884.29
TMPRSS11B	84694.64	30999.42	5751.61	3614.55	7642.41	10808.41	2451.44	1.08	0.0	0.0	0.0	0.0	78.34
TMPRSS11D	2.802089981E7	6908781.2	4268.94	1963.57	3639.7	4607.24	961.07	0.96	0.0	5.19	0.0	0.73	265.87
TMPRSS11E	4851500.88	2294899.22	2701.35	2004.85	4152.18	7130.55	1295.13	0.33	0.72	2.18	0.0	1.79	688.78
TP63	3290783.22	3313672.43	2434.5	2351.53	1540.37	2664.15	1617.0	2.84	9.78	24.46	0.0	88.26	1359.57
TPD52L1	29327.18	31215.04	6207.38	6887.62	7642.41	5594.3	2816.11	267.73	269.6	255.0	0.0	476.71	3039.3
VSIG10L	58655.36	7966.99	2645.74	3395.89	4512.4	4607.24	961.07	48.87	31.67	108.14	0.0	39.79	389.72
ZNF750	341137.96	391864.76	1605.83	1721.16	1628.26	1662.49	769.69	2.23	2.84	3.26	0.0	64.8	708.18
