	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
EEFSEC	293.07	395.18	435.55	248.0	414.87	368.65	307.69	291.04	0.0	0.43
FAM195B	1857.6	1233.75	2855.44	698.41	2645.74	1794.29	1313.23	1457.23	0.0	0.92
FAM50A	1225.22	808.0	2502.97	518.15	1963.57	1066.48	1225.22	1159.07	0.0	1.06
FBRS	1378.57	629.35	1331.57	476.71	1447.15	981.29	813.63	802.41	1175.27	728.11
FBXL19	409.15	173.85	514.56	115.97	429.54	248.0	133.36	178.77	0.0	0.74
FBXO41	109.66	36.01	81.71	12.45	50.98	61.25	43.63	53.19	0.0	0.51
FGFR2	518.15	346.29	981.29	26.67	1322.37	525.39	651.58	476.71	0.0	0.08
FLYWCH1	603.67	309.83	708.18	289.02	607.87	457.25	379.04	299.25	0.0	0.64
FSD1L	120.94	42.11	59.13	15.91	65.72	54.72	45.85	39.79	0.0	0.31
GDI1	1991.0	1233.75	3325.99	1175.27	3060.45	1781.89	1674.06	1583.71	0.0	1.16
GLOD5	23.25	3.99	35.0	19.39	37.85	20.71	13.12	29.7	0.0	0.0
GPKOW	483.38	397.93	884.29	265.87	624.99	450.94	460.44	480.04	0.0	0.62
GPR152	0.74	0.0	1.77	0.38	1.35	0.75	0.0	0.73	0.0	0.0
GRIN1	46.5	4.21	131.51	5.54	88.26	27.64	65.72	27.44	0.0	0.26
GRIPAP1	633.73	327.56	1008.9	226.54	819.3	599.49	595.34	547.75	651.58	483.38
GTF2F2	547.75	473.41	708.18	624.99	718.08	563.18	420.68	579.04	0.0	0.52
GTF3C1	1794.29	1250.98	2384.37	684.02	2018.8	915.51	669.92	819.3	0.0	0.8
HMHA1	540.19	78.89	470.14	226.54	612.11	454.09	297.17	264.03	0.0	0.96
HS6ST3	107.38	3.92	231.32	19.82	133.36	17.13	26.67	15.91	0.0	0.0
IGFALS	59.13	2.92	36.53	0.87	24.28	14.45	4.86	23.08	0.0	0.0
IQCK	1498.22	341.51	974.5	329.84	842.36	497.0	406.31	518.15	0.0	0.22
JMJD8	2255.7	915.51	2682.69	1127.35	1870.53	1477.58	1268.46	1286.18	0.0	0.8
KDM8	126.12	90.77	202.66	50.27	111.21	115.97	102.25	70.01	0.0	0.06
KIAA0930	1519.15	1073.91	1806.78	723.08	1733.13	1295.13	785.88	947.83	1151.06	202.66
KIAA1407	249.73	110.43	202.66	66.65	122.64	156.59	119.26	124.37	0.0	0.29
KLHDC9	473.41	120.1	813.63	4.5	738.29	156.59	127.0	201.25	0.0	0.22
KNDC1	52.82	1.79	84.63	5.77	35.76	42.71	20.11	11.21	0.0	0.12
LGALS9	2163.77	693.58	1572.76	713.11	1529.73	2047.0	708.18	988.12	0.0	0.62
MAP1S	698.41	802.41	1191.69	624.99	866.07	909.17	703.28	579.04	0.0	0.54
MAPK8IP3	785.88	121.79	1023.0	132.44	713.11	599.49	551.56	248.0	0.0	1.69
MCF2L	928.3	264.03	1477.58	575.03	1477.58	571.05	708.18	563.18	0.0	0.97
MEI4	6.57	0.31	7.51	1.33	4.82	3.06	2.39	1.33	0.0	0.01
METTL3	813.63	392.44	1277.29	872.1	1427.22	915.51	860.08	775.05	0.0	1.16
MRPS21	1259.69	802.41	1651.0	551.56	1457.23	1135.2	947.83	1119.56	0.0	0.89
MTL5	536.45	1.62	476.71	109.66	265.87	171.45	85.82	325.29	0.0	0.52
MTRF1	159.9	118.43	197.09	128.79	169.07	151.22	149.12	136.19	0.0	0.16
MZT2A	2018.8	1806.78	4123.49	138.1	4607.24	1277.29	909.17	1883.54	0.0	0.71
NAIF1	181.28	177.53	400.71	126.12	373.81	163.28	176.29	193.01	0.0	0.0
NBPF1	2047.0	423.61	713.11	379.04	669.92	571.05	656.11	579.04	0.0	0.17
NBPF15	417.77	236.21	1023.0	175.07	830.75	493.56	493.56	579.04	0.0	0.85
NBPF8	5.68	1.33	5.06	2.12	3.23	1.79	1.45	3.11	0.0	0.03
NFKBIZ	595.34	289.02	3280.18	353.59	1745.2	540.19	1096.5	343.89	253.23	454.09
NIT1	836.53	583.07	1605.83	884.29	1359.57	890.44	961.07	1127.35	0.0	0.77
NLRP9	1.83	0.37	2.07	0.39	1.68	1.48	1.11	0.38	0.0	0.04
NTN1	214.27	45.53	229.72	48.18	153.34	111.21	53.95	66.65	0.0	0.42
NUBP2	1963.57	884.29	2627.46	470.14	2163.77	1081.39	921.88	947.83	0.0	0.78
OC90	0.0	0.0	0.66	0.0	0.32	0.0	0.35	0.0	0.0	0.0
PARS2	138.1	59.55	108.14	86.43	108.14	107.38	77.25	83.45	0.0	0.0
PCGF3	1183.45	571.05	1199.98	291.04	1088.92	525.39	547.75	551.56	0.0	0.77
PCSK4	169.07	24.81	218.79	4.43	138.1	46.84	40.07	71.5	0.0	0.51
PFDN2	1437.15	1268.46	2956.17	878.17	2609.3	1359.57	1427.22	1540.37	0.0	0.6
PIGQ	1447.15	387.02	2148.82	371.22	1561.89	830.75	684.02	748.61	0.0	0.73
PLGRKT	2004.85	403.5	1794.29	358.54	1540.37	748.61	633.73	941.27	0.0	0.39
PLP2	3039.3	1685.71	4268.94	2701.35	4268.94	3124.78	2163.77	3280.18	0.0	1.19
POLR3E	1427.22	603.67	1417.35	748.61	1781.89	1104.13	1216.75	915.51	0.0	0.83
PRICKLE3	161.02	79.45	343.89	93.35	267.73	166.73	167.9	146.03	0.0	0.67
PSG11	0.0	0.0	0.71	0.0	0.34	0.0	0.0	0.0	0.0	0.0
PSMD4	3303.0	3564.78	5517.27	2609.3	4802.93	2591.27	2895.31	3212.66	0.0	1.08
RAB11FIP5	1008.9	620.67	896.64	518.15	796.86	764.36	651.58	583.07	0.0	0.62
RAB26	406.31	45.53	1059.11	145.02	688.78	41.81	38.67	57.89	0.0	0.24
RAD9A	293.07	125.24	503.95	199.85	432.53	293.07	316.37	206.94	0.0	0.69
RHBDF1	1295.13	480.04	1350.18	500.46	1208.34	813.63	738.29	547.75	0.0	0.92
RHOT2	1794.29	660.68	1883.54	400.71	2434.5	1340.84	1081.39	921.88	1208.34	1369.04
RP11-503N18.3	20.71	0.0	8.0	0.0	3.86	1.77	0.0	4.74	0.0	0.0
RP11-80A15.1	7.4	10.71	18.84	1.66	22.75	14.24	2.03	12.45	0.0	0.0
SCLY	231.32	159.9	332.14	127.89	305.55	159.9	164.42	195.72	0.0	0.35
SCNM1	872.1	825.0	1561.89	674.59	1059.11	603.67	514.56	591.22	0.0	0.49
SDCBP2	281.09	29.7	291.04	20.11	223.41	121.79	94.67	96.68	0.0	0.67
SDK2	24.46	36.79	122.64	1.33	127.0	64.34	33.06	59.97	6.89	34.75
SELL	181.28	10.16	190.34	88.26	164.42	147.06	39.22	42.11	0.0	0.39
SERTAD3	1081.39	536.45	981.29	525.39	1250.98	679.29	708.18	884.29	0.0	0.42
SLC25A30	392.44	198.47	384.34	151.22	417.77	256.78	267.73	256.78	0.0	0.27
SLC25A41	16.75	0.38	27.64	2.94	21.63	0.78	2.63	1.46	0.0	0.13
SSBP4	860.08	555.41	1388.16	414.87	1208.34	860.08	607.87	591.22	0.0	0.65
TAOK2	813.63	503.95	819.3	307.69	854.13	595.34	647.07	460.44	376.41	113.56
TCF24	1.71	1.93	7.0	0.0	4.94	0.0	0.0	0.34	0.0	0.0
TELO2	1151.06	269.6	896.64	258.57	1119.56	629.35	575.03	444.72	0.0	1.13
TLX1	1.43	0.0	1.36	0.0	0.67	0.35	0.35	0.0	0.0	0.13
TMC8	186.4	17.77	150.17	61.25	106.63	139.07	67.12	35.5	0.0	0.64
TNK2	947.83	536.45	1794.29	255.0	1397.83	954.43	718.08	603.67	0.0	1.06
TRAF2	493.56	318.57	616.37	113.56	563.18	395.18	275.28	246.28	0.0	0.49
TSC2	1628.26	738.29	1674.06	688.78	1350.18	1242.34	1295.13	947.83	587.13	728.11
VWC2L	1.38	0.0	0.66	0.0	0.32	0.0	0.0	0.0	0.0	0.0
WDFY4	152.28	23.59	106.63	55.49	121.79	137.14	37.85	40.07	0.0	0.36
WDR90	1350.18	164.42	941.27	228.13	988.12	514.56	555.41	341.51	0.0	0.97
WFS1	995.0	665.29	1388.16	234.57	1096.5	579.04	733.19	547.75	187.71	108.14
WRB	896.64	603.67	854.13	507.46	878.17	575.03	587.13	638.15	0.0	0.4
ZBTB12	137.14	89.51	144.01	49.21	102.25	121.79	59.13	79.45	0.0	0.15
ZDHHC4	974.5	164.42	1639.59	221.86	1378.57	703.28	884.29	974.5	0.0	0.58
ZIC2	4.24	25.17	187.71	38.67	130.6	3.86	2.84	2.39	0.0	0.34
ZMAT5	450.94	351.14	679.29	334.46	476.71	414.87	346.29	406.31	0.0	0.08
ZNF205	414.87	153.34	395.18	77.25	409.15	244.57	202.66	205.5	0.0	0.43
ZNF48	271.48	85.22	299.25	94.01	241.19	143.01	96.01	120.94	0.0	0.31
ZNF547	50.63	18.16	76.71	27.05	58.71	41.81	51.35	36.79	0.0	0.0
