	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.NFK9.1126.SM.3LK78	GTEX.14BMU.0926.SM.5S2QB	GTEX.14E1K.1226.SM.5S2PD	GTEX.11TT1.0526.SM.5P9JO	GTEX.U3ZN.1726.SM.4DXUQ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CCBL1	223.41	162.14	92.05	120.94	94.67	242.88	0.0	0.43
CCDC155	28.04	6.84	0.0	4.43	0.0	6.31	0.0	0.0
CCDC88C	638.15	599.49	312.0	409.15	384.34	674.59	0.0	0.47
CDKN2D	785.88	412.0	111.21	169.07	176.29	361.04	0.0	0.52
CENPT	503.95	974.5	647.07	954.43	363.56	902.89	0.0	1.17
CHCHD10	5913.33	3639.7	1977.24	3395.89	2451.44	5041.77	0.0	0.6
CHD6	182.55	197.09	117.6	198.47	116.78	264.03	0.0	0.39
CROT	3820.7	967.76	165.57	555.41	249.73	616.37	0.0	0.24
CRYM	2271.4	579.04	204.07	231.32	10.71	412.0	0.0	0.0
CSF1	90.14	473.41	206.94	161.02	267.73	392.44	0.0	0.48
DDX58	1857.6	152.28	134.3	187.71	46.18	195.72	0.0	0.4
DHRS13	647.07	299.25	70.51	159.9	114.36	281.09	0.0	0.52
EPN2	2032.85	1340.84	679.29	1001.93	591.22	1167.14	0.0	0.56
FAM117A	122.64	201.25	82.87	172.65	137.14	312.0	0.0	0.34
FAM3B	44761.41	4903.87	1369.04	2319.15	348.71	4328.55	0.0	0.25
FOXK1	112.77	208.38	143.01	156.59	169.07	194.36	134.3	77.25
FRS3	58.71	63.45	24.28	42.71	34.26	84.04	0.0	0.31
GEMIN7	961.07	909.17	351.14	529.06	463.65	629.35	0.0	0.07
GK5	47.5	273.37	124.37	186.4	96.01	215.77	0.0	0.65
GPR25	121.79	40.64	15.0	6.94	6.36	39.22	0.0	0.06
GTF2I	4903.87	4328.55	2468.49	3589.58	1617.0	4210.15	2739.08	1225.22
GTF3C5	583.07	1175.27	713.11	1340.84	738.29	1225.22	0.0	0.97
HHAT	242.88	102.25	43.32	61.68	56.28	95.34	0.0	0.18
IDH2	6792.79	6381.92	1397.83	4298.64	1909.85	3794.3	1427.22	463.65
IQCC	44.89	47.5	22.1	17.13	28.45	47.84	0.0	0.19
KBTBD3	189.02	95.34	12.45	70.51	31.45	161.02	0.0	0.25
KRT86	12.0	9.41	6.21	1.27	4.5	8.38	0.0	0.18
LGR4	1417.35	638.15	114.36	447.82	117.6	563.18	0.0	0.53
LRRC45	470.14	409.15	144.01	299.25	228.13	358.54	0.0	0.19
LRRC56	108.9	82.87	41.52	66.18	20.11	76.17	0.0	0.11
LY6D	2.1503555688E8	40904.3	24153.43	26986.43	21172.91	49322.93	0.0	0.0
MAP3K6	802.41	1977.24	1697.45	1487.87	1457.23	3419.52	435.55	137.14
MDM2	1508.65	1037.29	819.3	660.68	796.86	836.53	373.81	511.0
MEN1	830.75	743.43	438.59	669.92	521.76	698.41	0.0	0.83
MTRF1	169.07	264.03	177.53	299.25	111.99	277.2	0.0	0.16
MYPOP	152.28	198.47	98.04	199.85	105.15	187.71	0.0	0.46
NARF	1159.07	1572.76	563.18	878.17	708.18	1030.12	0.0	0.85
NBPF9	236.21	356.05	224.97	332.14	303.44	400.71	0.0	1.06
NCSTN	1697.45	1832.01	1551.09	1369.04	1447.15	2047.0	0.0	0.89
NECAP2	1685.71	1081.39	785.88	1051.79	796.86	1340.84	0.0	0.73
NPIPB5	432.53	3349.13	1175.27	1529.73	1407.55	2627.46	591.22	299.25
NPRL2	279.14	470.14	189.02	316.37	224.97	417.77	0.0	0.62
NSMCE4A	878.17	1015.93	651.58	791.35	511.0	1015.93	0.0	0.74
PARP10	988.12	860.08	325.29	536.45	329.84	1037.29	0.0	0.89
PARP3	269.6	248.0	195.72	199.85	181.28	329.84	0.0	0.66
PGAP1	218.79	111.21	50.98	79.45	50.63	127.89	0.0	0.54
PIGL	177.53	351.14	183.82	193.01	173.85	490.14	0.0	0.53
PITPNM2	53.19	287.01	151.22	211.31	187.71	275.28	0.0	0.51
POMT1	194.36	497.0	165.57	426.57	211.31	426.57	0.0	0.58
PPIL2	808.0	1268.46	642.59	693.58	708.18	1015.93	0.0	0.77
PPOX	151.22	563.18	83.45	255.0	129.69	438.59	0.0	0.39
PRICKLE4	500.46	995.0	490.14	688.78	289.02	2047.0	0.0	0.73
PROM2	32540.65	4937.99	2163.77	2855.44	1896.65	5183.54	0.0	0.36
PTPRF	4181.07	3168.41	1819.35	2319.15	2351.53	3690.52	1359.57	884.29
RALGPS1	231.32	248.0	87.03	197.09	44.25	307.69	0.0	0.57
RAPGEFL1	47974.16	5366.37	3349.13	3768.09	2573.36	5112.16	0.0	1.28
REPIN1	796.86	1572.76	429.54	551.56	525.39	1806.78	0.0	0.97
RILP	110.43	226.54	57.89	167.9	113.56	231.32	0.0	0.35
RIPK1	289.02	511.0	426.57	387.02	356.05	579.04	0.0	0.0
RMDN2	18.29	52.08	27.05	59.55	46.84	58.71	0.0	0.0
RNF207	483.38	738.29	356.05	57.49	158.79	1167.14	0.0	0.83
RNF31	785.88	1259.69	780.44	656.11	819.3	1250.98	0.0	0.73
RORC	4358.66	316.37	39.79	151.22	46.5	269.6	0.0	0.19
RRAGD	2351.53	1709.26	518.15	836.53	387.02	825.0	166.73	77.25
RRNAD1	607.87	967.76	371.22	497.0	275.28	915.51	0.0	0.67
S100A7	1.38765328462E9	70238.75	1662.49	25530.66	3742.05	44761.41	0.0	0.54
S100A9	4.94682652E7	672883.8	554180.87	632189.57	524287.0	736332.6	0.0	1.48
SCNN1D	189.02	94.67	36.01	54.33	57.49	94.67	0.0	0.84
SDR39U1	684.02	1331.57	713.11	1340.84	718.08	1268.46	0.0	1.07
SEMA4B	28132.47	5292.48	2796.65	2777.33	3039.3	5255.91	0.0	0.79
SGSH	265.87	563.18	318.57	514.56	441.64	647.07	0.0	0.99
SH2B1	444.72	1030.12	435.55	872.1	397.93	988.12	0.0	0.84
SHPK	409.15	289.02	194.36	197.09	199.85	316.37	0.0	0.39
SIPA1	2240.11	703.28	543.96	753.83	483.38	967.76	0.0	0.91
SLC25A35	267.73	109.66	52.08	108.9	67.59	172.65	0.0	0.39
SLC52A1	158.79	47.5	3.76	16.15	4.74	69.52	0.0	0.0
SLC9A8	155.5	444.72	253.23	206.94	202.66	460.44	0.0	0.59
SMO	132.44	432.53	25.91	258.57	38.12	400.71	0.0	0.54
SPINT2	36357.37	11189.6	7749.1	10014.87	9673.69	11267.44	10883.59	974.5
SRD5A1	2434.5	921.88	583.07	679.29	555.41	896.64	0.0	0.53
SRGAP3	72.01	138.1	29.48	102.97	46.18	135.24	0.0	0.0
SSBP2	361.04	470.14	316.37	579.04	389.72	842.36	0.0	0.68
ST5	928.3	1977.24	1088.92	1225.22	1037.29	2682.69	0.0	0.73
STK39	2434.5	1388.16	780.44	872.1	674.59	1104.13	0.0	0.58
STON2	1883.54	366.09	171.45	341.51	346.29	305.55	0.0	0.67
SUGP1	1191.69	915.51	511.0	748.61	733.19	836.53	0.0	0.34
SULT4A1	12.64	4.98	4.43	1.83	2.03	5.68	0.0	0.52
SUOX	429.54	607.87	236.21	454.09	309.83	748.61	0.0	0.16
SUV420H2	221.86	220.32	49.56	151.22	58.71	275.28	0.0	0.46
THEM6	2758.13	890.44	275.28	454.09	381.68	947.83	0.0	0.1
TMEM101	988.12	679.29	361.04	473.41	450.94	651.58	0.0	0.14
TRERF1	309.83	215.77	90.14	155.5	95.34	244.57	0.0	0.36
TRIM3	52.45	271.48	198.47	228.13	161.02	285.03	0.0	0.96
TRPM4	1322.37	860.08	426.57	836.53	599.49	884.29	186.4	518.15
TSPAN5	579.04	536.45	178.77	348.71	193.01	432.53	0.0	0.39
TUBG2	518.15	457.25	113.56	307.69	166.73	358.54	0.0	0.51
UBA7	438.59	791.35	376.41	660.68	214.27	1651.0	0.0	0.92
ULK3	1950.0	3349.13	854.13	2240.11	753.83	3491.39	0.0	0.68
UNC119	525.39	547.75	195.72	392.44	297.17	603.67	0.0	0.72
USP21	318.57	860.08	264.03	555.41	283.05	708.18	0.0	0.8
USP43	444.72	194.36	175.07	150.17	163.28	198.47	91.41	150.17
VANGL2	830.75	414.87	69.52	348.71	172.65	403.5	0.0	0.59
VAV3	2032.85	1427.22	178.77	785.88	325.29	1277.29	0.0	0.62
VPS26B	389.72	633.73	297.17	567.1	486.75	708.18	0.0	0.71
WDR37	145.02	218.79	145.02	182.55	175.07	267.73	0.0	0.65
WRB	148.09	339.14	193.01	307.69	291.04	309.83	0.0	0.4
ZBTB7C	14262.1	1685.71	264.03	808.0	289.02	1447.15	0.0	0.39
ZKSCAN1	1119.56	679.29	376.41	432.53	289.02	733.19	206.94	466.88
ZMYM3	186.4	275.28	90.77	171.45	106.63	314.17	0.0	0.34
ZNF10	33.54	173.85	36.01	112.77	38.95	146.03	0.0	0.25
ZNF180	52.45	103.69	59.97	50.98	58.3	91.41	0.0	0.0
ZNF234	26.47	121.79	94.67	73.03	47.17	108.9	0.0	0.29
ZNF319	85.22	112.77	73.54	53.57	77.79	121.79	0.0	0.19
ZNF345	28.65	111.21	53.57	50.27	14.56	163.28	0.0	0.44
ZNF440	2664.15	435.55	182.55	190.34	153.34	392.44	0.0	0.31
ZNF449	39.22	77.79	49.21	42.41	41.52	77.79	0.0	0.19
ZNF552	249.73	234.57	136.19	273.37	112.77	293.07	0.0	0.27
ZNF655	981.29	2061.24	1594.73	1350.18	718.08	1639.59	0.0	0.89
ZNF680	145.02	99.43	55.1	59.13	47.17	88.88	0.0	0.41
ZNF709	6.36	22.26	8.45	9.06	19.53	19.53	0.0	0.17
