	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.P4QT.0626.SM.3NMCP	GTEX.12WSJ.0726.SM.5GCN6	GTEX.YF7O.0826.SM.4W21F	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.BR.8297.01A.12R.2343.13	TCGA.BR.8286.01A.12R.2343.13	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.BR.A4J9.01A.12R.A251.31
CDCA5	7.34	7.82	76.71	11.91	10.88	44.25	262.2	457.25	111.99	265.87	35.76
CDCA7	11.82	51.71	281.09	9.13	7.34	60.82	483.38	1199.98	293.07	796.86	214.27
CDCA8	0.0	8.85	92.05	14.78	13.22	38.95	258.57	785.88	143.01	638.15	24.81
CDK1	0.0	12.45	195.72	29.27	27.64	93.35	808.0	1427.22	423.61	753.83	62.56
CENPF	1.13	12.36	127.89	13.42	7.22	32.36	262.2	1066.48	193.01	723.08	40.07
CHMP4C	0.0	21.63	656.11	18.43	18.43	33.78	373.81	854.13	161.02	262.2	67.12
CLDN18	0.0	13.03	5383077.38	2.76	17.64	1242.34	11424.74	32315.87	4038.61	24660.96	698.41
CLN6	249.73	387.02	336.79	325.29	341.51	329.84	921.88	1583.71	567.1	1216.75	417.77
CMTM1	15.91	0.0	73.54	28.04	5.02	81.14	116.78	114.36	45.85	98.04	47.84
CSNK2A1	647.07	555.41	974.5	860.08	595.34	878.17	1304.15	1208.34	1104.13	1508.65	1175.27
CTSE	0.0	0.0	7991305.73	10.16	2.01	1143.1	13776.25	53230.77	8421.31	16269.83	2520.38
CTSV	0.0	5.11	842.36	1.83	5.06	16.88	265.87	158.79	80.57	138.1	6.57
CYP2S1	1.04	8.32	1096.5	27.44	32.59	125.24	1487.87	6037.61	842.36	3847.29	177.53
CYSTM1	389.72	2816.11	4769.75	3443.31	3257.52	2573.36	12676.65	26248.46	9540.5	7180.15	3491.39
DNAJC9	197.09	194.36	242.88	204.07	166.73	220.32	406.31	624.99	234.57	325.29	206.94
DSG2	1.33	15.45	343.89	57.08	32.59	191.67	1104.13	1096.5	460.44	1963.57	221.86
DTYMK	226.54	208.38	341.51	187.71	246.28	444.72	769.69	854.13	309.83	941.27	293.07
DUSP4	3.26	11.04	571.05	11.91	10.88	223.41	595.34	748.61	450.94	2148.82	239.52
E2F7	0.0	0.75	14.35	1.22	0.75	4.7	23.59	94.01	13.93	79.45	2.25
EHF	0.0	0.0	5255.91	3.14	4.7	90.14	1561.89	947.83	543.96	1991.0	108.9
EME1	1.23	9.06	29.27	10.39	11.3	33.06	96.01	148.09	40.64	187.71	25.35
EML4	197.09	384.34	409.15	379.04	262.2	497.0	1044.52	902.89	718.08	1991.0	607.87
ENKUR	0.09	0.57	1.6	1.66	0.0	1.68	7.17	8.32	4.58	23.93	6.11
EPHB3	22.43	142.01	1208.34	96.01	84.04	271.48	791.35	1030.12	341.51	309.83	277.2
ESCO2	0.0	0.0	22.92	2.73	4.17	14.45	178.77	125.24	73.54	231.32	7.94
ESPL1	0.0	3.72	890.44	6.78	4.1	12.09	75.64	163.28	43.63	156.59	10.71
EXO1	0.0	0.97	41.52	6.16	2.41	15.45	111.21	105.89	37.59	130.6	10.88
EZH2	1.62	17.13	186.4	26.86	20.26	91.41	215.77	563.18	165.57	497.0	76.71
FA2H	3.99	13.83	759.08	23.59	7.4	49.56	616.37	1674.06	239.52	2163.77	92.05
FAM81A	25.72	4.74	39.22	11.47	8.06	28.04	152.28	289.02	99.43	180.02	43.02
FAM83B	0.0	0.0	242.88	1.43	0.0	10.39	63.89	167.9	48.52	172.65	19.53
FANCA	2.18	45.21	118.43	65.26	6.26	78.89	329.84	320.8	186.4	1104.13	115.16
FIGNL1	73.03	22.43	100.83	44.89	38.67	94.67	169.07	406.31	125.24	228.13	75.11
FLVCR1	49.91	73.03	79.45	70.51	40.64	92.05	151.22	194.36	126.12	212.78	78.34
FRMD4B	21.32	63.45	753.83	120.1	145.02	187.71	262.2	256.78	191.67	273.37	173.85
GDPD1	17.13	1.95	47.84	24.46	10.0	38.95	113.56	86.43	88.88	80.57	26.1
GPRIN3	17.13	13.62	27.44	19.39	20.11	46.18	115.16	59.55	70.01	327.56	79.45
GSG2	0.0	0.0	36.01	2.14	1.08	14.56	71.0	127.0	26.28	100.13	13.03
H2AFX	483.38	332.14	629.35	297.17	368.65	595.34	2255.7	2935.74	866.07	2090.03	559.28
HID1	175.07	299.25	3257.52	480.04	285.03	486.75	2287.2	1639.59	1286.18	3639.7	764.36
HIST1H2BH	0.22	0.0	46.18	0.0	0.0	2.46	38.12	141.02	11.47	88.26	23.59
HIST1H3B	0.0	0.0	0.0	0.0	0.0	0.91	21.16	35.0	7.34	6.62	1.36
HMGA2	0.52	10.24	24.81	1.69	1.64	18.29	62.12	107.38	36.79	72.52	24.81
HN1	41.81	226.54	4802.93	438.59	325.29	896.64	6294.04	7433.4	2573.36	3039.3	559.28
HOXC10	0.58	4.5	22.92	0.77	0.75	92.05	271.48	177.53	119.26	273.37	12.09
IFIH1	133.36	81.71	145.02	148.09	105.15	158.79	423.61	209.84	329.84	420.68	249.73
KCNE3	24.28	24.46	4769.75	62.12	41.22	507.46	1551.09	2163.77	1111.82	3349.13	346.29
KIAA1217	78.34	149.12	796.86	146.03	139.07	397.93	497.0	435.55	384.34	780.44	343.89
KIAA1958	6.89	12.45	60.82	15.34	14.89	43.32	91.41	164.42	39.79	153.34	29.06
KIF12	0.0	2.12	5711.87	0.0	0.77	67.12	262.2	934.76	93.35	412.0	45.53
KIF18B	0.0	1.68	58.71	2.2	1.13	24.81	173.85	490.14	78.34	493.56	12.83
KIF2C	2.84	33.3	55.49	27.25	3.63	40.64	251.48	579.04	88.88	307.69	32.13
KIFC1	0.0	4.66	111.99	9.41	8.45	27.25	180.02	748.61	98.73	303.44	17.9
KPNA7	0.0	0.0	50.63	0.0	0.0	6.89	73.03	66.18	28.86	43.94	1.1
KREMEN2	0.51	1.58	15.34	0.0	1.17	1.99	13.83	6.16	2.97	8.99	3.11
KRTCAP3	0.0	38.67	1167.14	40.07	69.52	150.17	2502.97	2520.38	1008.9	2032.85	312.0
LCOR	97.36	194.36	220.32	132.44	100.83	201.25	309.83	397.93	283.05	497.0	236.21
LINC00935	0.0	0.0	94.67	0.0	0.0	0.0	40.64	54.33	12.09	15.34	14.03
LPIN2	161.02	314.17	1313.23	267.73	231.32	346.29	866.07	480.04	493.56	2148.82	277.2
LRRC8B	21.78	23.93	92.05	26.86	29.27	85.22	141.02	379.04	118.43	246.28	52.82
LSR	6.01	205.5	2163.77	191.67	251.48	303.44	7749.1	19892.37	2875.3	5831.91	698.41
LYZ	217.27	44.89	58655.36	353.59	1378.57	34158.52	48982.22	81244.48	35609.13	16611.71	14765.09
MAGI1	181.28	269.6	620.67	336.79	111.21	503.95	819.3	808.0	397.93	796.86	500.46
MAGIX	12.74	43.63	351.14	21.16	37.32	69.52	525.39	293.07	256.78	199.85	39.79
MAPK8	417.77	242.88	775.05	409.15	323.03	473.41	703.28	808.0	525.39	536.45	438.59
MCM10	0.0	0.83	35.76	0.0	1.28	13.22	109.66	271.48	43.32	69.03	4.43
MCU	246.28	351.14	921.88	228.13	205.5	466.88	2271.4	1757.34	915.51	1923.14	403.5
MLK4	0.0	6.26	133.36	5.59	6.89	13.52	232.94	559.28	118.43	403.5	44.89
MOB1A	1191.69	579.04	830.75	995.0	759.08	988.12	1733.13	1950.0	1417.35	1936.53	1331.57
MROH6	66.18	80.01	842.36	120.94	64.8	130.6	363.56	334.46	232.94	476.71	132.44
MTFR2	1.83	16.39	19.97	19.39	14.45	27.25	150.17	215.77	71.5	154.42	20.86
MTL5	4.82	4.17	69.03	9.27	5.77	27.84	301.33	164.42	90.14	211.31	35.0
MUC13	0.84	0.57	3742.05	3.63	11.47	59.13	988.12	6207.38	579.04	6561.36	329.84
MUC3A	10.71	24.11	76.71	36.27	15.11	100.83	896.64	981.29	693.58	7695.57	279.14
MUC5AC	0.0	2.34	4.102499906E7	0.0	0.0	105.15	2627.46	28525.2	269.6	31432.17	40.64
MYBL2	0.0	3.32	88.88	3.92	3.29	61.68	417.77	941.27	133.36	995.0	53.19
MYRF	9.41	40.93	13399.51	25.17	9.06	312.0	947.83	2739.08	651.58	2537.92	99.43
NCAPD2	256.78	211.31	379.04	275.28	262.2	381.68	679.29	1313.23	567.1	1407.55	366.09
NCAPH	0.0	4.7	67.12	14.89	3.76	15.34	121.79	366.09	52.45	309.83	17.25
NDC1	68.55	68.07	135.24	99.43	72.52	158.79	420.68	830.75	312.0	591.22	144.01
NEIL3	0.0	1.55	11.21	1.13	0.0	6.26	52.45	37.32	24.63	51.71	4.43
NEK2	0.0	0.0	37.59	3.47	2.46	22.59	189.02	591.22	107.38	221.86	11.3
NHSL1	27.44	23.08	371.22	100.13	74.06	148.09	348.71	307.69	180.02	441.64	131.51
OIP5	0.0	6.21	34.26	0.0	8.19	17.64	178.77	211.31	47.17	226.54	15.45
ORC1	1.38	6.41	29.06	3.66	3.99	15.91	88.88	147.06	17.38	137.14	9.93
OVOL2	0.0	3.99	329.84	0.0	0.0	9.63	444.72	525.39	145.02	242.88	56.68
PARD6B	5.92	20.71	109.66	20.41	28.65	23.93	167.9	281.09	120.94	299.25	27.44
PBK	0.0	3.2	67.12	12.18	0.0	53.95	234.57	273.37	108.9	334.46	12.74
PDIK1L	23.42	53.57	130.6	66.65	71.5	92.05	152.28	178.77	120.94	187.71	87.03
PDSS1	66.18	90.14	175.07	64.34	67.59	100.83	281.09	299.25	143.01	381.68	162.14
PDZK1IP1	0.0	0.0	3235.01	11.04	23.42	403.5	1199.98	1697.45	429.54	5041.77	197.09
PKMYT1	0.17	34.02	228.13	43.94	23.93	68.07	703.28	679.29	171.45	603.67	110.43
PNPO	152.28	164.42	208.38	236.21	205.5	234.57	591.22	616.37	339.14	525.39	228.13
POLE2	3.23	15.45	115.97	10.24	6.89	64.34	176.29	312.0	107.38	303.44	32.59
POLQ	0.0	1.69	18.97	2.16	0.79	6.67	28.24	81.71	18.97	150.17	10.79
POU6F2	0.04	0.0	0.65	0.0	0.0	0.54	10.16	4.66	0.48	16.15	1.03
PRDM16	9.56	32.82	173.85	41.52	19.97	40.36	126.12	164.42	78.34	92.7	77.79
PROSER2	18.29	28.04	341.51	38.12	31.45	50.98	242.88	60.82	120.94	56.68	82.87
PRSS12	11.13	5.41	142.01	6.41	6.73	32.82	220.32	90.77	43.63	339.14	66.65
PRSS16	0.0	10.79	269.6	5.92	7.94	16.03	232.94	1721.16	57.08	764.36	31.22
PSAT1	11.82	58.71	406.31	84.04	23.76	176.29	480.04	808.0	356.05	647.07	246.28
PTER	55.89	45.85	285.03	99.43	70.01	86.43	285.03	429.54	232.94	497.0	103.69
PTPLAD1	273.37	297.17	435.55	521.76	339.14	665.29	1487.87	1498.22	830.75	1977.24	599.49
RAC3	33.06	40.07	178.77	59.55	36.27	127.0	371.22	327.56	60.82	74.58	39.22
RACGAP1	137.14	103.69	299.25	115.97	73.54	194.36	417.77	934.76	343.89	583.07	102.25
RAP1GAP	3.06	43.02	819.3	50.98	13.12	22.59	447.82	17078.76	122.64	624.99	54.33
RDM1	0.39	0.0	3.86	0.0	0.96	8.0	41.81	85.22	23.25	24.99	0.0
RNF138	291.04	146.03	256.78	218.79	212.78	295.11	409.15	514.56	305.55	493.56	277.2
RNF39	3.41	14.67	575.03	14.78	7.28	21.01	105.15	178.77	50.98	83.45	9.13
RP11-1220K2.2	0.16	0.0	4419.52	1.95	0.44	18.43	181.28	71.0	111.99	733.19	66.65
RRM2	0.0	2.41	314.17	10.0	5.59	127.0	612.11	1594.73	309.83	1896.65	40.07
SAMD12	4.82	10.0	121.79	12.74	7.82	34.51	281.09	172.65	153.34	275.28	38.95
SDR16C5	0.0	3.14	1175.27	7.69	15.34	57.08	316.37	547.75	162.14	409.15	42.41
SGOL1	0.0	0.0	14.67	7.0	2.1	25.91	113.56	307.69	53.95	267.73	13.22
SGPP2	0.02	30.56	624.99	21.01	8.38	47.84	420.68	934.76	285.03	1008.9	72.01
SH2D4A	10.16	21.16	532.74	50.98	64.34	327.56	703.28	728.11	447.82	1143.1	178.77
SH3RF1	85.22	94.67	356.05	191.67	115.97	262.2	583.07	470.14	320.8	647.07	197.09
SLC22A15	10.63	16.63	139.07	21.78	22.92	27.64	49.21	78.34	34.26	85.22	35.0
SLC29A2	60.39	69.52	323.03	92.7	52.08	43.94	438.59	1183.45	152.28	518.15	60.82
SLC6A20	2.56	21.47	241.19	8.65	4.43	12.93	63.45	332.14	54.33	206.94	38.4
SPOCK2	149.12	87.65	279.14	115.16	83.45	169.07	713.11	159.9	409.15	559.28	493.56
STIL	0.65	2.97	45.85	5.36	5.73	32.36	187.71	316.37	71.0	293.07	21.63
STYK1	0.0	5.87	202.66	4.1	2.18	8.32	67.12	79.45	29.06	412.0	18.7
TAF1A	33.78	46.18	104.42	72.52	38.4	104.42	158.79	297.17	150.17	173.85	87.03
TANC2	111.99	50.98	183.82	74.06	38.4	193.01	403.5	199.85	151.22	303.44	208.38
TEX30	157.68	63.89	128.79	102.97	76.71	195.72	249.73	320.8	167.9	164.42	127.0
THEM6	204.07	176.29	470.14	255.0	185.11	239.52	1259.69	1259.69	525.39	769.69	226.54
TMEM30B	0.01	23.25	599.49	34.26	37.32	75.11	497.0	813.63	371.22	981.29	118.43
TMEM92	0.0	19.39	384.34	14.45	1.81	6.36	211.31	285.03	97.36	277.2	24.46
TNFSF15	0.25	8.38	30.12	1.91	0.85	17.13	91.41	104.42	35.5	128.79	19.25
TPD52	480.04	429.54	1477.58	836.53	414.87	738.29	3467.27	3716.2	1697.45	5751.61	1322.37
TRIM31	0.16	6.57	3372.43	10.47	0.0	68.07	764.36	392.44	239.52	3564.78	244.57
TSPAN8	15.8	4.39	181548.07	6.16	12.09	2645.74	25708.25	16843.62	12502.12	37639.55	4903.87
TSSC1	140.04	205.5	373.81	215.77	206.94	224.97	389.72	638.15	281.09	532.74	228.13
TSTA3	500.46	1437.15	3325.99	1073.91	1350.18	1477.58	4328.55	2701.35	3168.41	4210.15	1819.35
UBE2C	0.0	24.46	295.11	9.56	21.32	143.01	1143.1	2758.13	674.59	1313.23	82.87
UNC5CL	8.85	43.94	1697.45	8.71	19.39	92.7	158.79	241.19	95.34	470.14	55.49
USP6NL	79.45	80.01	693.58	137.14	112.77	151.22	255.0	389.72	229.72	303.44	181.28
ZDHHC2	110.43	128.79	75.11	172.65	148.09	228.13	698.41	1037.29	237.86	638.15	220.32
ZNF468	43.02	24.28	185.11	71.5	57.49	108.14	242.88	325.29	108.14	420.68	94.67
ZNF488	0.62	2.58	19.82	1.77	0.47	7.46	48.18	144.01	21.16	51.71	4.94
ZWINT	0.79	23.42	199.85	23.25	15.91	86.43	595.34	1350.18	265.87	896.64	58.3
