	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.12696.1326.SM.5FQTJ	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.TSE9.1226.SM.4DXTM	GTEX.PWN1.0626.SM.48TDT	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CD.8528.01A.11R.2343.13	TCGA.EY.A72D.01A.12R.A34R.07
ELF3	113315.62	50709.61	14163.58	23330.64	18689.27	9088.59	9474.59	33922.56	3491.39	532.74	9474.59	4736.79
ELMO2	1870.53	1167.14	1104.13	941.27	753.83	633.73	1066.48	1359.57	0.0	0.79	277.2	723.08
EMP1	610654.84	191899.64	57051.4	40062.48	33922.56	14262.1	81244.48	74760.09	0.0	0.43	529.06	1044.52
FAM25G	1116072.03	0.0	819.3	208.38	60.82	65.26	400.71	1551.09	0.0	0.0	0.0	0.0
FCRL6	31.45	30.34	14.24	9.48	5.28	3.63	12.27	29.06	0.0	0.1	2.73	2.05
GATM	2485.67	3419.52	497.0	454.09	228.13	164.42	285.03	902.89	0.0	0.45	281.09	31.45
GFOD2	2777.33	2004.85	1073.91	995.0	890.44	748.61	1467.37	1427.22	0.0	0.46	376.41	303.44
HEPHL1	13123.73	19348.38	1.41	19.68	11.04	6.36	52.82	83.45	0.0	0.22	0.83	2.46
HERC6	8658.09	1127.35	563.18	351.14	406.31	171.45	967.76	281.09	0.0	0.2	59.13	12.27
IDNK	237.86	444.72	267.73	137.14	107.38	136.19	186.4	224.97	0.0	0.23	67.12	59.55
IRF7	7537.18	547.75	476.71	713.11	1437.15	764.36	325.29	1583.71	0.0	0.83	493.56	220.32
KIFAP3	497.0	595.34	361.04	262.2	248.0	232.94	318.57	309.83	0.0	0.48	101.54	220.32
KLK2	23.59	85.22	7.88	3.0	0.99	3.23	6.52	13.72	0.0	0.17	3.41	2.2
KLK6	985160.01	8479.89	283.05	269.6	135.24	111.99	493.56	1030.12	0.0	0.32	24.63	4.94
KRT3	2193.99	77.79	165.57	37.85	33.3	15.91	71.5	63.0	0.0	0.09	0.02	0.0
KRT6A	2.01760973986E9	2.41604469791E9	109455.64	37639.55	36357.37	82951.62	55877.28	49666.0	0.0	1.17	8.13	198.47
KRT73	15.0	3.72	5.59	0.57	1.5	0.0	1.43	3.53	0.0	0.21	0.0	0.0
KRT80	25179.16	7081.29	1037.29	656.11	525.39	301.33	1225.22	954.43	0.0	0.21	75.64	265.87
MAL	2408994.05	938500.81	85876.94	76861.91	37901.36	5672.41	87075.75	64632.75	0.0	0.56	3.99	3.17
MFSD1	2133.97	2816.11	1467.37	954.43	1322.37	872.1	2178.83	1175.27	0.0	0.13	791.35	743.43
MMEL1	2591.27	185.11	221.86	316.37	201.25	169.07	620.67	583.07	0.0	0.46	43.63	909.17
MT-ND3	152662.96	373305.21	146444.06	140478.49	176583.6	161367.56	163620.18	234624.45	100719.65	3018.3	65082.31	139508.13
MUC21	1019901.63	311742.51	22535.88	18560.17	10154.69	5913.33	38697.77	23330.64	0.0	0.13	0.0	2.07
MXD1	22692.63	3742.05	3443.31	5751.61	2255.7	1127.35	3212.66	7642.41	293.07	651.58	476.71	123.5
MYL3	3.5	125.24	50.27	37.59	18.03	8.71	12.09	35.5	0.0	0.45	4.78	10.88
NCCRP1	1196176.45	663619.99	8078.22	4671.57	3564.78	2240.11	8963.45	8421.31	0.0	0.25	7.46	15.8
NCK2	3794.3	2935.74	1936.53	1651.0	1175.27	872.1	2591.27	1819.35	0.0	0.71	591.22	620.67
PARD3	4358.66	2255.7	1388.16	967.76	954.43	703.28	2240.11	1447.15	0.0	0.66	511.0	995.0
PIH1D2	66.65	84.04	53.57	52.82	19.11	42.41	71.5	65.72	0.0	0.0	19.11	15.8
PPL	46019.85	24153.43	16960.78	11035.54	8658.09	4575.41	22535.88	15499.21	0.0	0.39	67.59	1059.11
PRSS3	25530.66	9279.58	4328.55	2895.31	1295.13	1369.04	5913.33	3325.99	0.0	0.48	1674.06	3.89
RAB18	2855.44	2537.92	2004.85	1427.22	1857.6	1819.35	2720.15	2287.2	0.0	0.79	660.68	1159.07
RBP7	1572.76	1662.49	884.29	575.03	307.69	718.08	1508.65	1508.65	0.0	0.33	13.93	312.0
RFPL1	1.77	26.28	1.23	0.0	0.0	0.0	4.82	3.29	0.0	0.09	0.25	0.0
RIOK3	5954.47	3901.01	3018.3	3614.55	3060.45	1651.0	3768.09	4328.55	1175.27	379.04	633.73	733.19
RNF141	6207.38	2335.28	1322.37	684.02	1233.75	738.29	1651.0	1605.83	0.0	0.45	780.44	397.93
SFTPD	567.1	2148.82	119.26	18.29	32.13	37.59	86.43	78.34	0.0	0.0	1.39	0.35
SLC15A1	860.08	616.37	6.84	53.19	49.91	45.85	113.56	279.14	0.0	0.18	1.03	1.5
SLC25A48	255.0	176.29	61.25	53.19	14.45	1.33	12.27	59.97	0.0	0.22	0.11	0.0
SMDT1	2255.7	4358.66	2739.08	2645.74	2319.15	2193.99	2451.44	2875.3	2287.2	283.05	2004.85	1923.14
SP6	928.3	463.65	121.79	78.34	84.04	72.52	187.71	127.0	0.0	0.38	21.47	62.56
SPRR3	1.58298451744E9	3.902977747E8	400098.69	217400.14	111755.56	72715.74	502929.67	280957.98	0.0	0.0	127.89	26.67
STK39	2434.5	2537.92	1081.39	447.82	1015.93	718.08	743.43	1819.35	0.0	0.58	638.15	255.0
TCTE1	4.62	7.17	3.56	0.89	3.72	0.22	2.97	10.39	0.0	0.0	0.88	0.52
TEC	753.83	595.34	176.29	111.99	153.34	108.14	150.17	190.34	0.0	0.4	48.52	56.28
TGM3	654483.73	30151.71	38430.46	14262.1	7081.29	6561.36	37379.55	34876.28	0.0	0.16	2.2	1.5
TMEM14B	1572.76	2319.15	1857.6	1001.93	1059.11	1427.22	1832.01	1963.57	0.0	0.72	1250.98	1781.89
TP53TG3D	27.05	178.77	54.72	16.51	18.56	3.26	35.5	109.66	0.0	0.15	0.43	3.35
TPRG1	15934.98	8718.32	995.0	629.35	656.11	483.38	1806.78	1044.52	0.0	0.36	10.71	100.83
TVP23B	2701.35	2032.85	1477.58	718.08	1208.34	915.51	1508.65	1467.37	0.0	0.39	599.49	607.87
WNK1	5751.61	6337.83	2627.46	2004.85	1605.83	1639.59	4066.71	2997.45	1417.35	483.38	1151.06	974.5
XCR1	8.58	423.61	36.27	3.11	2.58	0.69	17.0	16.03	0.0	0.0	0.95	1.85
XG	5672.41	1397.83	318.57	236.21	159.9	246.28	753.83	361.04	0.0	0.26	1.64	24.81
ZNF430	547.75	743.43	180.02	193.01	206.94	116.78	205.5	217.27	0.0	0.4	58.71	39.79
