	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.B6.A0X4.01A.11R.A109.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.CV.7423.11A.01R.2081.07	TCGA.44.6148.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTT.0626.SM.5EQLM
DNAH7	0.58	2.58	70.51	36.79	149.12	59.13	31.45	10.63	115.16	61.25	1.97	447.82	0.0	0.0	291.04
DNAL1	137.14	47.5	241.19	195.72	575.03	231.32	409.15	181.28	273.37	318.57	59.55	454.09	0.0	0.11	353.59
DYNLRB2	15.45	2.94	329.84	327.56	490.14	239.52	231.32	121.79	384.34	612.11	48.52	1832.01	0.0	0.0	2502.97
EFCAB12	0.3	4.17	66.65	7.06	157.68	87.03	22.26	10.24	116.78	281.09	0.61	591.22	0.0	0.01	551.56
ENO4	7.11	4.17	10.24	13.03	82.87	31.9	16.75	23.25	17.77	22.59	2.01	191.67	0.0	0.22	193.01
FAM183A	39.22	62.12	158.79	82.29	607.87	90.14	69.52	37.59	376.41	55.1	115.97	5872.48	0.0	0.0	4298.64
FAM194A	0.0	0.0	1.03	1.73	9.78	0.39	1.04	4.74	2.78	3.96	0.43	6.16	0.0	0.0	3.99
GRIN3A	0.58	2.86	3.03	3.38	12.64	5.41	2.36	1.75	10.88	6.21	0.91	15.22	0.0	0.01	8.71
HYDIN	1.19	0.36	40.36	21.63	150.17	87.03	12.83	18.56	42.41	187.71	1.57	866.07	0.0	0.04	563.18
IQCG	98.04	206.94	356.05	157.68	708.18	325.29	229.72	320.8	463.65	406.31	141.02	1551.09	0.0	0.12	1896.65
IQCK	57.89	34.75	599.49	563.18	1096.5	497.0	493.56	329.84	728.11	684.02	138.1	995.0	0.0	0.22	934.76
IQUB	1.16	0.34	6.52	2.12	35.0	36.01	6.89	4.7	21.47	81.71	1.35	138.1	0.0	0.0	150.17
KIF27	12.64	15.45	88.88	97.36	137.14	99.43	73.54	55.89	96.01	178.77	15.0	273.37	0.0	0.39	147.06
LRGUK	0.31	1.3	7.11	10.63	40.36	14.78	2.56	1.57	26.67	22.1	0.64	72.01	0.0	0.06	68.55
LRRC43	6.89	0.99	27.84	74.06	75.11	23.93	0.73	12.18	25.35	86.43	0.6	848.22	0.0	0.0	463.65
LRRC46	43.32	4.86	139.07	71.0	447.82	44.89	90.77	120.1	194.36	258.57	8.71	3847.29	0.0	0.0	1685.71
LZTFL1	122.64	108.14	638.15	460.44	1378.57	500.46	616.37	536.45	967.76	1008.9	253.23	961.07	414.87	165.57	1111.82
MAP3K19	0.0	0.0	2.39	0.72	204.07	17.51	0.0	1.1	73.03	7.75	0.0	579.04	0.0	0.0	500.46
MDH1B	5.73	2.27	40.07	40.36	107.38	102.25	48.87	9.13	138.1	120.94	5.59	423.61	0.0	0.0	363.56
MLLT3	7.88	26.67	303.44	327.56	1183.45	264.03	289.02	163.28	441.64	954.43	106.63	361.04	0.0	0.47	688.78
NEK11	58.3	52.82	256.78	208.38	454.09	303.44	214.27	212.78	320.8	563.18	60.82	941.27	0.0	0.01	733.19
NOXRED1	1.45	4.5	13.12	12.83	34.26	10.16	3.26	4.9	30.12	31.67	1.46	40.36	0.0	0.21	14.14
NWD1	1.71	0.65	11.04	0.33	5.63	8.58	0.66	0.35	18.56	24.63	0.62	447.82	0.0	0.0	579.04
PIFO	463.65	3.0	142.01	237.86	1167.14	20.26	248.0	61.68	567.1	232.94	18.7	2573.36	0.0	0.0	8778.97
PIH1D2	7.46	15.45	96.01	39.5	232.94	88.26	43.94	22.43	182.55	150.17	35.25	454.09	0.0	0.0	432.53
RABL2A	57.49	65.26	384.34	190.34	543.96	309.83	194.36	169.07	503.95	896.64	118.43	1359.57	0.0	0.13	1721.16
RGPD8	3.76	6.46	58.3	24.28	119.26	37.59	78.34	21.01	52.82	135.24	11.73	53.57	0.0	0.4	40.36
RP11-287D1.3	0.0	0.0	1.07	1.07	6.36	0.42	2.12	2.23	2.48	9.06	0.0	12.74	0.0	0.0	11.73
RSPH4A	1.99	0.33	35.76	13.32	126.12	8.13	6.41	5.63	77.25	4.31	1.38	825.0	0.0	0.0	1605.83
SAMD15	1.75	4.21	73.54	62.12	144.01	44.25	15.91	38.4	70.51	90.77	1.64	164.42	0.0	0.0	71.0
SMARCA2	769.69	332.14	1551.09	1923.14	4239.45	1572.76	1304.15	1388.16	1844.76	3847.29	842.36	2240.11	595.34	231.32	3212.66
ST6GAL1	6.46	251.48	158.79	105.89	1407.55	775.05	204.07	138.1	941.27	339.14	95.34	1268.46	0.0	0.57	2520.38
TCTN1	59.97	90.14	1508.65	1119.56	2271.4	1359.57	1059.11	547.75	2367.9	1199.98	256.78	2609.3	0.0	0.39	2104.58
TCTN2	122.64	51.71	432.53	208.38	830.75	312.0	473.41	400.71	409.15	587.13	59.55	1051.79	105.89	246.28	759.08
TMEM232	1.73	2.27	62.56	20.86	234.57	45.53	18.84	14.14	74.58	77.79	5.15	423.61	0.0	0.0	830.75
TPP1	902.89	988.12	1551.09	1277.29	2119.22	1674.06	1322.37	1159.07	1697.45	1909.85	947.83	2104.58	0.0	0.84	2956.17
TTLL9	1.73	1.95	13.52	6.21	59.97	37.59	1.91	4.24	33.78	75.64	1.3	435.55	0.0	0.0	208.38
VWA3A	0.0	0.0	11.47	18.29	97.36	22.26	0.84	3.14	28.65	13.22	0.0	532.74	0.0	0.28	536.45
WDR31	8.32	16.63	167.9	103.69	175.07	75.11	132.44	37.85	141.02	171.45	22.59	139.07	0.0	0.0	110.43
WDR63	1.14	0.97	4.24	8.51	55.49	28.04	6.57	2.05	37.59	12.93	0.65	406.31	0.0	0.0	435.55
WDR65	0.3	1.95	37.85	23.08	116.78	34.51	19.11	5.11	81.71	50.27	1.25	660.68	0.0	0.0	723.08
WDR96	2.01	0.66	68.07	27.05	191.67	42.71	51.71	9.2	169.07	195.72	1.95	1487.87	0.0	0.0	1286.18
ZNF474	0.3	1.62	5.54	1.1	26.1	8.65	3.86	11.47	41.22	5.11	3.0	447.82	0.0	0.0	211.31
