	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.8171.01A.11R.2287.07	TCGA.56.6546.01A.11R.1820.07	TCGA.33.6737.01A.11R.1820.07	TCGA.33.4547.01A.01R.1201.07	TCGA.66.2767.01A.01R.0851.07	TCGA.98.A53H.01A.12R.A262.07
MFSD1	2133.97	2816.11	2645.74	669.92	503.95	0.0	775.05	1081.39	819.3	2796.65	2468.49	1662.49
MRAP2	738.29	529.06	48.18	84.63	3.79	46.84	0.79	4.78	5.41	414.87	318.57	142.01
NFE2L2	8963.45	8901.53	3874.05	1781.89	764.36	0.0	1127.35	1551.09	2555.58	4736.79	3060.45	2701.35
NIPAL4	8840.04	8963.45	395.18	0.0	0.0	0.0	2.1	11.04	11.82	49.91	113.56	154.42
NPBWR1	13.83	265.87	7.11	0.0	0.3	0.0	0.0	0.0	1.55	102.97	148.09	3.23
P2RY1	587.13	209.84	743.43	4.28	1.16	0.0	5.45	37.85	21.94	190.34	236.21	81.71
PAMR1	1030.12	2319.15	256.78	5.63	4.9	0.0	1.17	66.65	36.53	255.0	217.27	291.04
PCP4L1	3257.52	4419.52	353.59	3.2	32.59	0.0	10.24	127.89	36.01	909.17	356.05	262.2
PERP	492579.5	469249.9	21768.19	642.59	728.11	2875.3	389.72	1685.71	3564.78	9344.14	7433.4	2777.33
PGLYRP3	1212874.47	757033.75	1561.89	0.0	0.0	0.0	5.41	1.17	98.73	283.05	96.01	82.29
PLA2R1	100.13	141.02	253.23	0.59	4.98	0.0	9.63	34.75	19.39	269.6	155.5	121.79
PRKX	1540.37	3742.05	728.11	5.36	155.5	341.51	128.79	490.14	470.14	954.43	713.11	525.39
PRRX1	183.82	1529.73	836.53	6.62	18.29	0.0	59.55	563.18	497.0	2303.12	693.58	1119.56
RAC1	31650.8	13776.25	19754.96	3639.7	4671.57	6652.97	7966.99	5006.93	9151.82	13492.72	8479.89	6381.92
S100A2	3.15251512E7	1739208.14	138544.47	9.27	18.29	0.0	96.01	890.44	1378.57	39510.91	13123.73	21919.61
SDR9C7	36106.23	45386.27	283.05	0.99	0.0	0.0	0.67	2.25	1.48	10.71	18.84	10.16
SERTAD2	4268.94	947.83	974.5	249.73	154.42	0.0	180.02	287.01	133.36	540.19	339.14	395.18
SNAI2	231.32	1977.24	551.56	12.45	57.08	0.0	35.5	147.06	167.9	947.83	555.41	563.18
SORL1	1583.71	753.83	94.01	82.87	80.01	48.87	258.57	175.07	61.25	1191.69	579.04	336.79
SPRR2A	1.0677509839E8	2.356267404E7	265802.39	0.0	0.0	0.0	0.0	45.53	30.12	808.0	3928.15	5329.3
SYPL1	8538.88	5633.22	3540.14	808.0	1322.37	0.0	2351.53	1639.59	1781.89	4769.75	3349.13	2451.44
TGM1	1255646.43	360589.03	26986.43	3.06	6.73	0.0	9.85	12.74	76.71	183.82	244.57	80.57
TMEM117	1051.79	1127.35	271.48	111.21	45.21	0.0	7.34	159.9	51.71	329.84	295.11	109.66
TMEM45A	21172.91	168220.2	1277.29	45.85	57.08	0.0	85.22	928.3	698.41	6561.36	1583.71	1529.73
TMPRSS11A	6673442.71	2392353.91	14663.09	0.0	0.0	0.0	0.61	1.38	3.47	406.31	423.61	27.25
TMPRSS11D	2.802089981E7	6908781.2	7081.29	0.0	0.0	0.0	0.68	4.39	27.25	1030.12	536.45	151.22
TMPRSS4	12329.98	5594.3	3467.27	5.02	0.0	0.0	132.44	187.71	934.76	6983.79	2287.2	1313.23
TP53AIP1	46662.28	61571.56	656.11	0.0	2.97	0.0	0.54	2.71	1.28	291.04	241.19	105.15
TPRG1	15934.98	8718.32	5791.62	183.82	17.13	0.0	13.52	37.85	108.14	1561.89	426.57	186.4
WDR47	836.53	299.25	267.73	42.11	27.84	0.0	74.06	145.02	87.03	224.97	208.38	224.97
WFDC5	5041.77	16383.0	476.71	0.0	0.0	0.0	0.0	7.06	2.71	551.56	148.09	67.12
