	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.14C5O.2626.SM.5RQI5	GTEX.ZYVF.2826.SM.5GIDK	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBJ.2026.SM.3NB1R	TCGA.BK.A4ZD.11A.12R.A27V.07	GTEX.YFC4.2826.SM.5P9FR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.WI4N.2426.SM.4OOSC
KDM2B	269.6	301.33	162.14	237.86	289.02	0.0	0.6	490.14	309.83	379.04	297.17	231.32
KIAA0825	16.51	13.62	2.76	3.11	18.43	0.0	0.09	17.9	24.63	57.49	63.0	2.71
KIAA0922	135.24	234.57	75.11	91.41	208.38	0.0	0.58	244.57	251.48	303.44	208.38	104.42
KIAA1731	104.42	120.94	126.12	98.04	143.01	0.0	0.57	173.85	217.27	312.0	325.29	129.69
LIFR	438.59	323.03	202.66	100.83	129.69	0.0	0.38	346.29	1051.79	1175.27	1225.22	105.89
LY6G5C	58.3	98.04	25.17	45.21	49.91	0.0	0.32	255.0	74.06	157.68	165.57	72.52
LYPLAL1	633.73	476.71	301.33	231.32	555.41	0.0	0.39	866.07	688.78	1540.37	1540.37	318.57
MBTPS1	1159.07	1417.35	743.43	947.83	941.27	819.3	108.14	1950.0	1617.0	1832.01	1857.6	1159.07
MED6	490.14	426.57	329.84	293.07	429.54	0.0	0.65	587.13	575.03	703.28	633.73	309.83
NBPF12	51.71	163.28	51.71	52.45	65.26	0.0	0.47	162.14	147.06	133.36	131.51	63.89
NIPSNAP3B	94.67	52.08	31.67	37.85	87.65	0.0	0.29	187.71	151.22	193.01	212.78	68.07
NLRP1	356.05	583.07	275.28	199.85	376.41	0.0	0.95	1359.57	1015.93	2075.59	988.12	563.18
NLRP9	0.93	2.46	0.0	0.32	0.58	0.0	0.04	4.74	5.73	4.94	6.16	0.35
NOXRED1	3.99	4.98	1.41	6.26	3.08	0.0	0.21	11.64	6.31	8.0	21.16	9.7
PASK	85.22	50.27	60.82	88.26	18.84	0.0	0.71	172.65	122.64	110.43	169.07	47.17
PBOV1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.35	1.08	0.48	0.0
PCNXL4	228.13	287.01	220.32	191.67	289.02	0.0	0.34	351.14	753.83	638.15	543.96	197.09
PDCD7	332.14	511.0	232.94	285.03	540.19	0.0	0.43	503.95	543.96	607.87	532.74	307.69
PGBD2	90.14	35.5	28.24	30.78	40.93	0.0	0.0	149.12	115.97	147.06	150.17	22.59
PIH1D2	41.52	47.5	5.63	10.88	26.1	0.0	0.0	57.89	44.57	70.01	115.16	43.32
PPP1R13B	269.6	384.34	301.33	297.17	429.54	0.0	0.72	426.57	486.75	718.08	642.59	368.65
PRPF31	1167.14	1388.16	738.29	836.53	1081.39	0.0	0.82	1322.37	1127.35	1594.73	1605.83	575.03
PRSS35	11.04	4.43	0.0	0.0	34.26	0.0	0.0	40.93	32.59	108.9	93.35	4.03
RHBDD3	320.8	400.71	339.14	305.55	334.46	0.0	0.64	420.68	660.68	791.35	796.86	447.82
RP11-1084J3.4	0.0	10.63	10.39	0.0	0.0	0.0	0.0	23.08	0.0	30.12	27.84	0.0
RP11-368I7.4	1.45	1.13	3.53	0.0	0.71	0.0	0.0	10.55	10.47	12.64	24.63	6.73
RP11-697E2.6	3.72	5.11	3.79	3.82	3.66	0.0	0.15	6.46	5.15	6.21	8.19	0.83
RP11-706O15.1	198.47	31.45	123.5	166.73	42.71	0.0	0.72	429.54	463.65	775.05	733.19	373.81
RRAGB	346.29	454.09	255.0	264.03	409.15	0.0	0.61	444.72	551.56	575.03	738.29	260.38
SLC13A3	18.03	37.85	6.41	23.59	10.79	0.0	0.4	46.84	58.71	267.73	226.54	9.48
SLC18A2	110.43	103.69	190.34	117.6	156.59	0.0	0.27	348.71	182.55	293.07	341.51	71.0
SLC23A2	197.09	265.87	85.82	173.85	199.85	0.0	0.61	279.14	447.82	384.34	353.59	161.02
SLC25A35	164.42	185.11	71.5	85.82	121.79	0.0	0.39	295.11	412.0	432.53	848.22	214.27
SLC25A52	6.01	0.0	0.0	0.0	0.57	0.0	0.0	2.36	1.48	3.53	2.94	0.0
SMO	194.36	353.59	109.66	114.36	395.18	0.0	0.54	551.56	872.1	1561.89	595.34	120.1
SNPH	151.22	473.41	36.01	57.49	295.11	0.0	0.41	307.69	124.37	327.56	231.32	72.01
STRIP1	454.09	633.73	206.94	289.02	480.04	0.0	0.65	493.56	723.08	656.11	555.41	264.03
TCTE1	1.43	7.63	3.76	1.79	3.72	0.0	0.0	7.69	9.34	14.35	12.74	0.04
TRAM1L1	62.12	120.1	7.63	13.03	18.03	0.0	0.0	28.24	88.26	89.51	153.34	6.41
TREX2	0.0	10.31	9.7	6.67	7.46	0.0	0.42	12.74	10.47	37.05	47.84	10.88
TSHR	5.73	0.0	0.0	0.62	4.43	0.0	0.16	17.51	15.11	28.24	23.59	2.71
TSHZ3	309.83	1104.13	246.28	239.52	660.68	0.0	0.65	356.05	718.08	866.07	1023.0	480.04
TTC29	0.71	0.0	1.04	0.0	0.39	0.0	0.0	0.0	4.54	5.15	9.85	0.0
TTC8	412.0	497.0	140.04	130.6	463.65	0.0	0.06	563.18	543.96	872.1	780.44	147.06
TVP23C	76.71	85.82	43.02	167.9	80.01	0.0	0.41	154.42	141.02	336.79	236.21	104.42
UBN2	60.82	94.01	45.21	31.9	85.82	39.22	113.56	158.79	137.14	144.01	153.34	54.72
USP11	1111.82	1594.73	775.05	830.75	1583.71	0.0	0.75	1519.15	2163.77	1870.53	1467.37	1044.52
USP22	1467.37	1639.59	563.18	1350.18	1397.83	543.96	503.95	2384.37	2915.45	2287.2	1457.23	1322.37
USP25	341.51	518.15	435.55	376.41	567.1	0.0	0.6	679.29	808.0	1167.14	769.69	343.89
WDR65	0.79	0.48	1.35	1.22	2.61	0.0	0.0	16.27	18.84	9.85	29.27	1.79
WDR91	256.78	205.5	87.03	98.73	363.56	0.0	0.83	409.15	336.79	341.51	540.19	191.67
YARS2	303.44	256.78	172.65	237.86	150.17	0.0	0.04	738.29	343.89	543.96	341.51	262.2
ZC3H12B	26.47	43.94	31.9	9.93	33.3	0.0	0.14	41.52	45.53	67.59	59.97	17.9
ZC3H7B	591.22	878.17	525.39	579.04	842.36	616.37	76.71	1199.98	1001.93	928.3	1037.29	708.18
ZFP28	104.42	150.17	92.05	54.72	181.28	0.0	0.48	177.53	153.34	153.34	217.27	29.27
ZNF10	141.02	244.57	37.85	74.06	221.86	0.0	0.25	271.48	289.02	346.29	432.53	38.67
ZNF17	88.26	124.37	85.82	56.28	94.01	0.0	0.16	137.14	128.79	181.28	194.36	32.59
ZNF175	141.02	127.0	88.26	32.82	98.04	0.0	0.47	173.85	158.79	193.01	242.88	48.52
ZNF234	66.65	90.77	99.43	47.84	87.65	0.0	0.29	163.28	111.99	158.79	198.47	39.22
ZNF346	229.72	339.14	166.73	185.11	223.41	78.34	177.53	318.57	336.79	500.46	480.04	231.32
ZNF391	51.71	66.65	6.46	28.45	60.82	0.0	0.15	108.14	141.02	149.12	178.77	2.56
ZNF454	37.05	48.87	12.83	17.51	39.5	0.0	0.26	23.76	56.68	126.12	81.14	15.45
ZNF512B	152.28	351.14	57.89	64.34	262.2	0.0	0.73	323.03	409.15	379.04	397.93	74.06
ZNF554	73.54	70.51	33.06	35.0	65.26	0.0	0.01	132.44	90.77	115.97	132.44	29.06
ZNF563	52.45	67.12	57.89	78.89	44.57	0.0	0.23	127.0	87.03	140.04	163.28	57.89
ZNF585B	98.04	161.02	90.14	72.52	183.82	0.0	0.35	215.77	224.97	220.32	285.03	90.14
ZNF626	128.79	127.89	78.89	52.08	100.13	151.22	108.9	260.38	206.94	305.55	291.04	45.53
ZNF662	84.04	159.9	11.82	15.56	135.24	0.0	0.53	162.14	267.73	336.79	403.5	26.28
ZNF696	67.59	78.34	52.82	39.5	72.01	0.0	0.0	80.01	75.64	94.67	143.01	23.76
ZNF75D	123.5	136.19	63.45	63.45	126.12	0.0	0.49	246.28	236.21	262.2	346.29	71.5
ZNHIT6	255.0	312.0	191.67	189.02	314.17	0.0	0.36	363.56	438.59	441.64	277.2	115.97
