	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DV.5574.01A.01R.1541.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.AK.3450.01A.02R.1277.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
RNF31	1037.29	1477.58	1015.93	1059.11	420.68	708.18	848.22	409.15	0.0	0.73
RP11-706O15.1	1051.79	836.53	633.73	1721.16	733.19	463.65	493.56	140.04	0.0	0.72
SLC25A21-AS1	124.37	123.5	53.57	55.1	20.71	18.97	8.71	27.25	0.0	0.16
SLC2A10	1870.53	3303.0	202.66	171.45	137.14	140.04	31.67	211.31	0.0	0.54
SNW1	1259.69	1359.57	1322.37	1447.15	616.37	1199.98	934.76	497.0	0.0	0.93
SOBP	131.51	189.02	54.33	69.03	22.26	56.68	12.45	26.67	0.0	0.3
SUPT16H	1233.75	1721.16	1167.14	1508.65	514.56	1008.9	633.73	454.09	0.0	0.92
SUPT6H	738.29	1008.9	819.3	708.18	607.87	796.86	633.73	518.15	0.0	0.84
TAF1D	2090.03	1519.15	1259.69	2701.35	836.53	1477.58	1111.82	842.36	0.0	0.46
TBC1D20	583.07	693.58	563.18	599.49	414.87	432.53	392.44	336.79	316.37	117.6
TCTEX1D1	165.57	173.85	22.1	10.79	1.36	10.08	6.31	11.3	0.0	0.14
TDRD3	384.34	346.29	343.89	493.56	289.02	332.14	291.04	301.33	0.0	0.18
TMEM260	1277.29	1286.18	183.82	343.89	108.9	140.04	155.5	105.15	0.0	0.49
TMEM55B	660.68	647.07	532.74	514.56	305.55	435.55	318.57	379.04	0.0	0.85
TRAPPC6B	397.93	587.13	426.57	540.19	198.47	307.69	186.4	195.72	0.0	0.53
TTLL5	450.94	363.56	334.46	336.79	186.4	218.79	166.73	151.22	97.36	100.13
UROC1	1.27	4.31	0.8	2.76	0.34	0.88	0.38	0.37	0.0	0.04
VIM	185362.8	205673.01	86474.27	91404.92	56265.94	118949.35	67846.12	40341.14	0.0	1.25
VIPAS39	348.71	426.57	406.31	414.87	205.5	314.17	224.97	236.21	0.0	0.12
WFDC2	1.736886224E7	2.009035788E7	5219.6	2319.15	346.29	902.89	4298.64	113.56	0.0	0.65
ZBTB1	698.41	551.56	371.22	723.08	178.77	473.41	215.77	190.34	0.0	0.27
ZNF16	226.54	267.73	180.02	228.13	110.43	138.1	128.79	95.34	0.0	0.0
ZNF425	90.14	141.02	32.82	40.64	12.45	28.24	19.11	27.84	0.0	0.0
ZNF853	256.78	283.05	63.0	105.15	16.51	45.53	28.65	8.25	0.0	0.42
