	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.22.1005.01A.01R.0692.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07
CD6	77.25	157.68	674.59	381.68	480.04	387.02	366.09	7.0	22.59	106.63	109.66	336.79	10.55	2.61	14.45	24.81
CD70	733.19	65.72	65.26	42.11	76.17	63.89	53.95	0.0	2.86	9.48	14.45	17.51	0.93	0.0	0.54	2.68
CETP	76.71	2.92	29.48	50.63	51.35	37.05	89.51	5.11	9.27	22.1	15.0	34.26	7.46	5.41	3.99	7.69
CYTIP	67.59	142.01	1322.37	521.76	2104.58	1923.14	753.83	9.48	44.89	119.26	246.28	400.71	14.03	20.26	24.63	43.32
DEFB124	0.0	27.25	99.43	10.63	107.38	59.13	80.57	0.0	0.0	10.16	24.28	0.0	4.13	0.0	0.0	0.0
FABP6	559.28	79.45	303.44	232.94	928.3	381.68	387.02	0.0	1.93	0.0	4.54	10.63	0.0	0.0	0.0	0.0
FAIM3	50.98	101.54	748.61	361.04	921.88	591.22	819.3	22.75	59.13	139.07	351.14	500.46	31.0	30.34	38.12	70.01
FAM129C	0.27	0.89	88.26	53.95	231.32	38.67	264.03	4.06	5.96	7.46	64.8	23.59	2.46	3.5	4.58	7.22
FAM177B	1.04	0.97	52.45	22.75	40.36	32.36	68.07	0.0	3.92	8.71	23.59	28.45	0.74	2.53	0.0	2.61
FCER2	3.89	2.63	55.89	32.36	256.78	87.03	237.86	0.0	1.73	6.67	92.7	17.25	0.95	0.56	0.0	0.99
FCRL2	0.0	1.36	232.94	87.65	318.57	297.17	141.02	0.0	3.29	7.63	26.47	15.8	0.0	0.0	0.39	2.34
FCRL5	1.75	4.35	928.3	289.02	1639.59	1923.14	329.84	0.41	8.71	13.42	52.45	26.86	0.8	0.0	0.72	2.36
FCRLA	17.38	34.02	197.09	118.43	521.76	376.41	193.01	0.0	8.58	10.79	88.88	37.59	1.11	0.19	1.77	4.17
FUT7	2.05	22.92	30.78	87.03	43.32	46.5	87.65	0.0	0.87	3.59	13.72	6.31	1.14	0.4	0.72	1.17
GP1BA	14.78	16.88	38.95	27.44	66.65	26.86	42.41	4.35	4.7	6.06	15.8	19.25	3.59	0.42	7.22	4.43
GPR15	63.0	73.54	384.34	15.22	579.04	91.41	143.01	0.0	1.68	6.26	3.35	11.55	0.0	0.0	0.38	2.39
GPR25	121.79	189.02	11.82	13.93	7.94	82.87	7.22	0.0	0.78	2.14	2.32	2.51	0.0	0.0	0.0	1.46
HLA-DOB	204.07	195.72	466.88	249.73	1081.39	1359.57	379.04	2.73	25.17	38.12	124.37	125.24	4.7	2.89	4.21	12.55
HLA-DQA2	96.01	112.77	915.51	480.04	1769.57	226.54	579.04	1.71	151.22	150.17	7.22	297.17	1.07	6.46	29.27	55.89
IGLL5	218.79	1167.14	14065.74	10368.08	23986.58	39785.74	5672.41	1.75	190.34	373.81	890.44	2591.27	6.67	1.93	63.89	89.51
IL17REL	0.66	0.59	21.63	6.57	20.86	4.74	8.65	1.85	0.0	1.68	3.63	2.68	0.0	0.29	0.0	0.35
IL24	9.93	13.52	111.99	48.18	159.9	94.67	205.5	1.77	6.62	26.67	47.84	57.89	9.2	3.14	2.89	6.62
IL2RG	518.15	1159.07	2645.74	1819.35	1896.65	3146.52	1583.71	53.19	171.45	483.38	638.15	1437.15	118.43	13.83	80.57	133.36
IL9R	3.82	3.56	30.56	19.97	36.27	29.91	26.1	0.84	1.77	3.14	4.21	12.36	0.89	0.47	1.48	1.3
IRF4	15.56	76.71	329.84	161.02	830.75	660.68	209.84	1.99	10.24	7.69	22.92	38.12	1.1	0.37	0.99	5.06
ITGAL	130.6	450.94	995.0	466.88	836.53	842.36	624.99	24.11	56.68	129.69	214.27	559.28	13.83	7.88	26.1	53.57
KRT6A	2.01760973986E9	2.41604469791E9	101.54	785.88	57847.82	947.83	21468.49	0.0	10.96	53.95	64.8	32.36	27.84	2.16	1.53	8.51
LAX1	2.25	14.67	271.48	69.03	384.34	463.65	100.83	0.97	3.66	10.55	18.43	53.95	1.36	0.92	1.81	3.44
LIME1	169.07	165.57	825.0	543.96	1088.92	1709.26	595.34	76.71	201.25	334.46	376.41	348.71	57.08	41.81	92.7	147.06
LTK	9.56	18.56	122.64	67.59	182.55	246.28	185.11	2.53	5.59	15.34	6.46	13.32	0.0	0.0	1.69	5.28
LY9	65.72	54.33	305.55	154.42	629.35	703.28	234.57	1.14	19.53	49.21	77.25	158.79	4.03	1.35	2.51	11.64
MAP4K1	89.51	299.25	995.0	642.59	1023.0	1417.35	743.43	14.56	57.89	144.01	220.32	403.5	18.16	13.72	29.06	46.18
MCM5	1378.57	376.41	878.17	1819.35	1340.84	665.29	974.5	223.41	305.55	363.56	540.19	518.15	162.14	228.13	325.29	343.89
MDS2	0.0	0.0	5.45	4.03	5.92	9.2	11.55	0.0	1.11	1.73	1.5	2.78	0.0	0.0	0.0	0.34
MEF2B	48.52	35.25	232.94	143.01	738.29	759.08	149.12	43.02	19.39	80.57	61.25	126.12	74.06	35.0	17.9	49.56
MUC5B	91.41	53.57	12244.81	12329.98	6381.92	842.36	13306.94	0.39	2.73	2.89	12.27	23.93	3.2	0.0	2.56	4.78
MZB1	58.3	583.07	8363.13	2997.45	23492.92	26986.43	3146.52	229.72	228.13	2502.97	981.29	543.96	698.41	1.46	438.59	373.81
PAPLN	127.89	158.79	633.73	395.18	693.58	764.36	583.07	9.56	153.34	152.28	234.57	202.66	29.48	14.35	35.0	64.34
PIF1	102.97	53.57	143.01	112.77	441.64	236.21	145.02	8.0	22.75	67.59	40.93	49.91	8.51	5.23	10.08	20.26
PIM2	155.5	157.68	4972.34	1551.09	7803.01	9876.98	2133.97	242.88	198.47	248.0	334.46	454.09	105.15	236.21	141.02	120.1
POU2AF1	295.11	92.7	1437.15	417.77	3665.02	3395.89	830.75	0.0	23.76	53.95	145.02	96.01	7.88	1.33	10.96	14.03
PTPN6	1529.73	1447.15	2335.28	2915.45	2573.36	2855.44	2148.82	796.86	733.19	1096.5	1304.15	1437.15	723.08	480.04	836.53	836.53
RASAL3	80.57	218.79	698.41	616.37	728.11	669.92	599.49	11.47	43.32	199.85	217.27	336.79	13.42	16.88	26.86	44.89
RHOF	2816.11	171.45	438.59	514.56	271.48	769.69	414.87	81.71	94.67	190.34	209.84	262.2	41.52	50.27	38.95	82.87
RNF183	75.11	0.46	356.05	19.11	191.67	100.83	53.19	1.22	5.28	12.09	7.88	19.39	1.68	2.18	0.0	4.58
RP11-1070N10.3	0.0	5.23	69.52	20.11	157.68	190.34	46.84	0.0	4.1	2.73	5.23	5.87	1.66	0.0	1.19	0.68
SAA4	0.0	0.0	220.32	137.14	414.87	178.77	132.44	0.0	4.46	4.13	5.68	33.06	2.61	0.0	2.66	1.57
SELPLG	133.36	226.54	830.75	693.58	1135.2	1066.48	708.18	7.82	99.43	161.02	246.28	521.76	26.1	35.25	28.04	49.56
SERPINB13	5.413281112E7	6.572778255E7	48.87	33.06	1143.1	16.27	236.21	0.0	0.44	3.69	0.43	4.54	0.0	0.0	0.0	0.41
SLAMF1	36.79	27.44	198.47	81.71	202.66	275.28	125.24	0.62	11.21	31.22	44.57	96.01	2.97	1.17	6.21	7.17
STAG3	18.16	15.91	228.13	226.54	368.65	289.02	267.73	12.0	33.78	86.43	108.14	93.35	21.63	6.06	15.56	43.94
TAGAP	28.24	57.49	412.0	148.09	429.54	414.87	180.02	3.82	20.56	32.82	69.52	129.69	4.66	6.26	7.69	21.01
TAS1R3	22.26	33.06	80.57	108.14	197.09	204.07	32.13	2.16	3.69	5.54	9.41	14.03	1.58	0.0	3.66	0.89
TBC1D10C	180.02	532.74	656.11	642.59	836.53	669.92	733.19	28.45	72.52	237.86	269.6	579.04	19.97	14.89	24.46	63.89
TMC8	100.83	339.14	928.3	909.17	1081.39	629.35	813.63	17.38	61.25	155.5	255.0	361.04	15.0	5.45	13.83	40.93
TMEM156	28.86	58.71	214.27	91.41	353.59	348.71	138.1	1.51	19.68	23.08	37.59	63.89	2.92	8.92	3.2	7.11
TNFRSF13B	14.03	58.71	236.21	84.63	403.5	323.03	176.29	0.0	4.28	11.82	75.64	52.08	0.0	0.0	1.39	5.77
TNFRSF17	0.0	74.58	441.64	132.44	791.35	1819.35	118.43	0.0	12.0	19.11	73.03	33.54	5.19	0.0	2.92	2.71
TRAF3IP3	409.15	571.05	1111.82	796.86	1250.98	1008.9	825.0	45.21	111.99	211.31	318.57	624.99	56.28	36.79	80.57	105.89
TREML2	0.0	1.28	11.47	11.47	18.7	11.3	20.71	0.0	0.74	1.01	6.89	1.35	0.0	0.3	0.0	0.0
